name;type;execution_times_ms
2mm;MEDIUM;20.2415 19.8985 19.754 19.7154 19.676 
3mm;MEDIUM;30.6998 30.3609 30.2545 30.2574 30.2543 
adi;MEDIUM;107.876 107.382 107.293 107.288 107.285 
atax;MEDIUM;0.163807 0.13456 0.125571 0.116254 0.115064 
bicg;MEDIUM;0.161845 0.124088 0.100343 0.098881 0.099759 
cholesky;MEDIUM;14.7328 14.7708 14.6306 14.6196 14.6273 
correlation;MEDIUM;10.9907 10.977 10.8973 10.8778 10.8815 
covariance;MEDIUM;10.9542 10.9216 10.8123 10.799 10.8103 
deriche;MEDIUM;8.69323 8.13326 8.07947 8.05401 8.03586 
doitgen;MEDIUM;4.95957 4.86573 4.92048 4.89021 4.86456 
durbin;MEDIUM;0.110726 0.09852 0.096128 0.095071 0.093835 
fdtd_2d;MEDIUM;11.8808 11.9298 11.8027 11.7611 11.7655 
floyd_warshall;MEDIUM;97.2968 97.0695 97.0764 97.0724 97.0424 
gemm;MEDIUM;4.82425 4.83701 4.77331 4.87981 4.76467 
gemver;MEDIUM;0.53393 0.471303 0.440492 0.433295 0.499261 
gesummv;MEDIUM;0.085994 0.055807 0.04456 0.044514 0.044544 
gramschmidt;MEDIUM;16.7421 16.4689 16.4742 16.3523 16.3427 
heat3d;MEDIUM;19.923 19.6914 19.6882 19.6755 19.6824 
jacobi1d;MEDIUM;0.052611 0.035488 0.035641 0.035599 0.035424 
jacobi2d;MEDIUM;13.1447 12.915 12.8891 12.8855 12.8916 
lu;MEDIUM;29.5639 29.3848 29.3861 29.4049 29.3785 
ludcmp;MEDIUM;18.2702 18.203 18.1316 18.125 18.1313 
mvt;MEDIUM;0.429003 0.388732 0.33246 0.328115 0.337656 
nussinov;MEDIUM;18.0218 17.7775 17.7471 17.7604 17.7937 
seidel2d;MEDIUM;157.915 157.728 157.734 157.73 157.723 
symm;MEDIUM;10.6957 10.4433 10.4248 10.427 10.4362 
syr2k;MEDIUM;11.7038 11.7273 11.6085 11.5921 11.5821 
syrk;MEDIUM;5.26717 5.22997 5.20677 5.17426 5.1706 
trisolv;MEDIUM;0.14694 0.132261 0.114985 0.112113 0.111775 
trmm;MEDIUM;6.45141 6.53968 6.51335 6.50007 6.52163 
