name;type;execution_times_ms
2mm;MINI;0.010108 0.003285 0.002608 0.002478 0.002495 
3mm;MINI;0.016135 0.007905 0.00424 0.004139 0.004142 
adi;MINI;0.143588 0.139161 0.142523 0.13662 0.136579 
atax;MINI;0.005029 0.001709 0.001507 0.001486 0.001489 
bicg;MINI;0.004044 0.000818 0.000769 0.000801 0.000806 
cholesky;MINI;0.018643 0.013505 0.013108 0.01286 0.012796 
correlation;MINI;0.012717 0.009856 0.009607 0.009584 0.009581 
covariance;MINI;0.014338 0.010533 0.010142 0.010056 0.010041 
deriche;MINI;0.087099 0.064831 0.083852 0.075978 0.07577 
doitgen;MINI;0.00597 0.001689 0.001528 0.001524 0.001521 
durbin;MINI;0.006167 0.002457 0.001739 0.001523 0.001532 
fdtd_2d;MINI;0.040846 0.024818 0.024688 0.024654 0.024677 
floyd_warshall;MINI;0.24031 0.237859 0.237781 0.244684 0.238882 
gemm;MINI;0.005362 0.003489 0.003384 0.003364 0.003359 
gemver;MINI;0.007318 0.003233 0.002898 0.002914 0.00289 
gesummv;MINI;0.005447 0.001058 0.000975 0.000947 0.000949 
gramschmidt;MINI;0.019123 0.016592 0.0164 0.016381 0.016365 
heat3d;MINI;0.049594 0.032676 0.032497 0.032447 0.095937 
jacobi1d;MINI;0.000916 0.000478 0.000464 0.000461 0.000466 
jacobi2d;MINI;0.049108 0.027436 0.027371 0.027205 0.027179 
lu;MINI;0.023459 0.02125 0.02039 0.020074 0.020035 
ludcmp;MINI;0.027844 0.021469 0.020209 0.019682 0.019467 
mvt;MINI;0.004917 0.001559 0.00146 0.001435 0.001429 
nussinov;MINI;0.03843 0.032264 0.032186 0.032145 0.031781 
seidel2d;MINI;0.255731 0.333839 0.255152 0.255174 0.259784 
symm;MINI;0.015268 0.010252 0.009778 0.009699 0.009669 
syr2k;MINI;0.033151 0.018876 0.018437 0.01795 0.01801 
syrk;MINI;0.011218 0.009608 0.009104 0.008735 0.008275 
trisolv;MINI;0.004911 0.001223 0.000977 0.000894 0.000883 
trmm;MINI;0.006328 0.005401 0.004917 0.004819 0.004697 
