name;type;execution_times_ms
2mm;SMALL;0.329077 0.307787 0.300956 0.300721 0.304554 
3mm;SMALL;0.54986 0.510982 0.516039 0.510872 0.515174 
adi;SMALL;3.58019 3.57027 3.50705 3.52056 3.51116 
atax;SMALL;0.016634 0.008308 0.008049 0.007989 0.008004 
bicg;SMALL;0.017146 0.00727 0.00684 0.006821 0.006836 
cholesky;SMALL;0.36537 0.354438 0.352878 0.356924 0.352436 
correlation;SMALL;0.484487 0.447089 0.480711 0.476753 0.445326 
covariance;SMALL;0.480011 0.470891 0.465497 0.470885 0.465504 
deriche;SMALL;0.610083 0.545621 0.557153 0.542329 0.548845 
doitgen;SMALL;0.142443 0.129709 0.120636 0.120613 0.120462 
durbin;SMALL;0.018319 0.014781 0.012664 0.011137 0.010596 
fdtd_2d;SMALL;0.449273 0.430711 0.424272 0.423626 0.430876 
floyd_warshall;SMALL;4.65888 4.56377 4.60509 4.53682 4.5677 
gemm;SMALL;0.10249 0.081106 0.081289 0.081303 0.08115 
gemver;SMALL;0.049722 0.026541 0.026334 0.026412 0.026312 
gesummv;SMALL;0.013004 0.004923 0.004436 0.004422 0.004424 
gramschmidt;SMALL;0.34708 0.329363 0.336265 0.328996 0.329014 
heat3d;SMALL;0.841573 0.81972 0.832488 0.819559 0.818869 
jacobi1d;SMALL;0.009867 0.004951 0.004907 0.004916 0.004873 
jacobi2d;SMALL;0.573716 0.558314 0.565789 0.557635 0.573962 
lu;SMALL;0.677367 0.642143 0.647661 0.644825 0.641799 
ludcmp;SMALL;0.396406 0.44772 0.454477 0.445637 0.450671 
mvt;SMALL;0.037627 0.019352 0.019264 0.019353 0.019251 
nussinov;SMALL;0.816855 0.799999 0.798203 0.793289 0.79791 
seidel2d;SMALL;5.41639 5.42898 5.43926 5.42303 5.40752 
symm;SMALL;0.249855 0.230725 0.269385 0.230325 0.230071 
syr2k;SMALL;0.368494 0.344726 0.344717 0.444768 0.344684 
syrk;SMALL;0.181344 0.158782 0.15824 0.157498 0.157005 
trisolv;SMALL;0.018036 0.009844 0.009283 0.009176 0.009065 
trmm;SMALL;0.149566 0.143893 0.149906 0.142807 0.142829 
