name;type;execution_times_ms
2mm;LARGE;2092.16 2102.63 2095.02 2094.24 2094.02 
3mm;LARGE;3175.11 3171.86 3165.48 3164.63 3166.44 
adi;LARGE;14875.5 14860 14781.7 14845.4 14820.8 
atax;LARGE;5.26206 5.28323 5.25708 5.38304 5.23819 
bicg;LARGE;4.30527 4.42581 4.43967 4.59335 4.41985 
cholesky;LARGE;1930.67 1929.57 1925.81 1925.77 1925.69 
correlation;LARGE;1692.68 1695.38 1689.61 1688.76 1688.85 
covariance;LARGE;1701.68 1703.52 1696.74 1695.69 1695.45 
deriche;LARGE;216.974 217.22 216.947 217.264 217.399 
doitgen;LARGE;692.569 692.508 693.432 695.941 692.172 
durbin;LARGE;2.01854 1.99162 1.99009 1.98542 1.99358 
fdtd_2d;LARGE;2248.84 2007.16 2003.57 2001.01 2001.88 
floyd_warshall;LARGE;24608 24517.4 24504.2 24490.7 24492.6 
gemm;LARGE;64.1592 62.7215 62.6827 62.5564 62.5302 
gemver;LARGE;19.0032 17.503 17.2974 17.2437 17.2612 
gesummv;LARGE;2.65342 2.66865 2.60176 2.24153 2.12968 
gramschmidt;LARGE;2523.38 2515.64 2512.8 2512.56 2512.51 
heat3d;LARGE;2849.43 2842.55 2842.37 2836 2836.11 
jacobi1d;LARGE;1.00573 0.898803 0.901643 0.896013 0.891202 
jacobi2d;LARGE;2208.26 1963.01 1957.84 1952.63 1955.09 
lu;LARGE;4443.78 4434.25 4434 4434.11 4427.74 
ludcmp;LARGE;3198.47 3184.64 3184.47 3184.43 3183.85 
mvt;LARGE;14.8132 13.7279 13.3579 13.3127 13.2896 
nussinov;LARGE;2759.92 2744.47 2744.25 2744.4 2744.37 
seidel2d;LARGE;20047.4 20041 20042.5 20041.4 20041.4 
symm;LARGE;1795.14 1790.78 1786.6 1786.49 1786.35 
syr2k;LARGE;1826.02 1833.76 1827.98 1826.73 1827.1 
syrk;LARGE;872.537 865.304 872.085 873.337 872.342 
trisolv;LARGE;3.41582 3.58598 3.26694 3.01699 2.92408 
trmm;LARGE;969.673 1001.7 1006.64 1001.61 1001.32 
