name;type;execution_times_ms
2mm;XLARGE;21547.6 21640.8 21692.6 21706 21705.8 
3mm;XLARGE;35216.6 36574.6 37446.2 37365.3 37471.3 
adi;XLARGE;126056 125976 125949 125954 125938 
atax;XLARGE;5.13434 5.09103 5.22352 5.0936 5.08171 
bicg;XLARGE;4.17934 4.70814 4.82861 4.76095 4.69323 
cholesky;XLARGE;16607.8 16571.7 16559.2 16569.5 16562.4 
correlation;XLARGE;18254.7 17977.8 17978.7 17978.8 17979 
covariance;XLARGE;18365.9 18062.5 18062.2 18062.3 18062.3 
deriche;XLARGE;879.28 879.926 864.336 848.072 842.478 
doitgen;XLARGE;3842.75 3839.65 3834.92 3834.56 3834.69 
durbin;XLARGE;9.09314 8.94108 8.89655 8.88392 8.87789 
fdtd_2d;XLARGE;25288.3 24854.4 24848.4 24842.8 24828.9 
floyd_warshall;XLARGE;201114 200768 200928 201063 200782 
gemm;XLARGE;9413.49 8922.05 8934.26 8936.63 8944.31 
gemver;XLARGE;90.4113 90.9352 90.8222 90.779 90.7373 
gesummv;XLARGE;13.1891 13.5999 13.3419 13.2571 13.3341 
gramschmidt;XLARGE;23227 22978.2 22856.7 22864.5 22858 
heat3d;XLARGE;35168.8 34950.4 34959.8 34962.5 34968.6 
jacobi1d;XLARGE;5.33456 5.25898 5.34181 5.27447 5.29539 
jacobi2d;XLARGE;23065.9 22733 22721.2 22713.1 22715.3 
lu;XLARGE;51768.5 51894.8 51892.2 51891.4 51899.9 
ludcmp;XLARGE;42265 42164.9 42165.2 42199.8 42280.1 
mvt;XLARGE;73.3797 74.3318 74.0125 73.9719 74.1979 
nussinov;XLARGE;43235.4 43207 43206.5 43200.9 43194.7 
seidel2d;XLARGE;160711 160687 160689 160689 160688 
symm;XLARGE;18470.2 18297 18295.8 18297.3 18295.7 
syr2k;XLARGE;26904.6 26838.5 26836.1 26834 26835.2 
syrk;XLARGE;11130.8 11114.7 10989 10996.9 11017.8 
trisolv;XLARGE;13.3751 13.7383 13.693 13.6723 13.6659 
trmm;XLARGE;9802.54 9446.21 9442.15 9442.74 9442.18 
