framework,version,algorithm,run,time_s,repetition,dataset_size
c,from_model,2mm,1,0.005148,1,MEDIUM
c,from_model,2mm,2,0.005144,1,MEDIUM
c,from_model,2mm,3,0.005167,1,MEDIUM
c,from_model,2mm,4,0.005155,1,MEDIUM
c,from_model,2mm,5,0.005142,1,MEDIUM
c,from_model,3mm,1,0.008653,1,MEDIUM
c,from_model,3mm,2,0.008751,1,MEDIUM
c,from_model,3mm,3,0.008700,1,MEDIUM
c,from_model,3mm,4,0.008645,1,MEDIUM
c,from_model,3mm,5,0.008733,1,MEDIUM
c,from_model,adi,1,0.056057,1,MEDIUM
c,from_model,adi,2,0.056269,1,MEDIUM
c,from_model,adi,3,0.055998,1,MEDIUM
c,from_model,adi,4,0.056325,1,MEDIUM
c,from_model,adi,5,0.056547,1,MEDIUM
c,from_model,atax,1,0.000318,1,MEDIUM
c,from_model,atax,2,0.000339,1,MEDIUM
c,from_model,atax,3,0.000334,1,MEDIUM
c,from_model,atax,4,0.000313,1,MEDIUM
c,from_model,atax,5,0.000326,1,MEDIUM
c,from_model,bicg,1,0.000155,1,MEDIUM
c,from_model,bicg,2,0.000147,1,MEDIUM
c,from_model,bicg,3,0.000186,1,MEDIUM
c,from_model,bicg,4,0.000143,1,MEDIUM
c,from_model,bicg,5,0.000171,1,MEDIUM
c,from_model,cholesky,1,0.006702,1,MEDIUM
c,from_model,cholesky,2,0.006730,1,MEDIUM
c,from_model,cholesky,3,0.006743,1,MEDIUM
c,from_model,cholesky,4,0.006728,1,MEDIUM
c,from_model,cholesky,5,0.006709,1,MEDIUM
c,from_model,correlation,1,0.003589,1,MEDIUM
c,from_model,correlation,2,0.003570,1,MEDIUM
c,from_model,correlation,3,0.003580,1,MEDIUM
c,from_model,correlation,4,0.003562,1,MEDIUM
c,from_model,correlation,5,0.003599,1,MEDIUM
c,from_model,covariance,1,0.003962,1,MEDIUM
c,from_model,covariance,2,0.003934,1,MEDIUM
c,from_model,covariance,3,0.004083,1,MEDIUM
c,from_model,covariance,4,0.004199,1,MEDIUM
c,from_model,covariance,5,0.003925,1,MEDIUM
c,from_model,deriche,1,0.009222,1,MEDIUM
c,from_model,deriche,2,0.009345,1,MEDIUM
c,from_model,deriche,3,0.009084,1,MEDIUM
c,from_model,deriche,4,0.008068,1,MEDIUM
c,from_model,deriche,5,0.009265,1,MEDIUM
c,from_model,doitgen,1,0.002824,1,MEDIUM
c,from_model,doitgen,2,0.002839,1,MEDIUM
