framework,version,algorithm,run,time_s,repetition,dataset_size
tiramisu,standard,2mm,1,0.000342,1,SMALL
tiramisu,standard,2mm,2,0.000314,1,SMALL
tiramisu,standard,2mm,3,0.000319,1,SMALL
tiramisu,standard,2mm,4,0.000314,1,SMALL
tiramisu,standard,2mm,5,0.000313,1,SMALL
tiramisu,standard,3mm,1,0.000551,1,SMALL
tiramisu,standard,3mm,2,0.000510,1,SMALL
tiramisu,standard,3mm,3,0.000516,1,SMALL
tiramisu,standard,3mm,4,0.000510,1,SMALL
tiramisu,standard,3mm,5,0.000515,1,SMALL
tiramisu,standard,adi,1,0.003650,1,SMALL
tiramisu,standard,adi,2,0.003512,1,SMALL
tiramisu,standard,adi,3,0.003514,1,SMALL
tiramisu,standard,adi,4,0.003509,1,SMALL
tiramisu,standard,adi,5,0.003557,1,SMALL
tiramisu,standard,atax,1,0.000019,1,SMALL
tiramisu,standard,atax,2,0.000008,1,SMALL
tiramisu,standard,atax,3,0.000008,1,SMALL
tiramisu,standard,atax,4,0.000008,1,SMALL
tiramisu,standard,atax,5,0.000008,1,SMALL
tiramisu,standard,bicg,1,0.000015,1,SMALL
tiramisu,standard,bicg,2,0.000006,1,SMALL
tiramisu,standard,bicg,3,0.000005,1,SMALL
tiramisu,standard,bicg,4,0.000005,1,SMALL
tiramisu,standard,bicg,5,0.000006,1,SMALL
tiramisu,standard,cholesky,1,0.000363,1,SMALL
tiramisu,standard,cholesky,2,0.000352,1,SMALL
tiramisu,standard,cholesky,3,0.000358,1,SMALL
tiramisu,standard,cholesky,4,0.000351,1,SMALL
tiramisu,standard,cholesky,5,0.000356,1,SMALL
tiramisu,standard,correlation,1,0.000496,1,SMALL
tiramisu,standard,correlation,2,0.000483,1,SMALL
tiramisu,standard,correlation,3,0.000475,1,SMALL
tiramisu,standard,correlation,4,0.000475,1,SMALL
tiramisu,standard,correlation,5,0.000454,1,SMALL
tiramisu,standard,covariance,1,0.000477,1,SMALL
tiramisu,standard,covariance,2,0.000466,1,SMALL
tiramisu,standard,covariance,3,0.000472,1,SMALL
tiramisu,standard,covariance,4,0.000466,1,SMALL
tiramisu,standard,covariance,5,0.000466,1,SMALL
tiramisu,standard,deriche,1,0.000569,1,SMALL
tiramisu,standard,deriche,2,0.000640,1,SMALL
tiramisu,standard,deriche,3,0.000511,1,SMALL
tiramisu,standard,deriche,4,0.000574,1,SMALL
tiramisu,standard,deriche,5,0.000538,1,SMALL
tiramisu,standard,doitgen,1,0.000142,1,SMALL
tiramisu,standard,doitgen,2,0.000121,1,SMALL
tiramisu,standard,doitgen,3,0.000121,1,SMALL
tiramisu,standard,doitgen,4,0.000121,1,SMALL
tiramisu,standard,doitgen,5,0.000130,1,SMALL
tiramisu,standard,durbin,1,0.000018,1,SMALL
tiramisu,standard,durbin,2,0.000015,1,SMALL
tiramisu,standard,durbin,3,0.000013,1,SMALL
tiramisu,standard,durbin,4,0.000012,1,SMALL
tiramisu,standard,durbin,5,0.000012,1,SMALL
tiramisu,standard,fdtd-2d,1,0.000456,1,SMALL
tiramisu,standard,fdtd-2d,2,0.000425,1,SMALL
tiramisu,standard,fdtd-2d,3,0.000430,1,SMALL
tiramisu,standard,fdtd-2d,4,0.000425,1,SMALL
tiramisu,standard,fdtd-2d,5,0.000430,1,SMALL
tiramisu,standard,floyd-warshall,1,0.005344,1,SMALL
tiramisu,standard,floyd-warshall,2,0.005341,1,SMALL
tiramisu,standard,floyd-warshall,3,0.005294,1,SMALL
tiramisu,standard,floyd-warshall,4,0.005296,1,SMALL
tiramisu,standard,floyd-warshall,5,0.005300,1,SMALL
tiramisu,standard,gemm,1,0.000103,1,SMALL
tiramisu,standard,gemm,2,0.000082,1,SMALL
tiramisu,standard,gemm,3,0.000082,1,SMALL
tiramisu,standard,gemm,4,0.000082,1,SMALL
tiramisu,standard,gemm,5,0.000089,1,SMALL
tiramisu,standard,gemver,1,0.000047,1,SMALL
