framework,version,algorithm,run,time_s,repetition,dataset_size
tiramisu,standard,2mm,1,0.019872,1,MEDIUM
tiramisu,standard,2mm,2,0.019602,1,MEDIUM
tiramisu,standard,2mm,3,0.019416,1,MEDIUM
tiramisu,standard,2mm,4,0.019416,1,MEDIUM
tiramisu,standard,2mm,5,0.019414,1,MEDIUM
tiramisu,standard,3mm,1,0.030616,1,MEDIUM
tiramisu,standard,3mm,2,0.030291,1,MEDIUM
tiramisu,standard,3mm,3,0.030206,1,MEDIUM
tiramisu,standard,3mm,4,0.030225,1,MEDIUM
tiramisu,standard,3mm,5,0.030209,1,MEDIUM
tiramisu,standard,adi,1,0.107934,1,MEDIUM
tiramisu,standard,adi,2,0.107391,1,MEDIUM
tiramisu,standard,adi,3,0.107289,1,MEDIUM
tiramisu,standard,adi,4,0.107288,1,MEDIUM
tiramisu,standard,adi,5,0.107280,1,MEDIUM
tiramisu,standard,atax,1,0.000171,1,MEDIUM
tiramisu,standard,atax,2,0.000142,1,MEDIUM
tiramisu,standard,atax,3,0.000114,1,MEDIUM
tiramisu,standard,atax,4,0.000115,1,MEDIUM
tiramisu,standard,atax,5,0.000115,1,MEDIUM
tiramisu,standard,bicg,1,0.000173,1,MEDIUM
tiramisu,standard,bicg,2,0.000122,1,MEDIUM
tiramisu,standard,bicg,3,0.000100,1,MEDIUM
tiramisu,standard,bicg,4,0.000100,1,MEDIUM
tiramisu,standard,bicg,5,0.000100,1,MEDIUM
tiramisu,standard,cholesky,1,0.014748,1,MEDIUM
tiramisu,standard,cholesky,2,0.014709,1,MEDIUM
tiramisu,standard,cholesky,3,0.014595,1,MEDIUM
tiramisu,standard,cholesky,4,0.014592,1,MEDIUM
tiramisu,standard,cholesky,5,0.014588,1,MEDIUM
tiramisu,standard,correlation,1,0.011009,1,MEDIUM
tiramisu,standard,correlation,2,0.010957,1,MEDIUM
tiramisu,standard,correlation,3,0.010747,1,MEDIUM
tiramisu,standard,correlation,4,0.010741,1,MEDIUM
tiramisu,standard,correlation,5,0.010744,1,MEDIUM
tiramisu,standard,covariance,1,0.010933,1,MEDIUM
tiramisu,standard,covariance,2,0.010839,1,MEDIUM
tiramisu,standard,covariance,3,0.010821,1,MEDIUM
tiramisu,standard,covariance,4,0.010822,1,MEDIUM
tiramisu,standard,covariance,5,0.010820,1,MEDIUM
tiramisu,standard,deriche,1,0.008794,1,MEDIUM
tiramisu,standard,deriche,2,0.008216,1,MEDIUM
tiramisu,standard,deriche,3,0.008044,1,MEDIUM
tiramisu,standard,deriche,4,0.007992,1,MEDIUM
tiramisu,standard,deriche,5,0.008028,1,MEDIUM
tiramisu,standard,doitgen,1,0.004846,1,MEDIUM
tiramisu,standard,doitgen,2,0.004845,1,MEDIUM
tiramisu,standard,doitgen,3,0.004821,1,MEDIUM
tiramisu,standard,doitgen,4,0.004882,1,MEDIUM
tiramisu,standard,doitgen,5,0.004823,1,MEDIUM
tiramisu,standard,durbin,1,0.000111,1,MEDIUM
tiramisu,standard,durbin,2,0.000099,1,MEDIUM
tiramisu,standard,durbin,3,0.000097,1,MEDIUM
tiramisu,standard,durbin,4,0.000102,1,MEDIUM
tiramisu,standard,durbin,5,0.000095,1,MEDIUM
tiramisu,standard,fdtd-2d,1,0.012099,1,MEDIUM
tiramisu,standard,fdtd-2d,2,0.012159,1,MEDIUM
tiramisu,standard,fdtd-2d,3,0.011976,1,MEDIUM
tiramisu,standard,fdtd-2d,4,0.011964,1,MEDIUM
tiramisu,standard,fdtd-2d,5,0.011967,1,MEDIUM
tiramisu,standard,floyd-warshall,1,0.137347,1,MEDIUM
tiramisu,standard,floyd-warshall,2,0.137249,1,MEDIUM
tiramisu,standard,floyd-warshall,3,0.137243,1,MEDIUM
tiramisu,standard,floyd-warshall,4,0.137241,1,MEDIUM
tiramisu,standard,floyd-warshall,5,0.137238,1,MEDIUM
tiramisu,standard,gemm,1,0.004787,1,MEDIUM
tiramisu,standard,gemm,2,0.004798,1,MEDIUM
