framework,version,algorithm,run,time_s,repetition,dataset_size
tiramisu,standard,2mm,1,2.063790,1,LARGE
tiramisu,standard,2mm,2,2.073790,1,LARGE
tiramisu,standard,2mm,3,2.066470,1,LARGE
tiramisu,standard,2mm,4,2.065650,1,LARGE
tiramisu,standard,2mm,5,2.067420,1,LARGE
tiramisu,standard,3mm,1,3.200380,1,LARGE
tiramisu,standard,3mm,2,3.206930,1,LARGE
tiramisu,standard,3mm,3,3.198290,1,LARGE
tiramisu,standard,3mm,4,3.197730,1,LARGE
tiramisu,standard,3mm,5,3.185850,1,LARGE
tiramisu,standard,adi,1,14.854000,1,LARGE
tiramisu,standard,adi,2,14.844400,1,LARGE
tiramisu,standard,adi,3,14.827500,1,LARGE
tiramisu,standard,adi,4,14.829500,1,LARGE
tiramisu,standard,adi,5,14.785100,1,LARGE
tiramisu,standard,atax,1,0.005264,1,LARGE
tiramisu,standard,atax,2,0.005292,1,LARGE
tiramisu,standard,atax,3,0.005307,1,LARGE
tiramisu,standard,atax,4,0.005432,1,LARGE
tiramisu,standard,atax,5,0.005264,1,LARGE
tiramisu,standard,bicg,1,0.004301,1,LARGE
tiramisu,standard,bicg,2,0.004892,1,LARGE
tiramisu,standard,bicg,3,0.004781,1,LARGE
tiramisu,standard,bicg,4,0.004883,1,LARGE
tiramisu,standard,bicg,5,0.004708,1,LARGE
tiramisu,standard,cholesky,1,1.931020,1,LARGE
tiramisu,standard,cholesky,2,1.934620,1,LARGE
tiramisu,standard,cholesky,3,1.928720,1,LARGE
tiramisu,standard,cholesky,4,1.928680,1,LARGE
tiramisu,standard,cholesky,5,1.928410,1,LARGE
tiramisu,standard,correlation,1,1.704000,1,LARGE
tiramisu,standard,correlation,2,1.706450,1,LARGE
tiramisu,standard,correlation,3,1.700410,1,LARGE
tiramisu,standard,correlation,4,1.699710,1,LARGE
tiramisu,standard,correlation,5,1.699410,1,LARGE
tiramisu,standard,covariance,1,1.711620,1,LARGE
tiramisu,standard,covariance,2,1.705990,1,LARGE
tiramisu,standard,covariance,3,1.701460,1,LARGE
tiramisu,standard,covariance,4,1.700830,1,LARGE
tiramisu,standard,covariance,5,1.700880,1,LARGE
tiramisu,standard,deriche,1,0.221118,1,LARGE
tiramisu,standard,deriche,2,0.221904,1,LARGE
tiramisu,standard,deriche,3,0.221634,1,LARGE
tiramisu,standard,deriche,4,0.221694,1,LARGE
tiramisu,standard,deriche,5,0.221219,1,LARGE
tiramisu,standard,doitgen,1,0.684330,1,LARGE
tiramisu,standard,doitgen,2,0.684133,1,LARGE
tiramisu,standard,doitgen,3,0.684634,1,LARGE
