framework,version,algorithm,run,time_s,repetition,dataset_size
c,choose_hints,2mm,1,0.019910,1,LARGE
c,choose_hints,2mm,2,0.019623,1,LARGE
c,choose_hints,2mm,3,0.020313,1,LARGE
c,choose_hints,2mm,4,0.019256,1,LARGE
c,choose_hints,2mm,5,0.020627,1,LARGE
c,choose_hints,3mm,1,0.040893,1,LARGE
c,choose_hints,3mm,2,0.038907,1,LARGE
c,choose_hints,3mm,3,0.038994,1,LARGE
c,choose_hints,3mm,4,0.040645,1,LARGE
c,choose_hints,3mm,5,0.040803,1,LARGE
c,choose_hints,atax,1,0.001146,1,LARGE
c,choose_hints,atax,2,0.001142,1,LARGE
c,choose_hints,atax,3,0.001134,1,LARGE
c,choose_hints,atax,4,0.001118,1,LARGE
c,choose_hints,atax,5,0.001177,1,LARGE
c,choose_hints,bicg,1,0.006107,1,LARGE
c,choose_hints,bicg,2,0.006297,1,LARGE
c,choose_hints,bicg,3,0.006051,1,LARGE
c,choose_hints,bicg,4,0.006062,1,LARGE
c,choose_hints,bicg,5,0.006260,1,LARGE
c,choose_hints,cholesky,1,1.900850,1,LARGE
c,choose_hints,cholesky,2,1.899479,1,LARGE
c,choose_hints,cholesky,3,1.898933,1,LARGE
c,choose_hints,cholesky,4,1.902126,1,LARGE
c,choose_hints,cholesky,5,1.899683,1,LARGE
c,choose_hints,correlation,1,0.438374,1,LARGE
c,choose_hints,correlation,2,0.438346,1,LARGE
c,choose_hints,correlation,3,0.437435,1,LARGE
c,choose_hints,correlation,4,0.441981,1,LARGE
c,choose_hints,correlation,5,0.438452,1,LARGE
c,choose_hints,covariance,1,0.439744,1,LARGE
c,choose_hints,covariance,2,0.439464,1,LARGE
c,choose_hints,covariance,3,0.438634,1,LARGE
c,choose_hints,covariance,4,0.443544,1,LARGE
c,choose_hints,covariance,5,0.443362,1,LARGE
c,choose_hints,deriche,1,0.078961,1,LARGE
c,choose_hints,deriche,2,0.078084,1,LARGE
c,choose_hints,deriche,3,0.078541,1,LARGE
c,choose_hints,deriche,4,0.079018,1,LARGE
c,choose_hints,deriche,5,0.077935,1,LARGE
c,choose_hints,doitgen,1,0.129602,1,LARGE
c,choose_hints,doitgen,2,0.129998,1,LARGE
c,choose_hints,doitgen,3,0.129632,1,LARGE
c,choose_hints,doitgen,4,0.129853,1,LARGE
c,choose_hints,doitgen,5,0.129864,1,LARGE
c,choose_hints,durbin,1,0.003994,1,LARGE
c,choose_hints,durbin,2,0.004005,1,LARGE
c,choose_hints,durbin,3,0.003989,1,LARGE
c,choose_hints,durbin,4,0.004003,1,LARGE
c,choose_hints,durbin,5,0.004003,1,LARGE
c,choose_hints,floyd-warshall,1,1.192332,1,LARGE
c,choose_hints,floyd-warshall,2,1.187619,1,LARGE
c,choose_hints,floyd-warshall,3,1.224831,1,LARGE
c,choose_hints,floyd-warshall,4,1.204206,1,LARGE
c,choose_hints,floyd-warshall,5,1.198404,1,LARGE
c,choose_hints,gemm,1,0.013958,1,LARGE
c,choose_hints,gemm,2,0.013986,1,LARGE
c,choose_hints,gemm,3,0.013955,1,LARGE
c,choose_hints,gemm,4,0.014017,1,LARGE
c,choose_hints,gemm,5,0.013998,1,LARGE
c,choose_hints,gemver,1,0.006318,1,LARGE
c,choose_hints,gemver,2,0.006144,1,LARGE
c,choose_hints,gemver,3,0.006110,1,LARGE
c,choose_hints,gemver,4,0.006188,1,LARGE
c,choose_hints,gemver,5,0.006161,1,LARGE
c,choose_hints,gesummv,1,0.000884,1,LARGE
c,choose_hints,gesummv,2,0.000898,1,LARGE
c,choose_hints,gesummv,3,0.000917,1,LARGE
c,choose_hints,gesummv,4,0.000891,1,LARGE
c,choose_hints,gesummv,5,0.000881,1,LARGE
c,choose_hints,gramschmidt,1,0.614125,1,LARGE
c,choose_hints,gramschmidt,2,0.614429,1,LARGE
c,choose_hints,gramschmidt,3,0.614517,1,LARGE
c,choose_hints,gramschmidt,4,0.633342,1,LARGE
c,choose_hints,gramschmidt,5,0.611027,1,LARGE
c,choose_hints,heat-3d,1,1.444673,1,LARGE
c,choose_hints,heat-3d,2,1.409327,1,LARGE
c,choose_hints,heat-3d,3,1.424310,1,LARGE
c,choose_hints,heat-3d,4,1.427831,1,LARGE
c,choose_hints,heat-3d,5,1.355780,1,LARGE
c,choose_hints,jacobi-2d,1,0.171590,1,LARGE
c,choose_hints,jacobi-2d,2,0.162591,1,LARGE
c,choose_hints,jacobi-2d,3,0.164839,1,LARGE
c,choose_hints,jacobi-2d,4,0.167398,1,LARGE
c,choose_hints,jacobi-2d,5,0.159768,1,LARGE
c,choose_hints,lu,1,3.422567,1,LARGE
c,choose_hints,lu,2,3.366198,1,LARGE
c,choose_hints,lu,3,3.370524,1,LARGE
c,choose_hints,lu,4,3.447231,1,LARGE
c,choose_hints,lu,5,3.404913,1,LARGE
c,choose_hints,ludcmp,1,2.399307,1,LARGE
c,choose_hints,ludcmp,2,2.400595,1,LARGE
c,choose_hints,ludcmp,3,2.358608,1,LARGE
