framework,version,algorithm,run,time_s,repetition,dataset_size
c,choose_hints,2mm,1,0.000072,1,SMALL
c,choose_hints,2mm,2,0.000066,1,SMALL
c,choose_hints,2mm,3,0.000065,1,SMALL
c,choose_hints,2mm,4,0.000075,1,SMALL
c,choose_hints,2mm,5,0.000080,1,SMALL
c,choose_hints,3mm,1,0.000210,1,SMALL
c,choose_hints,3mm,2,0.000222,1,SMALL
c,choose_hints,3mm,3,0.000224,1,SMALL
c,choose_hints,3mm,4,0.000254,1,SMALL
c,choose_hints,3mm,5,0.000234,1,SMALL
c,choose_hints,atax,1,0.000021,1,SMALL
c,choose_hints,atax,2,0.000018,1,SMALL
c,choose_hints,atax,3,0.000020,1,SMALL
c,choose_hints,atax,4,0.000018,1,SMALL
c,choose_hints,atax,5,0.000017,1,SMALL
c,choose_hints,bicg,1,0.000023,1,SMALL
c,choose_hints,bicg,2,0.000022,1,SMALL
c,choose_hints,bicg,3,0.000022,1,SMALL
c,choose_hints,bicg,4,0.000022,1,SMALL
c,choose_hints,bicg,5,0.000022,1,SMALL
c,choose_hints,cholesky,1,0.000337,1,SMALL
c,choose_hints,cholesky,2,0.000336,1,SMALL
c,choose_hints,cholesky,3,0.000337,1,SMALL
c,choose_hints,cholesky,4,0.000348,1,SMALL
c,choose_hints,cholesky,5,0.000337,1,SMALL
c,choose_hints,correlation,1,0.000209,1,SMALL
c,choose_hints,correlation,2,0.000197,1,SMALL
c,choose_hints,correlation,3,0.000196,1,SMALL
c,choose_hints,correlation,4,0.000194,1,SMALL
c,choose_hints,correlation,5,0.000192,1,SMALL
c,choose_hints,covariance,1,0.000202,1,SMALL
c,choose_hints,covariance,2,0.000203,1,SMALL
c,choose_hints,covariance,3,0.000202,1,SMALL
c,choose_hints,covariance,4,0.000199,1,SMALL
c,choose_hints,covariance,5,0.000204,1,SMALL
c,choose_hints,deriche,1,0.000542,1,SMALL
c,choose_hints,deriche,2,0.000498,1,SMALL
c,choose_hints,deriche,3,0.000576,1,SMALL
c,choose_hints,deriche,4,0.000515,1,SMALL
c,choose_hints,deriche,5,0.000512,1,SMALL
c,choose_hints,doitgen,1,0.000173,1,SMALL
c,choose_hints,doitgen,2,0.000172,1,SMALL
c,choose_hints,doitgen,3,0.000171,1,SMALL
c,choose_hints,doitgen,4,0.000170,1,SMALL
c,choose_hints,doitgen,5,0.000173,1,SMALL
c,choose_hints,durbin,1,0.000015,1,SMALL
c,choose_hints,durbin,2,0.000014,1,SMALL
c,choose_hints,durbin,3,0.000015,1,SMALL
c,choose_hints,durbin,4,0.000014,1,SMALL
c,choose_hints,durbin,5,0.000015,1,SMALL
c,choose_hints,floyd-warshall,1,0.005261,1,SMALL
c,choose_hints,floyd-warshall,2,0.005164,1,SMALL
c,choose_hints,floyd-warshall,3,0.005151,1,SMALL
c,choose_hints,floyd-warshall,4,0.005166,1,SMALL
c,choose_hints,floyd-warshall,5,0.005238,1,SMALL
c,choose_hints,gemm,1,0.000128,1,SMALL
c,choose_hints,gemm,2,0.000128,1,SMALL
c,choose_hints,gemm,3,0.000126,1,SMALL
c,choose_hints,gemm,4,0.000126,1,SMALL
c,choose_hints,gemm,5,0.000130,1,SMALL
c,choose_hints,gemver,1,0.000096,1,SMALL
c,choose_hints,gemver,2,0.000095,1,SMALL
c,choose_hints,gemver,3,0.000098,1,SMALL
c,choose_hints,gemver,4,0.000091,1,SMALL
c,choose_hints,gemver,5,0.000109,1,SMALL
c,choose_hints,gesummv,1,0.000044,1,SMALL
c,choose_hints,gesummv,2,0.000042,1,SMALL
c,choose_hints,gesummv,3,0.000038,1,SMALL
c,choose_hints,gesummv,4,0.000042,1,SMALL
c,choose_hints,gesummv,5,0.000043,1,SMALL
c,choose_hints,gramschmidt,1,0.000210,1,SMALL
c,choose_hints,gramschmidt,2,0.000208,1,SMALL
c,choose_hints,gramschmidt,3,0.000219,1,SMALL
c,choose_hints,gramschmidt,4,0.000210,1,SMALL
c,choose_hints,gramschmidt,5,0.000208,1,SMALL
c,choose_hints,heat-3d,1,0.002722,1,SMALL
c,choose_hints,heat-3d,2,0.002723,1,SMALL
c,choose_hints,heat-3d,3,0.002710,1,SMALL
c,choose_hints,heat-3d,4,0.002665,1,SMALL
c,choose_hints,heat-3d,5,0.002734,1,SMALL
c,choose_hints,jacobi-2d,1,0.001687,1,SMALL
c,choose_hints,jacobi-2d,2,0.001616,1,SMALL
c,choose_hints,jacobi-2d,3,0.001514,1,SMALL
c,choose_hints,jacobi-2d,4,0.001644,1,SMALL
c,choose_hints,jacobi-2d,5,0.001618,1,SMALL
c,choose_hints,lu,1,0.000581,1,SMALL
c,choose_hints,lu,2,0.000593,1,SMALL
c,choose_hints,lu,3,0.000579,1,SMALL
c,choose_hints,lu,4,0.000590,1,SMALL
c,choose_hints,lu,5,0.000580,1,SMALL
c,choose_hints,ludcmp,1,0.004133,1,SMALL
c,choose_hints,ludcmp,2,0.004088,1,SMALL
c,choose_hints,ludcmp,3,0.003974,1,SMALL
c,choose_hints,ludcmp,4,0.004026,1,SMALL
c,choose_hints,ludcmp,5,0.004145,1,SMALL
c,choose_hints,mvt,1,0.000071,1,SMALL
c,choose_hints,mvt,2,0.000070,1,SMALL
c,choose_hints,mvt,3,0.000131,1,SMALL
c,choose_hints,mvt,4,0.000078,1,SMALL
c,choose_hints,mvt,5,0.000083,1,SMALL
c,choose_hints,nussinov,1,0.001714,1,SMALL
c,choose_hints,nussinov,2,0.001689,1,SMALL
c,choose_hints,nussinov,3,0.001642,1,SMALL
c,choose_hints,nussinov,4,0.001673,1,SMALL
c,choose_hints,nussinov,5,0.001639,1,SMALL
c,choose_hints,seidel-2d,1,0.005443,1,SMALL
c,choose_hints,seidel-2d,2,0.005467,1,SMALL
c,choose_hints,seidel-2d,3,0.005457,1,SMALL
c,choose_hints,seidel-2d,4,0.005459,1,SMALL
c,choose_hints,seidel-2d,5,0.005458,1,SMALL
c,choose_hints,symm,1,0.000124,1,SMALL
c,choose_hints,symm,2,0.000123,1,SMALL
c,choose_hints,symm,3,0.000132,1,SMALL
c,choose_hints,symm,4,0.000121,1,SMALL
c,choose_hints,symm,5,0.000121,1,SMALL
c,choose_hints,syrk,1,0.000267,1,SMALL
c,choose_hints,syrk,2,0.000253,1,SMALL
c,choose_hints,syrk,3,0.000264,1,SMALL
