framework,version,algorithm,run,time_s,repetition,dataset_size
c,naive,2mm,1,4.076757,1,EXTRALARGE
c,naive,2mm,2,4.134396,1,EXTRALARGE
c,naive,2mm,3,4.079821,1,EXTRALARGE
c,naive,2mm,4,4.117865,1,EXTRALARGE
c,naive,2mm,5,4.091008,1,EXTRALARGE
c,naive,3mm,1,11.822921,1,EXTRALARGE
c,naive,3mm,2,12.095116,1,EXTRALARGE
c,naive,3mm,3,11.714328,1,EXTRALARGE
c,naive,3mm,4,11.944706,1,EXTRALARGE
c,naive,3mm,5,11.848995,1,EXTRALARGE
c,naive,adi,1,84.241451,1,EXTRALARGE
c,naive,adi,2,84.180975,1,EXTRALARGE
c,naive,adi,3,84.338266,1,EXTRALARGE
c,naive,adi,4,84.229824,1,EXTRALARGE
c,naive,adi,5,84.170422,1,EXTRALARGE
c,naive,atax,1,0.008482,1,EXTRALARGE
c,naive,atax,2,0.008496,1,EXTRALARGE
c,naive,atax,3,0.008430,1,EXTRALARGE
c,naive,atax,4,0.008468,1,EXTRALARGE
c,naive,atax,5,0.008484,1,EXTRALARGE
c,naive,bicg,1,0.006165,1,EXTRALARGE
c,naive,bicg,2,0.006038,1,EXTRALARGE
c,naive,bicg,3,0.006061,1,EXTRALARGE
c,naive,bicg,4,0.006048,1,EXTRALARGE
c,naive,bicg,5,0.006027,1,EXTRALARGE
c,naive,cholesky,1,16.166220,1,EXTRALARGE
c,naive,cholesky,2,16.159672,1,EXTRALARGE
c,naive,cholesky,3,16.170482,1,EXTRALARGE
c,naive,cholesky,4,16.169968,1,EXTRALARGE
c,naive,cholesky,5,16.190211,1,EXTRALARGE
c,naive,correlation,1,6.725126,1,EXTRALARGE
c,naive,correlation,2,6.631450,1,EXTRALARGE
c,naive,correlation,3,6.615330,1,EXTRALARGE
c,naive,correlation,4,6.650437,1,EXTRALARGE
c,naive,correlation,5,6.734495,1,EXTRALARGE
c,naive,covariance,1,20.324477,1,EXTRALARGE
c,naive,covariance,2,20.304876,1,EXTRALARGE
c,naive,covariance,3,20.225955,1,EXTRALARGE
c,naive,covariance,4,20.312793,1,EXTRALARGE
c,naive,covariance,5,20.218370,1,EXTRALARGE
c,naive,deriche,1,0.501760,1,EXTRALARGE
c,naive,deriche,2,0.503099,1,EXTRALARGE
c,naive,deriche,3,0.504367,1,EXTRALARGE
c,naive,deriche,4,0.505247,1,EXTRALARGE
c,naive,deriche,5,0.499986,1,EXTRALARGE
c,naive,doitgen,1,1.164404,1,EXTRALARGE
c,naive,doitgen,2,1.162810,1,EXTRALARGE
c,naive,doitgen,3,1.185678,1,EXTRALARGE
c,naive,doitgen,4,1.176741,1,EXTRALARGE
c,naive,doitgen,5,1.163915,1,EXTRALARGE
c,naive,durbin,1,0.015580,1,EXTRALARGE
c,naive,durbin,2,0.015604,1,EXTRALARGE
c,naive,durbin,3,0.015586,1,EXTRALARGE
c,naive,durbin,4,0.015590,1,EXTRALARGE
c,naive,durbin,5,0.015573,1,EXTRALARGE
c,naive,fdtd-2d,1,13.617918,1,EXTRALARGE
c,naive,fdtd-2d,2,13.511887,1,EXTRALARGE
c,naive,fdtd-2d,3,13.505726,1,EXTRALARGE
c,naive,fdtd-2d,4,13.517911,1,EXTRALARGE
c,naive,fdtd-2d,5,13.527244,1,EXTRALARGE
c,naive,floyd-warshall,1,130.288059,1,EXTRALARGE
c,naive,floyd-warshall,2,129.237751,1,EXTRALARGE
c,naive,floyd-warshall,3,130.299538,1,EXTRALARGE
c,naive,floyd-warshall,4,129.795554,1,EXTRALARGE
c,naive,floyd-warshall,5,130.253293,1,EXTRALARGE
c,naive,gemm,1,3.299865,1,EXTRALARGE
c,naive,gemm,2,3.299990,1,EXTRALARGE
c,naive,gemm,3,3.296361,1,EXTRALARGE
c,naive,gemm,4,3.308095,1,EXTRALARGE
c,naive,gemm,5,3.300246,1,EXTRALARGE
c,naive,gemver,1,0.056797,1,EXTRALARGE
c,naive,gemver,2,0.056760,1,EXTRALARGE
c,naive,gemver,3,0.057026,1,EXTRALARGE
c,naive,gemver,4,0.056524,1,EXTRALARGE
c,naive,gemver,5,0.056020,1,EXTRALARGE
c,naive,gesummv,1,0.005358,1,EXTRALARGE
