framework,version,algorithm,run,time_s,repetition,dataset_size,data_type
c,naive,2mm,1,4.117563,1,EXTRALARGE,DOUBLE
c,naive,2mm,2,4.066026,1,EXTRALARGE,DOUBLE
c,naive,2mm,3,4.118293,1,EXTRALARGE,DOUBLE
c,naive,2mm,4,4.075539,1,EXTRALARGE,DOUBLE
c,naive,2mm,5,4.079600,1,EXTRALARGE,DOUBLE
c,naive,3mm,1,11.998363,1,EXTRALARGE,DOUBLE
c,naive,3mm,2,11.971568,1,EXTRALARGE,DOUBLE
c,naive,3mm,3,11.870531,1,EXTRALARGE,DOUBLE
c,naive,3mm,4,11.990643,1,EXTRALARGE,DOUBLE
c,naive,3mm,5,11.993164,1,EXTRALARGE,DOUBLE
c,naive,adi,1,84.214561,1,EXTRALARGE,DOUBLE
c,naive,adi,2,84.570148,1,EXTRALARGE,DOUBLE
c,naive,adi,3,84.203908,1,EXTRALARGE,DOUBLE
c,naive,adi,4,84.187011,1,EXTRALARGE,DOUBLE
c,naive,adi,5,84.229912,1,EXTRALARGE,DOUBLE
c,naive,atax,1,0.008389,1,EXTRALARGE,DOUBLE
c,naive,atax,2,0.008468,1,EXTRALARGE,DOUBLE
c,naive,atax,3,0.008364,1,EXTRALARGE,DOUBLE
c,naive,atax,4,0.008473,1,EXTRALARGE,DOUBLE
c,naive,atax,5,0.008438,1,EXTRALARGE,DOUBLE
c,naive,bicg,1,0.006010,1,EXTRALARGE,DOUBLE
c,naive,bicg,2,0.006147,1,EXTRALARGE,DOUBLE
c,naive,bicg,3,0.006062,1,EXTRALARGE,DOUBLE
c,naive,bicg,4,0.006089,1,EXTRALARGE,DOUBLE
c,naive,bicg,5,0.006061,1,EXTRALARGE,DOUBLE
c,naive,cholesky,1,16.156582,1,EXTRALARGE,DOUBLE
c,naive,cholesky,2,16.187948,1,EXTRALARGE,DOUBLE
c,naive,cholesky,3,16.188767,1,EXTRALARGE,DOUBLE
c,naive,cholesky,4,16.143114,1,EXTRALARGE,DOUBLE
c,naive,cholesky,5,16.168375,1,EXTRALARGE,DOUBLE
c,naive,correlation,1,6.699075,1,EXTRALARGE,DOUBLE
c,naive,correlation,2,6.754242,1,EXTRALARGE,DOUBLE
c,naive,correlation,3,6.622229,1,EXTRALARGE,DOUBLE
c,naive,correlation,4,6.692663,1,EXTRALARGE,DOUBLE
c,naive,correlation,5,6.709372,1,EXTRALARGE,DOUBLE
c,naive,covariance,1,20.163201,1,EXTRALARGE,DOUBLE
c,naive,covariance,2,20.140061,1,EXTRALARGE,DOUBLE
c,naive,covariance,3,20.160548,1,EXTRALARGE,DOUBLE
c,naive,covariance,4,20.071230,1,EXTRALARGE,DOUBLE
c,naive,covariance,5,20.292363,1,EXTRALARGE,DOUBLE
c,naive,deriche,1,0.503705,1,EXTRALARGE,DOUBLE
c,naive,deriche,2,0.504505,1,EXTRALARGE,DOUBLE
c,naive,deriche,3,0.499402,1,EXTRALARGE,DOUBLE
c,naive,deriche,4,0.507132,1,EXTRALARGE,DOUBLE
c,naive,deriche,5,0.500542,1,EXTRALARGE,DOUBLE
c,naive,doitgen,1,1.164595,1,EXTRALARGE,DOUBLE
c,naive,doitgen,2,1.166108,1,EXTRALARGE,DOUBLE
c,naive,doitgen,3,1.163544,1,EXTRALARGE,DOUBLE
c,naive,doitgen,4,1.165151,1,EXTRALARGE,DOUBLE
