framework,version,algorithm,run,time_s,repetition,dataset_size,data_type
c,all_hints,2mm,1,0.000158,1,SMALL,DOUBLE
c,all_hints,2mm,2,0.000147,1,SMALL,DOUBLE
c,all_hints,2mm,3,0.000116,1,SMALL,DOUBLE
c,all_hints,2mm,4,0.000133,1,SMALL,DOUBLE
c,all_hints,2mm,5,0.000118,1,SMALL,DOUBLE
c,all_hints,3mm,1,0.000200,1,SMALL,DOUBLE
c,all_hints,3mm,2,0.000199,1,SMALL,DOUBLE
c,all_hints,3mm,3,0.000204,1,SMALL,DOUBLE
c,all_hints,3mm,4,0.000220,1,SMALL,DOUBLE
c,all_hints,3mm,5,0.000235,1,SMALL,DOUBLE
c,all_hints,adi,1,0.003674,1,SMALL,DOUBLE
c,all_hints,adi,2,0.004061,1,SMALL,DOUBLE
c,all_hints,adi,3,0.003881,1,SMALL,DOUBLE
c,all_hints,adi,4,0.003911,1,SMALL,DOUBLE
c,all_hints,adi,5,0.004131,1,SMALL,DOUBLE
c,all_hints,atax,1,0.000140,1,SMALL,DOUBLE
c,all_hints,atax,2,0.000144,1,SMALL,DOUBLE
c,all_hints,atax,3,0.000143,1,SMALL,DOUBLE
c,all_hints,atax,4,0.000148,1,SMALL,DOUBLE
c,all_hints,atax,5,0.000124,1,SMALL,DOUBLE
c,all_hints,bicg,1,0.000118,1,SMALL,DOUBLE
c,all_hints,bicg,2,0.000134,1,SMALL,DOUBLE
c,all_hints,bicg,3,0.000125,1,SMALL,DOUBLE
c,all_hints,bicg,4,0.000131,1,SMALL,DOUBLE
c,all_hints,bicg,5,0.000114,1,SMALL,DOUBLE
c,all_hints,cholesky,1,0.000340,1,SMALL,DOUBLE
c,all_hints,cholesky,2,0.000354,1,SMALL,DOUBLE
c,all_hints,cholesky,3,0.000339,1,SMALL,DOUBLE
c,all_hints,cholesky,4,0.000350,1,SMALL,DOUBLE
c,all_hints,cholesky,5,0.000351,1,SMALL,DOUBLE
c,all_hints,correlation,1,0.000121,1,SMALL,DOUBLE
c,all_hints,correlation,2,0.000118,1,SMALL,DOUBLE
c,all_hints,correlation,3,0.000112,1,SMALL,DOUBLE
c,all_hints,correlation,4,0.000120,1,SMALL,DOUBLE
c,all_hints,correlation,5,0.000111,1,SMALL,DOUBLE
c,all_hints,covariance,1,0.000244,1,SMALL,DOUBLE
c,all_hints,covariance,2,0.000227,1,SMALL,DOUBLE
c,all_hints,covariance,3,0.000227,1,SMALL,DOUBLE
c,all_hints,covariance,4,0.000242,1,SMALL,DOUBLE
c,all_hints,covariance,5,0.000244,1,SMALL,DOUBLE
c,all_hints,deriche,1,0.000465,1,SMALL,DOUBLE
c,all_hints,deriche,2,0.000473,1,SMALL,DOUBLE
c,all_hints,deriche,3,0.000409,1,SMALL,DOUBLE
c,all_hints,deriche,4,0.000425,1,SMALL,DOUBLE
c,all_hints,deriche,5,0.000431,1,SMALL,DOUBLE
c,all_hints,doitgen,1,0.000074,1,SMALL,DOUBLE
c,all_hints,doitgen,2,0.000074,1,SMALL,DOUBLE
c,all_hints,doitgen,3,0.000103,1,SMALL,DOUBLE
c,all_hints,doitgen,4,0.000086,1,SMALL,DOUBLE
c,all_hints,doitgen,5,0.000072,1,SMALL,DOUBLE
c,all_hints,durbin,1,0.000015,1,SMALL,DOUBLE
c,all_hints,durbin,2,0.000015,1,SMALL,DOUBLE
c,all_hints,durbin,3,0.000015,1,SMALL,DOUBLE
c,all_hints,durbin,4,0.000015,1,SMALL,DOUBLE
c,all_hints,durbin,5,0.000015,1,SMALL,DOUBLE
