framework,version,algorithm,run,time_s,repetition,dataset_size,data_type
c,choose_hints,2mm,1,0.018546,1,LARGE,DOUBLE
c,choose_hints,2mm,2,0.020263,1,LARGE,DOUBLE
c,choose_hints,2mm,3,0.018426,1,LARGE,DOUBLE
c,choose_hints,2mm,4,0.019187,1,LARGE,DOUBLE
c,choose_hints,2mm,5,0.020202,1,LARGE,DOUBLE
c,choose_hints,3mm,1,0.040273,1,LARGE,DOUBLE
c,choose_hints,3mm,2,0.040275,1,LARGE,DOUBLE
c,choose_hints,3mm,3,0.039620,1,LARGE,DOUBLE
c,choose_hints,3mm,4,0.040183,1,LARGE,DOUBLE
c,choose_hints,3mm,5,0.040130,1,LARGE,DOUBLE
c,choose_hints,atax,1,0.001141,1,LARGE,DOUBLE
c,choose_hints,atax,2,0.001148,1,LARGE,DOUBLE
c,choose_hints,atax,3,0.001136,1,LARGE,DOUBLE
c,choose_hints,atax,4,0.001112,1,LARGE,DOUBLE
c,choose_hints,atax,5,0.001165,1,LARGE,DOUBLE
c,choose_hints,bicg,1,0.006131,1,LARGE,DOUBLE
c,choose_hints,bicg,2,0.006173,1,LARGE,DOUBLE
c,choose_hints,bicg,3,0.006080,1,LARGE,DOUBLE
c,choose_hints,bicg,4,0.006230,1,LARGE,DOUBLE
c,choose_hints,bicg,5,0.006264,1,LARGE,DOUBLE
c,choose_hints,cholesky,1,1.901036,1,LARGE,DOUBLE
c,choose_hints,cholesky,2,1.897229,1,LARGE,DOUBLE
c,choose_hints,cholesky,3,1.900298,1,LARGE,DOUBLE
c,choose_hints,cholesky,4,1.898588,1,LARGE,DOUBLE
c,choose_hints,cholesky,5,1.903267,1,LARGE,DOUBLE
c,choose_hints,correlation,1,0.441845,1,LARGE,DOUBLE
c,choose_hints,correlation,2,0.447688,1,LARGE,DOUBLE
c,choose_hints,correlation,3,0.439201,1,LARGE,DOUBLE
c,choose_hints,correlation,4,0.439735,1,LARGE,DOUBLE
c,choose_hints,correlation,5,0.443118,1,LARGE,DOUBLE
c,choose_hints,covariance,1,0.439112,1,LARGE,DOUBLE
c,choose_hints,covariance,2,0.443106,1,LARGE,DOUBLE
c,choose_hints,covariance,3,0.439635,1,LARGE,DOUBLE
c,choose_hints,covariance,4,0.437124,1,LARGE,DOUBLE
c,choose_hints,covariance,5,0.444129,1,LARGE,DOUBLE
c,choose_hints,deriche,1,0.077410,1,LARGE,DOUBLE
c,choose_hints,deriche,2,0.078730,1,LARGE,DOUBLE
c,choose_hints,deriche,3,0.078069,1,LARGE,DOUBLE
c,choose_hints,deriche,4,0.079223,1,LARGE,DOUBLE
c,choose_hints,deriche,5,0.078508,1,LARGE,DOUBLE
c,choose_hints,doitgen,1,0.129916,1,LARGE,DOUBLE
c,choose_hints,doitgen,2,0.129891,1,LARGE,DOUBLE
c,choose_hints,doitgen,3,0.129794,1,LARGE,DOUBLE
c,choose_hints,doitgen,4,0.129774,1,LARGE,DOUBLE
c,choose_hints,doitgen,5,0.129800,1,LARGE,DOUBLE
c,choose_hints,durbin,1,0.004002,1,LARGE,DOUBLE
c,choose_hints,durbin,2,0.004007,1,LARGE,DOUBLE
c,choose_hints,durbin,3,0.004005,1,LARGE,DOUBLE
c,choose_hints,durbin,4,0.004001,1,LARGE,DOUBLE
c,choose_hints,durbin,5,0.004000,1,LARGE,DOUBLE
c,choose_hints,floyd-warshall,1,1.183829,1,LARGE,DOUBLE
c,choose_hints,floyd-warshall,2,1.181288,1,LARGE,DOUBLE
c,choose_hints,floyd-warshall,3,1.203167,1,LARGE,DOUBLE
c,choose_hints,floyd-warshall,4,1.183758,1,LARGE,DOUBLE
c,choose_hints,floyd-warshall,5,1.181539,1,LARGE,DOUBLE
c,choose_hints,gemm,1,0.013989,1,LARGE,DOUBLE
c,choose_hints,gemm,2,0.014033,1,LARGE,DOUBLE
c,choose_hints,gemm,3,0.013923,1,LARGE,DOUBLE
c,choose_hints,gemm,4,0.014023,1,LARGE,DOUBLE
c,choose_hints,gemm,5,0.014730,1,LARGE,DOUBLE
c,choose_hints,gemver,1,0.006287,1,LARGE,DOUBLE
c,choose_hints,gemver,2,0.006296,1,LARGE,DOUBLE
c,choose_hints,gemver,3,0.006307,1,LARGE,DOUBLE
c,choose_hints,gemver,4,0.006169,1,LARGE,DOUBLE
c,choose_hints,gemver,5,0.006198,1,LARGE,DOUBLE
c,choose_hints,gesummv,1,0.000875,1,LARGE,DOUBLE
c,choose_hints,gesummv,2,0.000901,1,LARGE,DOUBLE
c,choose_hints,gesummv,3,0.000901,1,LARGE,DOUBLE
c,choose_hints,gesummv,4,0.000899,1,LARGE,DOUBLE
c,choose_hints,gesummv,5,0.000891,1,LARGE,DOUBLE
c,choose_hints,gramschmidt,1,0.628531,1,LARGE,DOUBLE
c,choose_hints,gramschmidt,2,0.611892,1,LARGE,DOUBLE
c,choose_hints,gramschmidt,3,0.612119,1,LARGE,DOUBLE
c,choose_hints,gramschmidt,4,0.617991,1,LARGE,DOUBLE
c,choose_hints,gramschmidt,5,0.615151,1,LARGE,DOUBLE
c,choose_hints,heat-3d,1,1.513718,1,LARGE,DOUBLE
c,choose_hints,heat-3d,2,1.619724,1,LARGE,DOUBLE
c,choose_hints,heat-3d,3,1.411674,1,LARGE,DOUBLE
c,choose_hints,heat-3d,4,1.518443,1,LARGE,DOUBLE
c,choose_hints,heat-3d,5,1.421036,1,LARGE,DOUBLE
c,choose_hints,jacobi-2d,1,0.167199,1,LARGE,DOUBLE
c,choose_hints,jacobi-2d,2,0.166520,1,LARGE,DOUBLE
c,choose_hints,jacobi-2d,3,0.160341,1,LARGE,DOUBLE
c,choose_hints,jacobi-2d,4,0.166444,1,LARGE,DOUBLE
c,choose_hints,jacobi-2d,5,0.167227,1,LARGE,DOUBLE
c,choose_hints,lu,1,3.398851,1,LARGE,DOUBLE
c,choose_hints,lu,2,3.434000,1,LARGE,DOUBLE
c,choose_hints,lu,3,3.387670,1,LARGE,DOUBLE
c,choose_hints,lu,4,3.436047,1,LARGE,DOUBLE
c,choose_hints,lu,5,3.397014,1,LARGE,DOUBLE
c,choose_hints,ludcmp,1,2.302179,1,LARGE,DOUBLE
c,choose_hints,ludcmp,2,2.337812,1,LARGE,DOUBLE
c,choose_hints,ludcmp,3,2.334517,1,LARGE,DOUBLE
c,choose_hints,ludcmp,4,2.326534,1,LARGE,DOUBLE
c,choose_hints,ludcmp,5,2.332519,1,LARGE,DOUBLE
c,choose_hints,mvt,1,0.003041,1,LARGE,DOUBLE
c,choose_hints,mvt,2,0.003139,1,LARGE,DOUBLE
c,choose_hints,mvt,3,0.002952,1,LARGE,DOUBLE
c,choose_hints,mvt,4,0.002791,1,LARGE,DOUBLE
c,choose_hints,mvt,5,0.003150,1,LARGE,DOUBLE
c,choose_hints,nussinov,1,0.091679,1,LARGE,DOUBLE
c,choose_hints,nussinov,2,0.091790,1,LARGE,DOUBLE
c,choose_hints,nussinov,3,0.091890,1,LARGE,DOUBLE
c,choose_hints,nussinov,4,0.091448,1,LARGE,DOUBLE
c,choose_hints,nussinov,5,0.091779,1,LARGE,DOUBLE
c,choose_hints,seidel-2d,1,20.025406,1,LARGE,DOUBLE
c,choose_hints,seidel-2d,2,20.024956,1,LARGE,DOUBLE
c,choose_hints,seidel-2d,3,20.024063,1,LARGE,DOUBLE
c,choose_hints,seidel-2d,4,20.024745,1,LARGE,DOUBLE
c,choose_hints,seidel-2d,5,20.024909,1,LARGE,DOUBLE
c,choose_hints,symm,1,0.485710,1,LARGE,DOUBLE
c,choose_hints,symm,2,0.470275,1,LARGE,DOUBLE
c,choose_hints,symm,3,0.469244,1,LARGE,DOUBLE
c,choose_hints,symm,4,0.465230,1,LARGE,DOUBLE
c,choose_hints,symm,5,0.473359,1,LARGE,DOUBLE
c,choose_hints,syrk,1,0.017197,1,LARGE,DOUBLE
c,choose_hints,syrk,2,0.017226,1,LARGE,DOUBLE
c,choose_hints,syrk,3,0.017257,1,LARGE,DOUBLE
c,choose_hints,syrk,4,0.017261,1,LARGE,DOUBLE
c,choose_hints,syrk,5,0.017192,1,LARGE,DOUBLE
c,choose_hints,trisolv,1,0.003095,1,LARGE,DOUBLE
c,choose_hints,trisolv,2,0.003108,1,LARGE,DOUBLE
c,choose_hints,trisolv,3,0.003078,1,LARGE,DOUBLE
c,choose_hints,trisolv,4,0.003074,1,LARGE,DOUBLE
c,choose_hints,trisolv,5,0.003086,1,LARGE,DOUBLE
c,choose_hints,trmm,1,0.203388,1,LARGE,DOUBLE
c,choose_hints,trmm,2,0.207834,1,LARGE,DOUBLE
c,choose_hints,trmm,3,0.204059,1,LARGE,DOUBLE
c,choose_hints,trmm,4,0.201675,1,LARGE,DOUBLE
c,choose_hints,trmm,5,0.200282,1,LARGE,DOUBLE
c,choose_hints,2mm,1,0.019124,2,LARGE,DOUBLE
c,choose_hints,2mm,2,0.018245,2,LARGE,DOUBLE
c,choose_hints,2mm,3,0.018846,2,LARGE,DOUBLE
c,choose_hints,2mm,4,0.018986,2,LARGE,DOUBLE
c,choose_hints,2mm,5,0.018450,2,LARGE,DOUBLE
c,choose_hints,3mm,1,0.038861,2,LARGE,DOUBLE
c,choose_hints,3mm,2,0.038352,2,LARGE,DOUBLE
c,choose_hints,3mm,3,0.038566,2,LARGE,DOUBLE
c,choose_hints,3mm,4,0.038340,2,LARGE,DOUBLE
c,choose_hints,3mm,5,0.038373,2,LARGE,DOUBLE
c,choose_hints,adi,1,0.593001,2,LARGE,DOUBLE
c,choose_hints,adi,2,0.596367,2,LARGE,DOUBLE
c,choose_hints,adi,3,0.587628,2,LARGE,DOUBLE
c,choose_hints,adi,4,0.583742,2,LARGE,DOUBLE
c,choose_hints,adi,5,0.593427,2,LARGE,DOUBLE
c,choose_hints,atax,1,0.001483,2,LARGE,DOUBLE
c,choose_hints,atax,2,0.001471,2,LARGE,DOUBLE
c,choose_hints,atax,3,0.001498,2,LARGE,DOUBLE
c,choose_hints,atax,4,0.001502,2,LARGE,DOUBLE
c,choose_hints,atax,5,0.001498,2,LARGE,DOUBLE
c,choose_hints,bicg,1,0.001128,2,LARGE,DOUBLE
c,choose_hints,bicg,2,0.001116,2,LARGE,DOUBLE
c,choose_hints,bicg,3,0.001098,2,LARGE,DOUBLE
c,choose_hints,bicg,4,0.001130,2,LARGE,DOUBLE
c,choose_hints,bicg,5,0.001112,2,LARGE,DOUBLE
c,choose_hints,correlation,1,0.546158,2,LARGE,DOUBLE
c,choose_hints,correlation,2,0.551144,2,LARGE,DOUBLE
c,choose_hints,correlation,3,0.531386,2,LARGE,DOUBLE
c,choose_hints,correlation,4,0.549328,2,LARGE,DOUBLE
c,choose_hints,correlation,5,0.538839,2,LARGE,DOUBLE
c,choose_hints,covariance,1,0.066659,2,LARGE,DOUBLE
c,choose_hints,covariance,2,0.066510,2,LARGE,DOUBLE
c,choose_hints,covariance,3,0.066627,2,LARGE,DOUBLE
c,choose_hints,covariance,4,0.066110,2,LARGE,DOUBLE
c,choose_hints,covariance,5,0.066511,2,LARGE,DOUBLE
c,choose_hints,deriche,1,0.044382,2,LARGE,DOUBLE
c,choose_hints,deriche,2,0.045070,2,LARGE,DOUBLE
c,choose_hints,deriche,3,0.042666,2,LARGE,DOUBLE
c,choose_hints,deriche,4,0.043545,2,LARGE,DOUBLE
c,choose_hints,deriche,5,0.041899,2,LARGE,DOUBLE
c,choose_hints,doitgen,1,0.002589,2,LARGE,DOUBLE
c,choose_hints,doitgen,2,0.002594,2,LARGE,DOUBLE
c,choose_hints,doitgen,3,0.002646,2,LARGE,DOUBLE
c,choose_hints,doitgen,4,0.002613,2,LARGE,DOUBLE
c,choose_hints,doitgen,5,0.002660,2,LARGE,DOUBLE
c,choose_hints,durbin,1,0.004967,2,LARGE,DOUBLE
c,choose_hints,durbin,2,0.004948,2,LARGE,DOUBLE
c,choose_hints,durbin,3,0.004866,2,LARGE,DOUBLE
c,choose_hints,durbin,4,0.004935,2,LARGE,DOUBLE
c,choose_hints,durbin,5,0.004950,2,LARGE,DOUBLE
c,choose_hints,fdtd-2d,1,0.142942,2,LARGE,DOUBLE
c,choose_hints,fdtd-2d,2,0.112165,2,LARGE,DOUBLE
c,choose_hints,fdtd-2d,3,0.117168,2,LARGE,DOUBLE
c,choose_hints,fdtd-2d,4,0.117206,2,LARGE,DOUBLE
c,choose_hints,fdtd-2d,5,0.112235,2,LARGE,DOUBLE
c,choose_hints,floyd-warshall,1,15.165696,2,LARGE,DOUBLE
c,choose_hints,floyd-warshall,2,15.222781,2,LARGE,DOUBLE
c,choose_hints,floyd-warshall,3,14.888831,2,LARGE,DOUBLE
c,choose_hints,floyd-warshall,4,14.879301,2,LARGE,DOUBLE
c,choose_hints,floyd-warshall,5,15.035740,2,LARGE,DOUBLE
c,choose_hints,gemm,1,0.011805,2,LARGE,DOUBLE
c,choose_hints,gemm,2,0.011509,2,LARGE,DOUBLE
c,choose_hints,gemm,3,0.011553,2,LARGE,DOUBLE
c,choose_hints,gemm,4,0.011620,2,LARGE,DOUBLE
c,choose_hints,gemm,5,0.011466,2,LARGE,DOUBLE
c,choose_hints,gemver,1,0.001576,2,LARGE,DOUBLE
c,choose_hints,gemver,2,0.001466,2,LARGE,DOUBLE
c,choose_hints,gemver,3,0.001516,2,LARGE,DOUBLE
c,choose_hints,gemver,4,0.001628,2,LARGE,DOUBLE
c,choose_hints,gemver,5,0.001460,2,LARGE,DOUBLE
c,choose_hints,gesummv,1,0.000888,2,LARGE,DOUBLE
c,choose_hints,gesummv,2,0.000916,2,LARGE,DOUBLE
c,choose_hints,gesummv,3,0.000892,2,LARGE,DOUBLE
c,choose_hints,gesummv,4,0.000919,2,LARGE,DOUBLE
c,choose_hints,gesummv,5,0.000904,2,LARGE,DOUBLE
c,choose_hints,heat-3d,1,1.665750,2,LARGE,DOUBLE
c,choose_hints,heat-3d,2,1.399365,2,LARGE,DOUBLE
c,choose_hints,heat-3d,3,1.660533,2,LARGE,DOUBLE
c,choose_hints,heat-3d,4,1.445171,2,LARGE,DOUBLE
c,choose_hints,heat-3d,5,1.599766,2,LARGE,DOUBLE
c,choose_hints,jacobi-1d,1,0.008892,2,LARGE,DOUBLE
c,choose_hints,jacobi-1d,2,0.008502,2,LARGE,DOUBLE
c,choose_hints,jacobi-1d,3,0.008530,2,LARGE,DOUBLE
c,choose_hints,jacobi-1d,4,0.008259,2,LARGE,DOUBLE
c,choose_hints,jacobi-1d,5,0.008398,2,LARGE,DOUBLE
c,choose_hints,jacobi-2d,1,0.161377,2,LARGE,DOUBLE
c,choose_hints,jacobi-2d,2,0.166923,2,LARGE,DOUBLE
c,choose_hints,jacobi-2d,3,0.167244,2,LARGE,DOUBLE
c,choose_hints,jacobi-2d,4,0.162326,2,LARGE,DOUBLE
c,choose_hints,jacobi-2d,5,0.159970,2,LARGE,DOUBLE
c,choose_hints,lu,1,2.905878,2,LARGE,DOUBLE
c,choose_hints,lu,2,2.930831,2,LARGE,DOUBLE
c,choose_hints,lu,3,2.870946,2,LARGE,DOUBLE
c,choose_hints,lu,4,2.907829,2,LARGE,DOUBLE
c,choose_hints,lu,5,2.869638,2,LARGE,DOUBLE
c,choose_hints,ludcmp,1,2.420743,2,LARGE,DOUBLE
c,choose_hints,ludcmp,2,2.389197,2,LARGE,DOUBLE
c,choose_hints,ludcmp,3,2.411297,2,LARGE,DOUBLE
c,choose_hints,ludcmp,4,2.446998,2,LARGE,DOUBLE
c,choose_hints,ludcmp,5,2.325597,2,LARGE,DOUBLE
c,choose_hints,mvt,1,0.001387,2,LARGE,DOUBLE
c,choose_hints,mvt,2,0.001486,2,LARGE,DOUBLE
c,choose_hints,mvt,3,0.001444,2,LARGE,DOUBLE
c,choose_hints,mvt,4,0.001391,2,LARGE,DOUBLE
c,choose_hints,mvt,5,0.001339,2,LARGE,DOUBLE
c,choose_hints,nussinov,1,0.133858,2,LARGE,DOUBLE
c,choose_hints,nussinov,2,0.132051,2,LARGE,DOUBLE
c,choose_hints,nussinov,3,0.133691,2,LARGE,DOUBLE
c,choose_hints,nussinov,4,0.133398,2,LARGE,DOUBLE
c,choose_hints,nussinov,5,0.134489,2,LARGE,DOUBLE
c,choose_hints,seidel-2d,1,27.884603,2,LARGE,DOUBLE
c,choose_hints,seidel-2d,2,27.885051,2,LARGE,DOUBLE
c,choose_hints,seidel-2d,3,27.883871,2,LARGE,DOUBLE
c,choose_hints,seidel-2d,4,27.884742,2,LARGE,DOUBLE
c,choose_hints,seidel-2d,5,27.884829,2,LARGE,DOUBLE
c,choose_hints,symm,1,0.084987,2,LARGE,DOUBLE
c,choose_hints,symm,2,0.085245,2,LARGE,DOUBLE
c,choose_hints,symm,3,0.084995,2,LARGE,DOUBLE
c,choose_hints,symm,4,0.084129,2,LARGE,DOUBLE
c,choose_hints,symm,5,0.084950,2,LARGE,DOUBLE
c,choose_hints,syr2k,1,0.034914,2,LARGE,DOUBLE
c,choose_hints,syr2k,2,0.035625,2,LARGE,DOUBLE
c,choose_hints,syr2k,3,0.036114,2,LARGE,DOUBLE
c,choose_hints,syr2k,4,0.035431,2,LARGE,DOUBLE
c,choose_hints,syr2k,5,0.034770,2,LARGE,DOUBLE
c,choose_hints,syrk,1,0.032970,2,LARGE,DOUBLE
c,choose_hints,syrk,2,0.033033,2,LARGE,DOUBLE
c,choose_hints,syrk,3,0.033162,2,LARGE,DOUBLE
c,choose_hints,syrk,4,0.033227,2,LARGE,DOUBLE
c,choose_hints,syrk,5,0.033060,2,LARGE,DOUBLE
c,choose_hints,trmm,1,0.204378,2,LARGE,DOUBLE
c,choose_hints,trmm,2,0.203089,2,LARGE,DOUBLE
c,choose_hints,trmm,3,0.204114,2,LARGE,DOUBLE
c,choose_hints,trmm,4,0.203696,2,LARGE,DOUBLE
c,choose_hints,trmm,5,0.204011,2,LARGE,DOUBLE
c,choose_hints,2mm,1,0.020374,3,LARGE,DOUBLE
c,choose_hints,2mm,2,0.019501,3,LARGE,DOUBLE
c,choose_hints,2mm,3,0.018973,3,LARGE,DOUBLE
c,choose_hints,2mm,4,0.019348,3,LARGE,DOUBLE
c,choose_hints,2mm,5,0.019786,3,LARGE,DOUBLE
c,choose_hints,3mm,1,0.032805,3,LARGE,DOUBLE
c,choose_hints,3mm,2,0.032432,3,LARGE,DOUBLE
c,choose_hints,3mm,3,0.032628,3,LARGE,DOUBLE
c,choose_hints,3mm,4,0.035271,3,LARGE,DOUBLE
c,choose_hints,3mm,5,0.033391,3,LARGE,DOUBLE
c,choose_hints,adi,1,10.433025,3,LARGE,DOUBLE
c,choose_hints,adi,2,10.413017,3,LARGE,DOUBLE
c,choose_hints,adi,3,10.391620,3,LARGE,DOUBLE
c,choose_hints,adi,4,10.413718,3,LARGE,DOUBLE
c,choose_hints,adi,5,10.418038,3,LARGE,DOUBLE
c,choose_hints,atax,1,0.002621,3,LARGE,DOUBLE
c,choose_hints,atax,2,0.002715,3,LARGE,DOUBLE
