framework,version,algorithm,run,time_s,repetition,dataset_size,data_type
c,choose_hints,2mm,1,0.000264,1,MEDIUM,DOUBLE
c,choose_hints,2mm,2,0.000249,1,MEDIUM,DOUBLE
c,choose_hints,2mm,3,0.000269,1,MEDIUM,DOUBLE
c,choose_hints,2mm,4,0.000245,1,MEDIUM,DOUBLE
c,choose_hints,2mm,5,0.000298,1,MEDIUM,DOUBLE
c,choose_hints,3mm,1,0.000510,1,MEDIUM,DOUBLE
c,choose_hints,3mm,2,0.000640,1,MEDIUM,DOUBLE
c,choose_hints,3mm,3,0.000743,1,MEDIUM,DOUBLE
c,choose_hints,3mm,4,0.000567,1,MEDIUM,DOUBLE
c,choose_hints,3mm,5,0.000576,1,MEDIUM,DOUBLE
c,choose_hints,atax,1,0.000219,1,MEDIUM,DOUBLE
c,choose_hints,atax,2,0.000159,1,MEDIUM,DOUBLE
c,choose_hints,atax,3,0.000158,1,MEDIUM,DOUBLE
c,choose_hints,atax,4,0.000200,1,MEDIUM,DOUBLE
c,choose_hints,atax,5,0.000170,1,MEDIUM,DOUBLE
c,choose_hints,bicg,1,0.000239,1,MEDIUM,DOUBLE
c,choose_hints,bicg,2,0.000238,1,MEDIUM,DOUBLE
c,choose_hints,bicg,3,0.000246,1,MEDIUM,DOUBLE
c,choose_hints,bicg,4,0.000236,1,MEDIUM,DOUBLE
c,choose_hints,bicg,5,0.000236,1,MEDIUM,DOUBLE
c,choose_hints,cholesky,1,0.014386,1,MEDIUM,DOUBLE
c,choose_hints,cholesky,2,0.014390,1,MEDIUM,DOUBLE
c,choose_hints,cholesky,3,0.014382,1,MEDIUM,DOUBLE
c,choose_hints,cholesky,4,0.014370,1,MEDIUM,DOUBLE
c,choose_hints,cholesky,5,0.014355,1,MEDIUM,DOUBLE
c,choose_hints,correlation,1,0.003630,1,MEDIUM,DOUBLE
c,choose_hints,correlation,2,0.003620,1,MEDIUM,DOUBLE
c,choose_hints,correlation,3,0.003609,1,MEDIUM,DOUBLE
c,choose_hints,correlation,4,0.003620,1,MEDIUM,DOUBLE
c,choose_hints,correlation,5,0.003629,1,MEDIUM,DOUBLE
c,choose_hints,covariance,1,0.003549,1,MEDIUM,DOUBLE
c,choose_hints,covariance,2,0.003562,1,MEDIUM,DOUBLE
c,choose_hints,covariance,3,0.003561,1,MEDIUM,DOUBLE
c,choose_hints,covariance,4,0.003546,1,MEDIUM,DOUBLE
c,choose_hints,covariance,5,0.003568,1,MEDIUM,DOUBLE
c,choose_hints,deriche,1,0.004460,1,MEDIUM,DOUBLE
c,choose_hints,deriche,2,0.004335,1,MEDIUM,DOUBLE
