framework,version,algorithm,run,time_s,repetition,dataset_size,data_type
c,choose_hints,2mm,1,0.000031,1,MINI,DOUBLE
c,choose_hints,2mm,2,0.000032,1,MINI,DOUBLE
c,choose_hints,2mm,3,0.000032,1,MINI,DOUBLE
c,choose_hints,2mm,4,0.000034,1,MINI,DOUBLE
c,choose_hints,2mm,5,0.000028,1,MINI,DOUBLE
c,choose_hints,3mm,1,0.000095,1,MINI,DOUBLE
c,choose_hints,3mm,2,0.000096,1,MINI,DOUBLE
c,choose_hints,3mm,3,0.000098,1,MINI,DOUBLE
c,choose_hints,3mm,4,0.000099,1,MINI,DOUBLE
c,choose_hints,3mm,5,0.000091,1,MINI,DOUBLE
c,choose_hints,atax,1,0.000007,1,MINI,DOUBLE
c,choose_hints,atax,2,0.000008,1,MINI,DOUBLE
c,choose_hints,atax,3,0.000006,1,MINI,DOUBLE
c,choose_hints,atax,4,0.000006,1,MINI,DOUBLE
c,choose_hints,atax,5,0.000007,1,MINI,DOUBLE
c,choose_hints,bicg,1,0.000003,1,MINI,DOUBLE
c,choose_hints,bicg,2,0.000002,1,MINI,DOUBLE
c,choose_hints,bicg,3,0.000003,1,MINI,DOUBLE
c,choose_hints,bicg,4,0.000002,1,MINI,DOUBLE
c,choose_hints,bicg,5,0.000002,1,MINI,DOUBLE
c,choose_hints,cholesky,1,0.000015,1,MINI,DOUBLE
c,choose_hints,cholesky,2,0.000014,1,MINI,DOUBLE
c,choose_hints,cholesky,3,0.000014,1,MINI,DOUBLE
c,choose_hints,cholesky,4,0.000015,1,MINI,DOUBLE
c,choose_hints,cholesky,5,0.000013,1,MINI,DOUBLE
c,choose_hints,correlation,1,0.000013,1,MINI,DOUBLE
c,choose_hints,correlation,2,0.000013,1,MINI,DOUBLE
c,choose_hints,correlation,3,0.000013,1,MINI,DOUBLE
c,choose_hints,correlation,4,0.000012,1,MINI,DOUBLE
c,choose_hints,correlation,5,0.000012,1,MINI,DOUBLE
c,choose_hints,covariance,1,0.000013,1,MINI,DOUBLE
c,choose_hints,covariance,2,0.000012,1,MINI,DOUBLE
c,choose_hints,covariance,3,0.000013,1,MINI,DOUBLE
c,choose_hints,covariance,4,0.000012,1,MINI,DOUBLE
c,choose_hints,covariance,5,0.000012,1,MINI,DOUBLE
c,choose_hints,deriche,1,0.000298,1,MINI,DOUBLE
c,choose_hints,deriche,2,0.000322,1,MINI,DOUBLE
c,choose_hints,deriche,3,0.000306,1,MINI,DOUBLE
c,choose_hints,deriche,4,0.000279,1,MINI,DOUBLE
c,choose_hints,deriche,5,0.000268,1,MINI,DOUBLE
c,choose_hints,doitgen,1,0.000007,1,MINI,DOUBLE
c,choose_hints,doitgen,2,0.000007,1,MINI,DOUBLE
c,choose_hints,doitgen,3,0.000007,1,MINI,DOUBLE
c,choose_hints,doitgen,4,0.000007,1,MINI,DOUBLE
c,choose_hints,doitgen,5,0.000007,1,MINI,DOUBLE
c,choose_hints,durbin,1,0.000003,1,MINI,DOUBLE
c,choose_hints,durbin,2,0.000002,1,MINI,DOUBLE
c,choose_hints,durbin,3,0.000002,1,MINI,DOUBLE
c,choose_hints,durbin,4,0.000002,1,MINI,DOUBLE
c,choose_hints,durbin,5,0.000002,1,MINI,DOUBLE
c,choose_hints,floyd-warshall,1,0.001418,1,MINI,DOUBLE
c,choose_hints,floyd-warshall,2,0.001415,1,MINI,DOUBLE
c,choose_hints,floyd-warshall,3,0.001344,1,MINI,DOUBLE
c,choose_hints,floyd-warshall,4,0.001379,1,MINI,DOUBLE
c,choose_hints,floyd-warshall,5,0.001386,1,MINI,DOUBLE
c,choose_hints,gemm,1,0.000040,1,MINI,DOUBLE
c,choose_hints,gemm,2,0.000016,1,MINI,DOUBLE
c,choose_hints,gemm,3,0.000016,1,MINI,DOUBLE
c,choose_hints,gemm,4,0.000015,1,MINI,DOUBLE
c,choose_hints,gemm,5,0.000014,1,MINI,DOUBLE
c,choose_hints,gemver,1,0.000010,1,MINI,DOUBLE
c,choose_hints,gemver,2,0.000010,1,MINI,DOUBLE
c,choose_hints,gemver,3,0.000010,1,MINI,DOUBLE
c,choose_hints,gemver,4,0.000011,1,MINI,DOUBLE
c,choose_hints,gemver,5,0.000009,1,MINI,DOUBLE
c,choose_hints,gesummv,1,0.000031,1,MINI,DOUBLE
c,choose_hints,gesummv,2,0.000032,1,MINI,DOUBLE
c,choose_hints,gesummv,3,0.000030,1,MINI,DOUBLE
c,choose_hints,gesummv,4,0.000030,1,MINI,DOUBLE
c,choose_hints,gesummv,5,0.000032,1,MINI,DOUBLE
c,choose_hints,gramschmidt,1,0.000015,1,MINI,DOUBLE
c,choose_hints,gramschmidt,2,0.000013,1,MINI,DOUBLE
c,choose_hints,gramschmidt,3,0.000014,1,MINI,DOUBLE
c,choose_hints,gramschmidt,4,0.000015,1,MINI,DOUBLE
c,choose_hints,gramschmidt,5,0.000013,1,MINI,DOUBLE
c,choose_hints,heat-3d,1,0.001094,1,MINI,DOUBLE
c,choose_hints,heat-3d,2,0.001089,1,MINI,DOUBLE
c,choose_hints,heat-3d,3,0.001041,1,MINI,DOUBLE
c,choose_hints,heat-3d,4,0.001051,1,MINI,DOUBLE
c,choose_hints,heat-3d,5,0.001046,1,MINI,DOUBLE
c,choose_hints,jacobi-2d,1,0.000484,1,MINI,DOUBLE
c,choose_hints,jacobi-2d,2,0.000404,1,MINI,DOUBLE
c,choose_hints,jacobi-2d,3,0.000392,1,MINI,DOUBLE
c,choose_hints,jacobi-2d,4,0.000396,1,MINI,DOUBLE
c,choose_hints,jacobi-2d,5,0.000397,1,MINI,DOUBLE
c,choose_hints,lu,1,0.000027,1,MINI,DOUBLE
c,choose_hints,lu,2,0.000027,1,MINI,DOUBLE
c,choose_hints,lu,3,0.000027,1,MINI,DOUBLE
c,choose_hints,lu,4,0.000027,1,MINI,DOUBLE
c,choose_hints,lu,5,0.000026,1,MINI,DOUBLE
c,choose_hints,ludcmp,1,0.001074,1,MINI,DOUBLE
c,choose_hints,ludcmp,2,0.001098,1,MINI,DOUBLE
c,choose_hints,ludcmp,3,0.001100,1,MINI,DOUBLE
c,choose_hints,ludcmp,4,0.001088,1,MINI,DOUBLE
c,choose_hints,ludcmp,5,0.001073,1,MINI,DOUBLE
c,choose_hints,mvt,1,0.000011,1,MINI,DOUBLE
c,choose_hints,mvt,2,0.000011,1,MINI,DOUBLE
c,choose_hints,mvt,3,0.000010,1,MINI,DOUBLE
c,choose_hints,mvt,4,0.000011,1,MINI,DOUBLE
c,choose_hints,mvt,5,0.000011,1,MINI,DOUBLE
c,choose_hints,nussinov,1,0.000352,1,MINI,DOUBLE
c,choose_hints,nussinov,2,0.000297,1,MINI,DOUBLE
c,choose_hints,nussinov,3,0.000320,1,MINI,DOUBLE
c,choose_hints,nussinov,4,0.000287,1,MINI,DOUBLE
c,choose_hints,nussinov,5,0.000316,1,MINI,DOUBLE
c,choose_hints,seidel-2d,1,0.000261,1,MINI,DOUBLE
c,choose_hints,seidel-2d,2,0.000274,1,MINI,DOUBLE
c,choose_hints,seidel-2d,3,0.000261,1,MINI,DOUBLE
c,choose_hints,seidel-2d,4,0.000261,1,MINI,DOUBLE
c,choose_hints,seidel-2d,5,0.000261,1,MINI,DOUBLE
c,choose_hints,symm,1,0.000004,1,MINI,DOUBLE
c,choose_hints,symm,2,0.000004,1,MINI,DOUBLE
c,choose_hints,symm,3,0.000004,1,MINI,DOUBLE
c,choose_hints,symm,4,0.000004,1,MINI,DOUBLE
c,choose_hints,symm,5,0.000007,1,MINI,DOUBLE
c,choose_hints,syrk,1,0.000018,1,MINI,DOUBLE
c,choose_hints,syrk,2,0.000018,1,MINI,DOUBLE
c,choose_hints,syrk,3,0.000017,1,MINI,DOUBLE
c,choose_hints,syrk,4,0.000017,1,MINI,DOUBLE
c,choose_hints,syrk,5,0.000017,1,MINI,DOUBLE
c,choose_hints,trisolv,1,0.000002,1,MINI,DOUBLE
c,choose_hints,trisolv,2,0.000002,1,MINI,DOUBLE
c,choose_hints,trisolv,3,0.000002,1,MINI,DOUBLE
c,choose_hints,trisolv,4,0.000002,1,MINI,DOUBLE
c,choose_hints,trisolv,5,0.000001,1,MINI,DOUBLE
c,choose_hints,trmm,1,0.000002,1,MINI,DOUBLE
c,choose_hints,trmm,2,0.000002,1,MINI,DOUBLE
c,choose_hints,trmm,3,0.000002,1,MINI,DOUBLE
c,choose_hints,trmm,4,0.000002,1,MINI,DOUBLE
c,choose_hints,trmm,5,0.000002,1,MINI,DOUBLE
c,choose_hints,2mm,1,0.000097,2,MINI,DOUBLE
c,choose_hints,2mm,2,0.000101,2,MINI,DOUBLE
c,choose_hints,2mm,3,0.000100,2,MINI,DOUBLE
c,choose_hints,2mm,4,0.000113,2,MINI,DOUBLE
c,choose_hints,2mm,5,0.000099,2,MINI,DOUBLE
c,choose_hints,3mm,1,0.000087,2,MINI,DOUBLE
c,choose_hints,3mm,2,0.000098,2,MINI,DOUBLE
c,choose_hints,3mm,3,0.000093,2,MINI,DOUBLE
c,choose_hints,3mm,4,0.000090,2,MINI,DOUBLE
c,choose_hints,3mm,5,0.000092,2,MINI,DOUBLE
c,choose_hints,adi,1,0.001119,2,MINI,DOUBLE
c,choose_hints,adi,2,0.001113,2,MINI,DOUBLE
c,choose_hints,adi,3,0.001045,2,MINI,DOUBLE
c,choose_hints,adi,4,0.001074,2,MINI,DOUBLE
c,choose_hints,adi,5,0.001095,2,MINI,DOUBLE
c,choose_hints,atax,1,0.000016,2,MINI,DOUBLE
c,choose_hints,atax,2,0.000014,2,MINI,DOUBLE
c,choose_hints,atax,3,0.000014,2,MINI,DOUBLE
c,choose_hints,atax,4,0.000014,2,MINI,DOUBLE
c,choose_hints,atax,5,0.000014,2,MINI,DOUBLE
c,choose_hints,bicg,1,0.000166,2,MINI,DOUBLE
c,choose_hints,bicg,2,0.000104,2,MINI,DOUBLE
c,choose_hints,bicg,3,0.000114,2,MINI,DOUBLE
c,choose_hints,bicg,4,0.000081,2,MINI,DOUBLE
c,choose_hints,bicg,5,0.000122,2,MINI,DOUBLE
c,choose_hints,correlation,1,0.000012,2,MINI,DOUBLE
c,choose_hints,correlation,2,0.000011,2,MINI,DOUBLE
c,choose_hints,correlation,3,0.000011,2,MINI,DOUBLE
c,choose_hints,correlation,4,0.000011,2,MINI,DOUBLE
c,choose_hints,correlation,5,0.000010,2,MINI,DOUBLE
c,choose_hints,covariance,1,0.000054,2,MINI,DOUBLE
c,choose_hints,covariance,2,0.000057,2,MINI,DOUBLE
c,choose_hints,covariance,3,0.000047,2,MINI,DOUBLE
c,choose_hints,covariance,4,0.000056,2,MINI,DOUBLE
c,choose_hints,covariance,5,0.000063,2,MINI,DOUBLE
c,choose_hints,deriche,1,0.000339,2,MINI,DOUBLE
c,choose_hints,deriche,2,0.000268,2,MINI,DOUBLE
c,choose_hints,deriche,3,0.000226,2,MINI,DOUBLE
c,choose_hints,deriche,4,0.000289,2,MINI,DOUBLE
c,choose_hints,deriche,5,0.000317,2,MINI,DOUBLE
c,choose_hints,doitgen,1,0.000056,2,MINI,DOUBLE
c,choose_hints,doitgen,2,0.000043,2,MINI,DOUBLE
c,choose_hints,doitgen,3,0.000051,2,MINI,DOUBLE
