,correlation,covariance,gemm,gemver,gesummv,symm,syr2k,syrk,trmm,2mm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,floyd-warshall,nussinov,adi,fdtd-2d,heat-3d,jacobi-1d,jacobi-2d,seidel-2d,mean_valid
C: AllHints,80.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,80.0,100.0,80.0,0.0,100.0,80.0,60.0,100.0,100.0,60.0,100.0,60.0,80.0,80.0,100.0,100.0,86.0
C: ChooseHints,80.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,80.0,60.0,100.0,40.0,100.0,100.0,40.0,100.0,100.0,80.0,80.0,60.0,100.0,80.0,100.0,100.0,88.66666666666667
C: FromPlan,100.0,100.0,80.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,80.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,80.0,100.0,100.0,91.33333333333333
C: Naive,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,20.0,100.0,60.0,80.0,100.0,100.0,80.0,100.0,100.0,80.0,80.0,80.0,80.0,91.33333333333333
Exo: AllHints,100.0,40.0,80.0,100.0,80.0,40.0,100.0,80.0,80.0,80.0,40.0,60.0,80.0,100.0,100.0,80.0,60.0,0.0,100.0,40.0,100.0,40.0,100.0,60.0,80.0,60.0,40.0,100.0,40.0,20.0,69.33333333333333
Exo: ChooseHints,100.0,80.0,60.0,40.0,80.0,60.0,80.0,80.0,40.0,100.0,80.0,100.0,80.0,80.0,100.0,80.0,80.0,0.0,60.0,60.0,80.0,20.0,40.0,100.0,80.0,20.0,40.0,80.0,60.0,20.0,66.0
Exo: FromPlan,60.0,80.0,80.0,40.0,60.0,40.0,80.0,20.0,40.0,40.0,60.0,60.0,20.0,60.0,60.0,80.0,40.0,0.0,20.0,20.0,60.0,20.0,80.0,40.0,40.0,40.0,0.0,40.0,0.0,40.0,44.0
Exo: Naive,60.0,80.0,60.0,20.0,100.0,80.0,100.0,80.0,80.0,60.0,100.0,20.0,100.0,80.0,60.0,80.0,40.0,0.0,100.0,80.0,80.0,20.0,60.0,40.0,60.0,60.0,60.0,60.0,20.0,20.0,62.0
Halide: AllHints,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,20.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0,20.0,0.0,20.0,100.0,0.0,0.0,0.0,12.0
Halide: ChooseHints,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,60.0,20.0,20.0,80.0,40.0,20.0,60.0,20.0,100.0,20.0,0.0,0.0,16.666666666666668
Halide: FromPlan,0.0,0.0,60.0,0.0,0.0,40.0,20.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,60.0,20.0,0.0,20.0,20.0,60.0,20.0,0.0,0.0,16.0
Halide: Naive,0.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,20.0,20.0,20.0,60.0,0.0,40.0,40.0,80.0,0.0,0.0,0.0,14.0
Noarr: AllHints,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,60.0,100.0,0.0,100.0,60.0,80.0,100.0,100.0,100.0,85.33333333333333
Noarr: ChooseHints,100.0,100.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,80.0,100.0,100.0,60.0,100.0,0.0,100.0,60.0,100.0,100.0,100.0,100.0,85.33333333333333
Noarr: FromPlan,100.0,80.0,100.0,80.0,60.0,100.0,80.0,80.0,80.0,100.0,100.0,40.0,40.0,100.0,100.0,0.0,100.0,0.0,100.0,80.0,100.0,100.0,80.0,0.0,100.0,60.0,100.0,100.0,100.0,80.0,78.0
Noarr: Naive,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,80.0,100.0,100.0,80.0,100.0,0.0,60.0,80.0,80.0,80.0,80.0,100.0,84.0
mean_valid,68.75,67.5,67.5,60.0,70.0,63.75,70.0,67.5,62.5,67.5,65.0,60.0,66.25,70.0,75.0,46.25,63.75,3.75,70.0,61.25,66.25,63.75,73.75,36.25,70.0,52.5,75.0,63.75,55.0,53.75,61.875
