,correlation,covariance,gemm,gemver,gesummv,symm,syr2k,syrk,trmm,2mm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,floyd-warshall,nussinov,adi,fdtd-2d,heat-3d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,54.46880648664404,82.86475162959184,67.53318043151127,8.936269852042896,5.255960244071208,46.629648102770815,27.623712240192123,22.389489858751613,44.684315963968466,167.53899802119204,119.32073290096461,9.058844133099823,13.196661608497724,238.66816777806653,6.590589038121528,1.0092154428823086,1.059341313545808,,1.9516252499483175,1.9156903175547475,1.0101201442769288,19.96928790840547,8.437897486972759,18.43627250980715,7.237812691489693,3.386094268698551,5.260888814144634,0.2979717752146787,3.7704055627045423,1.3569015100707722,10.186670654890563,9.0
C: ChooseHints,19.993272499646075,20.711457014806133,78.40929486357692,6.231429991244469,5.227352352352353,39.99343640098889,25.093963713116526,46.831741786115,83.88410387993798,122.15660844200085,120.05094916521448,7.466224018475752,13.338343558282212,266.61412447597553,8.637505589658117,1.0099908713217147,1.038779084313235,2.9198405938121055,1.8837811336872963,1.9953015030660415,1.0050864962561323,4.789340087923982,8.177472034411805,18.720490408129233,7.073420809378628,3.3693943530696955,4.383773140773863,0.2613110981001797,3.9670805234050874,1.8675474023251775,8.831782261691998,8.0
C: FromPlan,5.027492124331473,3.453043882875971,31.388897035103664,2.280145467140012,5.225064098555437,6.140862126578893,24.504069493190705,3.9495764201379107,50.39363486450498,8.941771276469824,192.45025312455272,1.287677371172517,13.05795795795796,5.641614331905707,2.887385000067946,2.790162269696947,1.0677181553231612,,3.6643055359793144,1.993243250135541,2.3322149661494227,2.1355887963895386,3.0403984298412348,18.85062473631808,7.518547760817529,0.888531316080094,0.9109464220907998,0.281853618170336,3.324869961301508,1.895308551638016,4.445277776821054,6.0
C: Naive,3.50886219345707,3.485475929274229,2.4859860904348197,2.2776211316577006,5.222451403212701,2.653995726759053,2.017711211298255,21.419483282812084,3.7911953535897944,6.355393304984453,8.46948615684399,1.0417707242407153,2.4013143362049925,5.151166094294387,2.8658870500006746,1.009328617088685,1.0673064564500234,3.408771680569283,1.6944996934893874,1.5495671955935364,1.0247992628669214,2.365832113639311,1.3756546569287467,1.894862578691844,7.7103559848662115,1.722327763109032,2.2088081799496853,1.175247434849723,3.4148292161949563,1.2670583746333532,2.600865580123835,1.0
Exo: AllHints,19.568496238393035,72.82292730067671,34.43507691614748,4.2665219293271335,5.249356034428598,46.34998947901423,24.047623571261806,18.815240303875914,30.488728760387726,119.89113766845306,110.37851316689462,1.7602259579391548,2.226814154760076,210.05078695646657,4.903283871414396,1.009769600169907,1.0327287801844751,,1.7425008729932772,1.5109870898151903,1.0085237577076533,4.1063162947956435,3.6876674646757226,17.224990218469717,7.9423633049580715,3.5812246913504113,2.1300878266203,0.07832185605189586,3.6496881495653195,1.0000612651958245,6.550390567565027,0.0
Exo: ChooseHints,19.56829007041365,19.719847398993707,34.76564783837335,4.321484836549823,5.2263714267842625,21.3449735112612,24.05412719743381,19.894545463700204,3.339437162277615,121.40355183029101,124.15474297980134,4.2067338972023425,2.227270399016545,203.98470306678834,5.662953091684435,1.0090360961882858,0.9757931844888366,,1.7309290370359918,1.618459670307887,1.0178323963916853,5.299464495598726,3.4500831522347752,17.910245134489564,7.1238242476846025,3.603892509372069,2.236564137616546,0.07837117771722676,3.4955133399052083,0.8837472008053271,5.890041620690926,0.0
Exo: FromPlan,3.2957412854832384,3.2860398492866256,49.24023204780811,1.0926313955080518,5.224084031511817,1.590248002523035,28.848494610930665,2.176576463259506,3.2886462219160144,5.584996043203552,120.27732912715615,1.1980266814897165,2.1585008687019114,4.615639359839038,2.41890276528649,1.0077206557455016,0.9148397047482647,,1.0548022451219035,0.24603518406552563,1.0038682724295331,1.53260738643256,3.6656005529073297,17.54606827831329,12.465562593545442,0.45712172452464095,,0.08219395563571241,,1.150840206909698,2.6422666296918766,1.0
Exo: Naive,19.06877207937765,56.32089896738009,21.181210736552348,4.186616639374234,5.222125000000002,37.99269050293057,25.41941843938762,21.288000244246074,31.30714884431856,123.73712910807825,122.24608259410482,1.125701849836779,2.3650059828130097,4.606815299542868,4.8332385523532215,1.009759464281169,1.0327715938063553,,2.0827170469854863,1.444664402376322,1.0029113206574949,1.7232326688772364,3.483915458473139,1.0905824093114325,7.6239721043334,3.514986622009988,2.9246608695986276,0.07841581039162465,3.1393360890288498,0.8835135392370637,4.8952667056533885,0.0
Halide: AllHints,0.7387204350122454,,,,,,,19.592154370491823,,,,,1.1968566788692852,,7.0051762223467735,0.37781324686624135,,,,0.7941040434584693,,1.0267373767046837,,1.3906361950119932,,1.0427118753005995,2.4148440183739384,,,,1.6281351079878186,0.0
Halide: ChooseHints,,15.355524584424415,,,,,,,,,,,,,1.5847871650095844,1.0063507958410238,,,0.8580222335905706,0.7192878165970084,0.8525031755069862,0.624956586897257,1.3831287491455195,1.4088592473250603,0.8058886783036101,0.5622202024339802,2.875947456725643,0.0012095598119990993,,,0.752322427167588,0.0
Halide: FromPlan,,,44.93531519541885,,,206.75379841505915,52.72908805409346,41.706722658029875,,,,,1.1115002172746093,,1.7183084923131666,,0.1629087104368297,,0.7656002904334566,,0.8778216258879245,0.6346687555436983,1.3332372620198638,,1.0264473288294644,0.47646475367699076,2.475950457972155,0.21996193195336664,,,2.505560135497385,2.0
Halide: Naive,,26.21961363718737,,,3.5656552724789834,,,,,,,0.07340519737066178,,,5.617141648601491,1.0039252892541122,,,,0.7890214691290057,0.7102689486552568,0.6338868680235678,1.3964521180752363,,4.625185706529237,1.0531503484648208,2.441775065298475,,,,1.5723479423808029,0.0
Noarr: AllHints,1.0199246746775563,3.425932824262123,0.9227226961954942,3.552758327599467,5.063571904733046,104.0579199634158,1.2649520135062031,1.0239437295576566,53.58745653617204,105.93818280342887,108.59234731729634,1.9199020117288992,2.2967990703570673,5.117925420342006,4.1823943939214985,,1.9560301507537685,,1.6080560287518249,1.1142247203492242,1.030987631432582,3.0332988335100746,8.277259912956628,,6.828249990310108,3.3255120787280035,2.2704053865555633,1.2403449928126498,3.3096405688363695,1.356874897231284,3.9384355999952523,2.0
Noarr: ChooseHints,2.7901440901646164,3.4258515131542664,0.9199067949022451,2.8279905924804285,3.5787895661112787,2.5106690677627146,0.9869490162371223,1.0092158993185796,3.281397458206394,2.9393418478159443,3.1799116690033045,1.0460685973143504,2.1992211207768557,5.126244172470687,2.5682513205448982,,1.0973482512553958,,1.0018819828672856,0.9250195804702296,1.0356230711929342,3.035268700365455,1.3642188360895449,,6.893128306282897,3.87929732190279,1.002750120699736,0.5969743093030764,3.3373268658851614,1.3569750986398763,1.947400841644743,1.0
Noarr: FromPlan,1.3357229008807239,3.461903748505941,0.9984678710011565,1.7935717642571567,2.0217775304280496,2.484413729639873,2.5777043003856748,1.001521188253848,3.99322842159459,1.3722728418539412,3.1559930046263256,1.093203144813594,2.288699405231854,5.142139406847787,1.9902396073362183,,1.100037533393681,,1.6077705270558267,0.927179797553021,1.0362847407091897,3.035675867508556,1.3571358023633724,,6.503335720907966,1.1227114480816416,1.1442677888359745,1.2360806035717697,0.37265010134459436,1.3568310892903053,1.702613416873476,0.0
Noarr: Naive,2.7879862751076456,3.431078532893239,0.9209298919931723,1.772743796534407,1.979389746991377,2.5098853002260197,2.618252533271774,1.013700643352256,3.268298443994711,2.9605684224111943,3.1537469196610965,1.0489961468262017,2.3157586408904507,5.125807174589023,2.601934851824639,,1.098679132946702,,1.597115215825795,0.9277498026925345,1.0372788318055854,2.4032700056796608,1.3193261825820963,,0.9297723956646948,1.3143106535275628,1.7775846173959082,0.6597176206738365,3.408515019388534,1.356947035120312,1.7948605468999361,0.0
geom_mean,5.435985219134363,10.837027984782885,10.466733647541625,3.097205486226772,4.2444366846594415,13.722632191172403,9.669346700670099,7.340567488372625,12.677072627495193,22.25981426986967,39.87723758316815,1.4726247277409354,3.008528243353115,18.010608164677258,3.630641453536507,1.011659592347136,0.9487445672790304,3.1548486378847564,1.5371158254891009,1.09863793353902,1.0287488463610228,2.2655040323975593,2.6658884178871185,6.537434883016366,4.815766153925722,1.609479702305235,2.187554805909661,0.20000745788897736,2.8359316185098264,1.275479003927002,3.058752672618198,
