framework,version,algorithm,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
c,AllHints,2mm,1,EXTRALARGE,111.83723163119079,0.23191033333333333,25.936209666666667,c
c,AllHints,2mm,2,EXTRALARGE,117.82420246555387,0.22012633333333334,25.936209666666667,c
c,AllHints,2mm,3,EXTRALARGE,115.28280269121413,0.224979,25.936209666666667,c
c,AllHints,2mm,4,EXTRALARGE,58.81697928934593,0.44096466666666667,25.936209666666667,c
c,AllHints,2mm,5,EXTRALARGE,167.538998021192,0.154807,25.936209666666667,c
c,ChooseHints,2mm,1,EXTRALARGE,109.20386718464916,0.23750266666666667,25.936209666666667,c
c,ChooseHints,2mm,2,EXTRALARGE,115.94227519676708,0.22369933333333333,25.936209666666667,c
c,ChooseHints,2mm,3,EXTRALARGE,115.67992179834081,0.22420666666666667,25.936209666666667,c
c,ChooseHints,2mm,4,EXTRALARGE,121.43102452697093,0.213588,25.936209666666667,c
c,ChooseHints,2mm,5,EXTRALARGE,122.15660844200089,0.21231933333333333,25.936209666666667,c
c,FromPlan,2mm,1,EXTRALARGE,8.941771276469822,2.900567333333333,25.936209666666667,c
c,FromPlan,2mm,2,EXTRALARGE,8.158836502780671,3.178910333333333,25.936209666666667,c
c,FromPlan,2mm,3,EXTRALARGE,6.094228011949628,4.255864666666667,25.936209666666667,c
c,FromPlan,2mm,4,EXTRALARGE,6.326327066221249,4.099726333333334,25.936209666666667,c
c,FromPlan,2mm,5,EXTRALARGE,7.488060274317474,3.463675333333333,25.936209666666667,c
c,Naive,2mm,1,EXTRALARGE,6.355393304984453,4.080976333333333,25.936209666666667,c
c,Naive,2mm,2,EXTRALARGE,3.213170995617812,8.071842333333333,25.936209666666667,c
c,Naive,2mm,3,EXTRALARGE,3.2239312226936274,8.044901666666666,25.936209666666667,c
c,Naive,2mm,4,EXTRALARGE,0.9872169080895015,26.272047666666666,25.936209666666667,c
c,Naive,2mm,5,EXTRALARGE,3.185960733335015,8.140781333333333,25.936209666666667,c
c,standard,2mm,1,EXTRALARGE,1.0,25.936209666666667,25.936209666666667,c
exo,AllHints,2mm,2,EXTRALARGE,3.10545440511141,8.351824333333333,25.936209666666667,c
exo,AllHints,2mm,3,EXTRALARGE,115.04910336710493,0.225436,25.936209666666667,c
exo,AllHints,2mm,4,EXTRALARGE,119.89113766845303,0.21633133333333332,25.936209666666667,c
exo,AllHints,2mm,5,EXTRALARGE,56.53414996018345,0.45877066666666666,25.936209666666667,c
exo,ChooseHints,2mm,1,EXTRALARGE,43.910011952582444,0.5906673333333333,25.936209666666667,c
exo,ChooseHints,2mm,2,EXTRALARGE,67.79007011747814,0.382596,25.936209666666667,c
exo,ChooseHints,2mm,3,EXTRALARGE,121.40355183029105,0.21363633333333332,25.936209666666667,c
exo,ChooseHints,2mm,4,EXTRALARGE,50.912081706792016,0.5094313333333333,25.936209666666667,c
exo,ChooseHints,2mm,5,EXTRALARGE,119.27838296071914,0.21744266666666667,25.936209666666667,c
exo,FromPlan,2mm,1,EXTRALARGE,5.584996043203552,4.643908333333333,25.936209666666667,c
