,correlation,covariance,gemm,gemver,gesummv,symm,syr2k,syrk,trmm,2mm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,floyd-warshall,nussinov,adi,fdtd-2d,heat-3d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,61.34614694590294,66.82298693983414,34.927275562717675,13.787005501702906,6.6882142857142854,68.3217164737721,37.8628882552198,21.758583773880602,36.569667335854085,126.22497112835272,114.197048805957,7.600354191263282,12.69933506793871,286.79289940828403,6.288389513108614,1.0076025695139819,1.011764705882353,,1.8379794969510501,1.6882114793398129,1.0065917441106549,16.929718572219702,51.029178953786904,83.2474245255328,16.61831623610091,13.514753621413044,8.926110128149844,0.12727763530840866,10.09506404837634,1.3566497108809779,12.427293444716227,7.0
C: ChooseHints,25.017876566333523,25.407672308167385,39.03535221496006,11.430278019113816,6.79499274310595,29.286878771797745,37.08155902087941,38.11464475592074,64.57030706332635,141.82920588504072,116.82036818880661,7.531441942088329,13.319284414796847,290.11424853610947,10.453544061302683,1.0070256442891652,0.9890000000000001,4.018973290744674,1.877213998653681,1.9008801995263638,1.0116203301476978,5.294668724020658,49.74210913115532,84.82170536981049,17.74255481841949,15.281830853007127,8.143066931906151,0.11345043310875841,13.971055680711922,1.8723232406675716,11.428480430883075,11.0
C: FromPlan,4.956360825240372,3.8737132425528293,26.456764844857467,1.8586868223077742,6.7218234027279244,5.629978244829884,35.8456974100211,3.310034972725304,31.10087985754687,7.526465661804,86.47739298805723,1.2437810945273633,2.387726259716258,6.588089286030886,2.40068191816982,3.7472906355469404,1.013752455795678,,4.233130765860866,1.6750415069509799,2.7972972972972974,1.4937456134895746,22.35172149521336,41.22250385522094,11.548808478302266,0.8424412239431955,0.810065976151101,0.132183908045977,8.616657178896665,1.8965912883160654,4.467641511446178,4.0
C: Naive,3.9994307792476143,3.841756851404171,1.5938040764527628,1.8747773423583896,6.8023973846712655,3.3621457160060926,1.2851806476800225,19.79695737309835,4.881595215078159,5.8882689660719345,6.279918682301217,1.027205999680868,2.398154719659333,6.456168393984937,2.390166447656592,1.009767119902511,1.0114198056928585,4.844464658976542,1.5284317335643431,1.5058944805779175,1.0153695225637671,1.6541192500571826,1.5234871118248,1.9606643015439564,19.194485450927232,1.526626620191461,1.310507072995549,1.0956622773044151,10.083698656488242,1.2674431005577418,2.660855915519949,2.0
Exo: AllHints,23.441160474756295,32.12322340539417,24.086178774354288,5.398543290931473,6.7121863799283155,33.38989334759117,24.46577671703806,21.511435055865917,16.91563265538654,118.13522812038543,80.40008932252302,1.6552034453943563,2.200200350613574,133.7609791216703,6.166690210481707,1.0064204770282472,0.9786426981116517,,1.795479779135421,1.7544832847756846,1.0123899576133029,4.0401158180551215,28.20965258546503,43.431857187410706,16.285882492200333,11.5334641553486,1.262664020116559,0.033452765263045865,11.50102195175464,0.9998849621976237,7.220257588729795,0.0
Exo: ChooseHints,23.051364676167488,23.280181816522305,32.01562909489435,5.016682554814109,6.65730536793459,13.889354516802113,37.2032362094416,21.463425255571398,4.764504358207422,129.15559882830703,113.63368778829815,4.03162674181932,2.233992778314601,143.6458991044392,6.540905004495055,1.0058950280708494,0.9276223229638894,,1.796232212022382,1.7733356031408125,1.0235138995714756,4.03081773068348,34.17797021909675,44.01122587628828,17.811523567823436,11.622873209018119,1.3105850247436635,0.03550451807228916,11.553855434265628,0.8836321095827095,7.183923288697711,0.0
Exo: FromPlan,3.7868741227917972,3.752954756633995,13.052860611947544,0.7595768020553679,7.040225563909774,1.450271052685455,10.987601492819138,2.3094467463003374,3.8416963389262095,4.4925272989786675,106.32153338724481,1.2019791812537926,2.177730405036934,5.717618095091554,1.9341603898980948,1.005087457108945,0.8748341441839894,,1.30136513106069,0.12167031365819059,1.0077896786757548,1.067256774791444,26.68345420918918,43.7918613212219,13.762204235878059,0.519943056867138,,0.03592289719626168,,1.1474086097937468,2.555171780932836,0.0
Exo: Naive,23.192076217347857,78.094334134505,12.130385722925826,5.7874188936544595,6.7218234027279244,16.203132628014078,27.120623714873197,21.768674432727877,17.386320252023097,131.5999355582689,120.05159536267568,1.1733880154932788,2.36535458510581,5.520150338335533,6.583320766098628,1.0081433259246946,0.9789656025736204,,1.6465020607819518,1.4599835860191295,1.0084443000974341,1.2028271938562902,22.09867488247338,1.0230374673698273,17.596981792038445,12.635207295424612,1.504329799218557,0.033041731391396774,7.6538489912977745,0.8814667528489946,5.315562088917106,2.0
Halide: AllHints,0.7568144939900776,,,,,,,13.153810740664136,,,,,1.3579930132624356,,3.0275331160274637,0.14372484721265175,,,,0.6741710879960191,,0.9561144124420686,,1.6547221999875485,,0.31229522379233127,1.7573719814703086,,,,1.1316166909805558,0.0
Halide: ChooseHints,,15.958455209522768,,,,,,,,,,,,,0.5989764136057408,1.00172392931732,,,0.6847826648404833,0.5541494121300886,0.5766016713091923,0.6562961690766477,0.8778252772549856,1.1424853336058156,0.9193411840949195,0.1751415228457824,2.4516841477472693,0.000945150848280403,,,0.5585091912794471,0.0
Halide: FromPlan,,,19.44002893309223,,,109.21287219844443,15.398471399051235,17.396076908822984,,,,,1.1616289832077218,,0.9019048799636379,,0.1629369285263187,,0.553321174484983,,0.600270653434721,0.6853789226746235,1.1356382264918434,,1.0765823770067415,0.16054767605366285,2.2317467138329787,0.1283750056722784,,,1.6080317237044779,1.0
Halide: Naive,,35.656021304703394,,,1.4839144215530904,,,,,,,0.07684709070344185,,,3.5439194674460146,1.004786918371389,,,,0.6781346127388335,0.5759599332220368,0.6889822260923013,0.8758085341114829,,8.543186128968902,0.3309630499788819,1.7606486648136321,,,,1.2662235015745016,0.0
Noarr: AllHints,1.0134688816767685,3.8790507534234084,0.8611666512863104,3.032267358110055,19.54801670146138,75.07510400354327,1.048377344933164,1.239591631681303,37.65918776317791,102.4676825162083,101.55286613148185,1.8042320627802693,2.2883413211085646,4.955585883147886,3.020619983393302,,1.8847070033349214,,1.5232871367036616,1.1317608917904063,0.998285285607116,2.9921165259327145,37.48214186233406,,13.452144844924995,11.645519319156426,1.2625409657620754,1.3693126815101644,9.226383248354777,1.3566581340129495,4.5502601451311175,3.0
Noarr: ChooseHints,2.9857995096133023,3.8591747696576815,0.8649430780648282,2.0180618936227326,2.31226077293493,3.0533401525971104,1.0499485228171284,1.0992925201627293,4.248039224102163,3.94017224641331,3.6792816026628454,1.0432703994814034,2.2450679750587756,4.953923204600346,2.125109531691169,,1.0488731771984092,,1.0132537790172664,1.0021541799605418,0.9993562922433216,3.3272318005293484,1.538612433921015,,13.104764718075415,14.184681113224224,0.9990454006620707,0.5237918903906684,9.013056564570633,1.3566515174420268,2.192923818267142,0.0
