framework,version,algorithm,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
c,AllHints,2mm,1,MEDIUM,51.86655817737998,0.0004096666666666667,0.021248,c
c,AllHints,2mm,2,MEDIUM,54.204081632653065,0.000392,0.021248,c
c,AllHints,2mm,3,MEDIUM,52.680991735537184,0.0004033333333333334,0.021248,c
c,AllHints,2mm,4,MEDIUM,1.8131755603595403,0.011718666666666667,0.021248,c
c,AllHints,2mm,5,MEDIUM,17.603976801988402,0.001207,0.021248,c
c,ChooseHints,2mm,1,MEDIUM,78.50246305418719,0.00027066666666666667,0.021248,c
c,ChooseHints,2mm,2,MEDIUM,48.58536585365853,0.00043733333333333336,0.021248,c
c,ChooseHints,2mm,3,MEDIUM,49.606225680933846,0.00042833333333333335,0.021248,c
c,ChooseHints,2mm,4,MEDIUM,60.07917059377946,0.0003536666666666666,0.021248,c
c,ChooseHints,2mm,5,MEDIUM,60.0225988700565,0.000354,0.021248,c
c,FromPlan,2mm,1,MEDIUM,4.122090015519918,0.005154666666666666,0.021248,c
c,FromPlan,2mm,2,MEDIUM,4.423901728086612,0.004803,0.021248,c
c,FromPlan,2mm,3,MEDIUM,3.6277957998975583,0.005857,0.021248,c
c,FromPlan,2mm,4,MEDIUM,3.7509709309167936,0.005664666666666668,0.021248,c
c,FromPlan,2mm,5,MEDIUM,4.107745843536538,0.0051726666666666666,0.021248,c
c,Naive,2mm,1,MEDIUM,4.401298073603535,0.004827666666666667,0.021248,c
c,Naive,2mm,2,MEDIUM,4.697074644462457,0.004523666666666666,0.021248,c
c,Naive,2mm,3,MEDIUM,4.121024049650892,0.005156,0.021248,c
c,Naive,2mm,4,MEDIUM,1.0365552231039419,0.020498666666666665,0.021248,c
c,Naive,2mm,5,MEDIUM,4.653186363968174,0.004566333333333333,0.021248,c
c,standard,2mm,1,MEDIUM,1.0,0.021248,0.021248,c
exo,AllHints,2mm,2,MEDIUM,3.783026706231454,0.0056166666666666665,0.021248,c
exo,AllHints,2mm,3,MEDIUM,39.51890886546807,0.0005376666666666667,0.021248,c
exo,AllHints,2mm,4,MEDIUM,67.16965226554267,0.00031633333333333334,0.021248,c
exo,AllHints,2mm,5,MEDIUM,31.44745929945732,0.0006756666666666668,0.021248,c
exo,ChooseHints,2mm,1,MEDIUM,23.71428571428571,0.0008960000000000001,0.021248,c
exo,ChooseHints,2mm,2,MEDIUM,8.04950119964642,0.0026396666666666665,0.021248,c
exo,ChooseHints,2mm,3,MEDIUM,37.629279811098,0.0005646666666666666,0.021248,c
exo,ChooseHints,2mm,4,MEDIUM,22.798283261802574,0.000932,0.021248,c
exo,ChooseHints,2mm,5,MEDIUM,47.14792899408284,0.00045066666666666665,0.021248,c
exo,FromPlan,2mm,1,MEDIUM,3.5726936442102906,0.005947333333333333,0.021248,c
exo,FromPlan,2mm,3,MEDIUM,3.637940874329414,0.005840666666666667,0.021248,c
exo,Naive,2mm,1,MEDIUM,46.359272727272725,0.0004583333333333333,0.021248,c
exo,Naive,2mm,2,MEDIUM,23.990967256304103,0.0008856666666666667,0.021248,c
exo,Naive,2mm,5,MEDIUM,24.283428571428573,0.0008749999999999999,0.021248,c
exo,standard,2mm,1,MEDIUM,0.9654817260651591,0.022007666666666665,0.021248,c
exo,standard,2mm,2,MEDIUM,0.9664478372272844,0.021985666666666667,0.021248,c
exo,standard,2mm,3,MEDIUM,0.9660670172620219,0.021994333333333334,0.021248,c
exo,standard,2mm,4,MEDIUM,0.9676949234879767,0.021957333333333332,0.021248,c
exo,standard,2mm,5,MEDIUM,0.9661695161877045,0.021992,0.021248,c
halide,standard,2mm,1,MEDIUM,0.98180978051598,0.021641666666666667,0.021248,c
halide,standard,2mm,2,MEDIUM,2.0768253347668852,0.010230999999999999,0.021248,c
halide,standard,2mm,3,MEDIUM,1.0810847480623442,0.019654333333333333,0.021248,c
halide,standard,2mm,4,MEDIUM,0.008759335926249206,2.4257546666666667,0.021248,c
halide,standard,2mm,5,MEDIUM,0.008780378146908244,2.4199413333333335,0.021248,c
noarr,AllHints,2mm,1,MEDIUM,4.801084582360472,0.004425666666666667,0.021248,c
noarr,AllHints,2mm,2,MEDIUM,6.962752594210814,0.0030516666666666665,0.021248,c
noarr,AllHints,2mm,3,MEDIUM,4.439615545340577,0.0047859999999999995,0.021248,c
noarr,AllHints,2mm,4,MEDIUM,4.794945088009628,0.004431333333333333,0.021248,c
noarr,AllHints,2mm,5,MEDIUM,4.801446218740584,0.004425333333333333,0.021248,c
noarr,ChooseHints,2mm,1,MEDIUM,4.497565794115571,0.004724333333333334,0.021248,c
noarr,ChooseHints,2mm,2,MEDIUM,4.600461893764434,0.004618666666666667,0.021248,c
noarr,ChooseHints,2mm,3,MEDIUM,4.807965002262785,0.004419333333333333,0.021248,c
noarr,ChooseHints,2mm,4,MEDIUM,4.666471449487555,0.004553333333333333,0.021248,c
noarr,ChooseHints,2mm,5,MEDIUM,4.7985546522131886,0.0044280000000000005,0.021248,c
noarr,FromPlan,2mm,1,MEDIUM,1.0916563912864776,0.019464,0.021248,c
noarr,FromPlan,2mm,2,MEDIUM,0.6713781663068091,0.031648333333333334,0.021248,c
noarr,FromPlan,2mm,3,MEDIUM,0.8841054091539529,0.024033333333333334,0.021248,c
noarr,FromPlan,2mm,4,MEDIUM,1.6802593773888288,0.012645666666666666,0.021248,c
noarr,FromPlan,2mm,5,MEDIUM,1.1154196122348987,0.019049333333333335,0.021248,c
noarr,Naive,2mm,1,MEDIUM,4.814865171085429,0.004413,0.021248,c
noarr,Naive,2mm,2,MEDIUM,4.794945088009628,0.004431333333333333,0.021248,c
noarr,Naive,2mm,3,MEDIUM,1.1773702000332464,0.018047,0.021248,c
noarr,Naive,2mm,4,MEDIUM,4.805790108564535,0.0044213333333333335,0.021248,c
noarr,Naive,2mm,5,MEDIUM,4.623485892507434,0.004595666666666667,0.021248,c
noarr,standard,2mm,1,MEDIUM,1.0696917319729489,0.01986366666666667,0.021248,c
noarr,standard,2mm,2,MEDIUM,4.190927021696252,0.005070000000000001,0.021248,c
noarr,standard,2mm,3,MEDIUM,1.0683113226520078,0.019889333333333332,0.021248,c
noarr,standard,2mm,4,MEDIUM,4.185973207249803,0.005076,0.021248,c
noarr,standard,2mm,5,MEDIUM,1.0680070369439558,0.019895,0.021248,c
c,AllHints,3mm,1,MEDIUM,52.69130434782609,0.0006133333333333334,0.03231733333333334,c
c,AllHints,3mm,2,MEDIUM,49.23920771965465,0.0006563333333333333,0.03231733333333334,c
c,AllHints,3mm,4,MEDIUM,25.006964147536756,0.0012923333333333335,0.03231733333333334,c
c,AllHints,3mm,5,MEDIUM,35.98812175204158,0.000898,0.03231733333333334,c
c,ChooseHints,3mm,1,MEDIUM,46.6788637457872,0.0006923333333333333,0.03231733333333334,c
c,ChooseHints,3mm,2,MEDIUM,50.31240269849508,0.0006423333333333333,0.03231733333333334,c
c,ChooseHints,3mm,3,MEDIUM,53.80244173140955,0.0006006666666666667,0.03231733333333334,c
c,ChooseHints,3mm,4,MEDIUM,25.413368283093053,0.0012716666666666668,0.03231733333333334,c
c,FromPlan,3mm,1,MEDIUM,3.717769767620217,0.008692666666666666,0.03231733333333334,c
c,FromPlan,3mm,2,MEDIUM,13.459947244203805,0.002401,0.03231733333333334,c
c,FromPlan,3mm,3,MEDIUM,3.545122129589001,0.009116,0.03231733333333334,c
c,FromPlan,3mm,4,MEDIUM,3.4516002705685502,0.009363,0.03231733333333334,c
c,FromPlan,3mm,5,MEDIUM,3.550184920722107,0.009103,0.03231733333333334,c
c,Naive,3mm,1,MEDIUM,3.996702118888614,0.008086000000000001,0.03231733333333334,c
c,Naive,3mm,2,MEDIUM,3.5968094973103324,0.008985,0.03231733333333334,c
c,Naive,3mm,3,MEDIUM,4.019402180672444,0.008040333333333333,0.03231733333333334,c
c,Naive,3mm,4,MEDIUM,4.023238443024318,0.008032666666666667,0.03231733333333334,c
c,Naive,3mm,5,MEDIUM,4.028922872340426,0.008021333333333333,0.03231733333333334,c
c,standard,3mm,1,MEDIUM,1.0,0.03231733333333334,0.03231733333333334,c
exo,AllHints,3mm,3,MEDIUM,25.72353409392412,0.0012563333333333335,0.03231733333333334,c
exo,AllHints,3mm,4,MEDIUM,24.594622019279555,0.001314,0.03231733333333334,c
exo,ChooseHints,3mm,1,MEDIUM,26.620538165842945,0.001214,0.03231733333333334,c
exo,ChooseHints,3mm,2,MEDIUM,51.02736842105264,0.0006333333333333333,0.03231733333333334,c
exo,ChooseHints,3mm,3,MEDIUM,28.440011733646237,0.0011363333333333332,0.03231733333333334,c
exo,ChooseHints,3mm,4,MEDIUM,47.04124211547793,0.000687,0.03231733333333334,c
exo,FromPlan,3mm,3,MEDIUM,3.2496061672532264,0.009945,0.03231733333333334,c
exo,FromPlan,3mm,4,MEDIUM,49.66803278688525,0.0006506666666666667,0.03231733333333334,c
exo,FromPlan,3mm,5,MEDIUM,3.2508047210300433,0.009941333333333333,0.03231733333333334,c
exo,Naive,3mm,1,MEDIUM,20.854377285437728,0.0015496666666666669,0.03231733333333334,c
exo,Naive,3mm,2,MEDIUM,1.1885159487091477,0.02719133333333333,0.03231733333333334,c
exo,Naive,3mm,3,MEDIUM,36.77996965098635,0.0008786666666666666,0.03231733333333334,c
exo,Naive,3mm,4,MEDIUM,3.410560382734724,0.009475666666666667,0.03231733333333334,c
exo,Naive,3mm,5,MEDIUM,20.02313093762908,0.001614,0.03231733333333334,c
exo,standard,3mm,1,MEDIUM,0.9720278318060598,0.03324733333333333,0.03231733333333334,c
exo,standard,3mm,2,MEDIUM,0.973413654618474,0.0332,0.03231733333333334,c
exo,standard,3mm,3,MEDIUM,0.9723105312246147,0.033237666666666665,0.03231733333333334,c
exo,standard,3mm,4,MEDIUM,0.9738732132632869,0.033184333333333337,0.03231733333333334,c
exo,standard,3mm,5,MEDIUM,0.971531069313479,0.03326433333333333,0.03231733333333334,c
halide,standard,3mm,1,MEDIUM,0.008140330184124678,3.970027333333333,0.03231733333333334,c
halide,standard,3mm,2,MEDIUM,0.008129313708901277,3.975407333333333,0.03231733333333334,c
halide,standard,3mm,3,MEDIUM,1.9706492133826583,0.016399333333333332,0.03231733333333334,c
halide,standard,3mm,4,MEDIUM,2.1269332865322603,0.015194333333333332,0.03231733333333334,c
halide,standard,3mm,5,MEDIUM,0.008138254977558775,3.9710396666666665,0.03231733333333334,c
noarr,AllHints,3mm,1,MEDIUM,1.1541767359912385,0.028000333333333332,0.03231733333333334,c
noarr,AllHints,3mm,2,MEDIUM,4.915682198448513,0.006574333333333332,0.03231733333333334,c
noarr,AllHints,3mm,3,MEDIUM,11.203143055234573,0.002884666666666667,0.03231733333333334,c
noarr,AllHints,3mm,4,MEDIUM,4.651537686513458,0.006947666666666667,0.03231733333333334,c
noarr,AllHints,3mm,5,MEDIUM,1.0442237683906685,0.030948666666666666,0.03231733333333334,c
noarr,ChooseHints,3mm,1,MEDIUM,4.643739821822014,0.006959333333333334,0.03231733333333334,c
noarr,ChooseHints,3mm,2,MEDIUM,4.807696122185858,0.006722,0.03231733333333334,c
noarr,ChooseHints,3mm,3,MEDIUM,1.3651942492642608,0.023672333333333333,0.03231733333333334,c
noarr,ChooseHints,3mm,4,MEDIUM,1.1177826969193878,0.028911999999999997,0.03231733333333334,c
noarr,ChooseHints,3mm,5,MEDIUM,4.821323785369736,0.006703,0.03231733333333334,c
noarr,FromPlan,3mm,1,MEDIUM,1.150328658551055,0.028093999999999997,0.03231733333333334,c
noarr,FromPlan,3mm,2,MEDIUM,1.1509158465793754,0.028079666666666666,0.03231733333333334,c
noarr,FromPlan,3mm,3,MEDIUM,4.819166915200318,0.006706,0.03231733333333334,c
noarr,FromPlan,3mm,4,MEDIUM,1.1533803637920985,0.028019666666666665,0.03231733333333334,c
noarr,FromPlan,3mm,5,MEDIUM,0.8898679222769871,0.036316999999999995,0.03231733333333334,c
noarr,Naive,3mm,1,MEDIUM,4.802694803586467,0.006729,0.03231733333333334,c
noarr,Naive,3mm,2,MEDIUM,4.8817724068479365,0.00662,0.03231733333333334,c
noarr,Naive,3mm,3,MEDIUM,4.919673212564064,0.006569000000000001,0.03231733333333334,c
noarr,Naive,3mm,4,MEDIUM,4.650422102839602,0.0069493333333333325,0.03231733333333334,c
noarr,Naive,3mm,5,MEDIUM,4.817969487650947,0.006707666666666667,0.03231733333333334,c
noarr,standard,3mm,1,MEDIUM,0.8613591335945345,0.037519,0.03231733333333334,c
noarr,standard,3mm,2,MEDIUM,0.8947460708583663,0.036119000000000005,0.03231733333333334,c
noarr,standard,3mm,3,MEDIUM,4.846630673865227,0.006668,0.03231733333333334,c
noarr,standard,3mm,4,MEDIUM,4.850995696987892,0.006662,0.03231733333333334,c
noarr,standard,3mm,5,MEDIUM,0.8397093340493162,0.03848633333333334,0.03231733333333334,c
c,AllHints,adi,1,MEDIUM,3.469431607452977,0.022648666666666668,0.078578,c
c,AllHints,adi,2,MEDIUM,4.050273186488437,0.019400666666666667,0.078578,c
c,AllHints,adi,3,MEDIUM,3.976887779202375,0.019758666666666667,0.078578,c
c,AllHints,adi,4,MEDIUM,4.032191300480646,0.019487666666666667,0.078578,c
c,AllHints,adi,5,MEDIUM,3.5397621478767487,0.02219866666666667,0.078578,c
c,ChooseHints,adi,2,MEDIUM,3.465962889993236,0.022671333333333335,0.078578,c
c,ChooseHints,adi,3,MEDIUM,1.0010276357583274,0.07849733333333332,0.078578,c
c,ChooseHints,adi,4,MEDIUM,3.4915279341193197,0.022505333333333332,0.078578,c
c,ChooseHints,adi,5,MEDIUM,3.4904422760857012,0.022512333333333332,0.078578,c
c,FromPlan,adi,1,MEDIUM,1.395949546988808,0.05629,0.078578,c
c,FromPlan,adi,2,MEDIUM,2.053145903010033,0.038272,0.078578,c
c,FromPlan,adi,3,MEDIUM,1.397621362676975,0.056222666666666664,0.078578,c
c,FromPlan,adi,4,MEDIUM,2.388364859525233,0.03290033333333333,0.078578,c
c,FromPlan,adi,5,MEDIUM,1.3180689747718732,0.059616,0.078578,c
c,Naive,adi,1,MEDIUM,1.014315403580787,0.077469,0.078578,c
c,Naive,adi,2,MEDIUM,0.8829352520141278,0.08899633333333334,0.078578,c
c,Naive,adi,3,MEDIUM,1.4835181432581088,0.05296733333333333,0.078578,c
c,Naive,adi,4,MEDIUM,3.458437252428039,0.022720666666666667,0.078578,c
c,Naive,adi,5,MEDIUM,4.61680376028202,0.01702,0.078578,c
c,standard,adi,1,MEDIUM,1.0,0.078578,0.078578,c
exo,AllHints,adi,1,MEDIUM,3.3817837519904743,0.023235666666666665,0.078578,c
exo,AllHints,adi,2,MEDIUM,3.2352158100596995,0.024288333333333332,0.078578,c
exo,AllHints,adi,3,MEDIUM,3.4338528769118715,0.022883333333333335,0.078578,c
exo,AllHints,adi,5,MEDIUM,3.4717820324005886,0.022633333333333335,0.078578,c
exo,ChooseHints,adi,1,MEDIUM,3.486312613691823,0.022539,0.078578,c
exo,ChooseHints,adi,2,MEDIUM,3.514378997271792,0.022359,0.078578,c
exo,ChooseHints,adi,4,MEDIUM,3.4857455491808125,0.022542666666666666,0.078578,c
exo,ChooseHints,adi,5,MEDIUM,3.5188905972444062,0.02233033333333333,0.078578,c
exo,FromPlan,adi,2,MEDIUM,1.114039025911731,0.07053433333333332,0.078578,c
