,correlation,covariance,gemm,gemver,gesummv,symm,syr2k,syrk,trmm,2mm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,floyd-warshall,nussinov,adi,fdtd-2d,heat-3d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,10.718948199965586,8.7361845228909,4.559148097640345,1.64125617158965,2.694085934366898,7.019455032282023,9.176931030750648,6.198465736346186,4.669600876561931,19.223990763734722,19.388203018875156,2.608003128667226,1.6330195306063044,25.474838870201626,2.091271862781578,1.0574407774106462,1.1602143156076554,,1.4707070807649105,1.4410795396356895,1.0001952835330057,7.544672068333215,7.340542337582808,6.358479262118577,2.717442106463751,0.7282874012390869,1.2133338728830596,0.09296733925451128,1.4401347815351755,1.3558226081529883,3.0573252550872345,9.0
C: ChooseHints,7.443903713329236,7.245451730214407,6.852330815556707,1.5809267095596675,2.7746261235686513,4.996443338121295,8.732737549150634,5.589678778372912,5.236657694617364,21.315698524304494,15.085952296898265,2.463459211407156,2.510421816390269,26.404998388579916,2.236580814031435,1.0653222410848104,1.1197269845613413,2.7477570626060994,1.4572922744832062,1.4138104913476222,0.9619001761598659,2.3788237217408486,7.183787512397283,6.3812156548176615,2.018510560991429,0.7768527563446325,1.0381764221113845,0.028230290955901544,1.2472489248667904,1.847275281973469,2.767155676722833,4.0
C: FromPlan,3.1522743905672455,3.258715199001979,3.675544393012475,1.9462651175838368,2.1506775076024693,3.9375413833174955,8.628730191425218,2.0044136134071113,5.5512292550812905,5.221496449069676,11.687754112473225,1.6024679799827124,2.532194788281088,4.169927842545164,2.4069510121517927,2.636785646915399,1.1774216706352856,,3.301636401582904,1.462245529932787,1.9692637365764425,1.4508414247908512,3.5949925738692827,2.7640923969081226,2.402291636661364,1.0046246336331526,0.8164522380560908,0.030022792718150754,1.240305626378963,1.894058265312542,2.202330180801898,8.0
C: Naive,3.1015807548543552,3.318991987058635,1.274777176600241,1.9099670102973414,2.366685150715654,3.4418702005556754,1.3662807133830899,4.893352676567467,4.383722237102166,4.263240988277337,5.023862069774464,1.114954855762247,2.499851562785265,4.0613332024267255,2.3754341679076862,1.081482579846233,1.1235267785752887,3.2635450909936257,1.509306178154998,1.3696490210019165,1.156966939821217,1.5484179123310806,2.093901682684353,1.919881627562925,2.9677075318397685,1.3754475564386386,0.9737284602234374,1.0754653058374872,1.0911788078803728,1.2786577088900164,2.008168317955635,3.0
Exo: AllHints,5.313764499017294,2.0699106507883918,4.52025113967589,1.5238536154818152,1.709368084801815,3.7203447384458643,7.500805993159459,4.827486837570453,2.3452381588139923,15.738930957534803,11.01250361518488,0.6660465997371743,1.1070340787658204,11.162367440281663,1.2985815610408404,1.0265692618033122,1.0669041666486188,,0.9409485548272718,0.9383195348518263,0.9997058877600784,2.0042281893759495,2.751649210053443,2.743489732025673,1.9942157723490468,0.4889632224293594,0.40390511941937235,0.009080046037996507,0.8960897764934005,0.9976062969385789,1.6820755577062927,0.0
Exo: ChooseHints,5.743284553564944,6.7898216653280485,4.797969968635622,1.490455562719162,1.7343112403022727,1.1039527761605572,8.64717343265085,4.841258449504297,1.8192939575960942,14.162919909213455,15.003099994407034,0.9492889505277101,1.970336496557785,5.47493396007815,1.9381764154952341,1.0275002417126202,0.9855616992721763,,1.2600575215326058,1.208232819424821,1.002146227827339,2.0734630184418856,2.633637596190798,2.845338733833508,2.020060286335534,0.43321998248889354,0.41329009608045436,0.009234346862386148,0.8794540982418507,0.8700519065077045,1.7463863323902473,0.0
Exo: FromPlan,2.855035090760097,3.000498838148234,2.4237518979657904,0.8299430640508398,2.0109202274443465,0.7196305890971846,2.5451834922765277,1.4023002491963057,1.7308457264446275,3.5018497079523474,14.924210835269173,0.8104615021471224,1.0592606787776646,3.5041340732221316,0.9193253500426851,1.043623150643,0.9954509491619907,,1.041071945677513,0.019002682196528415,0.988217198611566,1.1490956118890572,2.695238340608532,2.8010065818217367,1.893573596527607,0.5629911882243694,,0.00937351245915056,,1.086930811681628,1.1490847374533681,0.0
Exo: Naive,4.186471641345249,10.604158871483351,2.671564442451028,1.2220861508879504,1.7103620902888814,3.2183579065147816,8.127084819734717,5.092876416564693,3.4741855414817304,12.737000914312098,11.403723631267676,0.58121150952832,1.8486370657987918,3.2139386043052736,1.7324127578129718,1.0392314409525274,1.033203620644731,,1.3807044608407266,1.2433726858632097,0.9782336021615065,1.1888251950648812,2.207663466017438,1.0268582816244247,2.043938126419179,0.7437521646608344,0.4265721625067932,0.009039115072757483,0.6278755593750317,0.8379149289988493,1.6327078569056699,1.0
Halide: AllHints,0.38536757272322747,,,,,,,1.1004842807258335,,,,,0.20815425936810367,,0.6117174296779003,0.03158184005129907,,,,0.2095197185088862,,0.5194990354037862,,1.4315865824786818,,0.06762919276721391,0.4672880046791741,,,,0.31075481754131773,0.0
Halide: ChooseHints,,2.0755707010097377,,,,,,,,,,,,,0.12617900425989645,0.7377299863660177,,,0.23117387400253803,0.1481589045925071,0.1605601568020391,0.4517150987006755,0.1656488004000096,0.4563759589354253,0.9704065519167479,0.02704846764513631,0.6858117070392298,0.002401033490906983,,,0.21024379810011196,0.0
