framework,version,algorithm,category,share_pct,repetitions
c,AllHints,2mm,invalid_algorithm,0.0,5
c,AllHints,2mm,invalid_code,0.0,5
c,AllHints,2mm,slowdown,0.0,5
c,AllHints,2mm,speedup_over,100.0,5
c,AllHints,2mm,speedup_under,0.0,5
c,AllHints,3mm,invalid_algorithm,0.0,5
c,AllHints,3mm,invalid_code,20.0,5
c,AllHints,3mm,slowdown,0.0,5
c,AllHints,3mm,speedup_over,80.0,5
c,AllHints,3mm,speedup_under,0.0,5
c,AllHints,adi,invalid_algorithm,0.0,5
c,AllHints,adi,invalid_code,0.0,5
c,AllHints,adi,slowdown,0.0,5
c,AllHints,adi,speedup_over,100.0,5
c,AllHints,adi,speedup_under,0.0,5
c,AllHints,atax,invalid_algorithm,0.0,5
c,AllHints,atax,invalid_code,0.0,5
c,AllHints,atax,slowdown,80.0,5
c,AllHints,atax,speedup_over,20.0,5
c,AllHints,atax,speedup_under,0.0,5
c,AllHints,bicg,invalid_algorithm,0.0,5
c,AllHints,bicg,invalid_code,20.0,5
c,AllHints,bicg,slowdown,0.0,5
c,AllHints,bicg,speedup_over,80.0,5
c,AllHints,bicg,speedup_under,0.0,5
c,AllHints,cholesky,invalid_algorithm,0.0,5
c,AllHints,cholesky,invalid_code,0.0,5
c,AllHints,cholesky,slowdown,20.0,5
c,AllHints,cholesky,speedup_over,0.0,5
c,AllHints,cholesky,speedup_under,80.0,5
c,AllHints,correlation,invalid_algorithm,0.0,5
c,AllHints,correlation,invalid_code,20.0,5
c,AllHints,correlation,slowdown,0.0,5
c,AllHints,correlation,speedup_over,80.0,5
c,AllHints,correlation,speedup_under,0.0,5
c,AllHints,covariance,invalid_algorithm,20.0,5
c,AllHints,covariance,invalid_code,0.0,5
c,AllHints,covariance,slowdown,0.0,5
c,AllHints,covariance,speedup_over,80.0,5
c,AllHints,covariance,speedup_under,0.0,5
c,AllHints,deriche,invalid_algorithm,0.0,5
c,AllHints,deriche,invalid_code,0.0,5
c,AllHints,deriche,slowdown,0.0,5
c,AllHints,deriche,speedup_over,100.0,5
c,AllHints,deriche,speedup_under,0.0,5
c,AllHints,doitgen,invalid_algorithm,0.0,5
c,AllHints,doitgen,invalid_code,0.0,5
c,AllHints,doitgen,slowdown,0.0,5
c,AllHints,doitgen,speedup_over,100.0,5
c,AllHints,doitgen,speedup_under,0.0,5
c,AllHints,durbin,invalid_algorithm,0.0,5
c,AllHints,durbin,invalid_code,20.0,5
