,correlation,covariance,gemver,gesummv,symm,syr2k,syrk,trmm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,nussinov,adi,fdtd-2d,jacobi-1d,jacobi-2d,seidel-2d,mean_valid
C: AllHints,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,80.0,100.0,80.0,0.0,100.0,80.0,60.0,100.0,60.0,100.0,60.0,80.0,100.0,100.0,85.38461538461539
C: ChooseHints,80.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,80.0,60.0,100.0,40.0,100.0,100.0,40.0,100.0,80.0,80.0,60.0,80.0,100.0,100.0,86.92307692307692
C: FromPlan,100.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,80.0,100.0,100.0,80.0,100.0,80.0,80.0,100.0,100.0,90.76923076923077
C: Naive,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,20.0,100.0,60.0,80.0,100.0,80.0,100.0,100.0,80.0,80.0,80.0,90.76923076923077
Exo: AllHints,100.0,40.0,100.0,80.0,40.0,100.0,80.0,80.0,40.0,60.0,80.0,100.0,100.0,80.0,60.0,0.0,100.0,40.0,100.0,40.0,60.0,80.0,60.0,100.0,40.0,20.0,68.46153846153847
Exo: ChooseHints,100.0,80.0,40.0,80.0,60.0,80.0,80.0,40.0,80.0,100.0,80.0,80.0,100.0,80.0,80.0,0.0,60.0,60.0,80.0,20.0,100.0,80.0,20.0,80.0,60.0,20.0,66.92307692307692
Exo: FromPlan,60.0,80.0,40.0,60.0,40.0,80.0,20.0,40.0,60.0,60.0,20.0,60.0,60.0,80.0,40.0,0.0,20.0,20.0,60.0,20.0,40.0,40.0,40.0,40.0,0.0,40.0,43.07692307692308
Exo: Naive,60.0,80.0,20.0,100.0,80.0,100.0,80.0,80.0,100.0,20.0,100.0,80.0,60.0,80.0,40.0,0.0,100.0,80.0,80.0,20.0,40.0,60.0,60.0,60.0,20.0,20.0,62.30769230769231
Halide: AllHints,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,40.0,20.0,0.0,0.0,0.0,40.0,0.0,60.0,20.0,0.0,20.0,0.0,0.0,0.0,10.0
Halide: ChooseHints,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,60.0,20.0,20.0,80.0,20.0,60.0,20.0,20.0,0.0,0.0,13.846153846153847
Halide: FromPlan,0.0,0.0,0.0,0.0,40.0,20.0,40.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,60.0,0.0,20.0,20.0,20.0,0.0,0.0,13.076923076923077
Halide: Naive,0.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,40.0,40.0,0.0,0.0,0.0,10.76923076923077
Noarr: AllHints,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,60.0,0.0,100.0,60.0,100.0,100.0,100.0,84.61538461538461
Noarr: ChooseHints,100.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,80.0,100.0,100.0,60.0,0.0,100.0,60.0,100.0,100.0,100.0,83.07692307692308
Noarr: FromPlan,100.0,80.0,80.0,60.0,100.0,80.0,80.0,80.0,100.0,40.0,40.0,100.0,100.0,0.0,100.0,0.0,100.0,80.0,100.0,100.0,0.0,100.0,60.0,100.0,100.0,80.0,75.38461538461539
Noarr: Naive,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,80.0,100.0,100.0,80.0,0.0,60.0,80.0,80.0,80.0,100.0,82.3076923076923
mean_valid,68.75,67.5,60.0,70.0,63.75,70.0,67.5,62.5,65.0,60.0,66.25,70.0,75.0,46.25,63.75,3.75,70.0,61.25,66.25,63.75,36.25,70.0,52.5,63.75,55.0,53.75,60.48076923076923
