framework,version,algorithm,repetition,category
c,AllHints,2mm,1,speedup_over
c,AllHints,2mm,2,speedup_over
c,AllHints,2mm,3,speedup_over
c,AllHints,2mm,4,speedup_over
c,AllHints,2mm,5,speedup_over
c,AllHints,3mm,1,speedup_over
c,AllHints,3mm,2,speedup_over
c,AllHints,3mm,3,invalid_code
c,AllHints,3mm,4,speedup_over
c,AllHints,3mm,5,speedup_over
c,AllHints,adi,1,speedup_over
c,AllHints,adi,2,speedup_over
c,AllHints,adi,3,speedup_over
c,AllHints,adi,4,speedup_over
c,AllHints,adi,5,speedup_over
c,AllHints,atax,1,speedup_over
c,AllHints,atax,2,speedup_over
c,AllHints,atax,3,speedup_over
c,AllHints,atax,4,speedup_over
c,AllHints,atax,5,speedup_over
c,AllHints,bicg,1,speedup_over
c,AllHints,bicg,2,invalid_code
c,AllHints,bicg,3,speedup_over
c,AllHints,bicg,4,speedup_over
c,AllHints,bicg,5,speedup_over
c,AllHints,cholesky,1,speedup_under
c,AllHints,cholesky,2,speedup_under
c,AllHints,cholesky,3,speedup_under
c,AllHints,cholesky,4,speedup_under
c,AllHints,cholesky,5,speedup_under
c,AllHints,correlation,1,speedup_over
c,AllHints,correlation,2,speedup_over
c,AllHints,correlation,3,speedup_over
c,AllHints,correlation,4,speedup_over
c,AllHints,correlation,5,invalid_code
c,AllHints,covariance,1,speedup_over
c,AllHints,covariance,2,speedup_over
c,AllHints,covariance,3,speedup_over
c,AllHints,covariance,4,invalid_algorithm
c,AllHints,covariance,5,speedup_over
c,AllHints,deriche,1,speedup_over
c,AllHints,deriche,2,speedup_over
c,AllHints,deriche,3,speedup_over
c,AllHints,deriche,4,speedup_over
c,AllHints,deriche,5,speedup_over
c,AllHints,doitgen,1,speedup_over
c,AllHints,doitgen,2,speedup_over
c,AllHints,doitgen,3,speedup_over
c,AllHints,doitgen,4,speedup_over
c,AllHints,doitgen,5,speedup_over
c,AllHints,durbin,1,slowdown
c,AllHints,durbin,2,invalid_code
c,AllHints,durbin,3,slowdown
c,AllHints,durbin,4,slowdown
c,AllHints,durbin,5,slowdown
c,AllHints,fdtd-2d,1,speedup_over
c,AllHints,fdtd-2d,2,speedup_over
c,AllHints,fdtd-2d,3,invalid_code
c,AllHints,fdtd-2d,4,speedup_over
c,AllHints,fdtd-2d,5,invalid_code
c,AllHints,floyd-warshall,1,speedup_over
c,AllHints,floyd-warshall,2,speedup_over
c,AllHints,floyd-warshall,3,speedup_over
c,AllHints,floyd-warshall,4,speedup_over
c,AllHints,floyd-warshall,5,speedup_over
c,AllHints,gemm,1,speedup_over
c,AllHints,gemm,2,speedup_over
c,AllHints,gemm,3,speedup_over
c,AllHints,gemm,4,invalid_code
c,AllHints,gemm,5,speedup_over
c,AllHints,gemver,1,speedup_over
c,AllHints,gemver,2,speedup_over
c,AllHints,gemver,3,speedup_over
c,AllHints,gemver,4,speedup_over
c,AllHints,gemver,5,speedup_over
c,AllHints,gesummv,1,speedup_over
c,AllHints,gesummv,2,speedup_over
c,AllHints,gesummv,3,speedup_over
c,AllHints,gesummv,4,speedup_over
c,AllHints,gesummv,5,speedup_over
c,AllHints,gramschmidt,1,invalid_code
c,AllHints,gramschmidt,2,invalid_code
c,AllHints,gramschmidt,3,invalid_code
c,AllHints,gramschmidt,4,invalid_code
c,AllHints,gramschmidt,5,invalid_code
c,AllHints,heat-3d,1,speedup_over
c,AllHints,heat-3d,2,invalid_code
c,AllHints,heat-3d,3,speedup_over
c,AllHints,heat-3d,4,speedup_over
c,AllHints,heat-3d,5,speedup_over
c,AllHints,jacobi-1d,1,slowdown
c,AllHints,jacobi-1d,2,slowdown
c,AllHints,jacobi-1d,3,invalid_code
c,AllHints,jacobi-1d,4,slowdown
c,AllHints,jacobi-1d,5,slowdown
c,AllHints,jacobi-2d,1,speedup_over
c,AllHints,jacobi-2d,2,speedup_over
c,AllHints,jacobi-2d,3,speedup_over
c,AllHints,jacobi-2d,4,speedup_over
c,AllHints,jacobi-2d,5,speedup_over
c,AllHints,lu,1,speedup_over
c,AllHints,lu,2,speedup_over
c,AllHints,lu,3,speedup_over
c,AllHints,lu,4,speedup_over
c,AllHints,lu,5,speedup_over
c,AllHints,ludcmp,1,speedup_over
c,AllHints,ludcmp,2,speedup_over
c,AllHints,ludcmp,3,speedup_over
c,AllHints,ludcmp,4,invalid_code
c,AllHints,ludcmp,5,slowdown
c,AllHints,mvt,1,speedup_over
c,AllHints,mvt,2,speedup_over
c,AllHints,mvt,3,invalid_code
c,AllHints,mvt,4,speedup_over
c,AllHints,mvt,5,speedup_over
c,AllHints,nussinov,1,speedup_over
c,AllHints,nussinov,2,invalid_code
c,AllHints,nussinov,3,speedup_over
c,AllHints,nussinov,4,invalid_code
c,AllHints,nussinov,5,speedup_over
c,AllHints,seidel-2d,1,speedup_under
c,AllHints,seidel-2d,2,slowdown
c,AllHints,seidel-2d,3,slowdown
c,AllHints,seidel-2d,4,slowdown
c,AllHints,seidel-2d,5,slowdown
c,AllHints,symm,1,speedup_over
c,AllHints,symm,2,speedup_over
c,AllHints,symm,3,speedup_over
c,AllHints,symm,4,slowdown
c,AllHints,symm,5,speedup_over
c,AllHints,syr2k,1,speedup_over
c,AllHints,syr2k,2,speedup_over
c,AllHints,syr2k,3,speedup_over
c,AllHints,syr2k,4,speedup_over
c,AllHints,syr2k,5,speedup_over
c,AllHints,syrk,1,speedup_over
c,AllHints,syrk,2,speedup_over
c,AllHints,syrk,3,speedup_over
c,AllHints,syrk,4,speedup_over
c,AllHints,syrk,5,speedup_over
c,AllHints,trisolv,1,invalid_code
c,AllHints,trisolv,2,invalid_code
c,AllHints,trisolv,3,speedup_under
c,AllHints,trisolv,4,speedup_under
c,AllHints,trisolv,5,speedup_under
c,AllHints,trmm,1,speedup_over
c,AllHints,trmm,2,speedup_over
c,AllHints,trmm,3,speedup_over
c,AllHints,trmm,4,speedup_over
c,AllHints,trmm,5,speedup_over
c,ChooseHints,2mm,1,speedup_over
c,ChooseHints,2mm,2,speedup_over
c,ChooseHints,2mm,3,speedup_over
c,ChooseHints,2mm,4,speedup_over
c,ChooseHints,2mm,5,speedup_over
c,ChooseHints,3mm,1,speedup_over
c,ChooseHints,3mm,2,speedup_over
c,ChooseHints,3mm,3,speedup_over
c,ChooseHints,3mm,4,speedup_over
c,ChooseHints,3mm,5,invalid_code
c,ChooseHints,adi,1,invalid_code
c,ChooseHints,adi,2,speedup_over
c,ChooseHints,adi,3,speedup_over
c,ChooseHints,adi,4,speedup_over
c,ChooseHints,adi,5,speedup_over
c,ChooseHints,atax,1,speedup_over
c,ChooseHints,atax,2,speedup_over
c,ChooseHints,atax,3,speedup_over
c,ChooseHints,atax,4,speedup_over
c,ChooseHints,atax,5,speedup_over
c,ChooseHints,bicg,1,slowdown
c,ChooseHints,bicg,2,speedup_over
c,ChooseHints,bicg,3,speedup_over
c,ChooseHints,bicg,4,slowdown
c,ChooseHints,bicg,5,speedup_over
c,ChooseHints,cholesky,1,speedup_under
c,ChooseHints,cholesky,2,invalid_code
c,ChooseHints,cholesky,3,speedup_under
c,ChooseHints,cholesky,4,invalid_code
c,ChooseHints,cholesky,5,speedup_under
c,ChooseHints,correlation,1,speedup_over
c,ChooseHints,correlation,2,speedup_over
c,ChooseHints,correlation,3,speedup_over
c,ChooseHints,correlation,4,invalid_code
c,ChooseHints,correlation,5,speedup_over
c,ChooseHints,covariance,1,speedup_over
c,ChooseHints,covariance,2,speedup_over
c,ChooseHints,covariance,3,speedup_over
c,ChooseHints,covariance,4,speedup_over
c,ChooseHints,covariance,5,speedup_over
c,ChooseHints,deriche,1,speedup_over
c,ChooseHints,deriche,2,speedup_over
c,ChooseHints,deriche,3,speedup_over
c,ChooseHints,deriche,4,speedup_over
c,ChooseHints,deriche,5,speedup_over
c,ChooseHints,doitgen,1,speedup_over
c,ChooseHints,doitgen,2,speedup_over
c,ChooseHints,doitgen,3,speedup_over
c,ChooseHints,doitgen,4,speedup_over
c,ChooseHints,doitgen,5,speedup_over
c,ChooseHints,durbin,1,slowdown
c,ChooseHints,durbin,2,slowdown
c,ChooseHints,durbin,3,slowdown
c,ChooseHints,durbin,4,slowdown
c,ChooseHints,durbin,5,slowdown
c,ChooseHints,fdtd-2d,1,invalid_code
c,ChooseHints,fdtd-2d,2,speedup_over
c,ChooseHints,fdtd-2d,3,speedup_over
c,ChooseHints,fdtd-2d,4,invalid_code
c,ChooseHints,fdtd-2d,5,speedup_over
c,ChooseHints,floyd-warshall,1,speedup_over
c,ChooseHints,floyd-warshall,2,speedup_over
c,ChooseHints,floyd-warshall,3,slowdown
c,ChooseHints,floyd-warshall,4,speedup_over
c,ChooseHints,floyd-warshall,5,speedup_over
c,ChooseHints,gemm,1,speedup_over
c,ChooseHints,gemm,2,speedup_over
c,ChooseHints,gemm,3,speedup_over
c,ChooseHints,gemm,4,speedup_over
c,ChooseHints,gemm,5,speedup_over
c,ChooseHints,gemver,1,speedup_over
c,ChooseHints,gemver,2,speedup_over
c,ChooseHints,gemver,3,speedup_over
c,ChooseHints,gemver,4,speedup_over
c,ChooseHints,gemver,5,speedup_over
c,ChooseHints,gesummv,1,speedup_over
c,ChooseHints,gesummv,2,speedup_over
c,ChooseHints,gesummv,3,speedup_over
c,ChooseHints,gesummv,4,speedup_over
c,ChooseHints,gesummv,5,speedup_over
c,ChooseHints,gramschmidt,1,speedup_over
c,ChooseHints,gramschmidt,2,invalid_code
c,ChooseHints,gramschmidt,3,invalid_code
c,ChooseHints,gramschmidt,4,speedup_over
c,ChooseHints,gramschmidt,5,invalid_code
c,ChooseHints,heat-3d,1,speedup_over
c,ChooseHints,heat-3d,2,speedup_over
c,ChooseHints,heat-3d,3,speedup_over
c,ChooseHints,heat-3d,4,speedup_over
c,ChooseHints,heat-3d,5,speedup_over
c,ChooseHints,jacobi-1d,1,invalid_code
c,ChooseHints,jacobi-1d,2,slowdown
c,ChooseHints,jacobi-1d,3,slowdown
