framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
c,AllHints,1,30,5,150,129,0.86,7.2028512737090225,5.658714432907981,2.600848356900825,21.63707251703177,129,5.757801631044765,475.78016310447646,c,150,129,21,11,0,9,1,0
c,AllHints,2,30,10,300,287,0.9566666666666667,8.294170355351222,7.268251273344653,3.172902814974512,25.45652018190724,287,7.967242404742719,696.7242404742719,c,150,129,21,11,0,9,1,0
c,AllHints,3,30,10,300,290,0.9666666666666667,9.124065745367629,7.717761601466468,3.3793519287606153,27.21002929805923,290,8.843115522588732,784.3115522588732,c,150,129,21,11,0,9,1,0
c,AllHints,4,30,5,150,145,0.9666666666666667,9.689493694798163,8.323296367087947,3.3840876435736162,35.20248710225747,145,9.358920485669021,835.8920485669021,c,150,129,21,11,0,9,1,0
c,AllHints,5,30,1,30,29,0.9666666666666667,10.077856994724211,8.410609037328092,3.3840876435736162,44.06641886322365,29,9.720859429388781,872.0859429388781,c,150,129,21,11,0,9,1,0
c,ChooseHints,1,30,5,150,133,0.8866666666666667,5.820486300700486,3.7270542675311282,1.8870756616645699,18.198814704808207,133,4.979489739570113,397.9489739570113,c,150,133,17,10,1,5,1,0
c,ChooseHints,2,30,10,300,292,0.9733333333333334,7.108849688548229,5.240188087774295,2.2527206668731576,20.370586088465704,292,7.078869222960451,607.8869222960451,c,150,133,17,10,1,5,1,0
c,ChooseHints,3,30,10,300,298,0.9933333333333333,7.776827154069458,6.170326045985676,2.882832077046778,21.30705550166508,298,8.03577443473964,703.577443473964,c,150,133,17,10,1,5,1,0
c,ChooseHints,4,30,5,150,150,1.0,8.294436115762162,7.6446428571428555,2.8998641849495037,24.062770151885164,150,8.680578627657447,768.0578627657446,c,150,133,17,10,1,5,1,0
c,ChooseHints,5,30,1,30,30,1.0,8.811886491496107,7.699270954540531,3.0193768735461295,23.894265617235117,30,9.21912334451228,821.9123344512279,c,150,133,17,10,1,5,1,0
c,FromPlan,1,30,5,150,137,0.9133333333333333,2.2095878772657205,2.07378693393561,1.0778675985727113,3.617266326719097,137,2.2623514140154004,126.23514140154003,c,150,137,13,8,0,5,0,0
c,FromPlan,2,30,10,300,290,0.9666666666666667,2.787738470777863,2.3165929709944213,1.4868650202201055,5.047963412192813,290,2.919692297101742,191.96922971017418,c,150,137,13,8,0,5,0,0
c,FromPlan,3,30,10,300,290,0.9666666666666667,3.361602860455758,2.839857491547669,1.8944318398226612,5.641308037810489,290,3.4455687386310165,244.55687386310166,c,150,137,13,8,0,5,0,0
c,FromPlan,4,30,5,150,145,0.9666666666666667,3.8669526873433453,2.9832514034336235,1.9607314206768487,6.013580443801818,145,3.909423023948139,290.9423023948139,c,150,137,13,8,0,5,0,0
c,FromPlan,5,30,1,30,29,0.9666666666666667,4.327608343618702,3.3582656226754626,2.086210249288973,8.057232875109436,29,4.334867327030518,333.4867327030518,c,150,137,13,8,0,5,0,0
c,Naive,1,30,5,150,137,0.9133333333333333,1.7971011970638602,1.7178692848659354,1.0148373349963622,2.8820861983126345,137,1.7480857072315612,74.80857072315612,c,150,137,13,8,0,5,0,0
c,Naive,2,30,10,300,293,0.9766666666666667,2.0588622538735235,1.8763620133342989,1.1743044189852698,3.1948847135037877,293,2.0408279086256704,104.08279086256704,c,150,137,13,8,0,5,0,0
c,Naive,3,30,10,300,296,0.9866666666666667,2.278412726444008,2.1012502750634567,1.266987413463148,3.420094338356811,296,2.25681282705964,125.681282705964,c,150,137,13,8,0,5,0,0
c,Naive,4,30,5,150,149,0.9933333333333333,2.4488543385543027,2.3167878908320088,1.3757678035584795,3.4344630046247877,149,2.4343356952238007,143.43356952238005,c,150,137,13,8,0,5,0,0
c,Naive,5,30,1,30,30,1.0,2.5762038302275037,2.357721250224121,1.5649271040158232,3.457907123415472,30,2.5762038302275037,157.62038302275036,c,150,137,13,8,0,5,0,0
exo,AllHints,1,30,5,150,104,0.6933333333333334,4.373659726335071,3.5120179322302416,1.2931399008296047,18.482724065361342,104,3.1729132938359177,217.29132938359177,c,150,104,46,39,0,7,0,0
exo,AllHints,2,30,10,300,259,0.8633333333333333,5.442792814619904,4.027433210502074,1.582217715770164,19.56328055645816,259,4.853845452854911,385.3845452854911,c,150,104,46,39,0,7,0,0
exo,AllHints,3,30,10,300,279,0.93,5.964917625862677,4.027433210502074,1.6422533315604715,20.910546205821593,279,5.833707069404575,483.37070694045747,c,150,104,46,39,0,7,0,0
exo,AllHints,4,30,5,150,144,0.96,6.326916450637569,4.314816645250568,1.70218250821697,25.031839543170616,144,6.436942680148447,543.6942680148447,c,150,104,46,39,0,7,0,0
exo,AllHints,5,30,1,30,29,0.9666666666666667,6.600209592821317,4.314816645250568,1.7221589004358029,25.031839543170616,29,6.749169575785965,574.9169575785965,c,150,104,46,39,0,7,0,0
exo,ChooseHints,1,30,5,150,99,0.66,4.810779755130078,4.107788261634416,1.4885878732731532,18.788156526004833,99,3.1801264976142383,218.01264976142383,c,150,99,51,46,0,5,0,0
exo,ChooseHints,2,30,10,300,255,0.85,5.334470663944345,4.239458733267509,1.7163773392801778,19.376396537097097,255,4.652335903657605,365.23359036576045,c,150,99,51,46,0,5,0,0
exo,ChooseHints,3,30,10,300,274,0.9133333333333333,5.701873525671736,4.239458733267509,1.8362637905742294,19.66792728251776,274,5.386234974383805,438.62349743838047,c,150,99,51,46,0,5,0,0
exo,ChooseHints,4,30,5,150,142,0.9466666666666667,5.806445906325092,4.239458733267509,2.1202104692338652,19.70543684602066,142,5.796917758598177,479.69177585981765,c,150,99,51,46,0,5,0,0
exo,ChooseHints,5,30,1,30,29,0.9666666666666667,5.830358815658654,4.239458733267509,2.2155334861217217,19.715555747792834,29,6.020867234434723,502.0867234434723,c,150,99,51,46,0,5,0,0
exo,FromPlan,1,30,5,150,66,0.44,1.9770876698803934,1.5635310757492098,1.0015475230722932,3.398918561740431,66,1.4615222616902603,46.15222616902604,c,150,66,84,82,0,1,1,0
exo,FromPlan,2,30,10,300,203,0.6766666666666666,2.090988614449144,1.6285915035321636,1.0056384940689467,4.608920382858393,203,1.8771797875665204,87.71797875665203,c,150,66,84,82,0,1,1,0
exo,FromPlan,3,30,10,300,240,0.8,2.231172783779654,2.1535643564356435,1.006571437184356,4.611617367235577,240,2.2251258476177025,122.51258476177026,c,150,66,84,82,0,1,1,0
exo,FromPlan,4,30,5,150,130,0.8666666666666667,2.4071418060423886,2.158270938054211,1.013178716891068,4.611617367235577,130,2.526587545136613,152.65875451366128,c,150,66,84,82,0,1,1,0
exo,FromPlan,5,30,1,30,27,0.9,2.6530046561685525,2.245737485803305,1.0715255954325924,4.917551699679285,27,2.8194051412575476,181.94051412575476,c,150,66,84,82,0,1,1,0
exo,Naive,1,30,5,150,93,0.62,2.989247270258944,2.232493639154827,1.0033733493397359,6.468132409348315,93,2.1501670499746215,115.01670499746214,c,150,93,57,52,0,5,0,0
exo,Naive,2,30,10,300,245,0.8166666666666667,3.7757315838904777,3.2619158528424532,1.0849876889108403,17.270606877098082,245,3.277574098866524,227.7574098866524,c,150,93,57,52,0,5,0,0
exo,Naive,3,30,10,300,268,0.8933333333333333,4.363659882190133,3.3165303543435822,1.1272711313964716,19.22993170180377,268,4.103507523338984,310.3507523338984,c,150,93,57,52,0,5,0,0
exo,Naive,4,30,5,150,140,0.9333333333333333,4.685492484190987,3.4295263599343953,1.4027953448250332,21.307229072707834,140,4.626977538707218,362.6977538707218,c,150,93,57,52,0,5,0,0
exo,Naive,5,30,1,30,29,0.9666666666666667,4.87351480850406,3.537986735356739,1.4319442374964204,21.307229072707834,29,5.056781652323496,405.67816523234956,c,150,93,57,52,0,5,0,0
halide,AllHints,1,30,5,150,45,0.3,3.170856384784022,1.853013884798706,0.7815316707895962,22.493307279869356,45,1.5358828497056123,53.588284970561226,c,150,45,105,50,46,7,2,0
halide,AllHints,2,30,10,300,135,0.45,3.7090163935123286,2.3735232297026716,0.8883387358754662,23.588461895838684,135,1.9990305292592032,99.90305292592032,c,150,45,105,50,46,7,2,0
halide,AllHints,3,30,10,300,161,0.5366666666666666,3.8854270085718685,2.3918955661699934,0.9951458009613363,24.113397746130772,161,2.3267153753413874,132.67153753413874,c,150,45,105,50,46,7,2,0
halide,AllHints,4,30,5,150,87,0.58,3.9566232072342244,2.3918955661699934,0.9951458009613363,24.113397746130772,87,2.4988370221944574,149.88370221944572,c,150,45,105,50,46,7,2,0
halide,AllHints,5,30,1,30,18,0.6,3.889206503470499,2.155993050758956,1.0018900483552418,23.708375129565418,18,2.5458303887091756,154.58303887091756,c,150,45,105,50,46,7,2,0
halide,ChooseHints,1,30,5,150,47,0.31333333333333335,2.834635039669515,1.6746892165890985,0.7849674808861278,25.953910965687196,47,1.545158937836554,54.5158937836554,c,150,47,103,47,50,5,1,0
halide,ChooseHints,2,30,10,300,140,0.4666666666666667,3.2262525776480464,1.6746892165890985,0.8058685622537094,32.9563623693888,140,1.9771862493092567,97.71862493092567,c,150,47,103,47,50,5,1,0
halide,ChooseHints,3,30,10,300,167,0.5566666666666666,3.442383611253213,1.6746892165890985,0.8262238313647718,33.20914462171323,167,2.2980783386448413,129.80783386448414,c,150,47,103,47,50,5,1,0
halide,ChooseHints,4,30,5,150,93,0.62,3.6827320364520295,1.6746892165890985,0.8465791004758343,33.20914462171323,93,2.5568759613369854,155.68759613369855,c,150,47,103,47,50,5,1,0
halide,ChooseHints,5,30,1,30,20,0.6666666666666666,3.972621004807519,1.721732226539293,0.8524109305849271,22.9028461719614,20,2.757465143584654,175.74651435846542,c,150,47,103,47,50,5,1,0
halide,FromPlan,1,30,5,150,43,0.2866666666666667,3.56005887595015,1.8035176161790343,0.8779761719902978,31.67931166788643,43,1.551970893908704,55.1970893908704,c,150,43,107,42,64,1,0,0
halide,FromPlan,2,30,10,300,129,0.43,4.0856561125182385,2.4597454707065665,0.8774038461538461,39.93551454916568,129,2.046411643603637,104.6411643603637,c,150,43,107,42,64,1,0,0
halide,FromPlan,3,30,10,300,157,0.5233333333333333,4.310054220246335,2.4597454707065665,0.8774038461538461,41.07205597711286,157,2.4286816017893402,142.86816017893403,c,150,43,107,42,64,1,0,0
halide,FromPlan,4,30,5,150,88,0.5866666666666667,4.366800180758882,1.8035176161790343,0.8774038461538461,41.52468283951678,88,2.689401096256899,168.9401096256899,c,150,43,107,42,64,1,0,0
halide,FromPlan,5,30,1,30,19,0.6333333333333333,4.259811898241358,1.8035176161790343,0.9555861236216288,41.977309701920696,19,2.852436612718784,185.2436612718784,c,150,43,107,42,64,1,0,0
halide,Naive,1,30,5,150,54,0.36,4.321156111297715,2.8260194988541483,1.4208995686667165,25.440312819234656,54,1.8414036703591175,84.14036703591175,c,150,54,96,39,48,6,3,0
halide,Naive,2,30,10,300,161,0.5366666666666666,4.790069801322228,3.1351888667992043,1.4408192862364906,29.21746844898536,161,2.602487074301174,160.2487074301174,c,150,54,96,39,48,6,3,0
halide,Naive,3,30,10,300,190,0.6333333333333333,4.975631417237703,3.141921048581369,1.4411656244535997,33.01169332243403,190,3.1501876043312618,215.01876043312618,c,150,54,96,39,48,6,3,0
halide,Naive,4,30,5,150,104,0.6933333333333334,4.929419031317581,3.141921048581369,1.031382986508167,33.92684234450307,104,3.5050600483097036,250.50600483097037,c,150,54,96,39,48,6,3,0
halide,Naive,5,30,1,30,22,0.7333333333333333,4.811150593431592,3.013170301098285,1.2040768593080575,33.177958810645876,22,3.7425008336555714,274.25008336555715,c,150,54,96,39,48,6,3,0
noarr,AllHints,1,30,5,150,128,0.8533333333333334,1.9965802081673751,1.6422293483465478,1.0155373708218922,3.1200920499057943,128,1.9214564651693613,92.14564651693613,c,150,128,22,15,0,7,0,0
noarr,AllHints,2,30,10,300,268,0.8933333333333333,2.6660623842735136,2.1962875558511086,1.0909276604346052,3.4286549152699695,268,2.463376945647498,146.3376945647498,c,150,128,22,15,0,7,0,0
noarr,AllHints,3,30,10,300,270,0.9,3.181230823119054,2.632465262821075,1.2407531943510424,4.207602396621158,270,2.855755688281773,185.57556882817732,c,150,128,22,15,0,7,0,0
noarr,AllHints,4,30,5,150,135,0.9,3.581942206716879,2.941734122651232,1.2789382965461398,5.085623381746017,135,3.164445699917087,216.4445699917087,c,150,128,22,15,0,7,0,0
noarr,AllHints,5,30,1,30,27,0.9,3.907605157504095,2.9649002338910617,1.3178188407507336,5.11089993520411,27,3.4201829461037283,242.01829461037283,c,150,128,22,15,0,7,0,0
noarr,ChooseHints,1,30,5,150,128,0.8533333333333334,1.4681194131998145,1.2548362040365895,0.992656794341438,2.913556264197897,128,1.5270121781543333,52.70121781543333,c,150,128,22,13,0,9,0,0
noarr,ChooseHints,2,30,10,300,268,0.8933333333333333,1.7026595602662933,1.5842152967677674,1.0015042587479337,3.128091910212384,268,1.707507717338309,70.7507717338309,c,150,128,22,13,0,9,0,0
noarr,ChooseHints,3,30,10,300,270,0.9,1.8124995891346698,1.7959573200218575,1.0076534002412312,3.167674332897359,270,1.7809521573867555,78.09521573867555,c,150,128,22,13,0,9,0,0
noarr,ChooseHints,4,30,5,150,135,0.9,1.8782236126614007,2.2146311663187905,1.012003366855296,3.173950267578692,135,1.8189064958901924,81.89064958901923,c,150,128,22,13,0,9,0,0
noarr,ChooseHints,5,30,1,30,27,0.9,1.9335658376577516,2.5260581281939447,1.0246052846386746,3.173950267578692,27,1.8536081915271136,85.36081915271137,c,150,128,22,13,0,9,0,0
noarr,FromPlan,1,30,5,150,117,0.78,1.2748488793545094,1.150565593408697,0.9076659353899793,1.894912044617674,117,1.343764876903146,34.376487690314605,c,150,117,33,24,2,5,2,0
noarr,FromPlan,2,30,10,300,262,0.8733333333333333,1.4459150972628934,1.3428893438109477,1.0307405670086849,1.9858853180007414,262,1.4913173536956097,49.13173536956097,c,150,117,33,24,2,5,2,0
noarr,FromPlan,3,30,10,300,268,0.8933333333333333,1.5578744764378532,1.359256287220677,1.0599998447197905,2.2901816267438804,268,1.5785960434077961,57.85960434077961,c,150,117,33,24,2,5,2,0
noarr,FromPlan,4,30,5,150,135,0.9,1.6345272229035295,1.3689024785472297,1.0705647508605858,2.49195770964152,135,1.6330009159421166,63.30009159421166,c,150,117,33,24,2,5,2,0
noarr,FromPlan,5,30,1,30,27,0.9,1.6926510942536355,1.3689024785472297,1.091319790391077,2.5333422123838574,27,1.6667661362025605,66.67661362025605,c,150,117,33,24,2,5,2,0
noarr,Naive,1,30,5,150,126,0.84,1.3135051867454113,1.057305248570354,0.99146736138472,2.2472549047594947,126,1.3895120319964844,38.95120319964845,c,150,126,24,16,0,8,0,0
noarr,Naive,2,30,10,300,269,0.8966666666666666,1.4889570954766311,1.321287999018433,1.0061913568069754,2.543891112509947,269,1.5281662154357036,52.81662154357036,c,150,126,24,16,0,8,0,0
noarr,Naive,3,30,10,300,270,0.9,1.63877311140338,1.6042526780183815,1.0386139403770975,2.609751335115406,270,1.6145987109502078,61.45987109502078,c,150,126,24,16,0,8,0,0
noarr,Naive,4,30,5,150,135,0.9,1.7286202031708995,1.716510771252949,1.0430864337488746,2.6871672957268995,135,1.6730801305888963,67.30801305888963,c,150,126,24,16,0,8,0,0
noarr,Naive,5,30,1,30,27,0.9,1.7823409916812878,1.762274179983179,1.0510386279864252,2.6871672957268995,27,1.7190809534049125,71.90809534049126,c,150,126,24,16,0,8,0,0
