framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
c,AllHints,130,111,0.8538461538461538,85.38461538461539,111,5.383127007654291,6.250042767345068,1.704517690078076,20.24643849825374,18.541920808175664,8.651705485794889,25,26,c
c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,3.454037264138857,5.088576753435732,1.786199709147455,14.451454930258214,12.665255221110758,7.552695998381895,26,26,c
c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,2.075091999238902,2.188525719608637,1.2704269584269865,3.392628491319075,2.1222015328920882,4.203454352253642,25,26,c
c,Naive,130,118,0.9076923076923077,90.76923076923077,118,1.744101670723134,1.8182995022467756,1.0125464159372333,2.89566677048997,1.8831203545527366,2.5738578903846436,26,26,c
exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,3.444464682365149,3.8270586963573243,1.0081761406040954,17.763345706463777,16.75516956585968,5.862027803492429,25,26,c
exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,3.926322225619076,4.002205059260405,1.0260351502419174,16.70932374872203,15.683288598480114,5.101622638247955,25,26,c
exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,1.1817799307408112,1.68555431458404,0.9713492996035112,3.279953349450088,2.3086040498465765,2.255984619014935,24,26,c
exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,2.0087947765170986,2.6513684220585674,1.001487293894402,5.199116695695446,4.197629401801044,4.170373914641463,25,26,c
halide,AllHints,130,33,0.25384615384615383,25.384615384615383,33,1.470879486880146,3.2987034197317286,0.709014845531217,23.063526045546592,22.354511200015374,3.3925329710320353,15,26,c
halide,ChooseHints,130,34,0.26153846153846155,26.153846153846157,34,1.2022302075075508,2.328358532438851,0.6976160392114468,18.144610939145164,17.446994899933717,3.507951480691655,17,26,c
halide,FromPlan,130,28,0.2153846153846154,21.53846153846154,28,1.4523789189708123,2.3869881545440226,0.6187359186774608,10.083248265219728,9.464512346542268,3.1648325817683705,15,26,c
halide,Naive,130,42,0.3230769230769231,32.30769230769231,42,3.383774795494679,4.365268642009699,1.0115048877831998,25.440312819234656,24.428807931451455,4.594150732470087,19,26,c
noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,1.600561519797414,1.968384004025073,1.0154238442422425,3.153934266694231,2.1385104224519886,3.58045199212247,23,26,c
noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,1.2814308331953475,1.518882503604292,0.9972328336073635,2.9934770295023476,1.9962441958949841,2.049165913243127,23,26,c
noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,1.326089308092811,1.3805012656596214,0.9977905841063239,1.980833053243202,0.983042469136878,1.7971920133361332,23,26,c
noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,1.0434676633084172,1.3351051685691102,0.9935902519423074,2.2656631804507565,1.272072928508449,1.8215725908035014,23,26,c
