framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
c,AllHints,1,30,5,150,129,0.86,8.71492322895855,9.304258533770653,2.1638316920322294,26.927300126257478,129,7.005084955509395,600.5084955509395,c,150,129,21,11,0,8,2,0
c,AllHints,2,30,10,300,287,0.9566666666666667,10.165619824003436,12.934885091337653,2.8586635127143705,34.68864599826343,287,9.973070965506244,897.3070965506244,c,150,129,21,11,0,8,2,0
c,AllHints,3,30,10,300,290,0.9666666666666667,11.35352380835386,14.110931174089075,4.996112388162757,37.32127850050549,290,11.237999116248798,1023.7999116248798,c,150,129,21,11,0,8,2,0
c,AllHints,4,30,5,150,145,0.9666666666666667,12.177817957935524,14.839692132269102,6.388546255506608,44.47053612067868,145,12.009185923483152,1100.918592348315,c,150,129,21,11,0,8,2,0
c,AllHints,5,30,1,30,29,0.9666666666666667,12.75893357155858,14.839692132269102,6.481823599523242,44.47053612067868,29,12.560647648810564,1156.0647648810564,c,150,129,21,11,0,8,2,0
c,ChooseHints,1,30,5,150,133,0.8866666666666667,6.774547483145345,5.762269248086447,1.8221011727405438,21.78805488653689,133,5.841199879127145,484.11998791271446,c,150,133,17,10,1,5,1,0
c,ChooseHints,2,30,10,300,292,0.9733333333333334,8.742310730144586,9.963171105984694,1.8726334739420514,32.36449845127471,292,8.909275495149075,790.9275495149075,c,150,133,17,10,1,5,1,0
c,ChooseHints,3,30,10,300,298,0.9933333333333333,9.7993017897508,12.53587941651834,2.8322769380789863,37.23262907933886,298,10.405709629835552,940.5709629835552,c,150,133,17,10,1,5,1,0
c,ChooseHints,4,30,5,150,150,1.0,10.531177027568079,12.923895046560434,3.938221359653279,37.773296006398894,150,11.346058048214163,1034.6058048214163,c,150,133,17,10,1,5,1,0
c,ChooseHints,5,30,1,30,30,1.0,11.265737771522085,12.996779318457355,4.33644884482934,38.07351640607497,30,12.136398871061735,1113.6398871061735,c,150,133,17,10,1,5,1,0
c,FromPlan,1,30,5,150,137,0.9133333333333333,2.294771944233732,1.9059425095960558,1.1574531205029999,4.255877417736835,137,2.3570018638166004,135.70018638166005,c,150,137,13,8,0,5,0,0
c,FromPlan,2,30,10,300,290,0.9666666666666667,2.902369659251679,2.5180095065735166,1.4885866743263696,6.584410372102695,290,3.0964142026659336,209.64142026659337,c,150,137,13,8,0,5,0,0
c,FromPlan,3,30,10,300,290,0.9666666666666667,3.5465380870938374,3.308244593406741,1.5386936217242992,7.47224262509695,290,3.7201784659578836,272.01784659578834,c,150,137,13,8,0,5,0,0
c,FromPlan,4,30,5,150,145,0.9666666666666667,4.157279847351938,3.813340182022043,1.665304518694211,9.001336814928257,145,4.313016533402955,331.3016533402955,c,150,137,13,8,0,5,0,0
c,FromPlan,5,30,1,30,29,0.9666666666666667,4.764892070214336,4.255877417736835,1.8546596190003195,11.69405359028759,29,4.904169543916228,390.4169543916228,c,150,137,13,8,0,5,0,0
c,Naive,1,30,5,150,137,0.9133333333333333,1.8102037529507957,1.5021725643415507,1.0075103031243553,3.328741108289069,137,1.7672762894649483,76.72762894649483,c,150,137,13,8,0,5,0,0
c,Naive,2,30,10,300,293,0.9766666666666667,2.097054561895137,1.5212203860520377,1.085130970724191,3.8497400068170315,293,2.0840835248684426,108.40835248684427,c,150,137,13,8,0,5,0,0
c,Naive,3,30,10,300,296,0.9866666666666667,2.3413821139569047,1.6312370726185697,1.2329471926462063,4.257179220228579,296,2.320526616532829,132.05266165328288,c,150,137,13,8,0,5,0,0
c,Naive,4,30,5,150,149,0.9933333333333333,2.5279280714949253,1.864514978601997,1.2889046437433536,4.890266137356876,149,2.513838067810274,151.3838067810274,c,150,137,13,8,0,5,0,0
