framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
c,AllHints,1,30,5,150,129,0.86,2.809544083359942,2.9712351945854483,1.0325584676708175,11.278195488721805,129,3.0805975698711716,208.05975698711717,c,150,129,21,11,0,9,1,0
c,AllHints,2,30,10,300,287,0.9566666666666667,3.900418107753697,3.4363992172211346,1.332103650516313,14.256987577639753,287,4.183794950203175,318.37949502031745,c,150,129,21,11,0,9,1,0
c,AllHints,3,30,10,300,290,0.9666666666666667,4.561449475043958,3.718085106382979,1.4486292795894098,16.761059902655376,290,4.744506456527513,374.4506456527513,c,150,129,21,11,0,9,1,0
c,AllHints,4,30,5,150,145,0.9666666666666667,5.035107679161721,3.9269662921348316,1.4496591115439854,17.447039652362847,145,5.141611569636511,414.1611569636511,c,150,129,21,11,0,9,1,0
c,AllHints,5,30,1,30,29,0.9666666666666667,5.435591640537894,3.9269662921348316,1.4499451840250588,17.85714285714286,29,5.470670953369615,447.06709533696153,c,150,129,21,11,0,9,1,0
c,ChooseHints,1,30,5,150,133,0.8866666666666667,3.0374601871718645,2.498444306160548,1.0669920966992095,5.517759917033965,133,3.0103792386969856,201.03792386969857,c,150,133,17,10,1,5,1,0
c,ChooseHints,2,30,10,300,292,0.9733333333333334,3.5643804233310816,3.09700176366843,1.3895604465856852,10.425710908930537,292,3.9115349668431296,291.153496684313,c,150,133,17,10,1,5,1,0
c,ChooseHints,3,30,10,300,298,0.9933333333333333,3.8664905376265333,3.204379562043796,1.4496446219194348,13.39332913782253,298,4.335895875982574,333.5895875982574,c,150,133,17,10,1,5,1,0
c,ChooseHints,4,30,5,150,150,1.0,4.094365106914828,3.337003196232101,1.4542041688264769,14.741228070175444,150,4.620532381723664,362.05323817236643,c,150,133,17,10,1,5,1,0
c,ChooseHints,5,30,1,30,30,1.0,4.292079258902749,3.385532745922439,1.5484571193603296,14.891368856437271,30,4.8360123530475905,383.60123530475903,c,150,133,17,10,1,5,1,0
c,FromPlan,1,30,5,150,137,0.9133333333333333,1.7518800952357703,1.8972932745477673,1.0678608817029196,3.3709040844424054,137,1.883801709058722,88.3801709058722,c,150,137,13,8,0,5,0,0
c,FromPlan,2,30,10,300,290,0.9666666666666667,1.9551420942797524,2.1214108623248666,1.268048513571621,3.6030927835051547,290,2.178526219362702,117.8526219362702,c,150,137,13,8,0,5,0,0
c,FromPlan,3,30,10,300,290,0.9666666666666667,2.1631735941074033,2.2686699945633366,1.38895426628732,3.653961305420048,290,2.3855410209560195,138.55410209560196,c,150,137,13,8,0,5,0,0
c,FromPlan,4,30,5,150,145,0.9666666666666667,2.3441289123378963,2.386949924127466,1.5269730023197272,4.041018959475245,145,2.5717210642484836,157.17210642484835,c,150,137,13,8,0,5,0,0
c,FromPlan,5,30,1,30,29,0.9666666666666667,2.5280000803005716,3.1083467633628787,1.6221864951768488,4.373127880184331,29,2.7612191813643783,176.12191813643784,c,150,137,13,8,0,5,0,0
c,Naive,1,30,5,150,137,0.9133333333333333,1.6428736561634216,1.3309576099117393,1.0079920079920077,3.2173875206683498,137,1.6334360221352175,63.343602213521756,c,150,137,13,8,0,5,0,0
c,Naive,2,30,10,300,293,0.9766666666666667,1.8265187268930825,1.4528121272989767,1.0404624277456649,3.5974506178845975,293,1.8307442002056789,83.07442002056789,c,150,137,13,8,0,5,0,0
c,Naive,3,30,10,300,296,0.9866666666666667,1.9602259288542707,1.6373540856031128,1.058985713092155,3.6965011138776043,296,1.9528136165332297,95.28136165332297,c,150,137,13,8,0,5,0,0
c,Naive,4,30,5,150,149,0.9933333333333333,2.0516800234573314,1.8472344161545216,1.065217391304348,3.758064516129032,149,2.0449016215027536,104.49016215027535,c,150,137,13,8,0,5,0,0
c,Naive,5,30,1,30,30,1.0,2.115960048717239,1.9286117330945798,1.075760134188854,3.966932053530463,30,2.1170512644271873,111.70512644271872,c,150,137,13,8,0,5,0,0
exo,AllHints,1,30,5,150,104,0.6933333333333334,1.80517032189792,2.059720104352299,0.984471502210431,4.503602370263463,104,2.02145066324416,102.14506632441598,c,150,104,46,39,0,7,0,0
exo,AllHints,2,30,10,300,259,0.8633333333333333,2.22818478426083,2.070754716981132,1.000505019708277,6.271231658514895,259,2.569703961137358,156.97039611373583,c,150,104,46,39,0,7,0,0
exo,AllHints,3,30,10,300,279,0.93,2.426784979575463,2.070754716981132,1.0266159695817492,6.791021767281249,279,2.857411399829852,185.74113998298517,c,150,104,46,39,0,7,0,0
exo,AllHints,4,30,5,150,144,0.96,2.574021074882712,2.070754716981132,1.0441539923954373,6.791021767281249,144,3.0402607209642403,204.02607209642403,c,150,104,46,39,0,7,0,0
exo,AllHints,5,30,1,30,29,0.9666666666666667,2.68718404126678,2.070754716981132,1.0559466298596731,6.791021767281249,29,3.152840053932784,215.2840053932784,c,150,104,46,39,0,7,0,0
exo,ChooseHints,1,30,5,150,99,0.66,2.286863793206814,2.5370967741935484,1.0113636363636362,5.808012437116643,99,2.1176176946281764,111.76176946281764,c,150,99,51,46,0,5,0,0
exo,ChooseHints,2,30,10,300,255,0.85,2.4580307021045544,2.5370967741935484,1.025706940874036,5.808012437116643,255,2.6876541306272417,168.76541306272418,c,150,99,51,46,0,5,0,0
exo,ChooseHints,3,30,10,300,274,0.9133333333333333,2.6260865434375376,2.5411954765751212,1.048092696748447,5.918590012589172,274,2.9703244085145264,197.03244085145263,c,150,99,51,46,0,5,0,0
exo,ChooseHints,4,30,5,150,142,0.9466666666666667,2.7399346537227465,2.778437377758033,1.0649374753497436,6.575291375291376,142,3.184875893657912,218.4875893657912,c,150,99,51,46,0,5,0,0
exo,ChooseHints,5,30,1,30,29,0.9666666666666667,2.8384131161106385,3.0156792789409446,1.1245787505092024,6.575291375291376,29,3.3531746485338014,235.31746485338013,c,150,99,51,46,0,5,0,0
exo,FromPlan,1,30,5,150,67,0.44666666666666666,1.1200386296444,1.0631123051624707,0.8200076030229884,3.1811398629468415,67,1.265503337552264,26.550333755226397,c,150,67,83,82,0,1,0,0
exo,FromPlan,2,30,10,300,203,0.6766666666666666,1.1709485632998173,1.120041307848491,0.8569206397067093,3.240052933392149,203,1.4776095884720497,47.76095884720497,c,150,67,83,82,0,1,0,0
