,correlation,covariance,gemm,gemver,gesummv,symm,syr2k,syrk,trmm,2mm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,floyd-warshall,nussinov,adi,fdtd-2d,heat-3d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,15.632558139534892,23.75549805950841,15.990755007704161,2.980169971671388,3.9269662921348316,29.830058939096254,24.492753623188413,17.85714285714286,7.449072453622682,57.13297394429469,60.05003088326125,1.9784313725490192,3.4363992172211346,83.45562130177514,3.054368932038835,1.0721509821783102,1.0650887573964498,,1.4499451840250588,1.4496591115439854,1.0283505154639176,17.447039652362847,20.18758401564219,10.404881716698478,4.186558372009996,0.8781167245589296,1.8895750857746105,0.17273795534665096,3.5499713138267355,1.3569348931992307,5.435591640537894,12.0
C: ChooseHints,14.741228070175444,14.941415785191213,17.86230636833046,2.327433628318584,3.994285714285714,2.9780327547317835,24.707602339181292,16.990291262135923,13.39332913782253,79.48625000000001,55.55485714285715,1.8312159709618874,3.204379562043796,81.76231884057968,2.8291366906474824,1.0750386434961825,1.0650887573964496,3.6760674560459274,1.4542041688264769,1.400819920560226,1.012690355329949,4.007485963817842,19.678956459586633,10.331974039400382,3.566685929801082,0.9212368307115024,1.0270254762451227,0.030271828665568365,1.9271209667372617,1.8680924730617763,4.292079258902748,5.0
C: FromPlan,3.451040791561655,3.3709040844424054,7.055064581917063,1.8439964943032425,3.6030927835051547,4.373127880184331,23.493975903614455,1.720465344912338,5.487880350696236,4.427894993384863,13.499166898083862,1.6221864951768488,3.6131687242798356,5.230483960689782,2.386949924127466,3.6226027937810747,1.0778443113772458,,3.1083467633628787,1.386006723590966,2.3333333333333335,1.2513635655290636,5.329988545985447,4.041018959475245,2.3775736747665825,1.0143010368251697,0.9155967057138472,0.03060587133041849,1.5269730023197272,1.8972932745477673,2.528000080300571,5.0
C: Naive,3.5974506178845975,3.4507187822982246,1.0025115919629057,1.8472344161545216,3.758064516129032,4.036554565997607,1.058985713092155,11.3882863340564,5.513471502590674,4.709598577988446,4.060010022550738,1.0445134575569357,2.5085714285714285,5.257781919850885,2.2830188679245285,1.0823645924214198,1.0735586481113322,4.109257179528317,1.4528121272989767,1.3631579764362554,1.025706940874036,1.3309576099117393,2.1598070235075704,2.009989050034638,4.6753782668500685,1.1784280241842433,0.9846517768731433,1.065217391304348,1.0147266227163894,1.2708420220604302,2.1159600487172385,3.0
Exo: AllHints,13.769459962756057,1.8302601415329416,17.7098976109215,3.0715328467153284,3.9491525423728815,1.9115573460908974,20.985099337748345,16.826923076923077,1.9000089277743062,61.20211742059673,25.863527533918596,1.4191279887482415,2.070754716981132,12.898033836305443,3.1460000000000004,1.0559466298596731,1.0266159695817492,,0.9829484525136698,0.9822818791946308,1.064,3.360184119677791,6.791021767281249,4.732577411801847,3.613339085152603,0.5751582456693622,0.5729788562190885,0.009679968391939946,1.549146262080016,1.000505019708277,2.68718404126678,2.0
Exo: ChooseHints,12.748620689655175,14.179922779922778,17.530405405405407,3.036075036075036,3.861878453038674,1.1245787505092024,23.493975903614466,15.306122448979593,4.122022080185938,43.19904891304348,58.11177525403468,1.554699537750385,2.034762456546929,6.575291375291376,2.5411954765751212,1.0649374753497436,1.0227272727272727,,1.2808561269525034,1.296904536862004,1.025706940874036,3.0156792789409446,4.945810005688453,4.705220757480644,3.4889024426527024,0.49762229584876233,0.5663971646915494,0.009545454545454544,1.5540486236688766,0.8824493927404663,2.8384131161106385,0.0
Exo: FromPlan,3.2187880898485113,3.2870312360153946,2.340550293188994,0.9002995293110825,3.659685863874345,0.8240705563093622,2.1685201026518395,1.630687995030284,3.263609875785922,3.646785570912428,50.58324661810613,0.9139492753623187,1.7863682604272635,4.227817745803358,0.7900552486187845,1.0631123051624707,0.9015025041736228,,1.1229319295521807,0.017163090599330293,1.012690355329949,1.0936329588014984,5.722227995427622,4.700057480273814,3.252180544962907,0.6508871214438666,,0.00975836431226766,,1.1295012664707387,1.4066329697700186,0.0
Exo: Naive,9.778101031473156,25.790730337078653,9.799811142587345,2.587945879458794,3.495,2.2420998227997635,23.25688073394496,17.045454545454547,5.968031407739765,48.50419527078566,37.91770670826833,0.9872798434442269,2.200501253132832,3.4492540963560767,2.4771653543307086,1.0601413460206015,1.0112359550561798,,1.3956913706808176,1.3708612372968672,1.012690355329949,1.0337946572256198,4.385552723797388,0.9977924210152644,3.536460689405591,0.6979471339146597,0.565815262059809,0.009633027522935784,0.7366015094878694,0.8718854276094825,2.4953362674038195,1.0
Halide: AllHints,0.6526789654868038,,,,,,,1.60427807486631,,,,,0.21141343607031057,,0.6920369555653323,0.02762815686090401,,,,0.2619285524671382,,0.7246638390037001,,1.6989507286344359,,0.029597644522239088,0.6311131483375056,,,,0.34725280656575414,0.0
Halide: ChooseHints,,3.764066823818797,,,,,,,,,,,,,0.09497645211930925,1.121969104419241,,,0.28546012364522144,0.17697987875661036,0.19294003868471957,0.6113670105447486,0.13309522639361446,0.515634718850234,1.058257377493006,0.017010818222155298,1.0846564052842078,0.0017510631454811844,,,0.2318980805804603,0.0
Halide: FromPlan,,,1.0420724972386786,,,14.564508393285367,2.0213699067060045,2.5591030952961247,,,,,0.12792307131929775,,0.18436474449132678,,0.11378002528445007,,0.18539233591259344,,0.20813771517996874,0.8789404553415062,0.22689065242651243,,1.0394725761772852,0.016444268979370756,1.17301264827315,0.04708520179372196,,,0.40956568746178623,0.0
Halide: Naive,,2.950827575124539,,,0.2816277195809831,,,,,,,0.0809141940657578,,,0.5652173913043479,1.1238645545136252,,,,0.2716625316314725,0.27843684577808797,0.8525321159358743,0.13251118297484576,,1.3292243343421635,0.031905242691271506,0.6603578675521121,,,,0.3838201209701542,0.0
Noarr: AllHints,1.2073740243623658,4.444632699987899,1.006790842064416,1.7785291631445477,3.06578947368421,4.003031900870024,1.490913368229136,1.3781336133350832,6.909740259740259,7.899254658385093,11.658592157333013,1.128635346756152,2.4767277856135403,5.766148814390842,2.0455136540962293,,1.7475728155339807,,1.5162965146750524,1.03781790677886,1.2018072289156627,5.461656180921612,2.889716879641049,,3.0926485132194896,0.9857539958304377,0.560684135511457,1.2672413793103448,0.7661713719663199,1.3557791521268865,2.113617700034484,1.0
Noarr: ChooseHints,2.6678452879203354,4.491927592954991,1.010122639672961,1.7606694560669458,2.6477272727272725,3.4956832047887643,1.4846266471449487,1.3192612137203164,4.622502172024325,4.802069173840809,4.835181777490426,1.128635346756152,2.332005312084993,5.702041641398828,2.1666666666666665,,1.0756972111553786,,1.1015277348118886,1.0315275102194241,1.1700879765395895,2.460360015319801,2.107522629124752,,3.103863103982213,0.6584743140086652,1.1793503327403307,0.6805555555555555,1.1835048391415783,1.3556700048091286,1.8828862478355666,0.0
Noarr: FromPlan,1.2531692766592097,4.594770424121107,1.0278300485292662,1.810671256454389,2.6679389312977104,3.1164819376026274,2.7738264580369854,1.3225847084015616,4.124418604651163,1.6788731650649489,4.823187974400952,0.9131221719457011,2.0045662100456623,5.70896579639749,1.8397660818713448,,1.0865191146881288,,1.6789503273426307,1.0361036386804476,1.2468750000000002,2.456972385833397,2.1406773401408588,,3.0594059405940595,0.901620819944207,1.162687972977362,1.2782608695652173,0.9670542635658914,1.3553283150265387,1.8392740226642432,1.0
Noarr: Naive,2.776225876698957,4.759720062208398,1.0102209675849314,1.8456140350877195,2.67816091954023,3.0111056023797715,2.807619891460849,1.2205044751830756,4.561080154307759,4.786165888905615,4.938084112149532,1.1997621878715812,2.4355062413314843,5.753212318988374,2.0244530244530248,,1.0756972111553786,,1.5130748864119243,1.034480321360836,1.1875,2.662908307080087,2.07886590154032,,0.9258399554708132,0.9946630307752241,1.1390842269386197,0.7538461538461538,1.002105399540051,1.3559658922350588,1.891351693571605,0.0
geom_mean,4.170911214313341,5.758168360632811,3.5793724462031964,2.045710319877169,2.8086320449020725,3.501926088067499,5.999430510638621,4.1892575684318425,5.052411995003353,12.422028772274139,17.277668331292464,1.0250819900364356,1.6652182301653031,8.910828927577,1.3183783314064792,0.8637068672969412,0.9147707438854781,3.886631779084188,1.1083004028034678,0.6526852271506758,0.8333671817746958,1.9359716484738974,2.3700004859160186,3.0920386008889276,2.5045026969172195,0.32952790379448504,0.880876879987524,0.07204307286732704,1.2903989657592672,1.2720560203000901,1.4892636569414712,
