framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
c,AllHints,1,26,5,130,112,0.8615384615384616,0.2617048922933422,0.30658105939004815,0.09384537748254393,0.915796186895811,112,1.0719179338821365,7.191793388213652,c,130,112,18,9,0,9,0,0
c,AllHints,2,26,10,260,247,0.95,0.3678180683400435,0.5,0.15414311417116466,1.0952380952380953,247,1.1290397603331073,12.903976033310727,c,130,112,18,9,0,9,0,0
c,AllHints,3,26,10,260,250,0.9615384615384616,0.45804061965220955,0.6407894736842106,0.2777777777777778,1.1600000000000001,250,1.17546386113205,17.546386113205003,c,130,112,18,9,0,9,0,0
c,AllHints,4,26,5,130,125,0.9615384615384616,0.5343853489466103,0.7142857142857141,0.3056379821958457,1.1739130434782608,125,1.2141344698006238,21.41344698006238,c,130,112,18,9,0,9,0,0
c,AllHints,5,26,1,26,25,0.9615384615384616,0.5958656385352017,0.7861915367483298,0.30658105939004815,1.2328767123287672,25,1.2460222803825927,24.602228038259266,c,130,112,18,9,0,9,0,0
c,ChooseHints,1,26,5,130,113,0.8692307692307693,0.3357089284737099,0.4090909090909091,0.11406389967154375,1.181818181818182,113,1.1777766101808138,17.777661018081382,c,130,113,17,10,1,5,1,0
c,ChooseHints,2,26,10,260,252,0.9692307692307692,0.4763503762078942,0.5398729710656316,0.2909698996655518,1.3530150753768844,252,1.2801094810978513,28.010948109785126,c,130,113,17,10,1,5,1,0
c,ChooseHints,3,26,10,260,258,0.9923076923076923,0.5798863385052575,0.6538461538461537,0.39091915836101887,1.6666666666666665,258,1.3463846159855775,34.63846159855775,c,130,113,17,10,1,5,1,0
c,ChooseHints,4,26,5,130,130,1.0,0.6546044712236424,0.8860050890585242,0.3999999999999999,1.6923076923076927,130,1.3975183398023536,39.75183398023536,c,130,113,17,10,1,5,1,0
c,ChooseHints,5,26,1,26,26,1.0,0.7141117716134513,1.0336241366775718,0.4153087478559177,1.708791208791209,26,1.4356812354772186,43.56812354772186,c,130,113,17,10,1,5,1,0
c,FromPlan,1,26,5,130,118,0.9076923076923077,1.0248444877773815,1.4722222222222223,1.0,2.0863636363636364,118,1.5239033255522632,52.390332555226315,c,130,118,12,7,0,5,0,0
c,FromPlan,2,26,10,260,250,0.9615384615384616,1.2710831861169831,1.7000000000000004,1.1735417150825007,2.166666666666667,250,1.7090054063703333,70.90054063703333,c,130,118,12,7,0,5,0,0
c,FromPlan,3,26,10,260,250,0.9615384615384616,1.4052221235409426,1.894179894179894,1.2857142857142858,2.27741935483871,250,1.8024836920127043,80.24836920127044,c,130,118,12,7,0,5,0,0
c,FromPlan,4,26,5,130,125,0.9615384615384616,1.4856194221706287,1.940540540540541,1.3289902280130292,2.5,125,1.8630612415605372,86.30612415605373,c,130,118,12,7,0,5,0,0
c,FromPlan,5,26,1,26,25,0.9615384615384616,1.551798841164746,2.0,1.3529411764705883,2.5,25,1.9074907851871186,90.74907851871185,c,130,118,12,7,0,5,0,0
c,Naive,1,26,5,130,118,0.9076923076923077,1.383616623789349,1.5,1.0026455026455026,1.9891304347826086,118,1.4959066300212973,49.59066300212973,c,130,118,12,7,0,5,0,0
c,Naive,2,26,10,260,253,0.9730769230769231,1.6172756642390513,1.5916666666666666,1.0697674418604652,2.166666666666667,253,1.648233096196603,64.8233096196603,c,130,118,12,7,0,5,0,0
c,Naive,3,26,10,260,256,0.9846153846153847,1.72765290453241,1.6666666666666667,1.125,2.2073190789473687,256,1.71820222316647,71.820222316647,c,130,118,12,7,0,5,0,0
c,Naive,4,26,5,130,129,0.9923076923076923,1.7694270936817003,1.7000000000000004,1.1842105263157896,2.4,129,1.7630114349928379,76.30114349928378,c,130,118,12,7,0,5,0,0
c,Naive,5,26,1,26,26,1.0,1.7983381875422773,1.7071428571428573,1.2276785714285714,2.3515625,26,1.7983381875422773,79.83381875422772,c,130,118,12,7,0,5,0,0
exo,AllHints,1,26,5,130,89,0.6846153846153846,0.09308304870538184,0.11199999999999999,0.036958817317845824,0.32142857142857145,89,1.0031238313939805,0.3123831393980536,c,130,89,41,34,0,7,0,0
exo,AllHints,2,26,10,260,222,0.8538461538461538,0.12368872393578013,0.1370967741935484,0.07050285121824779,0.4368932038834952,222,1.006257421110539,0.6257421110539063,c,130,89,41,34,0,7,0,0
exo,AllHints,3,26,10,260,240,0.9230769230769231,0.1499403805638659,0.2074074074074074,0.08243471038694099,0.46391752577319595,240,1.00940079963303,0.9400799633030088,c,130,89,41,34,0,7,0,0
exo,AllHints,4,26,5,130,124,0.9538461538461539,0.1796782514067755,0.23026315789473684,0.09183673469387757,0.49321847507331373,124,1.0125539975400328,1.2553997540032835,c,130,89,41,34,0,7,0,0
exo,AllHints,5,26,1,26,25,0.9615384615384616,0.21229608879149298,0.23863636363636365,0.11558245083207261,0.5454545454545454,25,1.015717045505649,1.5717045505649008,c,130,89,41,34,0,7,0,0
exo,ChooseHints,1,26,5,130,87,0.6692307692307692,0.1591373545565611,0.1884816753926702,0.07811844655039685,0.6666666666666666,87,1.021099374147803,2.109937414780294,c,130,87,43,38,0,5,0,0
exo,ChooseHints,2,26,10,260,222,0.8538461538461538,0.20574959354110214,0.3000031217806637,0.09090909090909094,0.8285714285714286,222,1.0426439318850347,4.264393188503468,c,130,87,43,38,0,5,0,0
exo,ChooseHints,3,26,10,260,236,0.9076923076923077,0.25682822648168224,0.4353383458646617,0.11235955056179775,1.0,236,1.0646430663068132,6.464306630681316,c,130,87,43,38,0,5,0,0
exo,ChooseHints,4,26,5,130,122,0.9384615384615385,0.3010637504948918,0.4941176470588235,0.11519903498190588,1.0344827586206897,122,1.0871063686966846,8.710636869668464,c,130,87,43,38,0,5,0,0
exo,ChooseHints,5,26,1,26,25,0.9615384615384616,0.3373846308416963,0.6428571428571428,0.13821138211382114,1.161184210526316,25,1.1100436327082754,11.004363270827543,c,130,87,43,38,0,5,0,0
exo,FromPlan,1,26,5,130,56,0.4307692307692308,0.3387368302746859,0.6824975891996143,0.2336602942648384,1.27299880525687,56,1.0680945381642155,6.809453816421551,c,130,56,74,73,0,1,0,0
exo,FromPlan,2,26,10,260,176,0.676923076923077,0.34558723548934045,0.6885245901639344,0.23711340206185572,1.2652329749103943,176,1.110646149285234,11.064614928523397,c,130,56,74,73,0,1,0,0
exo,FromPlan,3,26,10,260,211,0.8115384615384615,0.3653673199663876,0.7258064516129032,0.23711340206185572,1.2652329749103943,211,1.1363088071745657,13.630880717456574,c,130,56,74,73,0,1,0,0
exo,FromPlan,4,26,5,130,115,0.8846153846153846,0.4002622519429389,0.7258064516129032,0.3493705035971223,1.2652329749103943,115,1.1524323177163123,15.243231771631226,c,130,56,74,73,0,1,0,0
exo,FromPlan,5,26,1,26,24,0.9230769230769231,0.4487249341979759,0.7629032258064516,0.4869319034048297,1.282258064516129,24,1.1636492573359736,16.364925733597357,c,130,56,74,73,0,1,0,0
exo,Naive,1,26,5,130,81,0.6230769230769231,0.2670040449318591,0.4893617021276596,0.11572250833080883,0.8613861386138614,81,1.0271853768111077,2.7185376811107664,c,130,81,49,44,0,5,0,0
exo,Naive,2,26,10,260,209,0.8038461538461539,0.335016001824197,0.711864406779661,0.12871287128712874,0.9668246445497629,209,1.0541155320668116,5.411553206681163,c,130,81,49,44,0,5,0,0
exo,Naive,3,26,10,260,228,0.8769230769230769,0.4069332162898174,0.8,0.2550163666121113,1.0056818181818181,228,1.080732354766212,8.0732354766212,c,130,81,49,44,0,5,0,0
exo,Naive,4,26,5,130,120,0.9230769230769231,0.47306332608111007,0.9349881796690307,0.6236610666365994,1.0261627906976745,120,1.1069771359171399,10.697713591713987,c,130,81,49,44,0,5,0,0
