framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
c,AllHints,150,130,0.8666666666666667,86.66666666666667,130,0.2766841644794401,0.24273570851970522,0.09122995898841799,0.88529796375864,0.794068004770222,0.5604570407078826,29,30,c
c,ChooseHints,150,133,0.8866666666666667,88.66666666666667,133,0.3913043478260869,0.3084063752341757,0.1098901098901099,1.0454545454545456,0.9355644355644357,0.6920795429386708,30,30,c
c,FromPlan,150,137,0.9133333333333333,91.33333333333333,137,1.4444444444444446,1.0788212938719555,1.0,2.1393939393939396,1.1393939393939396,1.614486802151376,29,30,c
c,Naive,150,137,0.9133333333333333,91.33333333333333,137,1.4166666666666665,1.3608471039314574,1.0,2.0,1.0,1.7897038967254293,30,30,c
exo,AllHints,150,104,0.6933333333333334,69.33333333333334,104,0.11638497541603632,0.10261688586188294,0.04793016530375033,0.32903439153439157,0.28110422623064124,0.2267945497646652,29,30,c
exo,ChooseHints,150,99,0.66,66.0,99,0.1634615384615385,0.155257751592902,0.0744991789819376,0.5327731092436975,0.4582739302617599,0.29447562497715135,29,30,c
exo,FromPlan,150,67,0.44666666666666666,44.666666666666664,67,0.6885245901639344,0.3547898386238157,0.19905224776125616,1.2079176922744743,1.0088654445132181,0.4882840333293435,27,30,c
exo,Naive,150,93,0.62,62.0,93,0.3879310344827586,0.24277058372446222,0.11318518518518515,0.8411214953271028,0.7279363101419176,0.4607798769751586,29,30,c
halide,AllHints,150,20,0.13333333333333333,13.333333333333334,20,0.02222030454581176,0.019490295032238893,0.00819258834945303,0.04407521106340151,0.03588262271394848,0.038739571193594814,11,30,c
halide,ChooseHints,150,26,0.17333333333333334,17.333333333333336,26,0.034513648308983104,0.033041903657451945,0.01529175751629578,0.10439779232156435,0.08910603480526857,0.043396697727365464,13,30,c
halide,FromPlan,150,24,0.16,16.0,24,0.013636243587119436,0.02168298236587054,0.005447432301418729,0.08162942392146733,0.0761819916200486,0.03019966704904607,15,30,c
halide,Naive,150,22,0.14666666666666667,14.666666666666666,22,0.026087809984950604,0.03199927945514624,0.016906842140877967,0.04252361174896667,0.025616769608088702,0.04957514764243334,12,30,c
noarr,AllHints,150,128,0.8533333333333334,85.33333333333334,128,1.1300675675675675,0.36909018657423737,0.06010588170483636,1.9711538461538463,1.91104796444901,1.3568472845964468,27,30,c
noarr,ChooseHints,150,128,0.8533333333333334,85.33333333333334,128,1.2588028169014085,0.682154541472443,0.9975961538461539,2.166666666666667,1.1690705128205132,1.5629883085781224,27,30,c
noarr,FromPlan,150,118,0.7866666666666666,78.66666666666666,118,1.0982519590114528,0.948047764089842,0.8131428571428572,1.8854166666666667,1.0722738095238096,1.5098094895189875,27,30,c
noarr,Naive,150,126,0.84,84.0,126,1.5,1.2976504459985678,1.0974221330816425,2.209918478260869,1.1124963451792267,1.8676925931900936,27,30,c
