,correlation,covariance,gemm,gemver,gesummv,symm,syr2k,syrk,trmm,2mm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,floyd-warshall,nussinov,adi,fdtd-2d,heat-3d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,0.631578947368421,1.1739130434782608,0.154639175257732,0.10119047619047616,0.7142857142857141,4.916666666666667,0.6923076923076924,0.5,3.8333333333333344,1.096153846153846,1.55,0.45000000000000007,0.057046979865771806,0.2777777777777778,2.166666666666667,1.0952380952380953,1.7142857142857144,,1.2328767123287672,1.1600000000000001,1.0,1.1027027027027025,1.3154121863799282,0.7861915367483298,0.30658105939004815,0.04162537165510407,0.09566787003610108,0.02272727272727272,0.3056379821958457,1.384318766066838,0.5604570407078825,0.0
C: ChooseHints,2.545454545454545,3.272727272727273,1.0,0.6538461538461537,0.3999999999999999,4.916666666666667,0.4945054945054945,0.4339622641509434,5.750000000000002,0.5876288659793815,0.3369565217391305,0.4090909090909091,2.8333333333333335,1.6666666666666665,1.181818181818182,1.0952380952380953,1.7142857142857144,1.6923076923076927,1.2857142857142856,1.2428571428571429,0.8,0.5244215938303342,1.8442211055276383,0.3922222222222223,0.9720101781170483,0.0426179604261796,0.09372236958443857,0.002901353965183753,0.08505367464905038,1.8161888701517708,0.6920795429386708,4.0
C: FromPlan,2.1538461538461537,2.9189189189189193,1.1538461538461537,1.8888888888888888,2.5,4.916666666666667,2.0454545454545454,1.3529411764705883,3.8333333333333344,3.5625,3.875000000000001,1.5,2.8333333333333335,1.8421052631578947,2.166666666666667,1.277777777777778,2.0,,2.9032258064516125,1.2794117647058822,1.0,1.3289902280130292,4.448484848484847,2.27741935483871,2.260355029585799,1.5272727272727273,1.0,0.0030120481927710828,1.0,1.940540540540541,1.6144868021513759,13.0
C: Naive,2.4,3.0000000000000004,1.2500000000000002,1.7000000000000004,2.0,5.363636363636363,1.9565217391304346,1.0952380952380953,3.8333333333333344,4.071428571428571,5.166666666666667,1.2857142857142858,2.428571428571429,1.7500000000000002,2.6000000000000005,1.0697674418604652,1.7142857142857144,1.8857142857142861,1.1842105263157896,1.2083333333333333,1.0,1.4166666666666665,2.718518518518518,2.2062500000000003,1.5916666666666666,1.6153846153846152,0.6543209876543211,1.0,1.0,1.3445692883895133,1.7897038967254293,8.0
Exo: AllHints,0.23863636363636365,0.32142857142857145,0.14018691588785048,0.1370967741935484,0.11235955056179775,0.4758064516129032,0.46391752577319595,0.23711340206185572,0.2211538461538462,2.2800000000000007,0.3069306930693069,0.09183673469387757,0.8947368421052632,0.23026315789473684,0.13000000000000006,0.9583333333333335,1.5,,0.5454545454545454,0.8446601941747574,1.0,0.39193083573487025,1.219269102990033,0.08263108614232212,0.11558245083207261,0.017762740537111445,0.03540414161656647,0.000990425883129746,0.03326873385012919,0.9953789279112754,0.22679454976466515,0.0
Exo: ChooseHints,0.4941176470588235,2.4545454545454546,0.12711864406779663,0.13821138211382114,0.11235955056179775,0.04052197802197803,0.48913043478260865,0.23469387755102047,1.277777777777778,0.3653846153846154,0.3263157894736842,0.6428571428571428,1.4166666666666667,1.5909090909090908,1.0,1.0,1.3333333333333333,,1.0344827586206897,0.8285714285714286,1.3333333333333333,0.37534498620055196,0.15495039054253745,1.161184210526316,0.11519903498190588,0.013914195792612225,0.03484549638395792,0.0010010010010010006,0.03287583785509096,0.8609112709832134,0.29447562497715135,1.0
Exo: FromPlan,1.8666666666666667,2.3478260869565215,0.4285714285714286,0.5666666666666667,1.6666666666666665,0.5221238938053097,0.38135593220338987,0.6764705882352942,0.23711340206185572,2.2800000000000007,2.384615384615385,0.5294117647058824,0.15454545454545457,1.5217391304347825,0.1192660550458716,1.0,1.3333333333333333,,0.7258064516129032,0.0013226507745868613,0.8,0.9951219512195122,0.905055487053021,1.2652329749103943,1.150602409638554,0.6885245901639344,,0.0009643201542912245,,0.9633273703041144,0.4882840333293435,0.0
Exo: Naive,1.5849056603773584,2.4545454545454546,0.2173913043478261,0.06640625000000001,0.8333333333333333,1.2553191489361701,0.7142857142857143,0.638888888888889,1.3529411764705883,0.26267281105990786,2.3250000000000006,0.08411214953271029,1.1333333333333333,1.4000000000000001,1.0,0.9583333333333335,1.0,,1.0227272727272727,0.9560439560439561,0.8,0.9668246445497629,1.250425894378194,1.0261627906976745,0.11572250833080883,0.711864406779661,0.03534511503834611,0.0009765625,0.03026741110784602,0.7366621067031464,0.4607798769751586,0.0
Halide: AllHints,0.1004784688995215,,,,,,,0.03826955074875208,,,,,0.016361886429258905,,0.03485254691689008,0.003954268030602595,,,,0.0318331503841932,,0.17302798982188297,,0.815242494226328,,0.01690140845070423,0.053861788617886174,,,,0.04518087975008731,0.0
Halide: ChooseHints,,0.1067193675889328,,,,,,,,,,,,,0.009292351679771266,0.19574468085106386,,,0.03614457831325301,0.019095697980684813,0.015209125475285171,0.19272555503070385,0.017041233283803862,0.09743306651945902,0.9408866995073891,0.002240298706494198,0.11410118406889129,0.012345679012345675,,,0.04339669772736553,0.0
