version,algorithm,category,share_pct,repetitions
AllHints,2mm,invalid_algorithm,10.0,20
AllHints,2mm,invalid_code,20.0,20
AllHints,2mm,slowdown,40.0,20
AllHints,2mm,speedup_over,25.0,20
AllHints,2mm,speedup_under,5.0,20
AllHints,3mm,invalid_algorithm,15.0,20
AllHints,3mm,invalid_code,30.0,20
AllHints,3mm,slowdown,30.0,20
AllHints,3mm,speedup_over,15.0,20
AllHints,3mm,speedup_under,10.0,20
AllHints,adi,invalid_algorithm,10.0,20
AllHints,adi,invalid_code,20.0,20
AllHints,adi,slowdown,70.0,20
AllHints,adi,speedup_over,0.0,20
AllHints,adi,speedup_under,0.0,20
AllHints,atax,invalid_algorithm,0.0,20
AllHints,atax,invalid_code,35.0,20
AllHints,atax,slowdown,50.0,20
AllHints,atax,speedup_over,15.0,20
AllHints,atax,speedup_under,0.0,20
AllHints,bicg,invalid_algorithm,5.0,20
AllHints,bicg,invalid_code,25.0,20
AllHints,bicg,slowdown,50.0,20
AllHints,bicg,speedup_over,20.0,20
AllHints,bicg,speedup_under,0.0,20
AllHints,cholesky,invalid_algorithm,0.0,20
AllHints,cholesky,invalid_code,50.0,20
AllHints,cholesky,slowdown,40.0,20
AllHints,cholesky,speedup_over,0.0,20
AllHints,cholesky,speedup_under,10.0,20
AllHints,correlation,invalid_algorithm,10.0,20
AllHints,correlation,invalid_code,15.0,20
AllHints,correlation,slowdown,55.00000000000001,20
AllHints,correlation,speedup_over,10.0,20
AllHints,correlation,speedup_under,10.0,20
AllHints,covariance,invalid_algorithm,10.0,20
AllHints,covariance,invalid_code,35.0,20
AllHints,covariance,slowdown,25.0,20
AllHints,covariance,speedup_over,30.0,20
AllHints,covariance,speedup_under,0.0,20
AllHints,deriche,invalid_algorithm,0.0,20
AllHints,deriche,invalid_code,35.0,20
AllHints,deriche,slowdown,50.0,20
AllHints,deriche,speedup_over,10.0,20
AllHints,deriche,speedup_under,5.0,20
AllHints,doitgen,invalid_algorithm,10.0,20
AllHints,doitgen,invalid_code,15.0,20
AllHints,doitgen,slowdown,50.0,20
AllHints,doitgen,speedup_over,25.0,20
AllHints,doitgen,speedup_under,0.0,20
AllHints,durbin,invalid_algorithm,0.0,20
AllHints,durbin,invalid_code,40.0,20
AllHints,durbin,slowdown,10.0,20
AllHints,durbin,speedup_over,50.0,20
AllHints,durbin,speedup_under,0.0,20
AllHints,fdtd-2d,invalid_algorithm,5.0,20
AllHints,fdtd-2d,invalid_code,45.0,20
AllHints,fdtd-2d,slowdown,45.0,20
AllHints,fdtd-2d,speedup_over,0.0,20
AllHints,fdtd-2d,speedup_under,5.0,20
AllHints,floyd-warshall,invalid_algorithm,25.0,20
AllHints,floyd-warshall,invalid_code,0.0,20
AllHints,floyd-warshall,slowdown,50.0,20
AllHints,floyd-warshall,speedup_over,25.0,20
AllHints,floyd-warshall,speedup_under,0.0,20
AllHints,gemm,invalid_algorithm,0.0,20
AllHints,gemm,invalid_code,40.0,20
AllHints,gemm,slowdown,50.0,20
AllHints,gemm,speedup_over,0.0,20
AllHints,gemm,speedup_under,10.0,20
AllHints,gemver,invalid_algorithm,0.0,20
AllHints,gemver,invalid_code,25.0,20
AllHints,gemver,slowdown,65.0,20
AllHints,gemver,speedup_over,10.0,20
AllHints,gemver,speedup_under,0.0,20
AllHints,gesummv,invalid_algorithm,0.0,20
AllHints,gesummv,invalid_code,30.0,20
AllHints,gesummv,slowdown,55.00000000000001,20
AllHints,gesummv,speedup_over,15.0,20
AllHints,gesummv,speedup_under,0.0,20
AllHints,gramschmidt,invalid_algorithm,0.0,20
AllHints,gramschmidt,invalid_code,100.0,20
AllHints,gramschmidt,slowdown,0.0,20
AllHints,gramschmidt,speedup_over,0.0,20
AllHints,gramschmidt,speedup_under,0.0,20
AllHints,heat-3d,invalid_algorithm,0.0,20
AllHints,heat-3d,invalid_code,25.0,20
AllHints,heat-3d,slowdown,75.0,20
AllHints,heat-3d,speedup_over,0.0,20
AllHints,heat-3d,speedup_under,0.0,20
AllHints,jacobi-1d,invalid_algorithm,15.0,20
AllHints,jacobi-1d,invalid_code,15.0,20
AllHints,jacobi-1d,slowdown,55.00000000000001,20
AllHints,jacobi-1d,speedup_over,0.0,20
AllHints,jacobi-1d,speedup_under,15.0,20
AllHints,jacobi-2d,invalid_algorithm,15.0,20
AllHints,jacobi-2d,invalid_code,25.0,20
AllHints,jacobi-2d,slowdown,60.0,20
AllHints,jacobi-2d,speedup_over,0.0,20
AllHints,jacobi-2d,speedup_under,0.0,20
AllHints,lu,invalid_algorithm,0.0,20
AllHints,lu,invalid_code,25.0,20
AllHints,lu,slowdown,35.0,20
AllHints,lu,speedup_over,40.0,20
AllHints,lu,speedup_under,0.0,20
AllHints,ludcmp,invalid_algorithm,0.0,20
AllHints,ludcmp,invalid_code,35.0,20
AllHints,ludcmp,slowdown,30.0,20
AllHints,ludcmp,speedup_over,15.0,20
AllHints,ludcmp,speedup_under,20.0,20
AllHints,mvt,invalid_algorithm,0.0,20
AllHints,mvt,invalid_code,20.0,20
AllHints,mvt,slowdown,65.0,20
AllHints,mvt,speedup_over,15.0,20
AllHints,mvt,speedup_under,0.0,20
AllHints,nussinov,invalid_algorithm,0.0,20
AllHints,nussinov,invalid_code,65.0,20
AllHints,nussinov,slowdown,35.0,20
AllHints,nussinov,speedup_over,0.0,20
AllHints,nussinov,speedup_under,0.0,20
AllHints,seidel-2d,invalid_algorithm,10.0,20
AllHints,seidel-2d,invalid_code,35.0,20
AllHints,seidel-2d,slowdown,20.0,20
AllHints,seidel-2d,speedup_over,30.0,20
AllHints,seidel-2d,speedup_under,5.0,20
AllHints,symm,invalid_algorithm,0.0,20
AllHints,symm,invalid_code,40.0,20
