framework,version,algorithm,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
c,AllHints,2mm,1,MINI,0.45238095238095244,4.2e-05,1.9e-05,c
c,AllHints,2mm,2,MINI,0.504424778761062,3.766666666666667e-05,1.9e-05,c
c,AllHints,2mm,3,MINI,1.096153846153846,1.7333333333333336e-05,1.9e-05,c
c,AllHints,2mm,4,MINI,0.14540816326530615,0.00013066666666666665,1.9e-05,c
c,AllHints,2mm,5,MINI,0.19860627177700352,9.566666666666666e-05,1.9e-05,c
c,ChooseHints,2mm,1,MINI,0.5876288659793815,3.233333333333333e-05,1.9e-05,c
c,ChooseHints,2mm,2,MINI,0.19453924914675771,9.766666666666665e-05,1.9e-05,c
c,ChooseHints,2mm,3,MINI,0.19127516778523493,9.933333333333333e-05,1.9e-05,c
c,ChooseHints,2mm,4,MINI,0.35403726708074534,5.366666666666667e-05,1.9e-05,c
c,ChooseHints,2mm,5,MINI,0.20802919708029197,9.133333333333334e-05,1.9e-05,c
c,FromPlan,2mm,1,MINI,3.5624999999999996,5.3333333333333345e-06,1.9e-05,c
c,FromPlan,2mm,2,MINI,3.3529411764705883,5.666666666666667e-06,1.9e-05,c
c,FromPlan,2mm,3,MINI,3.5624999999999996,5.3333333333333345e-06,1.9e-05,c
c,FromPlan,2mm,4,MINI,3.3529411764705883,5.666666666666667e-06,1.9e-05,c
c,FromPlan,2mm,5,MINI,3.3529411764705883,5.666666666666667e-06,1.9e-05,c
c,Naive,2mm,1,MINI,1.1176470588235294,1.7e-05,1.9e-05,c
c,Naive,2mm,2,MINI,3.5624999999999996,5.3333333333333345e-06,1.9e-05,c
c,Naive,2mm,3,MINI,4.071428571428571,4.666666666666667e-06,1.9e-05,c
c,Naive,2mm,4,MINI,1.3902439024390243,1.3666666666666667e-05,1.9e-05,c
c,Naive,2mm,5,MINI,3.5625000000000004,5.333333333333333e-06,1.9e-05,c
c,standard,2mm,1,MINI,1.0,1.9e-05,1.9e-05,c
exo,AllHints,2mm,2,MINI,2.2800000000000007,8.333333333333332e-06,1.9e-05,c
exo,AllHints,2mm,3,MINI,0.35403726708074534,5.366666666666667e-05,1.9e-05,c
exo,AllHints,2mm,4,MINI,0.3518518518518519,5.399999999999999e-05,1.9e-05,c
exo,AllHints,2mm,5,MINI,0.2446351931330472,7.766666666666667e-05,1.9e-05,c
exo,ChooseHints,2mm,1,MINI,0.3653846153846154,5.2e-05,1.9e-05,c
exo,ChooseHints,2mm,2,MINI,0.22529644268774707,8.433333333333333e-05,1.9e-05,c
exo,ChooseHints,2mm,3,MINI,0.3220338983050847,5.9000000000000004e-05,1.9e-05,c
exo,ChooseHints,2mm,4,MINI,0.3131868131868132,6.0666666666666666e-05,1.9e-05,c
exo,ChooseHints,2mm,5,MINI,0.19655172413793104,9.666666666666667e-05,1.9e-05,c
exo,FromPlan,2mm,1,MINI,2.2800000000000007,8.333333333333332e-06,1.9e-05,c
exo,FromPlan,2mm,3,MINI,2.2800000000000007,8.333333333333332e-06,1.9e-05,c
exo,Naive,2mm,1,MINI,0.19387755102040818,9.8e-05,1.9e-05,c
exo,Naive,2mm,2,MINI,0.18627450980392157,0.000102,1.9e-05,c
exo,Naive,2mm,5,MINI,0.26267281105990786,7.233333333333333e-05,1.9e-05,c
exo,standard,2mm,1,MINI,0.8636363636363635,2.2000000000000003e-05,1.9e-05,c
exo,standard,2mm,2,MINI,0.8636363636363635,2.2000000000000003e-05,1.9e-05,c
exo,standard,2mm,3,MINI,0.8906250000000001,2.133333333333333e-05,1.9e-05,c
exo,standard,2mm,4,MINI,0.7808219178082192,2.4333333333333333e-05,1.9e-05,c
exo,standard,2mm,5,MINI,0.8636363636363635,2.2000000000000003e-05,1.9e-05,c
halide,standard,2mm,1,MINI,0.4913793103448276,3.866666666666667e-05,1.9e-05,c
halide,standard,2mm,2,MINI,0.5044247787610621,3.766666666666666e-05,1.9e-05,c
halide,standard,2mm,3,MINI,0.4488188976377953,4.233333333333333e-05,1.9e-05,c
halide,standard,2mm,4,MINI,0.1096153846153846,0.00017333333333333336,1.9e-05,c
halide,standard,2mm,5,MINI,0.11176470588235293,0.00017,1.9e-05,c
noarr,AllHints,2mm,1,MINI,3.5624999999999996,5.3333333333333345e-06,1.9e-05,c
noarr,AllHints,2mm,2,MINI,0.00796311818943839,0.002386,1.9e-05,c
noarr,AllHints,2mm,3,MINI,3.8,5e-06,1.9e-05,c
noarr,AllHints,2mm,4,MINI,3.8,5e-06,1.9e-05,c
noarr,AllHints,2mm,5,MINI,3.8,5e-06,1.9e-05,c
noarr,ChooseHints,2mm,1,MINI,3.8,5e-06,1.9e-05,c
noarr,ChooseHints,2mm,2,MINI,3.166666666666667,6e-06,1.9e-05,c
noarr,ChooseHints,2mm,3,MINI,3.8,5e-06,1.9e-05,c
noarr,ChooseHints,2mm,4,MINI,3.8,5e-06,1.9e-05,c
noarr,ChooseHints,2mm,5,MINI,3.8,5e-06,1.9e-05,c
noarr,FromPlan,2mm,1,MINI,0.4913793103448276,3.866666666666667e-05,1.9e-05,c
noarr,FromPlan,2mm,2,MINI,0.43181818181818177,4.4000000000000006e-05,1.9e-05,c
noarr,FromPlan,2mm,3,MINI,0.47107438016528924,4.0333333333333336e-05,1.9e-05,c
noarr,FromPlan,2mm,4,MINI,1.0,1.9e-05,1.9e-05,c
noarr,FromPlan,2mm,5,MINI,0.7402597402597403,2.5666666666666666e-05,1.9e-05,c
noarr,Naive,2mm,1,MINI,3.8,5e-06,1.9e-05,c
noarr,Naive,2mm,2,MINI,3.8,5e-06,1.9e-05,c
noarr,Naive,2mm,3,MINI,1.0961538461538463,1.7333333333333332e-05,1.9e-05,c
noarr,Naive,2mm,4,MINI,3.5624999999999996,5.3333333333333345e-06,1.9e-05,c
noarr,Naive,2mm,5,MINI,3.8,5e-06,1.9e-05,c
noarr,standard,2mm,1,MINI,0.7916666666666667,2.4e-05,1.9e-05,c
noarr,standard,2mm,2,MINI,3.166666666666667,6e-06,1.9e-05,c
noarr,standard,2mm,3,MINI,0.7702702702702703,2.466666666666667e-05,1.9e-05,c
noarr,standard,2mm,4,MINI,3.166666666666667,6e-06,1.9e-05,c
noarr,standard,2mm,5,MINI,0.7808219178082192,2.4333333333333333e-05,1.9e-05,c
c,AllHints,3mm,1,MINI,1.55,2e-05,3.1e-05,c
c,AllHints,3mm,2,MINI,0.44497607655502397,6.966666666666666e-05,3.1e-05,c
c,AllHints,3mm,4,MINI,0.19294605809128632,0.00016066666666666668,3.1e-05,c
c,AllHints,3mm,5,MINI,0.17547169811320756,0.00017666666666666666,3.1e-05,c
c,ChooseHints,3mm,1,MINI,0.3163265306122449,9.8e-05,3.1e-05,c
c,ChooseHints,3mm,2,MINI,0.33695652173913043,9.2e-05,3.1e-05,c
c,ChooseHints,3mm,3,MINI,0.3120805369127517,9.933333333333333e-05,3.1e-05,c
c,ChooseHints,3mm,4,MINI,0.2971246006389776,0.00010433333333333334,3.1e-05,c
c,FromPlan,3mm,1,MINI,3.7200000000000006,8.333333333333332e-06,3.1e-05,c
c,FromPlan,3mm,2,MINI,0.37200000000000005,8.333333333333333e-05,3.1e-05,c
c,FromPlan,3mm,3,MINI,3.7200000000000006,8.333333333333332e-06,3.1e-05,c
c,FromPlan,3mm,4,MINI,3.8750000000000004,8e-06,3.1e-05,c
c,FromPlan,3mm,5,MINI,3.8750000000000004,8e-06,3.1e-05,c
c,Naive,3mm,1,MINI,2.6571428571428575,1.1666666666666666e-05,3.1e-05,c
c,Naive,3mm,2,MINI,5.166666666666667,6e-06,3.1e-05,c
c,Naive,3mm,3,MINI,4.428571428571429,7e-06,3.1e-05,c
c,Naive,3mm,4,MINI,4.650000000000001,6.666666666666666e-06,3.1e-05,c
c,Naive,3mm,5,MINI,3.8750000000000004,8e-06,3.1e-05,c
c,standard,3mm,1,MINI,1.0,3.1e-05,3.1e-05,c
exo,AllHints,3mm,3,MINI,0.3069306930693069,0.000101,3.1e-05,c
exo,AllHints,3mm,4,MINI,0.29807692307692313,0.000104,3.1e-05,c
exo,ChooseHints,3mm,1,MINI,0.2990353697749196,0.00010366666666666666,3.1e-05,c
exo,ChooseHints,3mm,2,MINI,0.2784431137724551,0.00011133333333333333,3.1e-05,c
exo,ChooseHints,3mm,3,MINI,0.30097087378640774,0.00010300000000000001,3.1e-05,c
exo,ChooseHints,3mm,4,MINI,0.3263157894736842,9.499999999999999e-05,3.1e-05,c
exo,FromPlan,3mm,3,MINI,2.384615384615385,1.3e-05,3.1e-05,c
exo,FromPlan,3mm,4,MINI,0.3206896551724138,9.666666666666667e-05,3.1e-05,c
exo,FromPlan,3mm,5,MINI,2.384615384615385,1.3e-05,3.1e-05,c
exo,Naive,3mm,1,MINI,0.3049180327868853,0.00010166666666666667,3.1e-05,c
exo,Naive,3mm,2,MINI,0.6326530612244898,4.9e-05,3.1e-05,c
exo,Naive,3mm,3,MINI,0.16878402903811252,0.0001836666666666667,3.1e-05,c
exo,Naive,3mm,4,MINI,2.3250000000000006,1.3333333333333332e-05,3.1e-05,c
exo,Naive,3mm,5,MINI,0.24603174603174605,0.000126,3.1e-05,c
exo,standard,3mm,1,MINI,0.8611111111111112,3.6e-05,3.1e-05,c
exo,standard,3mm,2,MINI,0.808695652173913,3.8333333333333334e-05,3.1e-05,c
exo,standard,3mm,3,MINI,0.9207920792079208,3.366666666666667e-05,3.1e-05,c
exo,standard,3mm,4,MINI,0.911764705882353,3.4e-05,3.1e-05,c
exo,standard,3mm,5,MINI,0.9207920792079208,3.366666666666667e-05,3.1e-05,c
halide,standard,3mm,1,MINI,0.11596009975062344,0.00026733333333333334,3.1e-05,c
halide,standard,3mm,2,MINI,0.115527950310559,0.00026833333333333337,3.1e-05,c
halide,standard,3mm,3,MINI,0.636986301369863,4.8666666666666666e-05,3.1e-05,c
halide,standard,3mm,4,MINI,0.6642857142857144,4.6666666666666665e-05,3.1e-05,c
halide,standard,3mm,5,MINI,0.11596009975062344,0.00026733333333333334,3.1e-05,c
noarr,AllHints,3mm,1,MINI,1.0568181818181819,2.9333333333333333e-05,3.1e-05,c
noarr,AllHints,3mm,2,MINI,1.690909090909091,1.8333333333333333e-05,3.1e-05,c
