framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
c,AllHints,1,26,5,130,112,0.8615384615384616,1.0026759096065267,1.1681543756145525,0.657712904915852,2.139430764310841,112,1.4711183202165132,47.111832021651324,c,130,112,18,9,0,8,1,0
c,AllHints,2,26,10,260,247,0.95,1.2120672731330284,1.351799706170421,0.7974683544303798,2.7796610169491522,247,1.679786684376368,67.9786684376368,c,130,112,18,9,0,8,1,0
c,AllHints,3,26,10,260,250,0.9615384615384616,1.3585039165670716,1.4000000000000001,1.026315789473684,3.2447552447552446,250,1.7976828772767557,79.76828772767557,c,130,112,18,9,0,8,1,0
c,AllHints,4,26,5,130,125,0.9615384615384616,1.4703692154843413,1.4420468557336623,1.1479935362240778,3.2586805555555562,125,1.8708456901034074,87.08456901034074,c,130,112,18,9,0,8,1,0
c,AllHints,5,26,1,26,25,0.9615384615384616,1.566403848848881,1.467741935483871,1.178,3.2586805555555562,25,1.9293155489322562,92.93155489322562,c,130,112,18,9,0,8,1,0
c,ChooseHints,1,26,5,130,113,0.8692307692307693,0.9855829674854523,1.213418319687895,0.4913793103448276,2.484848484848485,113,1.5382330706065508,53.82330706065508,c,130,113,17,10,1,5,1,0
c,ChooseHints,2,26,10,260,252,0.9692307692307692,1.1891164552964861,1.4318702804746493,0.7301741501129438,2.7563025210084033,252,1.7590024598697995,75.90024598697995,c,130,113,17,10,1,5,1,0
c,ChooseHints,3,26,10,260,258,0.9923076923076923,1.2967549648366532,1.5915133871806355,1.0194929442717056,2.8771929824561404,258,1.8515928617179074,85.15928617179074,c,130,113,17,10,1,5,1,0
c,ChooseHints,4,26,5,130,130,1.0,1.375133574621553,1.7418247880500604,1.050986842105263,2.8771929824561404,130,1.9101868668412514,91.01868668412514,c,130,113,17,10,1,5,1,0
c,ChooseHints,5,26,1,26,26,1.0,1.4265878439065143,1.78630785083153,1.1376621756487024,2.79281537176274,26,1.9438078721709593,94.38078721709593,c,130,113,17,10,1,5,1,0
