framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
c,AllHints,150,130,0.8666666666666667,86.66666666666667,130,1.1497636392776833,1.0065203137870213,0.6167148644622158,2.1307271733187534,1.5140123088565376,1.5960636656033307,29,30,c
c,ChooseHints,150,133,0.8866666666666667,88.66666666666667,133,1.1756487025948101,0.9803474806694936,0.47197640117994094,2.484848484848485,2.012872083668544,1.4711398998862637,30,30,c
c,FromPlan,150,137,0.9133333333333333,91.33333333333333,137,1.4627659574468088,1.3838752237205127,1.017857142857143,2.567715458276334,1.549858315419191,1.823854993385266,29,30,c
c,Naive,150,137,0.9133333333333333,91.33333333333333,137,1.2733825394994809,1.5163758549652269,1.0093645484949834,2.5,1.4906354515050166,1.875975063676255,30,30,c
exo,AllHints,150,104,0.6933333333333334,69.33333333333334,104,0.7864198982256052,0.5049516363672852,0.3852434075735046,1.1256263995784799,0.7403829920049753,0.8267734789126548,29,30,c
exo,ChooseHints,150,99,0.66,66.0,99,0.9512195121951218,0.6982270198160376,0.5708798718398211,1.6982257811273356,1.1273459092875144,0.9076575051736352,29,30,c
exo,FromPlan,150,67,0.44666666666666666,44.666666666666664,67,0.9915173074291969,0.684730524740426,0.603985723944248,1.538309728349199,0.9343240044049511,0.7893961287738711,27,30,c
exo,Naive,150,93,0.62,62.0,93,0.9815950920245397,0.6835404323460904,0.5671641791044776,1.4394387001477102,0.8722745210432327,0.9719091177432804,29,30,c
halide,AllHints,150,35,0.23333333333333334,23.333333333333332,35,0.16717948717948722,0.1573813936846269,0.06008001396192881,0.4528804773082943,0.3928004633463655,0.20025000066270374,16,30,c
halide,ChooseHints,150,37,0.24666666666666667,24.666666666666668,37,0.15671285236502627,0.12861572551844644,0.05840414129176282,0.38174946004319654,0.32334531875143374,0.2001003022626714,18,30,c
halide,FromPlan,150,34,0.22666666666666666,22.666666666666664,34,0.10457203812010354,0.13514966868662898,0.04086846337930693,0.408896658896659,0.36802819551735205,0.13194522300296968,17,30,c
halide,Naive,150,41,0.2733333333333333,27.333333333333332,41,0.2006842724259596,0.21935711388935833,0.09321313148494641,0.6244952893674294,0.531282157882483,0.29276048918284175,18,30,c
noarr,AllHints,150,128,0.8533333333333334,85.33333333333334,128,1.2178209411980985,0.714453616621393,0.43859086766997774,2.106791155704199,1.6682002880342215,1.7672392856199912,27,30,c
noarr,ChooseHints,150,128,0.8533333333333334,85.33333333333334,128,1.3466886205634834,0.9969302872752719,0.9987434328388252,2.4705882352941178,1.4718448024552926,1.8143928957567768,27,30,c
noarr,FromPlan,150,118,0.7866666666666666,78.66666666666666,118,1.3200103625340525,1.2991609768047623,0.9548917808664027,2.039878731343284,1.0849869504768814,1.8495897264388885,27,30,c
noarr,Naive,150,126,0.84,84.0,126,1.468094011062056,1.4969684477629543,1.115021115479831,3.0916666666666663,1.9766455511868353,2.1230289133730413,27,30,c
