framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
c,AllHints,1,30,5,150,129,0.86,2.118837801928052,1.777969096386567,1.0532334330411677,4.869018457313461,129,2.212175122789721,121.21751227897208,c,150,129,21,11,0,9,2,0
c,AllHints,2,30,10,300,287,0.9566666666666667,2.472380578392974,2.2945089172990665,1.1713277969846008,6.074836408794712,287,2.700079777437334,170.00797774373342,c,150,129,21,11,0,9,2,0
c,AllHints,3,30,10,300,290,0.9666666666666667,2.7254232601787414,2.4004956858382345,1.299948945741709,7.052561655193101,290,2.942631000490038,194.26310004900378,c,150,129,21,11,0,9,2,0
c,AllHints,4,30,5,150,145,0.9666666666666667,2.919155875325421,2.5874025774736733,1.3612641122769413,7.515368018591502,145,3.10682521521929,210.682521521929,c,150,129,21,11,0,9,2,0
c,AllHints,5,30,1,30,29,0.9666666666666667,3.084467723088546,2.5874025774736733,1.4513841204432951,7.515368018591502,29,3.2407532295925763,224.07532295925762,c,150,129,21,11,0,9,2,0
c,ChooseHints,1,30,5,150,133,0.8866666666666667,2.050079524972725,1.7810281865565607,1.019072884091391,4.448848101229746,133,2.2074844947076473,120.74844947076473,c,150,133,17,10,1,5,1,0
c,ChooseHints,2,30,10,300,292,0.9733333333333334,2.366499403540786,2.3476308526388143,1.1909161920770168,5.425210905684746,292,2.694233223339629,169.42332233396291,c,150,133,17,10,1,5,1,0
c,ChooseHints,3,30,10,300,298,0.9933333333333333,2.5396078294670845,2.4124968708014705,1.2343260713424067,5.963684562370422,298,2.909361718027851,190.9361718027851,c,150,133,17,10,1,5,1,0
c,ChooseHints,4,30,5,150,150,1.0,2.6666357876137026,2.4124968708014705,1.4590768689037348,6.38874591232373,150,3.049469116909077,204.94691169090768,c,150,133,17,10,1,5,1,0
c,ChooseHints,5,30,1,30,30,1.0,2.77332977327346,2.4321699852348715,1.4759598425320524,6.43326065753431,30,3.149840851089855,214.98408510898548,c,150,133,17,10,1,5,1,0
c,FromPlan,1,30,5,150,137,0.9133333333333333,1.6769508209312523,1.8063742904737663,1.2315915842675915,2.947695791250429,137,1.8204987871262492,82.04987871262492,c,150,137,13,8,0,5,0,0
c,FromPlan,2,30,10,300,290,0.9666666666666667,1.8183870570182692,1.9019443815252124,1.3609555349878963,3.154399469335341,290,2.048756995523338,104.8756995523338,c,150,137,13,8,0,5,0,0
c,FromPlan,3,30,10,300,290,0.9666666666666667,1.968193510017107,2.0404789251996895,1.445645086950236,3.352208472890455,290,2.196360068841782,119.63600688417819,c,150,137,13,8,0,5,0,0
c,FromPlan,4,30,5,150,145,0.9666666666666667,2.0923888058697844,2.3608691082845406,1.5030886601294342,3.415889970654822,145,2.3186502502804704,131.86502502804706,c,150,137,13,8,0,5,0,0
c,FromPlan,5,30,1,30,29,0.9666666666666667,2.2079983133654704,2.3945417229661174,1.5420410728143517,3.5809372254277476,29,2.431055853675982,143.10558536759822,c,150,137,13,8,0,5,0,0
c,Naive,1,30,5,150,137,0.9133333333333333,1.6162333756392389,1.3844376519201573,1.045753741558054,2.4384141923003613,137,1.5949247555891501,59.49247555891502,c,150,137,13,8,0,5,0,0
c,Naive,2,30,10,300,293,0.9766666666666667,1.7683514119906405,1.4333958522568948,1.0815936062095428,3.0594291189776097,293,1.7673649389115562,76.73649389115562,c,150,137,13,8,0,5,0,0
c,Naive,3,30,10,300,296,0.9866666666666667,1.8746444122672568,1.6168447644103547,1.1675512477319339,3.179625803480195,296,1.866266447816498,86.62664478164982,c,150,137,13,8,0,5,0,0
c,Naive,4,30,5,150,149,0.9933333333333333,1.9434496613084729,1.8414925342971669,1.1819398339289002,3.246644074514897,149,1.9382791874574246,93.82791874574245,c,150,137,13,8,0,5,0,0
c,Naive,5,30,1,30,30,1.0,1.9916797580846164,1.8871005841597652,1.2775506429580403,3.2298895067562214,30,1.9948449497476637,99.48449497476636,c,150,137,13,8,0,5,0,0
exo,AllHints,1,30,5,150,104,0.6933333333333334,1.1430259386211266,1.1996048869418239,0.8806235626171551,2.966998704368331,104,1.53814217785108,53.814217785108,c,150,104,46,39,0,7,0,0
exo,AllHints,2,30,10,300,259,0.8633333333333333,1.385922573108829,1.268121916747544,0.9092552951566839,3.526537586607729,259,1.8045089565705925,80.45089565705925,c,150,104,46,39,0,7,0,0
exo,AllHints,3,30,10,300,279,0.93,1.5152620738836442,1.4967039632716435,0.9315895772973004,4.145019178260317,279,1.9479595963556058,94.79595963556058,c,150,104,46,39,0,7,0,0
exo,AllHints,4,30,5,150,144,0.96,1.62591584844311,1.570472581653377,0.9330836423976557,4.145019178260317,144,2.0481899556189442,104.81899556189443,c,150,104,46,39,0,7,0,0
exo,AllHints,5,30,1,30,29,0.9666666666666667,1.7186538530276858,1.6453092746105695,0.9975851255917235,4.145019178260317,29,2.118791059674932,111.8791059674932,c,150,104,46,39,0,7,0,0
exo,ChooseHints,1,30,5,150,99,0.66,1.4450547767177242,1.528263944865613,0.9085564258771408,4.3643464178060976,99,1.6153052805357548,61.53052805357548,c,150,99,51,46,0,5,0,0
