framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
c,AllHints,130,111,0.8538461538461538,85.38461538461539,111,1.6241214659320675,1.982791741545074,1.0240772500368778,4.774816875312549,3.7507396252756715,2.8529271336030244,25,26,c
c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,1.6640900176225046,1.9510515613179005,1.0587372071435617,4.016530853343496,2.957793646199934,2.4871531175329866,26,26,c
c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,1.7849702213604568,1.6317441969898343,1.2689978365892136,2.899490704616878,1.6304928680276642,2.1314973374635766,25,26,c
c,Naive,130,118,0.9076923076923077,90.76923076923077,118,1.406915288329607,1.6354775841398317,1.055352965172798,2.4387300624117154,1.3833770972389174,2.023597363516741,26,26,c
exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,1.0798725586763507,0.992338188426171,0.8405714801253491,2.6938351922693156,1.8532637121439666,1.5670629222660033,25,26,c
exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,1.332750564428814,1.3087332892893389,0.8943009907872197,2.9862825542981435,2.091981563510924,1.616702923666955,25,26,c
exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,1.0422850568933297,0.9085552949119026,0.7585252447117196,2.615620362309649,1.8570951175979293,1.0201213534943547,24,26,c
exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,1.08483000845577,1.1423035246495976,0.8489785500029424,1.9897302539479338,1.1407517039449915,1.5175325782931561,25,26,c
halide,AllHints,130,13,0.1,10.0,13,0.2003853929491781,0.21054793570179792,0.08384498276752075,0.546090478185878,0.46224549541835724,0.29732535282900474,9,26,c
halide,ChooseHints,130,18,0.13846153846153847,13.846153846153847,18,0.21921355344064594,0.1938390174477382,0.12311707672130999,0.4513035732006734,0.3281864964793634,0.19230790510159054,11,26,c
halide,FromPlan,130,17,0.13076923076923078,13.076923076923078,17,0.19311557148732153,0.35885901708442325,0.09121225838296106,1.075713314602895,0.9845010562199339,0.30474060930338925,12,26,c
halide,Naive,130,14,0.1076923076923077,10.76923076923077,14,0.30285266935300653,0.25855175444424766,0.11836151696847654,0.8171792997299239,0.6988177827614473,0.32126761758394357,10,26,c
noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,1.1982910671079852,1.062014686415117,1.006354373119366,2.035312576465965,1.028958203346599,1.866009332031774,23,26,c
noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,1.1978588987411016,1.083108957946775,1.0312109078752945,2.2480394223740325,1.216828514498738,1.696704954915607,23,26,c
noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,1.279166961577725,1.2859294541866755,1.0049937320044493,1.615255210009681,0.6102614780052318,1.6892761005961447,23,26,c
noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,1.2437714145720768,1.3684713922078144,1.0482020016846625,2.5286804852124227,1.4804784835277602,1.8103166385964553,23,26,c
