data_type,framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
DOUBLE,c,AllHints,130,111,0.8538461538461538,85.38461538461539,111,1.0218222769963028,1.4125377364261604,0.5683294228685929,2.382334421815833,1.8140049989472402,1.9817798699713773,25,26,c|polly
DOUBLE,c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,1.0312463848876023,1.1607919026320768,0.5408176138915136,2.297334558823529,1.7565169449320153,1.8251396299855804,26,26,c|polly
DOUBLE,c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,0.5652082234746625,0.4885030849863508,0.20650620156583038,1.415302387483075,1.2087961859172447,0.9658522262458668,25,26,c|polly
DOUBLE,c,Naive,130,118,0.9076923076923077,90.76923076923077,118,0.6053164749295904,0.3882812322195977,0.14169655442948859,1.0140925420953049,0.8723959876658163,0.6178590773116632,26,26,c|polly
DOUBLE,exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,0.8680653477971528,0.8132161699856144,0.39229380836537703,1.4131803728411998,1.0208865644758227,1.3199141643334367,25,26,c|polly
DOUBLE,exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,0.6777386117136659,0.801675636154146,0.3679245374919908,1.4109870301726821,1.0430624926806913,1.1703181245863987,25,26,c|polly
DOUBLE,exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,0.37328175812673736,0.3010006494700168,0.08876524945243985,1.0034289437526385,0.9146636943001987,0.47366265498434446,24,26,c|polly
DOUBLE,exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,0.5730064698066906,0.4293746428095264,0.1805565109152086,1.0066161503796582,0.8260596394644496,0.9594404760444804,25,26,c|polly
DOUBLE,halide,AllHints,130,33,0.25384615384615383,25.384615384615383,33,0.44222300493429356,0.5870429870728684,0.2952830059917835,1.1464299419494577,0.8511469359576742,0.6519408656366745,15,26,c|polly
DOUBLE,halide,ChooseHints,130,34,0.26153846153846155,26.153846153846157,34,0.577266771680202,0.5868295263332983,0.21893820000206551,1.1339448789438833,0.9150066789418178,0.7995224886767459,17,26,c|polly
DOUBLE,halide,FromPlan,130,28,0.2153846153846154,21.53846153846154,28,0.646740744094659,0.7350065663490053,0.20681007540596688,1.135683037089131,0.9288729616831642,0.7054229167868684,15,26,c|polly
DOUBLE,halide,Naive,130,42,0.3230769230769231,32.30769230769231,42,0.661928067343085,0.7433298343589338,0.35854715892890643,1.1237916233355694,0.7652444644066629,0.9540570187280341,19,26,c|polly
DOUBLE,noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,0.5842804347468815,0.3932002609854652,0.11685430025653332,1.2400502956830624,1.1231959954265291,0.742624882694798,23,26,c|polly
DOUBLE,noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,0.5182463213184828,0.30169898215915913,0.07302928866015018,1.0393499329905167,0.9663206443303665,0.42429136758440433,23,26,c|polly
DOUBLE,noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,0.40340550593589153,0.2854330268669726,0.13329324090534542,1.034702457591706,0.9014092166863606,0.36639003423526956,23,26,c|polly
DOUBLE,noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,0.40642276422764223,0.26010251110634386,0.06507842917404802,0.7738928871689137,0.7088144579948656,0.3743622954189559,23,26,c|polly
