data_type,version,algorithm,category,share_pct,repetitions
DOUBLE,AllHints,3mm,invalid_algorithm,20.0,20
DOUBLE,AllHints,3mm,invalid_code,25.0,20
DOUBLE,AllHints,3mm,slowdown,55.00000000000001,20
DOUBLE,AllHints,3mm,speedup_over,0.0,20
DOUBLE,AllHints,3mm,speedup_under,0.0,20
DOUBLE,AllHints,adi,invalid_algorithm,15.0,20
DOUBLE,AllHints,adi,invalid_code,15.0,20
DOUBLE,AllHints,adi,slowdown,50.0,20
DOUBLE,AllHints,adi,speedup_over,0.0,20
DOUBLE,AllHints,adi,speedup_under,20.0,20
DOUBLE,AllHints,atax,invalid_algorithm,15.0,20
DOUBLE,AllHints,atax,invalid_code,20.0,20
DOUBLE,AllHints,atax,slowdown,40.0,20
DOUBLE,AllHints,atax,speedup_over,25.0,20
DOUBLE,AllHints,atax,speedup_under,0.0,20
DOUBLE,AllHints,bicg,invalid_algorithm,20.0,20
DOUBLE,AllHints,bicg,invalid_code,10.0,20
DOUBLE,AllHints,bicg,slowdown,50.0,20
DOUBLE,AllHints,bicg,speedup_over,20.0,20
DOUBLE,AllHints,bicg,speedup_under,0.0,20
DOUBLE,AllHints,cholesky,invalid_algorithm,15.0,20
DOUBLE,AllHints,cholesky,invalid_code,35.0,20
DOUBLE,AllHints,cholesky,slowdown,30.0,20
DOUBLE,AllHints,cholesky,speedup_over,0.0,20
DOUBLE,AllHints,cholesky,speedup_under,20.0,20
DOUBLE,AllHints,correlation,invalid_algorithm,15.0,20
DOUBLE,AllHints,correlation,invalid_code,10.0,20
DOUBLE,AllHints,correlation,slowdown,70.0,20
DOUBLE,AllHints,correlation,speedup_over,5.0,20
DOUBLE,AllHints,correlation,speedup_under,0.0,20
DOUBLE,AllHints,covariance,invalid_algorithm,25.0,20
DOUBLE,AllHints,covariance,invalid_code,20.0,20
DOUBLE,AllHints,covariance,slowdown,50.0,20
DOUBLE,AllHints,covariance,speedup_over,0.0,20
DOUBLE,AllHints,covariance,speedup_under,5.0,20
DOUBLE,AllHints,deriche,invalid_algorithm,10.0,20
DOUBLE,AllHints,deriche,invalid_code,25.0,20
DOUBLE,AllHints,deriche,slowdown,20.0,20
DOUBLE,AllHints,deriche,speedup_over,45.0,20
DOUBLE,AllHints,deriche,speedup_under,0.0,20
DOUBLE,AllHints,doitgen,invalid_algorithm,25.0,20
DOUBLE,AllHints,doitgen,invalid_code,0.0,20
DOUBLE,AllHints,doitgen,slowdown,5.0,20
DOUBLE,AllHints,doitgen,speedup_over,70.0,20
DOUBLE,AllHints,doitgen,speedup_under,0.0,20
DOUBLE,AllHints,durbin,invalid_algorithm,20.0,20
DOUBLE,AllHints,durbin,invalid_code,20.0,20
DOUBLE,AllHints,durbin,slowdown,30.0,20
DOUBLE,AllHints,durbin,speedup_over,5.0,20
DOUBLE,AllHints,durbin,speedup_under,25.0,20
DOUBLE,AllHints,fdtd-2d,invalid_algorithm,10.0,20
DOUBLE,AllHints,fdtd-2d,invalid_code,40.0,20
DOUBLE,AllHints,fdtd-2d,slowdown,10.0,20
DOUBLE,AllHints,fdtd-2d,speedup_over,40.0,20
DOUBLE,AllHints,fdtd-2d,speedup_under,0.0,20
DOUBLE,AllHints,gemver,invalid_algorithm,0.0,20
DOUBLE,AllHints,gemver,invalid_code,25.0,20
DOUBLE,AllHints,gemver,slowdown,10.0,20
DOUBLE,AllHints,gemver,speedup_over,65.0,20
DOUBLE,AllHints,gemver,speedup_under,0.0,20
DOUBLE,AllHints,gesummv,invalid_algorithm,20.0,20
DOUBLE,AllHints,gesummv,invalid_code,10.0,20
DOUBLE,AllHints,gesummv,slowdown,20.0,20
DOUBLE,AllHints,gesummv,speedup_over,50.0,20
DOUBLE,AllHints,gesummv,speedup_under,0.0,20
DOUBLE,AllHints,gramschmidt,invalid_algorithm,70.0,20
DOUBLE,AllHints,gramschmidt,invalid_code,30.0,20
DOUBLE,AllHints,gramschmidt,slowdown,0.0,20
DOUBLE,AllHints,gramschmidt,speedup_over,0.0,20
DOUBLE,AllHints,gramschmidt,speedup_under,0.0,20
DOUBLE,AllHints,jacobi-1d,invalid_algorithm,20.0,20
DOUBLE,AllHints,jacobi-1d,invalid_code,10.0,20
DOUBLE,AllHints,jacobi-1d,slowdown,55.00000000000001,20
DOUBLE,AllHints,jacobi-1d,speedup_over,15.0,20
DOUBLE,AllHints,jacobi-1d,speedup_under,0.0,20
DOUBLE,AllHints,jacobi-2d,invalid_algorithm,15.0,20
DOUBLE,AllHints,jacobi-2d,invalid_code,25.0,20
DOUBLE,AllHints,jacobi-2d,slowdown,0.0,20
DOUBLE,AllHints,jacobi-2d,speedup_over,60.0,20
DOUBLE,AllHints,jacobi-2d,speedup_under,0.0,20
DOUBLE,AllHints,lu,invalid_algorithm,15.0,20
DOUBLE,AllHints,lu,invalid_code,10.0,20
DOUBLE,AllHints,lu,slowdown,75.0,20
DOUBLE,AllHints,lu,speedup_over,0.0,20
DOUBLE,AllHints,lu,speedup_under,0.0,20
DOUBLE,AllHints,ludcmp,invalid_algorithm,5.0,20
DOUBLE,AllHints,ludcmp,invalid_code,30.0,20
DOUBLE,AllHints,ludcmp,slowdown,60.0,20
DOUBLE,AllHints,ludcmp,speedup_over,0.0,20
DOUBLE,AllHints,ludcmp,speedup_under,5.0,20
DOUBLE,AllHints,mvt,invalid_algorithm,20.0,20
DOUBLE,AllHints,mvt,invalid_code,0.0,20
DOUBLE,AllHints,mvt,slowdown,60.0,20
DOUBLE,AllHints,mvt,speedup_over,20.0,20
DOUBLE,AllHints,mvt,speedup_under,0.0,20
DOUBLE,AllHints,nussinov,invalid_algorithm,15.0,20
DOUBLE,AllHints,nussinov,invalid_code,50.0,20
DOUBLE,AllHints,nussinov,slowdown,5.0,20
DOUBLE,AllHints,nussinov,speedup_over,30.0,20
DOUBLE,AllHints,nussinov,speedup_under,0.0,20
DOUBLE,AllHints,seidel-2d,invalid_algorithm,15.0,20
DOUBLE,AllHints,seidel-2d,invalid_code,30.0,20
DOUBLE,AllHints,seidel-2d,slowdown,25.0,20
DOUBLE,AllHints,seidel-2d,speedup_over,30.0,20
DOUBLE,AllHints,seidel-2d,speedup_under,0.0,20
