,correlation,covariance,gemver,gesummv,symm,syr2k,syrk,trmm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,nussinov,adi,fdtd-2d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,1.4740914489781027,1.006732934574496,3.61868488471392,1.42097674127014,31.42457957963831,0.5591924656511976,0.756105491055517,1.8140480540288462,0.5638082904652018,3.2199677938808366,2.255977927651747,160.38707344240478,1.3391829155060353,1.01400119975708,1.141706684798776,,0.22633672595531476,1.0848478109622117,2.3233372380580506,19.18592499957172,11.745801484672295,1.0429370856071987,1.9076747248545107,1.1269240532619482,5.688346273418325,1.357311989510602,2.212072273863842,7.0
C: ChooseHints,0.5594449110113916,0.24520467271229876,2.4956888428194497,1.4169792448112029,26.196620126625003,0.49561646339968024,1.5715327100962435,3.43083523994155,0.5738727799876612,2.9431851633794524,2.2504587155963303,182.45755097339017,1.7654331062058835,1.015312724667423,1.11979242648438,2.891845801656186,0.22138952582498775,1.1216052422861724,2.3144205585665016,4.4838313188375025,11.532062782614572,0.9731791316950434,2.0941818612093734,0.9658616665677723,6.489572502118122,1.8714489991837997,2.028633957873222,6.0
C: FromPlan,0.13820413059064043,0.04170059404608095,0.9109960700680213,1.4167135445965373,4.003976545694763,0.4988001252043265,0.13335365153328568,1.9144703287278728,0.9103735056062968,0.49246379667027873,1.9229161222889994,3.7891112500132427,0.5843056230756766,2.833069585073703,1.1511976689377383,,0.43076835409763076,1.1204543085642225,5.250367668686393,2.0019603578695855,10.250468363685071,1.080825801198305,0.5035047144887563,1.0665487266850129,4.850998519617411,1.8953718180039971,1.0780889253653616,5.0
C: Naive,0.09451744211937975,0.04196105328951358,0.9166003322489098,1.3888480392156861,1.7586663179962116,0.04094008296330219,0.7299673202913445,0.1506373454691572,0.04015154884435917,0.4039595959595959,0.40407423676696685,3.4967425985853953,0.5870963364993216,1.0145007693481785,1.1489575537260772,3.4211841970618617,0.19806865546785832,0.8766125350732024,2.3155614362806145,2.229363349957135,1.1752944027859995,1.0068367905842648,0.9857908487010095,4.4425946142649195,4.522844274357488,1.2675196440146108,0.6867474054160772,1.0
Exo: AllHints,0.5399004946929108,0.8680653477971528,1.735505643747645,1.4168021002625328,32.737074551322806,0.4987590908699975,0.6198050421735194,1.2835690537098325,0.5231040465042057,0.6728582004172555,0.3789782675867751,137.72651950858972,0.9887119255992505,1.0123207216217143,1.1142193559090061,,0.1992224498351695,0.8964011126477684,2.3233372380580506,3.8612274074491206,10.904271913668246,1.0353753057143702,1.780866349168711,0.292273162556859,5.57920228940276,1.0003824638753542,1.473294572744009,0.0
Exo: ChooseHints,0.5468585140028747,0.23581980016144355,1.7303464384300018,1.4153865367803173,14.295876134093154,0.48955003661148333,0.6554375129932184,0.1374222651082048,0.589436679307984,1.632060071825008,0.37742332546927887,135.2286620319552,1.1473536274925753,1.0136838859833142,1.0523934503290506,,0.19769638853873628,0.9019353778473007,2.3614499272390526,4.948115638944935,11.841721199832172,0.9718731785203053,1.8549801913051829,0.2956851869792676,5.725370797774065,0.8840925798847713,1.3063147497987717,1.0
Exo: FromPlan,0.0892858236406157,0.03931804036411777,0.43564816528286676,1.4144149765990637,1.0677392215649348,0.5715195332568626,0.07493905045541877,0.13509750197608159,0.5280526915612357,0.4593402554442709,0.3618705743509048,3.094458391536666,0.46708118786230124,1.0083768929374242,0.9879019654709593,,0.12110342260272802,0.1480061041224143,2.3020634511220015,1.4163099355670918,10.59367189943053,1.5412145652985885,0.259823142732126,0.3237639976397112,,1.1513397007682873,0.5204626080940165,1.0
Exo: Naive,0.5269777123624054,0.6929109069042855,1.6850971097714222,1.4171564336626234,25.63117764267266,0.5057699913430223,0.7199936093238881,1.289737891158026,0.5825678221086864,0.4409261300992282,0.40202130565419275,3.102532977395723,0.9869078302123486,1.0123930041407645,1.1148666874157072,,0.24397599219363506,0.8108461990953342,2.3287932159165035,1.6125838192542261,0.682867965940585,1.0524656241625734,1.910787955414996,0.2964336661911555,5.539062307150087,0.8838897442028529,1.0709320987862156,0.0
Halide: AllHints,0.020180087265086095,,,,,,0.6669846945260187,,,,0.21627578910245104,,1.4172152893780092,0.36710764120603595,,,,0.44222300493429356,,0.9642054005282751,0.8614072323507217,,0.5840031287711548,,,,0.40964937246562455,0.0
Halide: ChooseHints,,0.1869238508583551,,,,,,,,,,,0.3223809204497195,1.0112982255394356,,,0.10026044829907284,0.4061518281229986,1.9409986516462967,0.5927168136659593,0.8793920275733823,0.11118690985996192,0.3348951682514839,0.004899608837978094,,,0.2652889243090948,0.0
