data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,c,AllHints,1,26,5,130,111,0.8538461538461538,5.456682801784811,4.153242221576041,1.727533448540115,18.1156505257704,111,4.394542524711597,339.45425247115975,tiramisu,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,2,26,10,260,247,0.95,6.185285573605824,4.449581045940478,1.801140081875204,25.955019953496233,247,5.964053420620384,496.40534206203836,tiramisu,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,3,26,10,260,250,0.9615384615384616,6.777725553974775,5.356771343851721,1.8631391132262751,31.25046824093961,250,6.603096529162122,560.3096529162121,tiramisu,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,4,26,5,130,125,0.9615384615384616,7.186223734103992,6.876601671309192,1.9709380526245597,33.75150299592997,125,6.973822200509125,597.3822200509125,tiramisu,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,5,26,1,26,25,0.9615384615384616,7.466840301809831,6.876601671309192,1.9709380526245597,33.75150299592997,25,7.234139234660679,623.4139234660679,tiramisu,130,111,19,9,0,8,2,0
DOUBLE,c,ChooseHints,1,26,5,130,113,0.8692307692307693,4.293868993440648,3.2105865016209845,1.6532115408629524,9.0653637439308,113,3.722056589825479,272.2056589825479,tiramisu,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,2,26,10,260,252,0.9692307692307692,5.240583259422814,3.7189084762134748,1.7980676179941097,17.278271241106875,252,5.270770071165006,427.0770071165006,tiramisu,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,3,26,10,260,258,0.9923076923076923,5.744543392433143,4.227775476339186,1.9278578810366056,17.807863528301358,258,5.9809815851579655,498.09815851579657,tiramisu,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,4,26,5,130,130,1.0,6.138759692389992,4.373874074559696,1.9278578810366056,17.949277755775945,130,6.470218489132153,547.0218489132153,tiramisu,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,5,26,1,26,26,1.0,6.529681157041909,4.456635037416831,2.0700025630655263,17.949277755775945,26,6.880640969095318,588.0640969095318,tiramisu,130,113,17,10,1,5,1,0
DOUBLE,c,FromPlan,1,26,5,130,118,0.9076923076923077,1.8871471576315308,1.7974336874818928,1.0495938814663235,3.0119236089692265,118,1.9305782547382868,93.05782547382869,tiramisu,130,118,12,7,0,5,0,0
