,correlation,covariance,gemver,gesummv,symm,syr2k,syrk,trmm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,nussinov,adi,fdtd-2d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,47.419079461564216,73.11346276579236,9.302749786507258,2.5034794056798946,53.67845812617108,33.75150299592997,31.28455133503704,43.59841902829959,103.27238746598064,4.959742351046699,4.378602084610669,166.4159759290602,6.876601671309192,1.024421764957371,0.5664655135778336,,1.9709380526245597,1.7391410505241327,1.068098399062866,14.589427760551398,7.545869233369577,11.19444408150887,3.5620185700799447,0.36717974753651955,3.8391050095178247,1.0005710818199043,7.466840301809831,7.0
C: ChooseHints,17.996415831600807,17.807863528301358,6.415802864681492,2.496436609152288,44.748225603164485,29.914209465942037,65.02359303734497,82.4559151428355,105.11589328025863,4.533411833971152,4.367889908256881,189.3160761597578,9.0653637439308,1.02574676798869,0.555592605714524,2.8355137646614375,1.9278578810366056,1.7980676179941097,1.0639991701890412,3.409610593085187,7.408556824510767,10.4456918076788,3.9102655088756144,0.31470163571273163,4.379858240862511,1.3795779924991853,6.5296811570419075,6.0
C: FromPlan,4.445797887869931,3.0284842438259907,2.3419470792091976,2.4959684980311265,6.8394642099049925,30.10636758240093,5.517628434735697,46.01194517628638,166.75250612608596,0.758545956063442,3.7321661876143204,3.9315428172655875,3.000364608653379,2.8621841328033257,0.5711745297167589,,3.7511267222496234,1.7962225333084523,2.413730219424672,1.522337652277799,6.585220595980246,11.601125475677433,0.9401461998551833,0.34750797186913035,3.273973106182801,1.3972132015683523,3.6390844602884918,5.0
C: Naive,3.040469505110902,3.0473999627249317,2.356354260400083,2.4468749999999995,3.0040973521770082,2.4710442605487843,30.203060782793866,3.620383756918166,7.354532346788599,0.6222222222222222,0.7842631232154625,3.6281841150077,3.014694708276797,1.024926468464975,0.5700630813642682,3.354540852992698,1.7247799642151658,1.4053149480917713,1.0645236612702367,1.6952602257616731,0.7550457825894181,10.806958834759852,1.8406729740342203,1.4475072780203786,3.0524994921802473,0.9343787657080684,2.2104734939436614,1.0
Exo: AllHints,17.367704342175635,63.04280043372846,4.461558624531052,2.4961245155644454,55.92041990643388,30.103890849356212,25.644996483921226,30.84900718650388,95.81661832434324,1.0364089104246585,0.7355546400247194,142.90361849868947,5.076959989031829,1.022724017087037,0.5528274889575515,,1.734827194570024,1.437038409432293,1.068098399062866,2.9361679631968536,7.005244389071239,11.11327914516215,3.3252414176914837,0.09522983002154657,3.765442965111184,0.7374529745915915,4.973099397420407,0.0
Exo: ChooseHints,17.59153229449366,17.126291975167778,4.448295575192329,2.4936305732484074,24.419756722475785,29.54805463644522,27.119322323027227,3.3027755161718075,107.96672230897636,2.513875285667646,0.7325366704277362,140.31186730089033,5.891572974119645,1.0241011902516959,0.5221521466624884,,1.7215382673440833,1.4459104997805758,1.0856197909776424,3.7626632892004532,7.60749105019008,10.431674260513757,3.4636271071125253,0.0963415520248014,3.864093122072323,0.651727440647754,4.409459734156263,1.0
Exo: FromPlan,2.8721770070239767,2.8554525052871678,1.1199444012649533,2.4919188767550695,1.8238778644339,34.495534943390346,3.1006712670459082,3.2469026869208153,96.72305832957896,0.7075254984838739,0.70235051140834,3.2107781640168747,2.398426114835325,1.018739658939909,0.49015425913328076,,1.0545674499060902,0.23727152214939198,1.0583182873355688,1.076995322976012,6.805705252097145,16.54274309250142,0.4851429058058878,0.10549032347890658,,0.8487342768962786,1.8786937199115985,1.0
Exo: Naive,16.951999846623792,50.322299044850695,4.331970668236117,2.496748780792797,43.782354902470665,30.527051823179246,29.790389434082165,30.997267625022303,106.70855832995953,0.679162072767365,0.7802786124009833,3.219156271161778,5.0676960974385885,1.022797042430359,0.5531486668741572,,2.124540614925231,1.2998836299972771,1.0706066536203522,1.226246591674302,0.43869568044112794,11.296719370698098,3.567831607766564,0.09658542507663827,3.7383522080543723,0.6515779160585238,3.6149266234195863,0.0
Halide: AllHints,0.6491599705213623,,,,,,27.597097445296978,,,,0.41976723681890327,,7.277291932789623,0.3708802887252194,,,,0.7089364734812149,,0.733204421348192,0.5533948739453516,,1.0904531902451513,,,,1.22835082045063,0.0
Halide: ChooseHints,,13.575248748117293,,,,,,,,,,,1.6554013277006638,1.0216910131403745,,,0.873067028303896,0.6511100542366611,0.8923274324735767,0.4507157791785774,0.5649488673545049,1.1934331056014373,0.6253177194203327,0.001596413823051409,,,0.5985560536802225,0.0
Halide: FromPlan,,,,,252.11424161973972,64.09688262842022,56.14191766094763,,,,0.39677204289127177,,1.803169991397361,,0.09318819758316817,,0.7873742521844971,,0.967689441286762,0.4547950892043383,,1.5248341285192053,0.5446950088476273,0.23817436081671764,,,2.0020366037098087,2.0
Halide: Naive,,22.932746247445365,,1.7943383509323745,,,,,,0.04391117396808742,,,5.655814071886774,1.0195237868571543,,,,0.7124658082643257,0.751290877796902,0.4482628119842225,,6.5507616280478915,1.1581994145039383,,,,1.342149188589123,0.0
Noarr: AllHints,0.8926869218457162,3.0315823489386706,3.666321131917987,2.4861785580874107,117.98105899396857,1.5434292690729274,1.4157440803544592,52.79237758002142,93.688530950738,1.1161037831569791,0.7370729693466819,3.571493544614603,4.442593777493402,,1.0473814481593526,,1.6339829837008824,1.0008445273478013,1.0982307754075105,2.172143461386408,,11.018593418915787,3.8370183832683984,1.5255033557046982,3.8065380341570507,1.0005611757024908,3.198889502861738,2.0
Noarr: ChooseHints,2.4932424077483204,3.0297386493411373,2.891061571125264,1.7263098737679403,2.867918368763009,1.2177650451470658,1.3980754979492533,3.2639780519997537,2.7858302728338598,0.6228261748766482,0.7332511935931004,3.5706477476448475,2.6959048716859795,,0.5869828478323096,,1.0272793073680118,0.8314526064641576,1.0879802720547291,2.1602421608458715,,10.766125295893849,4.003858786260745,0.7363135730482671,3.8333284865677184,1.0007575340886445,1.827653817625184,1.0
