framework,version,algorithm,data_type,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
c,AllHints,3mm,DOUBLE,1,EXTRALARGE,103.27238746598066,0.3624163333333333,37.4276,tiramisu
c,AllHints,3mm,DOUBLE,2,EXTRALARGE,101.99210280344118,0.3669656666666667,37.4276,tiramisu
c,AllHints,3mm,DOUBLE,4,EXTRALARGE,100.05578318341975,0.3740673333333333,37.4276,tiramisu
c,AllHints,3mm,DOUBLE,5,EXTRALARGE,60.35437692701322,0.6201306666666667,37.4276,tiramisu
c,ChooseHints,3mm,DOUBLE,1,EXTRALARGE,102.26632481590607,0.36598166666666665,37.4276,tiramisu
c,ChooseHints,3mm,DOUBLE,2,EXTRALARGE,101.73851823192504,0.36788033333333336,37.4276,tiramisu
c,ChooseHints,3mm,DOUBLE,3,EXTRALARGE,105.11589328025866,0.35606033333333337,37.4276,tiramisu
c,ChooseHints,3mm,DOUBLE,4,EXTRALARGE,99.06120061510283,0.377823,37.4276,tiramisu
c,FromPlan,3mm,DOUBLE,1,EXTRALARGE,5.841341914432822,6.4073633333333335,37.4276,tiramisu
c,FromPlan,3mm,DOUBLE,2,EXTRALARGE,166.75250612608596,0.22445,37.4276,tiramisu
c,FromPlan,3mm,DOUBLE,3,EXTRALARGE,7.1771279049528545,5.214843666666667,37.4276,tiramisu
c,FromPlan,3mm,DOUBLE,4,EXTRALARGE,6.874051573814288,5.444765666666666,37.4276,tiramisu
c,FromPlan,3mm,DOUBLE,5,EXTRALARGE,5.827384995574038,6.422709333333334,37.4276,tiramisu
c,Naive,3mm,DOUBLE,1,EXTRALARGE,3.1316377951253767,11.951445999999999,37.4276,tiramisu
c,Naive,3mm,DOUBLE,2,EXTRALARGE,7.354532346788599,5.089052333333334,37.4276,tiramisu
c,Naive,3mm,DOUBLE,3,EXTRALARGE,3.1965187396931705,11.708863000000001,37.4276,tiramisu
c,Naive,3mm,DOUBLE,4,EXTRALARGE,3.1748371869121814,11.788825000000001,37.4276,tiramisu
c,Naive,3mm,DOUBLE,5,EXTRALARGE,3.073623126865996,12.177029666666668,37.4276,tiramisu
c,standard,3mm,DOUBLE,1,EXTRALARGE,0.8663489464377766,43.20153,37.4276,tiramisu
exo,AllHints,3mm,DOUBLE,3,EXTRALARGE,95.81661832434328,0.390617,37.4276,tiramisu
exo,AllHints,3mm,DOUBLE,4,EXTRALARGE,42.68287166301292,0.8768763333333333,37.4276,tiramisu
exo,ChooseHints,3mm,DOUBLE,1,EXTRALARGE,103.11893004379782,0.3629556666666667,37.4276,tiramisu
exo,ChooseHints,3mm,DOUBLE,2,EXTRALARGE,107.96672230897636,0.34665866666666667,37.4276,tiramisu
exo,ChooseHints,3mm,DOUBLE,3,EXTRALARGE,106.34895377516112,0.35193199999999997,37.4276,tiramisu
exo,ChooseHints,3mm,DOUBLE,4,EXTRALARGE,105.74670209048895,0.35393633333333335,37.4276,tiramisu
exo,FromPlan,3mm,DOUBLE,3,EXTRALARGE,4.928888465916014,7.593517333333334,37.4276,tiramisu
exo,FromPlan,3mm,DOUBLE,4,EXTRALARGE,96.72305832957896,0.3869563333333333,37.4276,tiramisu
exo,FromPlan,3mm,DOUBLE,5,EXTRALARGE,4.948499733652365,7.563423666666668,37.4276,tiramisu
exo,Naive,3mm,DOUBLE,1,EXTRALARGE,49.021108500811394,0.7634996666666667,37.4276,tiramisu
exo,Naive,3mm,DOUBLE,2,EXTRALARGE,1.7027943101094185,21.980106333333335,37.4276,tiramisu
exo,Naive,3mm,DOUBLE,3,EXTRALARGE,106.70855832995957,0.350746,37.4276,tiramisu
exo,Naive,3mm,DOUBLE,4,EXTRALARGE,2.9849079818989566,12.538946000000001,37.4276,tiramisu
exo,Naive,3mm,DOUBLE,5,EXTRALARGE,45.43164039819265,0.8238223333333333,37.4276,tiramisu
exo,standard,3mm,DOUBLE,1,EXTRALARGE,0.8462457583818181,44.227814,37.4276,tiramisu
exo,standard,3mm,DOUBLE,2,EXTRALARGE,0.8496381908866333,44.05122133333333,37.4276,tiramisu
exo,standard,3mm,DOUBLE,3,EXTRALARGE,0.8499522110617008,44.03494633333333,37.4276,tiramisu
exo,standard,3mm,DOUBLE,4,EXTRALARGE,0.8504207686598647,44.01068433333333,37.4276,tiramisu
exo,standard,3mm,DOUBLE,5,EXTRALARGE,0.8507152186354052,43.995451333333335,37.4276,tiramisu
halide,AllHints,3mm,DOUBLE,1,EXTRALARGE,45.6083740540804,0.82063,37.4276,tiramisu
halide,AllHints,3mm,DOUBLE,3,EXTRALARGE,71.54710056042131,0.5231183333333334,37.4276,tiramisu
halide,AllHints,3mm,DOUBLE,5,EXTRALARGE,72.84808943975584,0.513776,37.4276,tiramisu
halide,ChooseHints,3mm,DOUBLE,2,EXTRALARGE,71.73024784265223,0.5217826666666667,37.4276,tiramisu
halide,ChooseHints,3mm,DOUBLE,3,EXTRALARGE,69.69978565429444,0.5369830000000001,37.4276,tiramisu
halide,FromPlan,3mm,DOUBLE,4,EXTRALARGE,79.98979849171555,0.46790466666666664,37.4276,tiramisu
halide,Naive,3mm,DOUBLE,2,EXTRALARGE,40.25800622427467,0.9296933333333333,37.4276,tiramisu
halide,Naive,3mm,DOUBLE,4,EXTRALARGE,69.47806124658898,0.5386966666666667,37.4276,tiramisu
halide,Naive,3mm,DOUBLE,5,EXTRALARGE,4.504183515147567,8.309519333333334,37.4276,tiramisu
halide,standard,3mm,DOUBLE,3,EXTRALARGE,1.9474784676571142,19.218492333333334,37.4276,tiramisu
halide,standard,3mm,DOUBLE,4,EXTRALARGE,1.9968148858090624,18.743650333333335,37.4276,tiramisu
noarr,AllHints,3mm,DOUBLE,1,EXTRALARGE,1.152719361731347,32.468961,37.4276,tiramisu
noarr,AllHints,3mm,DOUBLE,2,EXTRALARGE,2.720780645874634,13.756199,37.4276,tiramisu
noarr,AllHints,3mm,DOUBLE,3,EXTRALARGE,93.68853095073797,0.3994896666666667,37.4276,tiramisu
noarr,AllHints,3mm,DOUBLE,4,EXTRALARGE,2.7388052116299924,13.665667,37.4276,tiramisu
noarr,AllHints,3mm,DOUBLE,5,EXTRALARGE,0.8417028062734738,44.46652633333334,37.4276,tiramisu
noarr,ChooseHints,3mm,DOUBLE,1,EXTRALARGE,2.7858302728338598,13.434989333333334,37.4276,tiramisu
noarr,ChooseHints,3mm,DOUBLE,2,EXTRALARGE,2.707232477646902,13.825040999999999,37.4276,tiramisu
noarr,ChooseHints,3mm,DOUBLE,3,EXTRALARGE,1.0697484409410263,34.987291,37.4276,tiramisu
noarr,ChooseHints,3mm,DOUBLE,4,EXTRALARGE,1.1111652539412427,33.68319866666667,37.4276,tiramisu
noarr,ChooseHints,3mm,DOUBLE,5,EXTRALARGE,2.7355086158941995,13.682135666666667,37.4276,tiramisu
noarr,FromPlan,3mm,DOUBLE,1,EXTRALARGE,1.2164539604566982,30.76779,37.4276,tiramisu
noarr,FromPlan,3mm,DOUBLE,2,EXTRALARGE,1.2165369666331343,30.765690666666668,37.4276,tiramisu
noarr,FromPlan,3mm,DOUBLE,3,EXTRALARGE,2.6924473985918858,13.900958666666668,37.4276,tiramisu
noarr,FromPlan,3mm,DOUBLE,4,EXTRALARGE,1.1464743662821353,32.645823666666665,37.4276,tiramisu
noarr,FromPlan,3mm,DOUBLE,5,EXTRALARGE,1.1866642722602434,31.540176000000002,37.4276,tiramisu
noarr,Naive,3mm,DOUBLE,1,EXTRALARGE,2.73203067934575,13.699553333333332,37.4276,tiramisu
noarr,Naive,3mm,DOUBLE,2,EXTRALARGE,2.6845858382447303,13.941666333333332,37.4276,tiramisu
noarr,Naive,3mm,DOUBLE,3,EXTRALARGE,2.7156721527293857,13.782075999999998,37.4276,tiramisu
noarr,Naive,3mm,DOUBLE,4,EXTRALARGE,2.7420162806941932,13.649663666666667,37.4276,tiramisu
noarr,Naive,3mm,DOUBLE,5,EXTRALARGE,2.709374951589348,13.814108666666668,37.4276,tiramisu
noarr,standard,3mm,DOUBLE,1,EXTRALARGE,0.8536282870398137,43.84531366666666,37.4276,tiramisu
noarr,standard,3mm,DOUBLE,2,EXTRALARGE,0.8529608832382642,43.879620666666675,37.4276,tiramisu
noarr,standard,3mm,DOUBLE,3,EXTRALARGE,2.7789729852100593,13.468141000000001,37.4276,tiramisu
noarr,standard,3mm,DOUBLE,4,EXTRALARGE,2.729987705150007,13.709805333333334,37.4276,tiramisu
noarr,standard,3mm,DOUBLE,5,EXTRALARGE,0.8408422198247184,44.512037,37.4276,tiramisu
polly,standard,3mm,DOUBLE,1,EXTRALARGE,183.16933115823815,0.20433333333333334,37.4276,tiramisu
tiramisu,standard,3mm,DOUBLE,1,EXTRALARGE,1.0,37.4276,37.4276,tiramisu
c,AllHints,adi,DOUBLE,1,EXTRALARGE,10.680898102172481,11.791798666666667,125.947,tiramisu
c,AllHints,adi,DOUBLE,2,EXTRALARGE,11.194444081508871,11.250849,125.947,tiramisu
c,AllHints,adi,DOUBLE,3,EXTRALARGE,10.44234189293201,12.061183333333332,125.947,tiramisu
c,AllHints,adi,DOUBLE,4,EXTRALARGE,9.594597096169254,13.126866999999999,125.947,tiramisu
c,AllHints,adi,DOUBLE,5,EXTRALARGE,10.811284554551163,11.649586999999999,125.947,tiramisu
c,ChooseHints,adi,DOUBLE,2,EXTRALARGE,9.686152716928653,13.002789,125.947,tiramisu
c,ChooseHints,adi,DOUBLE,3,EXTRALARGE,1.4687840616795,85.74916033333334,125.947,tiramisu
c,ChooseHints,adi,DOUBLE,4,EXTRALARGE,10.445691807678802,12.057315333333333,125.947,tiramisu
c,ChooseHints,adi,DOUBLE,5,EXTRALARGE,10.179177731302639,12.373003333333335,125.947,tiramisu
c,FromPlan,adi,DOUBLE,1,EXTRALARGE,1.47501433669229,85.38696666666665,125.947,tiramisu
c,FromPlan,adi,DOUBLE,2,EXTRALARGE,1.190061465957702,105.83234866666668,125.947,tiramisu
c,FromPlan,adi,DOUBLE,3,EXTRALARGE,2.2028347418441223,57.17496533333334,125.947,tiramisu
c,FromPlan,adi,DOUBLE,4,EXTRALARGE,11.601125475677433,10.856446666666665,125.947,tiramisu
c,FromPlan,adi,DOUBLE,5,EXTRALARGE,1.3243948136536319,95.097775,125.947,tiramisu
c,Naive,adi,DOUBLE,1,EXTRALARGE,1.4956842573287235,84.20694366666667,125.947,tiramisu
c,Naive,adi,DOUBLE,2,EXTRALARGE,1.3119730628170374,95.99816,125.947,tiramisu
c,Naive,adi,DOUBLE,3,EXTRALARGE,1.4992965994655092,84.004059,125.947,tiramisu
c,Naive,adi,DOUBLE,4,EXTRALARGE,10.291968178443037,12.237406666666667,125.947,tiramisu
c,Naive,adi,DOUBLE,5,EXTRALARGE,10.806958834759852,11.65425,125.947,tiramisu
c,standard,adi,DOUBLE,1,EXTRALARGE,1.4706133167575548,85.64249933333333,125.947,tiramisu
exo,AllHints,adi,DOUBLE,1,EXTRALARGE,9.712407941029204,12.967639,125.947,tiramisu
exo,AllHints,adi,DOUBLE,2,EXTRALARGE,11.113279145162148,11.333018666666668,125.947,tiramisu
exo,AllHints,adi,DOUBLE,3,EXTRALARGE,8.149014770675633,15.455488,125.947,tiramisu
exo,AllHints,adi,DOUBLE,5,EXTRALARGE,9.79401491986589,12.859588333333333,125.947,tiramisu
exo,ChooseHints,adi,DOUBLE,1,EXTRALARGE,8.588944141414053,14.663851333333334,125.947,tiramisu
exo,ChooseHints,adi,DOUBLE,2,EXTRALARGE,10.129005073442865,12.434291333333334,125.947,tiramisu
exo,ChooseHints,adi,DOUBLE,4,EXTRALARGE,10.431674260513756,12.073517333333333,125.947,tiramisu
exo,ChooseHints,adi,DOUBLE,5,EXTRALARGE,9.551770743547666,13.185722666666669,125.947,tiramisu
exo,FromPlan,adi,DOUBLE,2,EXTRALARGE,1.2851371664484104,98.00276833333334,125.947,tiramisu
exo,FromPlan,adi,DOUBLE,4,EXTRALARGE,16.54274309250142,7.613429,125.947,tiramisu
exo,Naive,adi,DOUBLE,1,EXTRALARGE,10.330904694922225,12.191284666666666,125.947,tiramisu
exo,Naive,adi,DOUBLE,2,EXTRALARGE,11.296719370698096,11.148989,125.947,tiramisu
exo,Naive,adi,DOUBLE,4,EXTRALARGE,10.13773453946584,12.423584333333332,125.947,tiramisu
exo,standard,adi,DOUBLE,2,EXTRALARGE,1.1051825615394626,113.96035766666667,125.947,tiramisu
exo,standard,adi,DOUBLE,3,EXTRALARGE,1.1064390105514366,113.83094666666666,125.947,tiramisu
exo,standard,adi,DOUBLE,4,EXTRALARGE,1.0955396986739139,114.96342866666667,125.947,tiramisu
halide,ChooseHints,adi,DOUBLE,2,EXTRALARGE,1.1321241541878304,111.24839933333334,125.947,tiramisu
halide,ChooseHints,adi,DOUBLE,3,EXTRALARGE,0.8048858315265894,156.478093,125.947,tiramisu
halide,ChooseHints,adi,DOUBLE,4,EXTRALARGE,1.1934331056014373,105.53335533333332,125.947,tiramisu
halide,FromPlan,adi,DOUBLE,3,EXTRALARGE,1.5248341285192053,82.59718066666666,125.947,tiramisu
halide,Naive,adi,DOUBLE,2,EXTRALARGE,1.2296745111213845,102.42303866666667,125.947,tiramisu
halide,Naive,adi,DOUBLE,4,EXTRALARGE,6.550761628047892,19.226314000000002,125.947,tiramisu
halide,standard,adi,DOUBLE,1,EXTRALARGE,1.2416691169827587,101.43362533333334,125.947,tiramisu
halide,standard,adi,DOUBLE,2,EXTRALARGE,1.225443903830502,102.77663433333333,125.947,tiramisu
halide,standard,adi,DOUBLE,3,EXTRALARGE,1.2411263307266345,101.47798566666667,125.947,tiramisu
halide,standard,adi,DOUBLE,5,EXTRALARGE,1.2242562879013916,102.876335,125.947,tiramisu
noarr,AllHints,adi,DOUBLE,1,EXTRALARGE,10.074672472688816,12.501349333333332,125.947,tiramisu
noarr,AllHints,adi,DOUBLE,2,EXTRALARGE,9.994312218747048,12.601867666666665,125.947,tiramisu
noarr,AllHints,adi,DOUBLE,3,EXTRALARGE,11.018593418915788,11.430406333333332,125.947,tiramisu
noarr,AllHints,adi,DOUBLE,4,EXTRALARGE,8.299726347429571,15.174837666666667,125.947,tiramisu
noarr,AllHints,adi,DOUBLE,5,EXTRALARGE,1.6085100342957321,78.300413,125.947,tiramisu
noarr,ChooseHints,adi,DOUBLE,1,EXTRALARGE,8.70388157444932,14.470210666666667,125.947,tiramisu
noarr,ChooseHints,adi,DOUBLE,2,EXTRALARGE,1.7687362667476418,71.20733733333334,125.947,tiramisu
noarr,ChooseHints,adi,DOUBLE,3,EXTRALARGE,10.766125295893849,11.698452000000001,125.947,tiramisu
noarr,ChooseHints,adi,DOUBLE,4,EXTRALARGE,9.822790404450712,12.821916666666667,125.947,tiramisu
noarr,ChooseHints,adi,DOUBLE,5,EXTRALARGE,9.037847777059868,13.935507999999999,125.947,tiramisu
noarr,FromPlan,adi,DOUBLE,1,EXTRALARGE,1.197476589084055,105.177004,125.947,tiramisu
noarr,FromPlan,adi,DOUBLE,2,EXTRALARGE,9.252038888432077,13.612891333333335,125.947,tiramisu
noarr,FromPlan,adi,DOUBLE,3,EXTRALARGE,8.234878226166941,15.294336666666666,125.947,tiramisu
noarr,FromPlan,adi,DOUBLE,4,EXTRALARGE,1.64305701794568,76.65406533333334,125.947,tiramisu
noarr,FromPlan,adi,DOUBLE,5,EXTRALARGE,1.4285431103426063,88.16464766666667,125.947,tiramisu
noarr,Naive,adi,DOUBLE,1,EXTRALARGE,1.3570472522861252,92.80959066666667,125.947,tiramisu
noarr,Naive,adi,DOUBLE,2,EXTRALARGE,1.3812937401139045,91.180461,125.947,tiramisu
noarr,Naive,adi,DOUBLE,5,EXTRALARGE,1.3588258564441755,92.68810966666668,125.947,tiramisu
noarr,standard,adi,DOUBLE,1,EXTRALARGE,1.3635131775293177,92.36947766666667,125.947,tiramisu
noarr,standard,adi,DOUBLE,3,EXTRALARGE,1.2628883271892473,99.72932466666667,125.947,tiramisu
noarr,standard,adi,DOUBLE,4,EXTRALARGE,1.3719525678647408,91.80127866666668,125.947,tiramisu
noarr,standard,adi,DOUBLE,5,EXTRALARGE,1.3704278164802235,91.90341766666667,125.947,tiramisu
polly,standard,adi,DOUBLE,1,EXTRALARGE,10.733575625984628,11.733927666666666,125.947,tiramisu
tiramisu,standard,adi,DOUBLE,1,EXTRALARGE,1.0,125.947,125.947,tiramisu
c,AllHints,atax,DOUBLE,1,EXTRALARGE,4.410080183276059,0.001164,0.0051333333333333335,tiramisu
c,AllHints,atax,DOUBLE,2,EXTRALARGE,2.4088847176599404,0.002131,0.0051333333333333335,tiramisu
c,AllHints,atax,DOUBLE,3,EXTRALARGE,4.959742351046699,0.0010350000000000001,0.0051333333333333335,tiramisu
c,AllHints,atax,DOUBLE,4,EXTRALARGE,4.431654676258993,0.0011583333333333335,0.0051333333333333335,tiramisu
c,AllHints,atax,DOUBLE,5,EXTRALARGE,4.449581045940479,0.0011536666666666668,0.0051333333333333335,tiramisu
c,ChooseHints,atax,DOUBLE,1,EXTRALARGE,4.533411833971152,0.0011323333333333333,0.0051333333333333335,tiramisu
c,ChooseHints,atax,DOUBLE,2,EXTRALARGE,3.5386029411764706,0.0014506666666666667,0.0051333333333333335,tiramisu
c,ChooseHints,atax,DOUBLE,3,EXTRALARGE,1.9432176656151419,0.0026416666666666667,0.0051333333333333335,tiramisu
c,ChooseHints,atax,DOUBLE,4,EXTRALARGE,3.3661202185792347,0.001525,0.0051333333333333335,tiramisu
c,ChooseHints,atax,DOUBLE,5,EXTRALARGE,3.718908476213475,0.0013803333333333332,0.0051333333333333335,tiramisu
c,FromPlan,atax,DOUBLE,1,EXTRALARGE,0.5283018867924528,0.009716666666666667,0.0051333333333333335,tiramisu
c,FromPlan,atax,DOUBLE,3,EXTRALARGE,0.758545956063442,0.0067673333333333335,0.0051333333333333335,tiramisu
c,FromPlan,atax,DOUBLE,4,EXTRALARGE,0.6176553162475434,0.008311,0.0051333333333333335,tiramisu
c,FromPlan,atax,DOUBLE,5,EXTRALARGE,0.6312510247581571,0.008132,0.0051333333333333335,tiramisu
c,Naive,atax,DOUBLE,1,EXTRALARGE,0.609297725024728,0.008425,0.0051333333333333335,tiramisu
c,Naive,atax,DOUBLE,2,EXTRALARGE,0.6182752529307853,0.008302666666666667,0.0051333333333333335,tiramisu
c,Naive,atax,DOUBLE,3,EXTRALARGE,0.6222222222222222,0.00825,0.0051333333333333335,tiramisu
c,Naive,atax,DOUBLE,4,EXTRALARGE,0.6046329014526896,0.00849,0.0051333333333333335,tiramisu
c,standard,atax,DOUBLE,1,EXTRALARGE,0.5968529571351059,0.008600666666666666,0.0051333333333333335,tiramisu
exo,AllHints,atax,DOUBLE,1,EXTRALARGE,0.6042533155457899,0.008495333333333334,0.0051333333333333335,tiramisu
exo,AllHints,atax,DOUBLE,2,EXTRALARGE,0.8785441268754636,0.005843,0.0051333333333333335,tiramisu
exo,AllHints,atax,DOUBLE,4,EXTRALARGE,1.0364089104246585,0.004953,0.0051333333333333335,tiramisu
exo,ChooseHints,atax,DOUBLE,1,EXTRALARGE,2.351145038167939,0.0021833333333333336,0.0051333333333333335,tiramisu
exo,ChooseHints,atax,DOUBLE,2,EXTRALARGE,1.0439262472885034,0.0049173333333333335,0.0051333333333333335,tiramisu
exo,ChooseHints,atax,DOUBLE,3,EXTRALARGE,0.26659280545649694,0.019255333333333333,0.0051333333333333335,tiramisu
exo,ChooseHints,atax,DOUBLE,4,EXTRALARGE,2.513875285667646,0.002042,0.0051333333333333335,tiramisu
exo,ChooseHints,atax,DOUBLE,5,EXTRALARGE,0.6442705936493328,0.007967666666666666,0.0051333333333333335,tiramisu
exo,FromPlan,atax,DOUBLE,1,EXTRALARGE,0.7075254984838739,0.007255333333333333,0.0051333333333333335,tiramisu
exo,FromPlan,atax,DOUBLE,2,EXTRALARGE,0.2483750786252278,0.020667666666666668,0.0051333333333333335,tiramisu
exo,FromPlan,atax,DOUBLE,4,EXTRALARGE,0.4537686369261595,0.011312666666666667,0.0051333333333333335,tiramisu
exo,Naive,atax,DOUBLE,4,EXTRALARGE,0.679162072767365,0.007558333333333334,0.0051333333333333335,tiramisu
exo,standard,atax,DOUBLE,1,EXTRALARGE,0.5908306157682717,0.008688333333333333,0.0051333333333333335,tiramisu
exo,standard,atax,DOUBLE,2,EXTRALARGE,0.5943651099961406,0.008636666666666666,0.0051333333333333335,tiramisu
exo,standard,atax,DOUBLE,3,EXTRALARGE,0.5911254414248427,0.008683999999999999,0.0051333333333333335,tiramisu
exo,standard,atax,DOUBLE,4,EXTRALARGE,0.5921027336691145,0.008669666666666668,0.0051333333333333335,tiramisu
exo,standard,atax,DOUBLE,5,EXTRALARGE,0.5942733657482442,0.008638,0.0051333333333333335,tiramisu
halide,Naive,atax,DOUBLE,2,EXTRALARGE,0.043911173968087414,0.11690266666666667,0.0051333333333333335,tiramisu
halide,standard,atax,DOUBLE,1,EXTRALARGE,0.3361124448906544,0.015272666666666665,0.0051333333333333335,tiramisu
halide,standard,atax,DOUBLE,2,EXTRALARGE,0.5261899067208802,0.009755666666666668,0.0051333333333333335,tiramisu
halide,standard,atax,DOUBLE,3,EXTRALARGE,0.5248985991342582,0.009779666666666666,0.0051333333333333335,tiramisu
halide,standard,atax,DOUBLE,4,EXTRALARGE,0.3376822716807368,0.015201666666666667,0.0051333333333333335,tiramisu
halide,standard,atax,DOUBLE,5,EXTRALARGE,0.3390278266995421,0.015141333333333333,0.0051333333333333335,tiramisu
noarr,AllHints,atax,DOUBLE,1,EXTRALARGE,0.6232042410262637,0.008237,0.0051333333333333335,tiramisu
noarr,AllHints,atax,DOUBLE,2,EXTRALARGE,0.6240628925720306,0.008225666666666668,0.0051333333333333335,tiramisu
noarr,AllHints,atax,DOUBLE,3,EXTRALARGE,1.1161037831569791,0.004599333333333334,0.0051333333333333335,tiramisu
noarr,AllHints,atax,DOUBLE,4,EXTRALARGE,0.6245184314043554,0.008219666666666667,0.0051333333333333335,tiramisu
noarr,AllHints,atax,DOUBLE,5,EXTRALARGE,1.0904198824612334,0.004707666666666666,0.0051333333333333335,tiramisu
noarr,ChooseHints,atax,DOUBLE,1,EXTRALARGE,0.6228261748766482,0.008242,0.0051333333333333335,tiramisu
noarr,ChooseHints,atax,DOUBLE,2,EXTRALARGE,0.6216947236688063,0.008257,0.0051333333333333335,tiramisu
noarr,ChooseHints,atax,DOUBLE,3,EXTRALARGE,0.5733219165332638,0.008953666666666667,0.0051333333333333335,tiramisu
noarr,ChooseHints,atax,DOUBLE,4,EXTRALARGE,0.6191452579101838,0.008291,0.0051333333333333335,tiramisu
noarr,ChooseHints,atax,DOUBLE,5,EXTRALARGE,0.6218704571151672,0.008254666666666667,0.0051333333333333335,tiramisu
noarr,FromPlan,atax,DOUBLE,2,EXTRALARGE,0.6272145969942573,0.008184333333333333,0.0051333333333333335,tiramisu
noarr,FromPlan,atax,DOUBLE,4,EXTRALARGE,0.6470316373261628,0.007933666666666667,0.0051333333333333335,tiramisu
noarr,Naive,atax,DOUBLE,1,EXTRALARGE,0.6238101024830883,0.008229,0.0051333333333333335,tiramisu
noarr,Naive,atax,DOUBLE,2,EXTRALARGE,0.6233555960331916,0.008235000000000001,0.0051333333333333335,tiramisu
