data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,c,AllHints,1,26,5,130,111,0.8538461538461538,6.27734950448377,5.464207450693937,1.7574352443595689,20.28122495542186,111,5.095482910186543,409.54829101865425,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,2,26,10,260,247,0.95,7.1985978137511255,6.662643144537294,1.9239427096396278,21.596541898551195,247,6.915334670064468,591.5334670064467,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,3,26,10,260,250,0.9615384615384616,7.899230549372093,7.455070788789366,1.9239427096396278,24.258578990472113,250,7.656306732602556,665.6306732602557,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,4,26,5,130,125,0.9615384615384616,8.375322606824499,7.612092148186622,1.9355871083951681,27.349204858554877,125,8.086164064075316,708.6164064075316,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,5,26,1,26,25,0.9615384615384616,8.70237258054053,8.309822866344604,1.9355871083951681,27.349204858554877,25,8.388002308054253,738.8002308054253,c,130,111,19,9,0,8,2,0
DOUBLE,c,ChooseHints,1,26,5,130,113,0.8692307692307693,5.084948603293696,3.6706572800130983,1.8458371486775167,14.062264422821693,113,4.315733807911575,331.5733807911575,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,2,26,10,260,252,0.9692307692307692,6.10853119873113,4.941150505078058,1.8932796271214383,18.437219586237664,252,6.111470914235048,511.14709142350483,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,3,26,10,260,258,0.9923076923076923,6.669001279348318,5.23105776444111,1.98913083216355,20.256034294074844,258,6.934962918651669,593.4962918651669,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,4,26,5,130,130,1.0,7.117907023636785,6.155955522050508,1.98913083216355,20.43538541464001,130,7.502234317031565,650.2234317031565,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,5,26,1,26,26,1.0,7.571181427322215,6.629452403832694,2.2148095745367087,20.432088187301378,26,7.978120196130191,697.8120196130191,c,130,113,17,10,1,5,1,0
