data_type,framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
DOUBLE,c,AllHints,130,111,0.8538461538461538,85.38461538461539,111,5.464207450693937,6.27734950448377,1.7574352443595689,20.28122495542186,18.52378971106229,8.70237258054053,25,26,c
DOUBLE,c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,3.6706572800130983,5.084948603293696,1.8458371486775167,14.062264422821693,12.216427274144177,7.571181427322215,26,26,c
DOUBLE,c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,2.1061122382699993,2.200587312293607,1.284955483779996,3.434791056667215,2.149835572887219,4.241240946027703,25,26,c
DOUBLE,c,Naive,130,118,0.9076923076923077,90.76923076923077,118,1.7468196379451673,1.8214374308822423,1.0171504656868726,2.9184714396008116,1.901320973913939,2.5630494752236928,26,26,c
DOUBLE,exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,3.3310638297872335,3.78717082294706,1.0101800092312425,17.210688126148145,16.200508116916904,5.795994301086662,25,26,c
DOUBLE,exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,3.9392366412213735,4.0727350495281796,1.0344845587919886,17.836113123683475,16.801628564891487,5.139089619503196,25,26,c
DOUBLE,exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,1.1681473214220903,1.6668266963007756,0.9725343213595425,3.251587894015644,2.2790535726561014,2.212206510857014,24,26,c
DOUBLE,exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,2.03847036814486,2.669620125768199,1.0060836979364276,5.2050261259019655,4.198942427965537,4.213085730611861,25,26,c
DOUBLE,halide,AllHints,130,33,0.25384615384615383,25.384615384615383,33,1.4690788485948651,3.3561661476944535,0.7184452351557101,22.702130616916296,21.983685381760587,3.452685350548023,15,26,c
DOUBLE,halide,ChooseHints,130,34,0.26153846153846155,26.153846153846157,34,1.2057405543089048,2.33008498988539,0.7094289478180462,17.962016577877822,17.252587630059775,3.4507068200646054,17,26,c
DOUBLE,halide,FromPlan,130,28,0.2153846153846154,21.53846153846154,28,1.4533999971642393,2.357882483094525,0.6208057380968006,9.866832410127769,9.246026672030968,3.1591791911175373,15,26,c
DOUBLE,halide,Naive,130,42,0.3230769230769231,32.30769230769231,42,3.6812089528835266,4.358332259800886,1.0243531983580985,25.542894487372724,24.518541289014625,4.597612694311967,19,26,c
DOUBLE,noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,1.6012282767245214,1.986362728771301,1.0166300532210197,3.167049671396791,2.1504196181757713,3.6338593095627085,23,26,c
DOUBLE,noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,1.2839436544473235,1.5309824367125873,1.001649222381105,3.110832355987256,2.109183133606151,2.076169506290744,23,26,c
DOUBLE,noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,1.3275369716160323,1.3783741066583108,1.000733355489336,1.95897641774712,0.958243062257784,1.7928430192178368,23,26,c
DOUBLE,noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,1.0489389461352077,1.34058879296253,0.9937600606672349,2.2754773077502026,1.2817172470829679,1.8318533947057667,23,26,c
