,correlation,covariance,gemver,gesummv,symm,syr2k,syrk,trmm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,nussinov,adi,fdtd-2d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,53.991505508407904,83.16487863851697,8.92597779675491,5.245815309384991,47.146352053888926,27.349204858554877,22.567174620267075,44.224560469243244,119.20414734803155,8.309822866344604,13.375229920294297,239.0875609367994,6.662643144537294,1.0082151694105401,1.0218222769963028,,1.9355871083951681,1.9239427096396278,1.025510868150462,20.333133469240913,18.77894053054752,7.612092148186622,3.3437497699652265,0.2991023007869292,3.495246946034598,1.356755702491972,8.702372580540533,7.0
C: ChooseHints,20.49077281837689,20.256034294074844,6.155955522050508,5.23105776444111,39.3028352847758,24.23980475667786,46.9049008501374,83.64011096168734,121.33204953093158,7.5955254636443925,13.342507645259937,271.9878223377821,8.78330409237423,1.0095192105793127,1.0022091157284874,2.891845801656186,1.8932796271214383,1.98913083216355,1.0215750849259653,4.751938760394438,18.437219586237664,7.102949285614881,3.6706572800130983,0.256353962697047,3.987566399586935,1.870681995877029,7.571181427322219,6.0
C: FromPlan,5.061998754040753,3.444831021111051,2.2470955480836206,5.230076879804987,6.007173058924725,24.395512539318013,3.9801524734343436,46.672748625021526,192.47730006682994,1.2709092700226579,11.400574862816832,5.6483938975866,2.9070112893642297,2.8169037002630914,1.0303166645241462,,3.683846134014471,1.9870896882157554,2.317489264074357,2.1216661254331113,16.388233366883878,7.8886307797456166,0.8825371282185361,0.2830777967064168,2.9807323510075268,1.8945950100586015,4.241240946027703,5.0
C: Naive,3.4618876599323665,3.4663472153532786,2.260919221983803,5.127205882352942,2.638530172326979,2.0023136659856138,21.787039214735245,3.6723781262748694,8.489110972003498,1.0425050505050504,2.395673182517022,5.21256259108566,2.9208955223880593,1.008711888388824,1.028311771624078,3.4211841970618617,1.6938441363530221,1.5546441436213099,1.0220786633457866,2.362666514495619,1.879035987846803,7.348606674246162,1.7278825790540442,1.1791302765647742,2.7790955187118422,1.2670001579058363,2.563049475223692,1.0
Exo: AllHints,19.774920038653214,71.70973236349424,4.280860405301355,5.23040380047506,49.11549057003604,24.393505615969193,18.49907027883864,31.292047146253356,110.59818185076433,1.7364560199205867,2.2468843341229783,205.30767797473388,4.918995498480451,1.006544280314606,0.9972212429753439,,1.7037111585681768,1.5897385496513654,1.025510868150462,4.092106699703383,17.433520740403416,7.556900932778838,3.1214815438862784,0.07757361742877661,3.4281826080931577,0.9999724625030688,5.795994301086663,0.0
Exo: ChooseHints,20.02977121370206,19.480762362537508,4.268134524606765,5.225177969276883,21.448128126222073,23.943105571368534,19.562578216093755,3.350208534774316,124.62267398478423,4.211883774077702,2.2376654015796493,201.58414440785458,5.70826262197709,1.007899666272822,0.9418873393920403,,1.6906605828848467,1.599553391029354,1.0423336420161395,5.243984624674159,18.93229495502378,7.093417516110742,3.2513874127256153,0.07847921914357683,3.5179969421604524,0.8837302392959769,5.139089619503193,1.0
Exo: FromPlan,3.270269318946879,3.248011406886383,1.0745853740783233,5.221591263650546,1.6019310334469432,27.952101925238313,2.2366755135498235,3.293533284366856,111.64445772951123,1.1854268124597995,2.145456333595594,4.612881159145238,2.3238015047982987,1.0026229556593589,0.884167754509184,,1.0356526214780133,0.2624840665493139,1.016120711890637,1.5009971609052224,16.936939966092805,11.248873448919449,0.455414941773392,0.08593175052542947,,1.1508678303843811,2.212206510857014,1.0
Exo: Naive,19.301597658372724,57.2404552398553,4.1565209092210536,5.231711891959485,38.454500930864015,24.736397491410333,21.489357899525572,31.442436836397825,123.17041391776388,1.1379051819184123,2.3835017754711822,4.624917871314003,4.910019843532605,1.0066161503796582,0.9978006017221704,,2.0864346396048563,1.4380096614702118,1.0279191128506198,1.7090070991086637,1.0917549508518678,7.681638158700607,3.3492066037927364,0.07867787658967432,3.4035182955427503,0.8835274867451718,4.213085730611862,0.0
Halide: AllHints,0.7391354813762526,,,,,,19.90722227053496,,,,1.2822547463704226,,7.05086633258,0.3650128745006577,,,,0.7842682796434195,,1.0218593631082138,1.3771997772997482,,1.0236337998536145,,,,1.5604533208238354,0.0
Halide: ChooseHints,,15.441532542937795,,,,,,,,,,,1.6038951846636416,1.0055276187356423,,,0.8574076097924962,0.7202972074313095,0.8567482928102301,0.6281578856376316,1.4059534898821673,0.8115206710032715,0.5870003031511399,0.0013004286066601286,,,0.6386479701217476,0.0
