data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,c,AllHints,1,26,5,130,111,0.8538461538461538,7.255620225984026,7.437354988399074,1.5504869852332182,22.422481063592336,111,5.998661384529665,499.86613845296654,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,2,26,10,260,247,0.95,8.556032737742841,10.459400764126283,1.6744469840232001,25.736060021306958,247,8.4430824871004,744.30824871004,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,3,26,10,260,250,0.9615384615384616,9.641962616703541,13.083855565502834,1.6744469840232001,36.83659279493024,250,9.588229204554647,858.8229204554647,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,4,26,5,130,125,0.9615384615384616,10.436093640856802,13.589012697590045,1.83899972340286,38.72516035023352,125,10.328718727617172,932.8718727617172,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,5,26,1,26,25,0.9615384615384616,11.005493720488202,14.26373870623214,1.83899972340286,38.72516035023352,25,10.867781289413038,986.7781289413039,c,130,111,19,9,0,8,2,0
DOUBLE,c,ChooseHints,1,26,5,130,113,0.8692307692307693,6.082193204535029,5.280805557723831,1.8664437015765245,17.69817152535822,113,5.184518493090572,418.45184930905714,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,2,26,10,260,252,0.9692307692307692,7.527261084165396,6.944258639910814,1.8725090136450842,23.576880918414055,252,7.72508772084901,672.508772084901,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,3,26,10,260,258,0.9923076923076923,8.313010514993056,10.477240057498802,1.8734026091449967,25.155529559182,258,8.913983329677453,791.3983329677453,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,4,26,5,130,130,1.0,8.877013364685258,11.39009556907037,1.8734026091449967,25.70351019834578,130,9.66504715819871,866.5047158198711,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,5,26,1,26,26,1.0,9.450486946627832,12.334054447163894,2.4309403000253784,28.264354991807515,26,10.28766815963499,928.766815963499,c,130,113,17,10,1,5,1,0
DOUBLE,c,FromPlan,1,26,5,130,118,0.9076923076923077,2.273347055010186,1.9209131648497388,1.1817458312121008,3.9065202719468948,118,2.3328755058558346,133.28755058558346,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,2,26,10,260,250,0.9615384615384616,2.8432016428749343,2.6734974867029173,1.4975433980809851,6.407177563004643,250,3.033738808320254,203.37388083202538,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,3,26,10,260,250,0.9615384615384616,3.425306846481102,2.8398652786282916,1.5642510452751364,6.723081668295653,250,3.590579455642497,259.0579455642497,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,4,26,5,130,125,0.9615384615384616,3.9445527967181295,3.8055101020090802,1.6690638203706605,7.686960098724803,125,4.089749959598154,308.97499595981543,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,5,26,1,26,25,0.9615384615384616,4.427044043375626,3.910152447427512,1.8693854270640238,9.207822215928044,25,4.555388273363276,355.5388273363276,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,1,26,5,130,118,0.9076923076923077,1.8199267785269357,1.51237730194685,1.0066224731236155,3.3564906913997197,118,1.7820684693426792,78.20684693426792,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,2,26,10,260,253,0.9730769230769231,2.1108345242811177,1.5412649894192334,1.0681385610963074,3.90265858301366,253,2.097810344703346,109.78103447033459,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,3,26,10,260,256,0.9846153846153847,2.3791909594102334,1.8556919919317738,1.1335723566731697,4.234990626069009,256,2.353326335385165,135.3326335385165,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,4,26,5,130,129,0.9923076923076923,2.5838852112024946,1.923768492145569,1.267607703176141,4.882057708204852,129,2.566359431814687,156.6359431814687,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,5,26,1,26,26,1.0,2.7329403197383413,2.148589166767853,1.3355922109003038,4.932530627877137,26,2.7341384908994875,173.41384908994874,c,130,118,12,7,0,5,0,0
