data_type,framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
DOUBLE,c,AllHints,130,111,0.8538461538461538,85.38461538461539,111,7.437354988399074,7.255620225984026,1.5504869852332182,22.422481063592336,20.87199407835912,11.005493720488202,25,26,c
DOUBLE,c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,5.280805557723831,6.082193204535029,1.8664437015765245,17.69817152535822,15.831727823781694,9.450486946627832,26,26,c
DOUBLE,c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,1.9209131648497388,2.273347055010186,1.1817458312121008,3.9065202719468948,2.724774440734794,4.427044043375626,25,26,c
DOUBLE,c,Naive,130,118,0.9076923076923077,90.76923076923077,118,1.51237730194685,1.8199267785269357,1.0066224731236155,3.3564906913997197,2.349868218276104,2.7329403197383413,26,26,c
DOUBLE,exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,5.327644010972265,3.977457773731205,1.0051772592524313,17.49995296552373,16.494775706271298,6.39418215443681,25,26,c
DOUBLE,exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,5.537666133979175,4.4464151102121345,1.0090581572415163,21.21594517479301,20.206887017551495,6.025151227109426,25,26,c
DOUBLE,exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,1.1761356740729512,1.5580271577915974,0.8265135373705337,3.7474163712295905,2.920902833859057,2.1002393648049344,24,26,c
DOUBLE,exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,1.6768895511377144,2.686719871397903,0.9983853606027988,11.152885832329709,10.15450047172691,4.456447997181727,25,26,c
DOUBLE,halide,AllHints,130,31,0.23846153846153847,23.846153846153847,31,1.616421720815272,2.3129539739140292,0.39170461606421575,27.25317425494694,26.861469638882724,2.4298756951282225,16,26,c
DOUBLE,halide,ChooseHints,130,37,0.2846153846153846,28.46153846153846,37,1.001571742774751,2.0536683290149536,0.5596789765870142,24.81329743060624,24.253618454019225,2.9387240369269083,17,26,c
DOUBLE,halide,FromPlan,130,28,0.2153846153846154,21.53846153846154,28,1.1074411918593332,1.7446976953221143,0.5737816387563268,5.654483638123462,5.080701999367136,2.420990462182841,15,26,c
DOUBLE,halide,Naive,130,42,0.3230769230769231,32.30769230769231,42,3.358838169231235,3.4354795231983295,0.7294764796953697,29.421072611506986,28.691596131811615,4.420144776803,18,26,c
DOUBLE,noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,1.5254505847141968,2.093558607588995,1.0189442532470203,3.7579841678553074,2.739039914608287,4.171791993711169,23,26,c
DOUBLE,noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,1.2401921611913769,1.5743054072873435,0.9982720740526821,2.993717660362505,1.9954455863098226,2.3315826008683658,23,26,c
DOUBLE,noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,1.1833677885077325,1.3742236173907623,0.9885299400663993,1.7783410584210124,0.7898111183546132,1.9154722015929335,23,26,c
DOUBLE,noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,1.0238221281101112,1.3267235796563561,0.9895587756441762,2.279189715918183,1.289630940274007,1.883021376684806,23,26,c
