data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,c,AllHints,1,26,5,130,111,0.8538461538461538,2.8749039584587455,2.689236111111111,1.0320877855786401,10.451460189626552,111,2.9161821166884256,191.61821166884258,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,2,26,10,260,247,0.95,3.4740065161828637,3.06794425087108,1.259551782602065,12.314136979584035,247,3.755350263808581,275.53502638085814,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,3,26,10,260,250,0.9615384615384616,3.968349324663377,3.210043553598347,1.3747222287066654,15.027175651242322,250,4.174742726079621,317.47427260796206,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,4,26,5,130,125,0.9615384615384616,4.33155915877199,3.454163905456152,1.4513709057237474,17.843170320404724,125,4.4627711006450275,346.2771100645027,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,5,26,1,26,25,0.9615384615384616,4.6301856290578085,3.454163905456152,1.4528520381154046,18.27461139896373,25,4.692744391776008,369.2744391776008,c,130,111,19,9,0,8,2,0
DOUBLE,c,ChooseHints,1,26,5,130,113,0.8692307692307693,2.780815141667091,2.5000774113639883,1.0682758620689656,4.208718440695416,113,2.7459366662655715,174.59366662655717,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,2,26,10,260,252,0.9692307692307692,3.148156465112116,3.0261334389229853,1.4062770216172937,5.55503634475597,252,3.4997714517707696,249.97714517707698,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,3,26,10,260,258,0.9923076923076923,3.348117738667607,3.0390632532569866,1.450710842835536,10.262338106920751,258,3.8131695085839308,281.31695085839306,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,4,26,5,130,130,1.0,3.4951832170552053,3.1227559333554598,1.453515238200022,10.535331580481266,130,4.013455082332608,301.3455082332608,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,5,26,1,26,26,1.0,3.613236544094185,3.2395373076967866,1.5570358104760522,12.722863007742843,26,4.148135632961079,314.8135632961079,c,130,113,17,10,1,5,1,0
DOUBLE,c,FromPlan,1,26,5,130,118,0.9076923076923077,1.7168474926947501,1.8968512299308942,1.0759310188345443,3.360131893402892,118,1.8610835321213837,86.10835321213837,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,2,26,10,260,250,0.9615384615384616,1.905460637617224,2.0519047145910307,1.3314368146374713,3.561755417709021,250,2.148193363555943,114.81933635559432,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,3,26,10,260,250,0.9615384615384616,2.0930507723779743,2.339103417665335,1.3934005578228819,3.630927835051547,250,2.336240526467203,133.6240526467203,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,4,26,5,130,125,0.9615384615384616,2.2516537772700933,2.450949367088608,1.5594893786775708,3.725301666347443,125,2.5003687220872766,150.03687220872766,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,5,26,1,26,25,0.9615384615384616,2.4096182069191516,2.4907975460122698,1.6873977086743044,3.7263157894736842,25,2.664196564756116,166.41965647561162,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,1,26,5,130,118,0.9076923076923077,1.660413944403703,1.3938813158614185,1.016628725642358,3.3409071538265422,118,1.6422781369888835,64.22781369888835,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,2,26,10,260,253,0.9730769230769231,1.8416700500801628,1.4578919157523018,1.0551470588235294,3.5102416398593546,253,1.8372387756087774,83.72387756087774,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,3,26,10,260,256,0.9846153846153847,1.9897792963439083,1.6331775700934579,1.080324314132177,3.7068062827225132,256,1.9750401771443529,97.50401771443529,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,4,26,5,130,129,0.9923076923076923,2.0930575978073076,1.7651515151515154,1.0829831932773109,3.7860962566844916,129,2.081199112862635,108.1199112862635,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,5,26,1,26,26,1.0,2.1655983886735375,1.8868638647784377,1.1083212963798863,3.975255900366631,26,2.1655983886735375,116.55983886735375,c,130,118,12,7,0,5,0,0
DOUBLE,exo,AllHints,1,26,5,130,89,0.6846153846153846,1.5022801843929885,1.8891891891891894,0.9806763285024155,3.7068062827225132,89,1.8433496839451604,84.33496839451604,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,2,26,10,260,222,0.8538461538461538,1.8407668017782086,1.893963533368738,0.9849289648797203,3.7460317460317465,222,2.2251035222174433,122.51035222174434,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,3,26,10,260,240,0.9230769230769231,2.0044631845606613,1.9121266804938024,1.0001391079274327,3.7460317460317465,240,2.4258785348334553,142.58785348334553,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,4,26,5,130,124,0.9538461538461539,2.1335595499947764,1.9302898276188671,1.0074974635490224,3.7460317460317465,124,2.5629234103784615,156.29234103784614,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,5,26,1,26,25,0.9615384615384616,2.224649185359137,1.9302898276188671,1.022670025188917,3.7460317460317465,25,2.6498637169770913,164.98637169770913,c,130,89,41,34,0,7,0,0
DOUBLE,exo,ChooseHints,1,26,5,130,87,0.6692307692307692,1.998825322774225,2.0660098522167485,1.0162719298245615,4.715808597755498,87,1.9936306942403745,99.36306942403745,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,2,26,10,260,222,0.8538461538461538,2.182330282755777,2.1191335740072206,1.0354955378637734,4.762318303370489,222,2.483257026228209,148.3257026228209,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,3,26,10,260,236,0.9076923076923077,2.337402029195557,2.1191335740072206,1.063258252337099,4.762318303370489,236,2.691203084343486,169.12030843434863,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,4,26,5,130,122,0.9384615384615385,2.42295439721455,2.4756791258169937,1.0740740740740742,4.762318303370489,122,2.843941053782544,184.39410537825438,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,5,26,1,26,25,0.9615384615384616,2.482946809920083,2.5310457516339873,1.1406716417910447,4.762318303370489,25,2.9637390480168118,196.37390480168116,c,130,87,43,38,0,5,0,0
DOUBLE,exo,FromPlan,1,26,5,130,56,0.4307692307692308,1.0555255095042186,1.0946008347401284,0.7956882363058065,3.161012108401349,56,1.2558120307015985,25.58120307015985,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,2,26,10,260,176,0.676923076923077,1.0785032935275949,1.111800893978748,0.8534502526773778,3.161905576462538,176,1.449171696649716,44.91716966497159,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,3,26,10,260,211,0.8115384615384615,1.1185588634155736,1.1221983569356975,0.8668941979522182,3.2107874103041993,211,1.591095224776793,59.10952247767931,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,4,26,5,130,115,0.8846153846153846,1.1820547155535597,1.1296359065615909,0.9201404124616059,3.225634761364628,115,1.7056073221790418,70.56073221790417,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,5,26,1,26,24,0.9230769230769231,1.2770067152099864,1.2982459835838256,0.92980885877151,3.235818957605672,24,1.815552336820009,81.5552336820009,c,130,56,74,73,0,1,0,0
DOUBLE,exo,Naive,1,26,5,130,81,0.6230769230769231,1.4596815111431802,1.0569570631370198,0.9584574384699797,3.1276649746192895,81,1.5422094017105574,54.220940171055744,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,2,26,10,260,209,0.8038461538461539,1.768657269006836,1.3691808799226712,0.9946962548400742,3.389539839630138,209,1.9762833471149919,97.62833471149919,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,3,26,10,260,228,0.8769230769230769,1.9844775896448044,1.6836887245259264,1.0045473185443892,3.4513624122522852,228,2.2580834067617275,125.80834067617275,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,4,26,5,130,120,0.9230769230769231,2.0802426074382065,2.0782953419226957,1.0068359375,3.453099012378387,120,2.426925803253995,142.69258032539952,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,5,26,1,26,25,0.9615384615384616,2.1382521408817827,2.0782953419226957,1.0068359375,3.453099012378387,25,2.562803048630175,156.2803048630175,c,130,81,49,44,0,5,0,0
DOUBLE,halide,AllHints,1,26,5,130,27,0.2076923076923077,0.5964645836159712,0.6532664204555495,0.16220490904441737,2.5007320368226162,27,1.1153462203328948,11.534622033289477,c,130,27,103,47,50,6,0,0
DOUBLE,halide,AllHints,2,26,10,260,92,0.35384615384615387,0.6082160826598234,0.6532664204555495,0.16798879419033175,2.6698201776558097,92,1.20955453868603,20.955453868603,c,130,27,103,47,50,6,0,0
DOUBLE,halide,AllHints,3,26,10,260,117,0.45,0.6241466629352195,0.6532664204555495,0.1737726793362461,2.7874077976817704,117,1.27879838043062,27.879838043062,c,130,27,103,47,50,6,0,0
DOUBLE,halide,AllHints,4,26,5,130,66,0.5076923076923077,0.6456596327952445,0.6537499255931785,0.18469374844048045,2.7874077976817704,66,1.3215827983539317,32.15827983539317,c,130,27,103,47,50,6,0,0
DOUBLE,halide,AllHints,5,26,1,26,14,0.5384615384615384,0.6743330705673579,0.6537499255931785,0.22380375845592204,2.532703673856532,14,1.338619556221822,33.861955622182194,c,130,27,103,47,50,6,0,0
DOUBLE,halide,ChooseHints,1,26,5,130,32,0.24615384615384617,0.5094707071969428,0.627396285046429,0.18150502329052906,1.5048345749982839,32,1.097160517858935,9.716051785893498,c,130,32,98,44,49,5,0,0
DOUBLE,halide,ChooseHints,2,26,10,260,101,0.38846153846153847,0.5451726552267845,0.6398415056958892,0.19651500484027107,2.227110082087982,101,1.1873391165021483,18.73391165021483,c,130,32,98,44,49,5,0,0
DOUBLE,halide,ChooseHints,3,26,10,260,125,0.4807692307692308,0.5682326349637667,0.6398415056958892,0.19651500484027107,2.6712687871373646,125,1.2725025639184362,27.25025639184362,c,130,32,98,44,49,5,0,0
DOUBLE,halide,ChooseHints,4,26,5,130,72,0.5538461538461539,0.5760680916260827,0.692929761398595,0.19651500484027107,2.7830089426617572,72,1.353661999652291,35.36619996522909,c,130,32,98,44,49,5,0,0
DOUBLE,halide,ChooseHints,5,26,1,26,16,0.6153846153846154,0.578801051690623,0.8499886700097934,0.1906380955592053,3.1195338344163988,16,1.4300836124800622,43.008361248006224,c,130,32,98,44,49,5,0,0
DOUBLE,halide,FromPlan,1,26,5,130,26,0.2,0.48656163045312134,0.8008002957279974,0.14503518824779704,1.4727685140817588,26,1.0743937066664313,7.43937066664313,c,130,26,104,40,63,1,0,0
DOUBLE,halide,FromPlan,2,26,10,260,85,0.3269230769230769,0.47869412443403014,0.8480647024841131,0.13909952606635065,1.4887418479554435,85,1.133755082081374,13.375508208137399,c,130,26,104,40,63,1,0,0
DOUBLE,halide,FromPlan,3,26,10,260,110,0.4230769230769231,0.4834059605427298,0.862245998236141,0.13909952606635065,1.4887418479554435,110,1.1764686896562768,17.646868965627682,c,130,26,104,40,63,1,0,0
DOUBLE,halide,FromPlan,4,26,5,130,64,0.49230769230769234,0.4928667711191362,0.862245998236141,0.13909952606635065,1.4887418479554435,64,1.2018764786570741,20.187647865707415,c,130,26,104,40,63,1,0,0
DOUBLE,halide,FromPlan,5,26,1,26,14,0.5384615384615384,0.5049781647557838,0.5470608319806797,0.15114114101512435,1.376590568468334,14,1.210237580215016,21.023758021501603,c,130,26,104,40,63,1,0,0
DOUBLE,halide,Naive,1,26,5,130,35,0.2692307692307692,0.9598472331434189,1.2537716237087233,0.2776178388992683,2.8644140652478587,35,1.1919297598502936,19.19297598502936,c,130,35,95,36,52,7,0,0
DOUBLE,halide,Naive,2,26,10,260,114,0.43846153846153846,0.9938801033201289,1.2441926690648941,0.2717368082419886,2.8878275109170306,114,1.3311916319484405,33.11916319484405,c,130,35,95,36,52,7,0,0
DOUBLE,halide,Naive,3,26,10,260,141,0.5423076923076923,1.0407013944616998,1.1251963864886096,0.28937990021382753,3.137219959266803,141,1.426385558021069,42.63855580210689,c,130,35,95,36,52,7,0,0
DOUBLE,halide,Naive,4,26,5,130,79,0.6076923076923076,1.0893630806500072,1.1251963864886096,0.28937990021382753,3.137219959266803,79,1.4916446294807486,49.16446294807486,c,130,35,95,36,52,7,0,0
DOUBLE,halide,Naive,5,26,1,26,17,0.6538461538461539,1.1163574693110503,1.1251963864886096,0.28937990021382753,3.137219959266803,17,1.5385442333591726,53.854423335917254,c,130,35,95,36,52,7,0,0
DOUBLE,noarr,AllHints,1,26,5,130,110,0.8461538461538461,1.2242009576233412,1.1946651216052375,1.0035510756473636,2.3816684990778834,110,1.5130944440548424,51.30944440548424,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,2,26,10,260,228,0.8769230769230769,1.74264928743343,1.472481343283582,1.1430155210643014,3.100169745652613,228,1.7719576381492155,77.19576381492155,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,3,26,10,260,230,0.8846153846153846,1.9907331413054057,1.5153704978206013,1.2055763900211969,3.814813455573404,230,1.8928593125848314,89.28593125848315,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,4,26,5,130,115,0.8846153846153846,2.1003956173625453,1.6710526315789471,1.2727272727272727,4.032579282805523,115,1.9527800931472081,95.27800931472082,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,5,26,1,26,23,0.8846153846153846,2.1557824214609296,1.6710526315789471,1.2798418972332015,3.5803577662649593,23,1.9923671661207027,99.23671661207027,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,ChooseHints,1,26,5,130,108,0.8307692307692308,1.1686271351696964,1.2295694759151214,1.0295673832621939,2.149283444309927,108,1.4666108627128849,46.66108627128849,c,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,2,26,10,260,228,0.8769230769230769,1.4558975703791635,1.402020650605085,1.1026494014403587,2.5106382978723403,228,1.647974888715739,64.7974888715739,c,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,3,26,10,260,230,0.8846153846153846,1.6347368027558071,1.4630981346309815,1.1392265193370166,2.6619383640553,230,1.725974158441059,72.59741584410591,c,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,4,26,5,130,115,0.8846153846153846,1.770394586966015,1.7359271523178808,1.1392265193370166,2.8534817070127234,115,1.7671606618406035,76.71606618406035,c,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,5,26,1,26,23,0.8846153846153846,1.8767015411650163,1.75187969924812,1.1684333186655584,2.887854177714159,23,1.7993239846925864,79.93239846925863,c,130,108,22,13,0,9,0,0
DOUBLE,noarr,FromPlan,1,26,5,130,98,0.7538461538461538,1.4162244562842465,1.2543152271134868,1.0009881422924902,1.9833427810214839,98,1.4004086721462883,40.040867214628825,c,130,98,32,24,2,6,0,0
DOUBLE,noarr,FromPlan,2,26,10,260,222,0.8538461538461538,1.5945320058031691,1.3451898912668065,1.036734693877551,2.593406593406593,222,1.5689553241176664,56.89553241176664,c,130,98,32,24,2,6,0,0
DOUBLE,noarr,FromPlan,3,26,10,260,228,0.8769230769230769,1.7326774200868689,1.6299616677812354,1.0436983778002258,2.7888692579505303,228,1.6742796248567307,67.42796248567306,c,130,98,32,24,2,6,0,0
DOUBLE,noarr,FromPlan,4,26,5,130,115,0.8846153846153846,1.834373614952423,1.7301980198019802,1.1452823740436018,2.9201353508325845,115,1.7444398031923525,74.44398031923525,c,130,98,32,24,2,6,0,0
DOUBLE,noarr,FromPlan,5,26,1,26,23,0.8846153846153846,1.9177868662393924,1.7786259541984735,1.2320836371892558,2.9261118503632657,23,1.793031504544804,79.3031504544804,c,130,98,32,24,2,6,0,0
DOUBLE,noarr,Naive,1,26,5,130,107,0.823076923076923,1.3877216435436304,1.2058516537282278,1.0216135308886938,2.3718535159421856,107,1.4742414756014708,47.42414756014708,c,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,2,26,10,260,229,0.8807692307692307,1.5607481393688183,1.2727272727272727,1.026869650624386,2.7126436781609193,229,1.6179647129238393,61.79647129238393,c,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,3,26,10,260,230,0.8846153846153846,1.7373753779875043,1.5131637077640514,1.0321732912752999,2.75,230,1.7013706348451565,70.13706348451565,c,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,4,26,5,130,115,0.8846153846153846,1.8419947058153656,1.772612003381234,1.034916744246338,2.766485998193315,115,1.7539349215538855,75.39349215538856,c,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,5,26,1,26,23,0.8846153846153846,1.9051450016095155,1.8062015503875968,1.1260770261963686,2.766485998193315,23,1.7981096731316089,79.81096731316089,c,130,107,23,15,0,8,0,0
