,correlation,covariance,gemver,gesummv,symm,syr2k,syrk,trmm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,nussinov,adi,fdtd-2d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,15.435908141962425,24.39029255319149,3.0303468208092483,4.068965517241379,28.785310734463284,24.076263107721637,18.27461139896373,7.4557491289198605,54.7265053460889,1.9980620155038762,3.150268336314847,78.73184357541902,2.7080419580419584,1.0692607366972262,0.9883268482490273,,1.4553451993138504,1.4528520381154046,1.0330788804071245,18.603686635944698,10.332490808823529,4.229210606961945,0.8895210834962303,0.17330210772833726,3.454163905456152,1.3567616507252616,4.630185629057808,11.0
C: ChooseHints,14.623813291139241,14.714400320898516,2.2475884244372986,3.8901098901098905,3.0261334389229853,24.401932367149758,17.23289902280131,13.543037974683541,51.673219978746005,1.952651515151515,3.4529411764705875,84.38922155688623,2.7127845884413313,1.0732164180851813,1.0059405940594057,3.6718403547671836,1.453515238200022,1.4062770216172937,1.0357142857142858,3.9675675675675675,10.262338106920751,3.5835369951732146,0.9010006010677795,0.030648167322427,1.960137887809464,1.867597527304143,3.6132365440941854,2.0
C: FromPlan,3.456015705337945,3.3731494252873566,1.849206349206349,3.7263157894736842,4.453022578295703,24.449177153920612,1.7300523217789407,5.1798595981602515,13.441465100207328,1.6873977086743044,3.630927835051547,5.2186632105165724,2.450949367088608,3.62311279740732,1.0139720558882237,,3.0723255813953485,1.3910853449914466,2.4907975460122698,1.225422121039651,4.082527577284489,2.3889516827045467,1.016717203957868,0.03047775947281714,1.5594893786775708,1.8971549198894697,2.409618206919151,6.0
C: Naive,3.5948074679113184,3.443766428839654,1.7651515151515154,3.7860962566844916,4.038309114927344,1.0551470588235294,11.268370607028753,5.565149544863459,4.0679745670542955,1.0829831932773109,2.5014204545454546,5.2254356692621435,2.2481857764876634,1.080324314132177,1.0119521912350598,4.131670020120724,1.4578919157523018,1.3612648221343873,1.0943396226415094,1.3322333140829965,2.0085762144053603,4.36616232110621,1.1502663175950167,1.072463768115942,1.0323155636243604,1.270952300557139,2.1655983886735375,3.0
Exo: AllHints,12.917190775681345,1.8262969232301105,3.0747800586510263,3.7460317460317465,1.9302898276188671,20.66775777414075,16.636792452830186,1.893963533368738,25.87786056412985,1.477077363896848,2.0742049469964665,13.055118110236224,3.037254901960784,1.0537980503954387,0.9694656488549619,,0.9826479651471682,0.9815365357534032,1.022670025188917,3.2898034022613833,4.745356690586745,3.5152382379382683,0.5314272605939273,0.009581768742716558,1.5883189436262062,1.0001391079274327,2.2246491853591372,2.0
Exo: ChooseHints,12.617406143344708,14.340500390930414,2.92877094972067,3.847826086956521,1.1406716417910447,24.19157088122605,16.662992125984253,4.210547028728847,49.84572014351613,1.6873977086743044,2.1191335740072206,6.981917265296012,2.5310457516339873,1.063258252337099,0.9459962756052142,,1.280738442788688,1.296552742304569,1.0740740740740742,3.029075220408929,4.762318303370489,3.4786999006539046,0.49972545789700756,0.009680795395081111,1.5658138486957394,0.882702680332731,2.4829468099200835,0.0
Exo: FromPlan,3.225634761364628,3.298830935251798,0.9201404124616059,3.160714285714286,0.8131184168528566,2.18213236564714,1.6522485946283574,3.2663715463288048,49.44026436197255,0.9330316742081447,1.8382045929018789,4.238496240601504,1.4668560606060606,1.062124898621249,0.8668941979522182,,1.1221983569356975,0.017203818290913428,1.0437017994858613,1.103118488916214,4.696782953833299,3.328042102874003,0.6468915797222858,0.009684596257034415,,1.1296359065615909,1.2770067152099864,0.0
Exo: Naive,10.059591836734693,23.851105331599484,2.0782953419226957,3.339622641509433,2.2144150670047082,21.47619047619047,16.253456221198157,6.082433200682205,37.766601941747574,1.0068359375,2.20125,3.450783545543585,2.5310457516339873,1.0569570631370198,0.9713193116634798,,1.3948475844281212,1.3691808799226712,1.0124688279301746,1.047788988742173,0.9976814616775568,3.453099012378387,0.6924916437946685,0.009632281158477059,0.7480744390757308,0.8718352576347579,2.138252140881783,0.0
Halide: AllHints,0.6532664204555495,,,,,,1.9964150943396228,,,,0.21009305654974947,,0.5498757543485978,0.028206370002147655,,,,0.26493586417443976,,0.7576240968377592,1.7235834682867466,,0.031614585659485994,,,,0.3300551813902089,0.0
Halide: ChooseHints,,4.129108509680324,,,,,,,,,,,0.09783981808994441,1.1234313725490197,,,0.2855400519348992,0.17300736771600805,0.19651500484027107,0.6398415056958892,0.5190770962296004,1.0601358343236977,0.016912504023547298,0.001772688617662207,,,0.21548339884296047,0.0
