data_type,framework,version,algorithm,category,share_pct,repetitions
DOUBLE,c,AllHints,3mm,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,3mm,invalid_code,20.0,5
DOUBLE,c,AllHints,3mm,slowdown,0.0,5
DOUBLE,c,AllHints,3mm,speedup_over,80.0,5
DOUBLE,c,AllHints,3mm,speedup_under,0.0,5
DOUBLE,c,AllHints,adi,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,adi,invalid_code,0.0,5
DOUBLE,c,AllHints,adi,slowdown,0.0,5
DOUBLE,c,AllHints,adi,speedup_over,100.0,5
DOUBLE,c,AllHints,adi,speedup_under,0.0,5
DOUBLE,c,AllHints,atax,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,atax,invalid_code,0.0,5
DOUBLE,c,AllHints,atax,slowdown,0.0,5
DOUBLE,c,AllHints,atax,speedup_over,80.0,5
DOUBLE,c,AllHints,atax,speedup_under,20.0,5
DOUBLE,c,AllHints,bicg,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,bicg,invalid_code,20.0,5
DOUBLE,c,AllHints,bicg,slowdown,0.0,5
DOUBLE,c,AllHints,bicg,speedup_over,80.0,5
DOUBLE,c,AllHints,bicg,speedup_under,0.0,5
DOUBLE,c,AllHints,cholesky,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,cholesky,invalid_code,0.0,5
DOUBLE,c,AllHints,cholesky,slowdown,0.0,5
DOUBLE,c,AllHints,cholesky,speedup_over,0.0,5
DOUBLE,c,AllHints,cholesky,speedup_under,100.0,5
DOUBLE,c,AllHints,correlation,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,correlation,invalid_code,20.0,5
DOUBLE,c,AllHints,correlation,slowdown,0.0,5
DOUBLE,c,AllHints,correlation,speedup_over,80.0,5
DOUBLE,c,AllHints,correlation,speedup_under,0.0,5
DOUBLE,c,AllHints,covariance,invalid_algorithm,20.0,5
DOUBLE,c,AllHints,covariance,invalid_code,0.0,5
DOUBLE,c,AllHints,covariance,slowdown,0.0,5
DOUBLE,c,AllHints,covariance,speedup_over,80.0,5
DOUBLE,c,AllHints,covariance,speedup_under,0.0,5
DOUBLE,c,AllHints,deriche,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,deriche,invalid_code,0.0,5
DOUBLE,c,AllHints,deriche,slowdown,0.0,5
DOUBLE,c,AllHints,deriche,speedup_over,80.0,5
DOUBLE,c,AllHints,deriche,speedup_under,20.0,5
DOUBLE,c,AllHints,doitgen,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,doitgen,invalid_code,0.0,5
DOUBLE,c,AllHints,doitgen,slowdown,0.0,5
DOUBLE,c,AllHints,doitgen,speedup_over,100.0,5
DOUBLE,c,AllHints,doitgen,speedup_under,0.0,5
DOUBLE,c,AllHints,durbin,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,durbin,invalid_code,20.0,5
DOUBLE,c,AllHints,durbin,slowdown,80.0,5
DOUBLE,c,AllHints,durbin,speedup_over,0.0,5
DOUBLE,c,AllHints,durbin,speedup_under,0.0,5
DOUBLE,c,AllHints,fdtd-2d,invalid_algorithm,20.0,5
DOUBLE,c,AllHints,fdtd-2d,invalid_code,20.0,5
DOUBLE,c,AllHints,fdtd-2d,slowdown,60.0,5
DOUBLE,c,AllHints,fdtd-2d,speedup_over,0.0,5
DOUBLE,c,AllHints,fdtd-2d,speedup_under,0.0,5
DOUBLE,c,AllHints,gemver,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,gemver,invalid_code,0.0,5
DOUBLE,c,AllHints,gemver,slowdown,0.0,5
DOUBLE,c,AllHints,gemver,speedup_over,100.0,5
DOUBLE,c,AllHints,gemver,speedup_under,0.0,5
DOUBLE,c,AllHints,gesummv,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,gesummv,invalid_code,0.0,5
DOUBLE,c,AllHints,gesummv,slowdown,0.0,5
DOUBLE,c,AllHints,gesummv,speedup_over,100.0,5
DOUBLE,c,AllHints,gesummv,speedup_under,0.0,5
DOUBLE,c,AllHints,gramschmidt,invalid_algorithm,100.0,5
DOUBLE,c,AllHints,gramschmidt,invalid_code,0.0,5
DOUBLE,c,AllHints,gramschmidt,slowdown,0.0,5
DOUBLE,c,AllHints,gramschmidt,speedup_over,0.0,5
DOUBLE,c,AllHints,gramschmidt,speedup_under,0.0,5
DOUBLE,c,AllHints,jacobi-1d,invalid_algorithm,0.0,5
DOUBLE,c,AllHints,jacobi-1d,invalid_code,20.0,5
DOUBLE,c,AllHints,jacobi-1d,slowdown,80.0,5
DOUBLE,c,AllHints,jacobi-1d,speedup_over,0.0,5
DOUBLE,c,AllHints,jacobi-1d,speedup_under,0.0,5
