framework,version,algorithm,data_type,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
c,AllHints,3mm,DOUBLE,1,MEDIUM,54.72650534608891,0.0005923333333333333,0.03241633333333333,c
c,AllHints,3mm,DOUBLE,2,MEDIUM,52.766684753119904,0.0006143333333333334,0.03241633333333333,c
c,AllHints,3mm,DOUBLE,4,MEDIUM,22.80698874296435,0.0014213333333333335,0.03241633333333333,c
c,AllHints,3mm,DOUBLE,5,MEDIUM,38.49920823436263,0.000842,0.03241633333333333,c
c,ChooseHints,3mm,DOUBLE,1,MEDIUM,51.56362672322375,0.0006286666666666667,0.03241633333333333,c
c,ChooseHints,3mm,DOUBLE,2,MEDIUM,50.4665282823041,0.0006423333333333333,0.03241633333333333,c
c,ChooseHints,3mm,DOUBLE,3,MEDIUM,51.67321997874601,0.0006273333333333334,0.03241633333333333,c
c,ChooseHints,3mm,DOUBLE,4,MEDIUM,25.591842105263154,0.0012666666666666668,0.03241633333333333,c
c,FromPlan,3mm,DOUBLE,1,MEDIUM,3.725301666347443,0.008701666666666667,0.03241633333333333,c
c,FromPlan,3mm,DOUBLE,2,MEDIUM,13.441465100207326,0.0024116666666666666,0.03241633333333333,c
c,FromPlan,3mm,DOUBLE,3,MEDIUM,3.551307332749051,0.009127999999999999,0.03241633333333333,c
c,FromPlan,3mm,DOUBLE,4,MEDIUM,3.4703279449024014,0.009341,0.03241633333333333,c
c,FromPlan,3mm,DOUBLE,5,MEDIUM,3.565238112695677,0.009092333333333334,0.03241633333333333,c
c,Naive,3mm,DOUBLE,1,MEDIUM,4.0043234785473105,0.008095333333333335,0.03241633333333333,c
c,Naive,3mm,DOUBLE,2,MEDIUM,3.5561121878085347,0.009115666666666666,0.03241633333333333,c
c,Naive,3mm,DOUBLE,3,MEDIUM,4.0679745670542955,0.007968666666666667,0.03241633333333333,c
c,Naive,3mm,DOUBLE,4,MEDIUM,4.004488367304921,0.008095,0.03241633333333333,c
c,Naive,3mm,DOUBLE,5,MEDIUM,4.054237712094051,0.007995666666666667,0.03241633333333333,c
c,standard,3mm,DOUBLE,1,MEDIUM,1.0,0.03241633333333333,0.03241633333333333,c
exo,AllHints,3mm,DOUBLE,3,MEDIUM,25.877860564129854,0.0012526666666666667,0.03241633333333333,c
exo,AllHints,3mm,DOUBLE,4,MEDIUM,24.385406218655966,0.0013293333333333334,0.03241633333333333,c
exo,ChooseHints,3mm,DOUBLE,1,MEDIUM,26.753507565337,0.0012116666666666667,0.03241633333333333,c
exo,ChooseHints,3mm,DOUBLE,2,MEDIUM,49.264944275582565,0.0006580000000000001,0.03241633333333333,c
exo,ChooseHints,3mm,DOUBLE,3,MEDIUM,27.929063756461805,0.0011606666666666666,0.03241633333333333,c
exo,ChooseHints,3mm,DOUBLE,4,MEDIUM,49.84572014351614,0.0006503333333333334,0.03241633333333333,c
exo,FromPlan,3mm,DOUBLE,3,MEDIUM,3.2612005365526495,0.00994,0.03241633333333333,c
exo,FromPlan,3mm,DOUBLE,4,MEDIUM,49.440264361972545,0.0006556666666666667,0.03241633333333333,c
exo,FromPlan,3mm,DOUBLE,5,MEDIUM,3.255196652719665,0.009958333333333333,0.03241633333333333,c
exo,Naive,3mm,DOUBLE,1,MEDIUM,20.8063756953359,0.0015580000000000001,0.03241633333333333,c
exo,Naive,3mm,DOUBLE,2,MEDIUM,1.2008421416576114,0.026994666666666667,0.03241633333333333,c
exo,Naive,3mm,DOUBLE,3,MEDIUM,37.766601941747574,0.0008583333333333333,0.03241633333333333,c
exo,Naive,3mm,DOUBLE,4,MEDIUM,3.4060311011487805,0.009517333333333334,0.03241633333333333,c
exo,Naive,3mm,DOUBLE,5,MEDIUM,20.06375077367444,0.0016156666666666665,0.03241633333333333,c
exo,standard,3mm,DOUBLE,1,MEDIUM,0.9756804751537527,0.033224333333333335,0.03241633333333333,c
exo,standard,3mm,DOUBLE,2,MEDIUM,0.975543451001635,0.033229,0.03241633333333333,c
exo,standard,3mm,DOUBLE,3,MEDIUM,0.976542652005824,0.033195,0.03241633333333333,c
exo,standard,3mm,DOUBLE,4,MEDIUM,0.9756706864377872,0.033224666666666666,0.03241633333333333,c
exo,standard,3mm,DOUBLE,5,MEDIUM,0.97545538436848,0.033232000000000005,0.03241633333333333,c
halide,standard,3mm,DOUBLE,1,MEDIUM,0.008199589417673927,3.953409333333333,0.03241633333333333,c
halide,standard,3mm,DOUBLE,2,MEDIUM,0.008159886074232988,3.972645333333333,0.03241633333333333,c
halide,standard,3mm,DOUBLE,3,MEDIUM,1.9835804760642093,0.016342333333333334,0.03241633333333333,c
halide,standard,3mm,DOUBLE,4,MEDIUM,2.1165933922430678,0.015315333333333334,0.03241633333333333,c
halide,standard,3mm,DOUBLE,5,MEDIUM,0.008128955226675217,3.9877613333333333,0.03241633333333333,c
noarr,AllHints,3mm,DOUBLE,1,MEDIUM,1.1568447849257708,0.028021333333333332,0.03241633333333333,c
noarr,AllHints,3mm,DOUBLE,2,MEDIUM,4.9254963533225276,0.006581333333333334,0.03241633333333333,c
noarr,AllHints,3mm,DOUBLE,3,MEDIUM,11.525124437070396,0.0028126666666666664,0.03241633333333333,c
noarr,AllHints,3mm,DOUBLE,4,MEDIUM,4.662208159547437,0.006953,0.03241633333333333,c
noarr,AllHints,3mm,DOUBLE,5,MEDIUM,1.047659574468085,0.03094166666666667,0.03241633333333333,c
noarr,ChooseHints,3mm,DOUBLE,1,MEDIUM,4.652839577053729,0.006967,0.03241633333333333,c
noarr,ChooseHints,3mm,DOUBLE,2,MEDIUM,4.837055458841084,0.006701666666666667,0.03241633333333333,c
noarr,ChooseHints,3mm,DOUBLE,3,MEDIUM,1.3770744831492494,0.023540000000000002,0.03241633333333333,c
noarr,ChooseHints,3mm,DOUBLE,4,MEDIUM,1.1182287534352109,0.028989,0.03241633333333333,c
noarr,ChooseHints,3mm,DOUBLE,5,MEDIUM,4.805504768493353,0.006745666666666666,0.03241633333333333,c
noarr,FromPlan,3mm,DOUBLE,1,MEDIUM,1.153223128735414,0.028109333333333333,0.03241633333333333,c
noarr,FromPlan,3mm,DOUBLE,2,MEDIUM,1.1548802356098662,0.028069,0.03241633333333333,c
noarr,FromPlan,3mm,DOUBLE,3,MEDIUM,4.838980942429218,0.006699,0.03241633333333333,c
noarr,FromPlan,3mm,DOUBLE,4,MEDIUM,1.1564183364052558,0.028031666666666667,0.03241633333333333,c
noarr,FromPlan,3mm,DOUBLE,5,MEDIUM,0.888776172328389,0.036473,0.03241633333333333,c
noarr,Naive,3mm,DOUBLE,1,MEDIUM,4.8341701048864145,0.006705666666666666,0.03241633333333333,c
noarr,Naive,3mm,DOUBLE,2,MEDIUM,4.945786502568275,0.006554333333333333,0.03241633333333333,c
noarr,Naive,3mm,DOUBLE,3,MEDIUM,4.950822175838721,0.006547666666666667,0.03241633333333333,c
noarr,Naive,3mm,DOUBLE,4,MEDIUM,4.67161454580391,0.006939000000000001,0.03241633333333333,c
noarr,Naive,3mm,DOUBLE,5,MEDIUM,4.823619860125986,0.0067203333333333325,0.03241633333333333,c
noarr,standard,3mm,DOUBLE,1,MEDIUM,0.8634608042476491,0.03754233333333334,0.03241633333333333,c
noarr,standard,3mm,DOUBLE,2,MEDIUM,0.8972137651074822,0.03613,0.03241633333333333,c
noarr,standard,3mm,DOUBLE,3,MEDIUM,4.864152453358675,0.006664333333333334,0.03241633333333333,c
noarr,standard,3mm,DOUBLE,4,MEDIUM,4.864639087589414,0.0066636666666666676,0.03241633333333333,c
noarr,standard,3mm,DOUBLE,5,MEDIUM,0.8420993384364932,0.03849466666666667,0.03241633333333333,c
c,AllHints,adi,DOUBLE,1,MEDIUM,3.560261624377807,0.021965333333333337,0.07820233333333333,c
c,AllHints,adi,DOUBLE,2,MEDIUM,4.1966799635082195,0.018634333333333333,0.07820233333333333,c
c,AllHints,adi,DOUBLE,3,MEDIUM,4.172942494797319,0.01874033333333333,0.07820233333333333,c
c,AllHints,adi,DOUBLE,4,MEDIUM,4.229210606961946,0.018490999999999997,0.07820233333333333,c
c,AllHints,adi,DOUBLE,5,MEDIUM,3.6635591367625464,0.021346000000000004,0.07820233333333333,c
c,ChooseHints,adi,DOUBLE,2,MEDIUM,3.5153962569489194,0.022245666666666664,0.07820233333333333,c
c,ChooseHints,adi,DOUBLE,3,MEDIUM,0.9987399054077641,0.078301,0.07820233333333333,c
c,ChooseHints,adi,DOUBLE,4,MEDIUM,3.583536995173214,0.021822666666666667,0.07820233333333333,c
c,ChooseHints,adi,DOUBLE,5,MEDIUM,3.489617730179979,0.02241,0.07820233333333333,c
c,FromPlan,adi,DOUBLE,1,MEDIUM,1.3902472266995354,0.05625066666666667,0.07820233333333333,c
c,FromPlan,adi,DOUBLE,2,MEDIUM,2.0540822133695222,0.03807166666666667,0.07820233333333333,c
c,FromPlan,adi,DOUBLE,3,MEDIUM,1.4003461963171875,0.055845,0.07820233333333333,c
c,FromPlan,adi,DOUBLE,4,MEDIUM,2.3889516827045467,0.032735,0.07820233333333333,c
c,FromPlan,adi,DOUBLE,5,MEDIUM,1.3137287841371703,0.059527,0.07820233333333333,c
c,Naive,adi,DOUBLE,1,MEDIUM,1.0080131647919155,0.07758066666666667,0.07820233333333333,c
c,Naive,adi,DOUBLE,2,MEDIUM,0.8757685143362687,0.08929566666666666,0.07820233333333333,c
c,Naive,adi,DOUBLE,3,MEDIUM,1.48842476573553,0.052540333333333335,0.07820233333333333,c
c,Naive,adi,DOUBLE,4,MEDIUM,3.510241639859355,0.022278333333333334,0.07820233333333333,c
c,Naive,adi,DOUBLE,5,MEDIUM,4.36616232110621,0.017911,0.07820233333333333,c
c,standard,adi,DOUBLE,1,MEDIUM,1.0,0.07820233333333333,0.07820233333333333,c
exo,AllHints,adi,DOUBLE,1,MEDIUM,3.4868170738957254,0.022428,0.07820233333333333,c
exo,AllHints,adi,DOUBLE,2,MEDIUM,3.5152382379382683,0.022246666666666665,0.07820233333333333,c
exo,AllHints,adi,DOUBLE,3,MEDIUM,3.4990902040329317,0.022349333333333332,0.07820233333333333,c
exo,AllHints,adi,DOUBLE,5,MEDIUM,3.483917433917434,0.022446666666666667,0.07820233333333333,c
exo,ChooseHints,adi,DOUBLE,1,MEDIUM,3.4583419322503612,0.022612666666666666,0.07820233333333333,c
exo,ChooseHints,adi,DOUBLE,2,MEDIUM,3.4786999006539046,0.022480333333333335,0.07820233333333333,c
exo,ChooseHints,adi,DOUBLE,4,MEDIUM,3.4631406471421826,0.02258133333333333,0.07820233333333333,c
exo,ChooseHints,adi,DOUBLE,5,MEDIUM,3.4766378684370416,0.022493666666666665,0.07820233333333333,c
exo,FromPlan,adi,DOUBLE,2,MEDIUM,1.0860831805640427,0.072004,0.07820233333333333,c
exo,FromPlan,adi,DOUBLE,4,MEDIUM,3.328042102874003,0.023498,0.07820233333333333,c
exo,Naive,adi,DOUBLE,1,MEDIUM,3.361806092912618,0.023262,0.07820233333333333,c
exo,Naive,adi,DOUBLE,2,MEDIUM,3.453099012378387,0.022647,0.07820233333333333,c
exo,Naive,adi,DOUBLE,4,MEDIUM,3.389539839630138,0.023071666666666667,0.07820233333333333,c
exo,standard,adi,DOUBLE,2,MEDIUM,0.7216678458273094,0.10836333333333333,0.07820233333333333,c
exo,standard,adi,DOUBLE,3,MEDIUM,0.7077369083136997,0.11049633333333332,0.07820233333333333,c
exo,standard,adi,DOUBLE,4,MEDIUM,0.7238275947180057,0.10803999999999998,0.07820233333333333,c
halide,AllHints,adi,DOUBLE,1,MEDIUM,0.046252706126447496,1.6907623333333335,0.07820233333333333,c
halide,AllHints,adi,DOUBLE,3,MEDIUM,0.10718095543534224,0.7296290000000001,0.07820233333333333,c
halide,ChooseHints,adi,DOUBLE,1,MEDIUM,0.08734867089521897,0.8952893333333334,0.07820233333333333,c
halide,ChooseHints,adi,DOUBLE,2,MEDIUM,0.7460180171013008,0.10482633333333334,0.07820233333333333,c
halide,ChooseHints,adi,DOUBLE,3,MEDIUM,0.12960087326064632,0.603409,0.07820233333333333,c
halide,ChooseHints,adi,DOUBLE,4,MEDIUM,1.0601358343236977,0.07376633333333334,0.07820233333333333,c
halide,FromPlan,adi,DOUBLE,3,MEDIUM,1.0401367300070048,0.07518466666666668,0.07820233333333333,c
halide,Naive,adi,DOUBLE,2,MEDIUM,0.8217177802373314,0.09516933333333333,0.07820233333333333,c
halide,Naive,adi,DOUBLE,4,MEDIUM,1.2537716237087233,0.06237366666666666,0.07820233333333333,c
halide,Naive,adi,DOUBLE,5,MEDIUM,0.058110652657777116,1.3457486666666665,0.07820233333333333,c
halide,standard,adi,DOUBLE,1,MEDIUM,0.8270623944610329,0.09455433333333334,0.07820233333333333,c
halide,standard,adi,DOUBLE,2,MEDIUM,0.8242467466764103,0.09487733333333333,0.07820233333333333,c
halide,standard,adi,DOUBLE,3,MEDIUM,0.8293164882711422,0.09429733333333334,0.07820233333333333,c
