data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,c,AllHints,1,26,5,130,112,0.8615384615384616,0.2623897940326293,0.3028945199190952,0.10357207218803904,0.9617300724637683,112,1.0788119325377252,7.881193253772523,c,130,112,18,9,0,8,1,0
DOUBLE,c,AllHints,2,26,10,260,247,0.95,0.36633031124756044,0.5144927536231885,0.1227668742530037,1.0267272993985626,247,1.136231902484129,13.623190248412897,c,130,112,18,9,0,8,1,0
DOUBLE,c,AllHints,3,26,10,260,250,0.9615384615384616,0.45522997067861515,0.6875,0.2554744525547445,1.0897310170916223,250,1.1792588471654528,17.925884716545283,c,130,112,18,9,0,8,1,0
DOUBLE,c,AllHints,4,26,5,130,125,0.9615384615384616,0.5294911878450171,0.7434782608695653,0.3044515103338632,1.25,125,1.2143777391757382,21.43777391757382,c,130,112,18,9,0,8,1,0
DOUBLE,c,AllHints,5,26,1,26,25,0.9615384615384616,0.590793765101735,0.7499999999999998,0.32,1.2816901408450703,25,1.2462886472302561,24.62886472302561,c,130,112,18,9,0,8,1,0
DOUBLE,c,ChooseHints,1,26,5,130,113,0.8692307692307693,0.32926320264390485,0.41666666666666663,0.12631578947368421,1.0952380952380953,113,1.163508065294211,16.350806529421092,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,2,26,10,260,252,0.9692307692307692,0.46724316599511145,0.5263157894736842,0.2909698996655518,1.4000000000000004,252,1.251772819344151,25.177281934415106,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,3,26,10,260,258,0.9923076923076923,0.5695953618457233,0.7058823529411764,0.39272727272727276,1.5595238095238095,258,1.3061868686346207,30.618686863462074,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,4,26,5,130,130,1.0,0.6445771308144107,0.9872773536895674,0.4313725490196078,1.6666666666666665,130,1.3469474414827343,34.69474414827343,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,5,26,1,26,26,1.0,0.703838851190558,1.0437500000000002,0.478937267369727,1.7737492973580662,26,1.375395598281449,37.539559828144895,c,130,113,17,10,1,5,1,0
