data_type,framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
DOUBLE,c,AllHints,130,112,0.8615384615384616,86.15384615384616,112,0.3028945199190952,0.2623897940326293,0.10357207218803904,0.9617300724637683,0.8581580002757292,0.590793765101735,25,26,c
DOUBLE,c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,0.41666666666666663,0.32926320264390485,0.12631578947368421,1.0952380952380953,0.9689223057644112,0.703838851190558,26,26,c
DOUBLE,c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,1.3788357400722022,1.0136029384033158,1.0024271844660193,2.0000000000000004,0.9975728155339811,1.5483912843407468,25,26,c
DOUBLE,c,Naive,130,118,0.9076923076923077,90.76923076923077,118,1.3962264150943395,1.3918611934006466,1.0109792927725179,2.0,0.9890207072274821,1.7829337254528563,26,26,c
DOUBLE,exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,0.12068965517241378,0.09106972583383559,0.03715498938428874,0.3014492753623189,0.2642942859780302,0.20735729406328782,25,26,c
DOUBLE,exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,0.18832891246684352,0.1565851203095328,0.07877220947863614,0.743236074270557,0.6644638647919209,0.3265724798802377,25,26,c
DOUBLE,exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,0.6568627450980391,0.3364697119297433,0.22981524956619376,1.1512771195568547,0.9214618699906609,0.4510078536297085,24,26,c
DOUBLE,exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,0.5652173913043479,0.2728906520128794,0.12903225806451615,0.9354838709677419,0.8064516129032258,0.5256271626150782,25,26,c
DOUBLE,halide,AllHints,130,15,0.11538461538461539,11.538461538461538,15,0.019860973187686193,0.019577648718454757,0.00997428687479884,0.03487325278370055,0.02489896590890171,0.036604979862327636,10,26,c
DOUBLE,halide,ChooseHints,130,19,0.14615384615384616,14.615384615384617,19,0.033468186833394635,0.036128350510958175,0.016433315845535045,0.13024477126778808,0.11381145542225303,0.04285795564986514,11,26,c
DOUBLE,halide,FromPlan,130,17,0.13076923076923078,13.076923076923078,17,0.023850085178875637,0.033023340375277634,0.009865470852017937,0.13333333333333333,0.12346786248131539,0.031839021429183934,12,26,c
DOUBLE,halide,Naive,130,15,0.11538461538461539,11.538461538461538,15,0.025596471295863128,0.03667716530803855,0.013976407478272921,0.41226501523987386,0.3982886077616009,0.05489146696643321,10,26,c
DOUBLE,noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,1.146875,0.38076477448645396,0.26480575298626874,1.821078431372549,1.5562726783862804,1.513460447935303,23,26,c
DOUBLE,noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,1.345771144278607,0.5891861944492424,0.909438775510204,2.1139455782312924,1.2045068027210883,1.5067986258040758,23,26,c
DOUBLE,noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,1.1666666666666665,0.9542727258396873,0.9118589743589745,1.8333333333333333,0.9214743589743588,1.556342744710864,23,26,c
DOUBLE,noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,1.6666666666666665,1.3139482801187932,1.0892857142857144,2.333333333333333,1.2440476190476186,1.884372485956635,23,26,c
