,correlation,covariance,gemver,gesummv,symm,syr2k,syrk,trmm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,nussinov,adi,fdtd-2d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,0.5259259259259259,1.0196078431372548,0.11445783132530118,0.7499999999999998,3.5,0.6470588235294117,0.6875,4.6000000000000005,1.7704918032786885,0.5,0.06329113924050633,0.2554744525547445,2.3333333333333335,1.0697674418604652,1.8333333333333333,,1.2816901408450703,1.023529411764706,1.25,1.0299251870324189,0.7434782608695653,0.3044515103338632,0.03485633537447008,0.015384615384615375,0.32,1.363405336721728,0.590793765101735,3.0
C: ChooseHints,2.2187500000000004,3.151515151515152,0.7037037037037037,0.7058823529411764,2.8000000000000003,0.47311827956989244,0.4313725490196078,3.8333333333333344,0.39272727272727276,0.5263157894736842,2.8571428571428568,1.6666666666666665,1.4000000000000004,1.0952380952380953,1.8333333333333333,1.5238095238095237,1.318840579710145,1.0875000000000001,1.0,0.4963942307692308,0.4061757719714964,0.9745547073791347,0.03750633552965028,0.0020080321285140565,0.08783783783783783,1.809443507588533,0.703838851190558,1.0
C: FromPlan,1.8205128205128207,3.058823529411765,1.9000000000000004,3.0000000000000004,4.2,2.0,1.222222222222222,4.6000000000000005,4.5,1.6666666666666665,4.0,1.7500000000000002,2.3333333333333335,1.277777777777778,1.5714285714285714,,2.9354838709677424,1.2794117647058822,1.25,1.311111111111111,2.1923076923076925,2.2934131736526946,1.15625,0.0020000000000000005,1.094736842105263,1.9333333333333336,1.5483912843407468,11.0
C: Naive,1.9722222222222223,2.8888888888888893,2.111111111111111,3.0000000000000004,3.818181818181818,1.8333333333333333,1.0,4.6000000000000005,5.4,1.25,3.333333333333333,1.7500000000000002,2.3333333333333335,1.0952380952380953,1.5714285714285714,1.6842105263157894,1.4000000000000001,1.0,1.25,1.3905723905723903,2.3265306122448983,1.5958333333333332,1.3962264150943395,0.6666666666666666,1.0097087378640777,1.2881152460984393,1.7829337254528563,6.0
Exo: AllHints,0.1924119241192412,0.3014492753623189,0.1557377049180328,0.13636363636363635,0.3442622950819672,0.4680851063829787,0.2340425531914893,0.1900826446280992,0.36734693877551017,0.101010101010101,1.0526315789473684,0.21604938271604934,0.12068965517241378,0.9387755102040818,1.5714285714285714,,0.5548780487804877,0.8446601941747574,1.0,0.4017509727626459,0.07988787666433078,0.11504956443376389,0.016397075116330605,0.0006576783952647154,0.033591731266149866,0.9953617810760669,0.20735729406328782,0.0
Exo: ChooseHints,0.4251497005988024,2.363636363636364,0.14960629921259844,0.13483146067415727,0.0288659793814433,0.47311827956989244,0.21782178217821782,1.2105263157894737,0.3802816901408451,0.769230769230769,1.818181818181818,1.5217391304347825,1.0,0.9387755102040818,1.222222222222222,,1.0340909090909092,0.820754716981132,1.0,0.38852304797742243,1.1712328767123288,0.11599030890369474,0.012241521918941279,0.0006655574043261231,0.033667853674328264,0.8488924050632912,0.32657247988023763,0.0
Exo: FromPlan,1.5434782608695652,2.2127659574468086,0.6129032258064516,2.0,0.4242424242424243,0.3728813559322034,0.6470588235294117,0.24210526315789474,2.9189189189189193,0.6666666666666665,0.18691588785046725,1.5909090909090908,0.1359223300970874,0.9787234042553192,1.222222222222222,,0.7338709677419355,0.001371569106588261,1.0,0.9880382775119617,1.1752577319587627,1.1432835820895522,0.6016260162601625,0.0006583278472679392,,0.9710407239819003,0.4510078536297085,0.0
Exo: Naive,1.3921568627450982,2.418604651162791,0.0708955223880597,1.0,0.711864406779661,0.676923076923077,0.611111111111111,1.5333333333333332,2.7692307692307696,0.09174311926605505,1.538461538461538,1.3461538461538458,1.0,1.0,1.8333333333333333,,1.0340909090909092,0.9456521739130435,1.0,1.0,0.9688385269121813,0.11799137399876773,0.6324786324786325,0.0006466214031684446,0.02962119054400455,0.7384721266345493,0.5256271626150784,0.0
Halide: AllHints,0.08722358722358722,,,,,,0.03492063492063492,,,,0.019860973187686193,,0.03482587064676618,0.003799768709730713,,,,0.03172866520787746,,0.18824065633546036,0.8592964824120602,,0.012580754845290717,,,,0.04313414460064316,0.0
Halide: ChooseHints,,0.10655737704918035,,,,,,,,,,,0.011735121542330265,0.20535714285714288,,,0.03705211726384366,0.019286189315007765,0.01915708812260536,0.21817221341785528,0.09390444810543658,0.9598997493734335,0.002119250816197949,0.0061162079510703364,,,0.04285795564986516,0.0
