framework,version,algorithm,data_type,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
c,AllHints,3mm,DOUBLE,1,MINI,1.7704918032786885,2.0333333333333334e-05,3.6e-05,c
c,AllHints,3mm,DOUBLE,2,MINI,0.5,7.2e-05,3.6e-05,c
c,AllHints,3mm,DOUBLE,4,MINI,0.23841059602649006,0.000151,3.6e-05,c
c,AllHints,3mm,DOUBLE,5,MINI,0.19708029197080293,0.00018266666666666667,3.6e-05,c
c,ChooseHints,3mm,DOUBLE,1,MINI,0.375,9.6e-05,3.6e-05,c
c,ChooseHints,3mm,DOUBLE,2,MINI,0.39272727272727276,9.166666666666667e-05,3.6e-05,c
c,ChooseHints,3mm,DOUBLE,3,MINI,0.30337078651685395,0.00011866666666666666,3.6e-05,c
c,ChooseHints,3mm,DOUBLE,4,MINI,0.35526315789473684,0.00010133333333333333,3.6e-05,c
c,FromPlan,3mm,DOUBLE,1,MINI,4.5,8e-06,3.6e-05,c
c,FromPlan,3mm,DOUBLE,2,MINI,0.4444444444444444,8.1e-05,3.6e-05,c
c,FromPlan,3mm,DOUBLE,3,MINI,4.320000000000001,8.333333333333332e-06,3.6e-05,c
c,FromPlan,3mm,DOUBLE,4,MINI,4.0,9e-06,3.6e-05,c
c,FromPlan,3mm,DOUBLE,5,MINI,4.5,8e-06,3.6e-05,c
c,Naive,3mm,DOUBLE,1,MINI,5.142857142857143,7e-06,3.6e-05,c
c,Naive,3mm,DOUBLE,2,MINI,5.400000000000001,6.666666666666666e-06,3.6e-05,c
c,Naive,3mm,DOUBLE,3,MINI,4.909090909090909,7.333333333333333e-06,3.6e-05,c
c,Naive,3mm,DOUBLE,4,MINI,4.909090909090909,7.333333333333333e-06,3.6e-05,c
c,Naive,3mm,DOUBLE,5,MINI,4.5,8e-06,3.6e-05,c
c,standard,3mm,DOUBLE,1,MINI,1.0,3.6e-05,3.6e-05,c
exo,AllHints,3mm,DOUBLE,3,MINI,0.3673469387755102,9.8e-05,3.6e-05,c
exo,AllHints,3mm,DOUBLE,4,MINI,0.2634146341463415,0.00013666666666666666,3.6e-05,c
exo,ChooseHints,3mm,DOUBLE,1,MINI,0.32727272727272727,0.00011,3.6e-05,c
exo,ChooseHints,3mm,DOUBLE,2,MINI,0.3461538461538462,0.000104,3.6e-05,c
exo,ChooseHints,3mm,DOUBLE,3,MINI,0.3802816901408451,9.466666666666666e-05,3.6e-05,c
exo,ChooseHints,3mm,DOUBLE,4,MINI,0.375,9.6e-05,3.6e-05,c
exo,FromPlan,3mm,DOUBLE,3,MINI,2.9189189189189193,1.2333333333333333e-05,3.6e-05,c
exo,FromPlan,3mm,DOUBLE,4,MINI,0.3956043956043956,9.1e-05,3.6e-05,c
exo,FromPlan,3mm,DOUBLE,5,MINI,2.25,1.6e-05,3.6e-05,c
exo,Naive,3mm,DOUBLE,1,MINI,0.35064935064935066,0.00010266666666666666,3.6e-05,c
exo,Naive,3mm,DOUBLE,2,MINI,0.7297297297297298,4.933333333333333e-05,3.6e-05,c
