data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,c,AllHints,1,26,5,130,112,0.8615384615384616,1.0141349215282733,1.1498776571341183,0.6514437062374834,2.267865691716725,112,1.4789108898590064,47.891088985900645,c,130,112,18,9,0,8,1,0
DOUBLE,c,AllHints,2,26,10,260,247,0.95,1.226376511611503,1.3465346534653464,0.8132780082987551,2.85,247,1.6889514627792865,68.89514627792866,c,130,112,18,9,0,8,1,0
DOUBLE,c,AllHints,3,26,10,260,250,0.9615384615384616,1.3751366476704772,1.3787878787878787,1.0277777777777777,3.072699027660726,250,1.8105716718153395,81.05716718153396,c,130,112,18,9,0,8,1,0
DOUBLE,c,AllHints,4,26,5,130,125,0.9615384615384616,1.489164607376095,1.4460694698354664,1.1122966124299813,3.311111111111111,125,1.888138741986494,88.81387419864939,c,130,112,18,9,0,8,1,0
DOUBLE,c,AllHints,5,26,1,26,25,0.9615384615384616,1.5869300753432856,1.5166666666666666,1.1795386158475425,3.311111111111111,25,1.9473275309672584,94.73275309672584,c,130,112,18,9,0,8,1,0
DOUBLE,c,ChooseHints,1,26,5,130,113,0.8692307692307693,0.98279907822548,1.218880580602595,0.49620253164556954,2.5,113,1.534695435513586,53.4695435513586,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,2,26,10,260,252,0.9692307692307692,1.1836147888421087,1.4373107207752878,0.7297446399835926,2.8032786885245904,252,1.7523974382062313,75.23974382062313,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,3,26,10,260,258,0.9923076923076923,1.288498691269876,1.601680806422186,0.9487179487179487,3.026548672566372,258,1.8427428473109464,84.27428473109464,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,4,26,5,130,130,1.0,1.3648213957127158,1.7123911322248615,1.0282612071175072,3.026548672566372,130,1.9000380468710536,90.00380468710536,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,5,26,1,26,26,1.0,1.415585239796539,1.7743186506813033,1.127518358124647,2.894911504424779,26,1.9322413492281463,93.22413492281463,c,130,113,17,10,1,5,1,0
DOUBLE,c,FromPlan,1,26,5,130,118,0.9076923076923077,1.3313036164052092,1.4861571475102022,1.114398665312636,2.358779912369396,118,1.6054456718400718,60.54456718400718,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,2,26,10,260,250,0.9615384615384616,1.498967173450361,1.8791208791208793,1.2488232930856897,2.6783295711060946,250,1.8130949585170992,81.30949585170993,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,3,26,10,260,250,0.9615384615384616,1.6320480546439913,1.9689672293942402,1.3416537381614182,2.9187984496124026,250,1.9408014819382202,94.08014819382203,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,4,26,5,130,125,0.9615384615384616,1.728988144514667,2.083333333333333,1.379006913890635,3.015177065767285,125,2.0412994698354128,104.12994698354127,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,5,26,1,26,25,0.9615384615384616,1.808249964379779,2.1162790697674416,1.6333333333333333,3.015177065767285,25,2.1254218193305596,112.54218193305596,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,1,26,5,130,118,0.9076923076923077,1.5133504898544279,1.2897468451261704,1.0300925925925926,2.4615384615384617,118,1.5262200818108052,52.62200818108052,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,2,26,10,260,253,0.9730769230769231,1.655575292750702,1.4104515474378487,1.073394495412844,2.7109634551495017,253,1.6622136414454831,66.22136414454832,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,3,26,10,260,256,0.9846153846153847,1.7565538970522578,1.4355716878402907,1.170807453416149,2.8231977120656166,256,1.7461275083211794,74.61275083211794,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,4,26,5,130,129,0.9923076923076923,1.8118559954499727,1.4381818181818182,1.1987767584097857,2.9513274336283186,129,1.803961239810543,80.39612398105429,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,5,26,1,26,26,1.0,1.8477496254484915,1.4787808315715294,1.266676895537655,2.908617526440751,26,1.8477496254484915,84.77496254484916,c,130,118,12,7,0,5,0,0
DOUBLE,exo,AllHints,1,26,5,130,89,0.6846153846153846,0.45061970646182414,0.7777777777777778,0.38386753759684034,1.088235294117647,89,1.155630785614527,15.563078561452691,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,2,26,10,260,222,0.8538461538461538,0.5622346258627442,0.7911392405063291,0.40667379303742934,1.1253588516746411,222,1.2189243508174876,21.89243508174876,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,3,26,10,260,240,0.9230769230769231,0.6398924510839914,0.8135070277682551,0.5375826362655154,1.1666666666666667,240,1.2636653744444488,26.36653744444488,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,4,26,5,130,124,0.9538461538461539,0.7210200838082284,0.9279221467967755,0.6199656012612871,1.2573189522342065,124,1.299522226496595,29.95222264965951,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,5,26,1,26,25,0.9615384615384616,0.8009784166896188,0.9815950920245397,0.6982585398526456,1.2573189522342065,25,1.328031283192233,32.8031283192233,c,130,89,41,34,0,7,0,0
DOUBLE,exo,ChooseHints,1,26,5,130,87,0.6692307692307692,0.6795023115660429,0.9024390243902438,0.5986720425211323,1.6414904330312183,87,1.2281365537836864,22.813655378368637,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,2,26,10,260,222,0.8538461538461538,0.7450757437334624,0.9815950920245397,0.633691291993983,1.6666666666666665,222,1.3304153065481499,33.04153065481499,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,3,26,10,260,236,0.9076923076923077,0.8177041966459646,1.0321879077859941,0.6903402036255276,1.9000000000000001,236,1.38917755040887,38.917755040886995,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,4,26,5,130,122,0.9384615384615385,0.8692563585441007,1.0727926587301588,0.7777777777777778,2.0779220779220777,122,1.439925676443152,43.99256764431521,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,5,26,1,26,25,0.9615384615384616,0.9036497476197085,1.1428571428571428,0.7887323943661972,2.0779220779220777,25,1.4857645560203487,48.576455602034876,c,130,87,43,38,0,5,0,0
DOUBLE,exo,FromPlan,1,26,5,130,56,0.4307692307692308,0.6589454874054012,1.0623494413147223,0.6604949494949495,1.6552690226042661,56,1.1387100952396896,13.871009523968958,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,2,26,10,260,176,0.676923076923077,0.6585415522244303,1.0705007484668503,0.6777299741602067,1.5329512893982806,176,1.2176492601501665,21.76492601501665,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,3,26,10,260,211,0.8115384615384615,0.6715114187126322,1.0742876526458616,0.6937581274382316,1.5242165242165244,211,1.2580074435631787,25.80074435631787,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,4,26,5,130,115,0.8846153846153846,0.702658098510407,1.0960344609147346,0.7241599462365591,1.3911405201727782,115,1.2813332463307845,28.13332463307845,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,5,26,1,26,24,0.9230769230769231,0.755843667405711,1.0970368383005047,0.8129076604204559,1.3267862094463443,24,1.302070811531219,30.207081153121894,c,130,56,74,73,0,1,0,0
DOUBLE,exo,Naive,1,26,5,130,81,0.6230769230769231,0.6819566608121792,0.9605954465849386,0.5868544600938966,1.4471544715447155,81,1.17320183014829,17.320183014829006,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,2,26,10,260,209,0.8038461538461539,0.8014574826925942,0.9980387632671897,0.6906832298136646,1.7777777777777777,209,1.2902756099481385,29.02756099481385,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,3,26,10,260,228,0.8769230769230769,0.8985298167744283,1.0210101010101011,0.7668711656441717,2.0443686006825943,228,1.3651591841535549,36.515918415355486,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,4,26,5,130,120,0.9230769230769231,0.9605171049397847,1.1121285884707492,0.8216537052269499,2.590909090909091,120,1.4169004457022043,41.69004457022043,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,5,26,1,26,25,0.9615384615384616,0.9932340801417318,1.1210676835081028,0.8288716069692665,2.590909090909091,25,1.4615879467639856,46.158794676398564,c,130,81,49,44,0,5,0,0
DOUBLE,halide,AllHints,1,26,5,130,25,0.19230769230769232,0.11427681781074778,0.11999620114915238,0.05643149257954164,0.3640367675220222,25,1.0171629578916856,1.7162957891685648,c,130,25,105,47,52,6,0,0
DOUBLE,halide,AllHints,2,26,10,260,86,0.33076923076923076,0.12081743929112243,0.13310626645743212,0.05643149257954164,0.37114408434205387,86,1.0346204829069632,3.462048290696318,c,130,25,105,47,52,6,0,0
DOUBLE,halide,AllHints,3,26,10,260,111,0.4269230769230769,0.13079405949824785,0.14621633176571186,0.05643149257954164,0.38733905579399136,111,1.052377630688971,5.237763068897094,c,130,25,105,47,52,6,0,0
DOUBLE,halide,AllHints,4,26,5,130,64,0.49230769230769234,0.1458442211973096,0.16056338028169012,0.05835566075550487,0.4002364553181326,64,1.0704395436506378,7.043954365063776,c,130,25,105,47,52,6,0,0
DOUBLE,halide,AllHints,5,26,1,26,14,0.5384615384615384,0.16820749304860258,0.18779776731126308,0.06310717204031167,0.42603125436641515,14,1.088811452463909,8.881145246390897,c,130,25,105,47,52,6,0,0
DOUBLE,halide,ChooseHints,1,26,5,130,28,0.2153846153846154,0.11890351143103622,0.1216495094509608,0.0577745323065409,0.37585142130596677,28,1.0131194175622478,1.311941756224777,c,130,28,102,44,53,5,0,0
DOUBLE,halide,ChooseHints,2,26,10,260,92,0.35384615384615387,0.1374299407057735,0.16309012875536483,0.058730158730158716,0.4329062848833041,92,1.0264109542416682,2.641095424166817,c,130,28,102,44,53,5,0,0
DOUBLE,halide,ChooseHints,3,26,10,260,118,0.45384615384615384,0.1522933678673074,0.24213502015226154,0.058730158730158716,0.46716232961586124,118,1.03987686814083,3.9876868140829913,c,130,28,102,44,53,5,0,0
DOUBLE,halide,ChooseHints,4,26,5,130,70,0.5384615384615384,0.1614944202165247,0.24213502015226154,0.058730158730158716,0.46716232961586124,70,1.053519446987292,5.351944698729194,c,130,28,102,44,53,5,0,0
DOUBLE,halide,ChooseHints,5,26,1,26,16,0.6153846153846154,0.16818760010721778,0.296315034828606,0.0577745323065409,0.4720044002731204,16,1.0673410085222665,6.734100852226654,c,130,28,102,44,53,5,0,0
DOUBLE,halide,FromPlan,1,26,5,130,23,0.17692307692307693,0.10998703132019287,0.0927315213380888,0.04882944571248306,0.26406646378697923,23,1.0056463878188038,0.5646387818803777,c,130,23,107,40,66,1,0,0
DOUBLE,halide,FromPlan,2,26,10,260,81,0.31153846153846154,0.11128412675886612,0.0927315213380888,0.03689064558629776,0.264219991635299,81,1.0101293379054397,1.0129337905439684,c,130,23,107,40,66,1,0,0
DOUBLE,halide,FromPlan,3,26,10,260,107,0.4115384615384615,0.11272364856008933,0.0927315213380888,0.03689064558629776,0.3479051732763328,107,1.0134330431849137,1.3433043184913673,c,130,23,107,40,66,1,0,0
DOUBLE,halide,FromPlan,4,26,5,130,63,0.4846153846153846,0.11427681119429298,0.0927315213380888,0.03689064558629776,0.4315903549173666,63,1.0155458245500388,1.5545824550038834,c,130,23,107,40,66,1,0,0
DOUBLE,halide,FromPlan,5,26,1,26,14,0.5384615384615384,0.11587752801280979,0.07793141723470098,0.04286004564939041,0.3896710001726898,14,1.0164601996465616,1.6460199646561646,c,130,23,107,40,66,1,0,0
DOUBLE,halide,Naive,1,26,5,130,32,0.24615384615384617,0.23144853373704072,0.29994653539040794,0.09878909915545823,0.618059603302523,32,1.0298308457819711,2.983084578197115,c,130,32,98,36,55,7,0,0
DOUBLE,halide,Naive,2,26,10,260,106,0.4076923076923077,0.23393722492327315,0.3218096457533077,0.09854121050985298,0.7081188118811881,106,1.0506528296696018,5.065282966960183,c,130,32,98,36,55,7,0,0
DOUBLE,halide,Naive,3,26,10,260,133,0.5115384615384615,0.23818457978487684,0.32992016660881635,0.09841726618705036,0.7081188118811881,133,1.0633852633020338,6.338526330203376,c,130,32,98,36,55,7,0,0
DOUBLE,halide,Naive,4,26,5,130,75,0.5769230769230769,0.24586595009594647,0.4121856027753686,0.09826918664678214,0.7081188118811881,75,1.0692289914094457,6.922899140944572,c,130,32,98,36,55,7,0,0
DOUBLE,halide,Naive,5,26,1,26,16,0.6153846153846154,0.2598234020777529,0.41553724583212875,0.0985911150625215,0.7168432988550251,16,1.069572236052349,6.957223605234897,c,130,32,98,36,55,7,0,0
DOUBLE,noarr,AllHints,1,26,5,130,110,0.8461538461538461,0.7036939412009187,1.2419106030583573,0.6123798478629965,1.7709868959868957,110,1.4163347953017673,41.63347953017673,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,2,26,10,260,228,0.8769230769230769,1.232846888202398,1.4600614439324116,1.142857142857143,2.758333333333333,228,1.6322314406299858,63.223144062998585,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,3,26,10,260,230,0.8846153846153846,1.5784585726704492,1.5416666666666667,1.2240850782871158,3.0333333333333337,230,1.7507113922906476,75.07113922906477,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,4,26,5,130,115,0.8846153846153846,1.7723142521569848,1.6399447131997238,1.293310463121784,3.085294117647059,115,1.8166434890308232,81.66434890308231,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,5,26,1,26,23,0.8846153846153846,1.865755955488938,1.7657657657657657,1.3243576037790383,3.252836879432625,23,1.8625300779352416,86.25300779352416,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,ChooseHints,1,26,5,130,108,0.8307692307692308,0.9012942190580903,1.351933343579736,1.0131511515298883,2.4509803921568625,108,1.486035418230529,48.60354182305291,c,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,2,26,10,260,228,0.8769230769230769,1.1917454078343597,1.4805295950155761,1.2066137566137567,3.0333333333333337,228,1.654669066303834,65.46690663038339,c,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,3,26,10,260,230,0.8846153846153846,1.4103615782538959,1.5281350482315113,1.300986842105263,3.0860389610389607,230,1.7394057087252177,73.94057087252177,c,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,4,26,5,130,115,0.8846153846153846,1.6011559943963156,1.5416666666666667,1.3230897009966778,3.1002713889164273,115,1.789325477915345,78.93254779153449,c,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,5,26,1,26,23,0.8846153846153846,1.7348173622362884,1.5416666666666667,1.3269145003037863,3.1002713889164273,23,1.823001705695032,82.30017056950321,c,130,108,22,13,0,9,0,0
DOUBLE,noarr,FromPlan,1,26,5,130,98,0.7538461538461538,1.3525801118380416,1.5416666666666667,1.0728412054476963,2.1067209884691542,98,1.41423687943611,41.423687943611,c,130,98,32,24,2,6,0,0
DOUBLE,noarr,FromPlan,2,26,10,260,222,0.8538461538461538,1.5582698465501565,1.5679999999999998,1.112348722186343,2.386075949367089,222,1.5708537711094646,57.08537711094645,c,130,98,32,24,2,6,0,0
DOUBLE,noarr,FromPlan,3,26,10,260,228,0.8769230769230769,1.6869226225872886,1.5894648829431435,1.1516138563048353,2.571428571428571,228,1.6614965687133612,66.14965687133612,c,130,98,32,24,2,6,0,0
DOUBLE,noarr,FromPlan,4,26,5,130,115,0.8846153846153846,1.7856050007052144,1.63768115942029,1.1916673997996163,2.666666666666666,115,1.7250753163750285,72.50753163750285,c,130,98,32,24,2,6,0,0
DOUBLE,noarr,FromPlan,5,26,1,26,23,0.8846153846153846,1.8703407930090954,1.6974248927038627,1.2409966678520843,2.712121212121212,23,1.7700018593527365,77.00018593527365,c,130,98,32,24,2,6,0,0
DOUBLE,noarr,Naive,1,26,5,130,107,0.823076923076923,1.492216150043447,1.4430379746835444,1.1805642633228839,2.9354838709677424,107,1.610782592528097,61.078259252809694,c,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,2,26,10,260,229,0.8807692307692307,1.6974056697772064,1.6275720164609053,1.2102728731942216,3.0333333333333337,229,1.7827264892224657,78.27264892224657,c,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,3,26,10,260,230,0.8846153846153846,1.9268477508090653,2.052631578947368,1.273068669527897,3.1372549019607843,230,1.875415871085645,87.5415871085645,c,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,4,26,5,130,115,0.8846153846153846,2.060156755259859,2.1272727272727274,1.3596885479028775,3.1372549019607843,115,1.930968887634159,93.0968887634159,c,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,5,26,1,26,23,0.8846153846153846,2.1216286304567067,2.416666666666667,1.399065837280167,3.2399237472766886,23,1.9758296066799865,97.58296066799865,c,130,107,23,15,0,8,0,0
