data_type,framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
DOUBLE,c,AllHints,130,112,0.8615384615384616,86.15384615384616,112,1.1498776571341183,1.0141349215282733,0.6514437062374834,2.267865691716725,1.6164219854792414,1.5869300753432856,25,26,c
DOUBLE,c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,1.218880580602595,0.98279907822548,0.49620253164556954,2.5,2.0037974683544304,1.415585239796539,26,26,c
DOUBLE,c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,1.4861571475102022,1.3313036164052092,1.114398665312636,2.358779912369396,1.2443812470567601,1.808249964379779,25,26,c
DOUBLE,c,Naive,130,118,0.9076923076923077,90.76923076923077,118,1.2897468451261704,1.5133504898544279,1.0300925925925926,2.4615384615384617,1.4314458689458691,1.8477496254484915,26,26,c
DOUBLE,exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,0.7777777777777778,0.45061970646182414,0.38386753759684034,1.088235294117647,0.7043677565208066,0.8009784166896188,25,26,c
DOUBLE,exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,0.9024390243902438,0.6795023115660429,0.5986720425211323,1.6414904330312183,1.042818390510086,0.9036497476197085,25,26,c
DOUBLE,exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,1.0623494413147223,0.6589454874054012,0.6604949494949495,1.6552690226042661,0.9947740731093166,0.755843667405711,24,26,c
DOUBLE,exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,0.9605954465849386,0.6819566608121792,0.5868544600938966,1.4471544715447155,0.8603000114508189,0.9932340801417318,25,26,c
DOUBLE,halide,AllHints,130,25,0.19230769230769232,19.230769230769234,25,0.11999620114915238,0.11427681781074778,0.05643149257954164,0.3640367675220222,0.3076052749424806,0.16820749304860258,14,26,c
DOUBLE,halide,ChooseHints,130,28,0.2153846153846154,21.53846153846154,28,0.1216495094509608,0.11890351143103622,0.0577745323065409,0.37585142130596677,0.3180768889994259,0.16818760010721778,16,26,c
DOUBLE,halide,FromPlan,130,23,0.17692307692307693,17.692307692307693,23,0.0927315213380888,0.10998703132019287,0.04882944571248306,0.26406646378697923,0.2152370180744962,0.11587752801280979,14,26,c
DOUBLE,halide,Naive,130,32,0.24615384615384617,24.615384615384617,32,0.29994653539040794,0.23144853373704072,0.09878909915545823,0.618059603302523,0.5192705041470648,0.2598234020777529,16,26,c
DOUBLE,noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,1.2419106030583573,0.7036939412009187,0.6123798478629965,1.7709868959868957,1.1586070481238993,1.865755955488938,23,26,c
DOUBLE,noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,1.351933343579736,0.9012942190580903,1.0131511515298883,2.4509803921568625,1.4378292406269741,1.7348173622362884,23,26,c
DOUBLE,noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,1.5416666666666667,1.3525801118380416,1.0728412054476963,2.1067209884691542,1.0338797830214579,1.8703407930090954,23,26,c
DOUBLE,noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,1.4430379746835444,1.492216150043447,1.1805642633228839,2.9354838709677424,1.7549196076448585,2.1216286304567067,23,26,c
