,correlation,covariance,gemver,gesummv,symm,syr2k,syrk,trmm,3mm,atax,bicg,doitgen,mvt,cholesky,durbin,gramschmidt,lu,ludcmp,trisolv,deriche,nussinov,adi,fdtd-2d,jacobi-1d,jacobi-2d,seidel-2d,geom_mean,wins
C: AllHints,5.542274052478133,3.311111111111111,0.8132780082987551,1.5166666666666666,2.9458483754512637,5.309859154929577,2.9230769230769234,4.053030303030302,4.404411764705882,2.2941176470588234,0.47058823529411753,8.702222222222222,1.9230769230769227,1.1795386158475425,1.2444444444444445,,1.4460694698354664,1.3551575046324893,1.0277777777777777,4.056179775280898,1.7929533678756477,1.1122966124299813,0.17251414713015362,0.04664723032069972,1.1888059701492537,1.3521805428484293,1.5869300753432856,3.0
C: ChooseHints,4.602905569007263,4.207058823529411,0.6805555555555555,1.4218750000000002,2.2234332425068124,5.385714285714285,3.026548672566372,3.639455782312925,3.83974358974359,2.0172413793103448,2.5,7.769841269841273,1.106194690265487,1.1914893617021276,1.2444444444444445,2.2687074829931975,1.4522643818849448,1.3859759949463042,0.9487179487179487,2.1235294117647054,1.7123911322248615,1.002283379401514,0.17346772882458142,0.0077858880778588855,0.35173327445352165,1.8362461691377452,1.415585239796539,2.0
C: FromPlan,3.2775862068965513,3.015177065767285,1.6333333333333333,2.1162790697674416,3.414225941422594,6.080645161290323,1.8791208791208793,3.664383561643836,3.815286624203823,2.3877551020408165,2.580645161290322,4.219827586206897,2.083333333333333,2.684931506849315,1.302325581395349,,2.6783295711060946,1.379006913890635,1.9473684210526314,1.3448642895156997,2.067144563918758,2.2601626016260163,1.070210631895687,0.008277289187791002,1.0063171193935567,1.8994944734812782,1.808249964379779,7.0
C: Naive,3.205733558178752,3.1478873239436616,1.5193798449612403,2.2750000000000004,3.1874999999999996,1.170807453416149,2.780487804878049,3.821428571428571,4.380255941499087,1.073394495412844,2.5,3.9475806451612905,2.083333333333333,1.1987767584097857,1.302325581395349,2.9513274336283186,1.4381818181818182,1.2623705408515535,1.0277777777777777,1.3756124115405552,2.0870928829915565,1.4104515474378487,1.2980535279805354,1.0666666666666669,1.0384615384615383,1.2795959595959596,1.8477496254484915,3.0
Exo: AllHints,3.52037037037037,0.399374581192763,1.0652173913043477,0.7777777777777778,1.2573189522342065,5.236111111111111,2.736,0.7420249653259362,3.255434782608696,0.6802325581395349,0.9815950920245397,3.1328,0.7911392405063291,1.1253588516746411,1.1666666666666667,,0.8135070277682551,0.9308442935935511,1.088235294117647,1.6229929351316632,0.6199656012612871,0.6982585398526456,0.08326180257510728,0.002622091117666339,0.2817972757827702,0.9930123180291155,0.8009784166896188,0.0
Exo: ChooseHints,3.749506903353056,3.8286937901498925,1.031578947368421,0.7777777777777778,0.15266604303086997,5.309859154929578,2.1375,1.6163141993957701,3.726283048211509,1.0086206896551724,2.0779220779220777,3.0076804915514597,1.6666666666666665,1.1428571428571428,0.7887323943661972,,1.2015189873417724,1.1872294372294372,1.0571428571428572,1.5032718619869123,1.0727926587301588,0.6928636703497548,0.06525594764846185,0.0026657780739753425,0.27805899807994416,0.8561442805283078,0.9036497476197085,0.0
Exo: FromPlan,3.051364365971108,2.8201892744479493,0.8340425531914893,2.022222222222222,0.47524752475247517,0.7495029821073559,1.1324503311258278,1.5329512893982806,3.686153846153847,1.2580645161290323,0.8888888888888888,3.3412969283276457,0.6313131313131313,1.1666666666666667,1.0980392156862746,,1.0541981341625946,0.00405576773058167,0.9487179487179487,1.1226121723678364,1.0960344609147346,1.144189875154342,0.7170698924731183,0.00274866861364027,,1.0742876526458616,0.755843667405711,0.0
Exo: Naive,2.799705449189984,3.104166666666667,0.5226666666666666,0.9784946236559139,0.9975550122249389,5.463768115942029,2.590909090909091,3.165680473372781,2.9219512195121955,0.5492957746478874,1.7777777777777777,2.9267563527653215,1.5625000000000002,1.1210676835081028,1.1914893617021278,,1.247634069400631,1.2256983240223462,0.925,1.0210101010101011,0.9980387632671897,0.6906832298136646,0.6643835616438357,0.0025624599615631026,0.17345383275261325,0.8288716069692665,0.9932340801417319,0.0
Halide: AllHints,0.3640367675220222,,,,,,0.11945511701012923,,,,0.05899705014749261,,0.07543753771876885,0.006499248386241047,,,,0.09042947819635642,,0.38733905579399136,1.737497489455714,,0.010370499961122775,,,,0.09746794132899139,0.0
Halide: ChooseHints,,0.48653061224489796,,,,,,,,,,,0.024038461538461543,0.9238020424194814,,,0.10278956943602183,0.054907653035687454,0.058730158730158716,0.36063936063936064,0.24213502015226154,1.123383620689655,0.004596027688159305,0.0032474122183884717,,,0.09429978514606048,0.0
