framework,version,algorithm,data_type,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
c,AllHints,3mm,DOUBLE,1,SMALL,3.6358118361153267,0.00021966666666666665,0.0007986666666666667,c
c,AllHints,3mm,DOUBLE,2,SMALL,4.404411764705882,0.00018133333333333334,0.0007986666666666667,c
c,AllHints,3mm,DOUBLE,4,SMALL,1.8616938616938619,0.00042899999999999997,0.0007986666666666667,c
c,AllHints,3mm,DOUBLE,5,SMALL,2.2667928098391674,0.00035233333333333335,0.0007986666666666667,c
c,ChooseHints,3mm,DOUBLE,1,SMALL,3.570789865871834,0.00022366666666666664,0.0007986666666666667,c
c,ChooseHints,3mm,DOUBLE,2,SMALL,3.6248108925869893,0.00022033333333333334,0.0007986666666666667,c
c,ChooseHints,3mm,DOUBLE,3,SMALL,3.8397435897435903,0.000208,0.0007986666666666667,c
c,ChooseHints,3mm,DOUBLE,4,SMALL,2.4008016032064132,0.00033266666666666666,0.0007986666666666667,c
c,FromPlan,3mm,DOUBLE,1,SMALL,3.8031746031746034,0.00021,0.0007986666666666667,c
c,FromPlan,3mm,DOUBLE,2,SMALL,2.6921348314606743,0.00029666666666666665,0.0007986666666666667,c
c,FromPlan,3mm,DOUBLE,3,SMALL,3.8152866242038224,0.00020933333333333332,0.0007986666666666667,c
c,FromPlan,3mm,DOUBLE,4,SMALL,3.5654761904761902,0.00022400000000000002,0.0007986666666666667,c
c,FromPlan,3mm,DOUBLE,5,SMALL,3.809220985691574,0.00020966666666666668,0.0007986666666666667,c
c,Naive,3mm,DOUBLE,1,SMALL,4.21830985915493,0.00018933333333333335,0.0007986666666666667,c
c,Naive,3mm,DOUBLE,2,SMALL,3.9668874172185435,0.0002013333333333333,0.0007986666666666667,c
c,Naive,3mm,DOUBLE,3,SMALL,4.188811188811189,0.00019066666666666668,0.0007986666666666667,c
c,Naive,3mm,DOUBLE,4,SMALL,4.380255941499087,0.0001823333333333333,0.0007986666666666667,c
c,Naive,3mm,DOUBLE,5,SMALL,4.233215547703181,0.00018866666666666665,0.0007986666666666667,c
c,standard,3mm,DOUBLE,1,SMALL,1.0,0.0007986666666666667,0.0007986666666666667,c
exo,AllHints,3mm,DOUBLE,3,SMALL,2.5763440860215057,0.00031,0.0007986666666666667,c
exo,AllHints,3mm,DOUBLE,4,SMALL,3.255434782608696,0.00024533333333333335,0.0007986666666666667,c
exo,ChooseHints,3mm,DOUBLE,1,SMALL,2.4251012145748985,0.0003293333333333334,0.0007986666666666667,c
exo,ChooseHints,3mm,DOUBLE,2,SMALL,3.346368715083799,0.00023866666666666668,0.0007986666666666667,c
exo,ChooseHints,3mm,DOUBLE,3,SMALL,2.5247629083245524,0.00031633333333333334,0.0007986666666666667,c
exo,ChooseHints,3mm,DOUBLE,4,SMALL,3.726283048211509,0.00021433333333333333,0.0007986666666666667,c
exo,FromPlan,3mm,DOUBLE,3,SMALL,2.439918533604888,0.00032733333333333334,0.0007986666666666667,c
exo,FromPlan,3mm,DOUBLE,4,SMALL,3.6861538461538466,0.00021666666666666666,0.0007986666666666667,c
exo,FromPlan,3mm,DOUBLE,5,SMALL,2.4008016032064132,0.00033266666666666666,0.0007986666666666667,c
exo,Naive,3mm,DOUBLE,1,SMALL,2.0322307039864294,0.00039299999999999996,0.0007986666666666667,c
exo,Naive,3mm,DOUBLE,2,SMALL,0.7902374670184698,0.0010106666666666667,0.0007986666666666667,c
exo,Naive,3mm,DOUBLE,3,SMALL,2.0443686006825943,0.0003906666666666666,0.0007986666666666667,c
exo,Naive,3mm,DOUBLE,4,SMALL,2.9219512195121955,0.00027333333333333333,0.0007986666666666667,c
exo,Naive,3mm,DOUBLE,5,SMALL,1.9883817427385895,0.00040166666666666665,0.0007986666666666667,c
exo,standard,3mm,DOUBLE,1,SMALL,0.9712201053911634,0.0008223333333333333,0.0007986666666666667,c
exo,standard,3mm,DOUBLE,2,SMALL,0.9641851106639839,0.0008283333333333334,0.0007986666666666667,c
exo,standard,3mm,DOUBLE,3,SMALL,0.9576338928856915,0.000834,0.0007986666666666667,c
exo,standard,3mm,DOUBLE,4,SMALL,0.970433373835561,0.000823,0.0007986666666666667,c
exo,standard,3mm,DOUBLE,5,SMALL,0.9599358974358976,0.000832,0.0007986666666666667,c
halide,standard,3mm,DOUBLE,1,SMALL,0.040091695530679525,0.019920999999999998,0.0007986666666666667,c
halide,standard,3mm,DOUBLE,2,SMALL,0.04012325005023779,0.019905333333333334,0.0007986666666666667,c
halide,standard,3mm,DOUBLE,3,SMALL,1.7200287150035893,0.00046433333333333336,0.0007986666666666667,c
halide,standard,3mm,DOUBLE,4,SMALL,1.808301886792453,0.00044166666666666665,0.0007986666666666667,c
halide,standard,3mm,DOUBLE,5,SMALL,0.040076272036931725,0.019928666666666667,0.0007986666666666667,c
noarr,AllHints,3mm,DOUBLE,1,SMALL,1.5804749340369395,0.0005053333333333333,0.0007986666666666667,c
noarr,AllHints,3mm,DOUBLE,2,SMALL,4.820925553319919,0.0001656666666666667,0.0007986666666666667,c
noarr,AllHints,3mm,DOUBLE,3,SMALL,0.313982440047176,0.0025436666666666667,0.0007986666666666667,c
noarr,AllHints,3mm,DOUBLE,4,SMALL,4.563809523809524,0.000175,0.0007986666666666667,c
noarr,AllHints,3mm,DOUBLE,5,SMALL,1.380184331797235,0.0005786666666666667,0.0007986666666666667,c
noarr,ChooseHints,3mm,DOUBLE,1,SMALL,4.563809523809524,0.000175,0.0007986666666666667,c
noarr,ChooseHints,3mm,DOUBLE,2,SMALL,4.324909747292419,0.00018466666666666666,0.0007986666666666667,c
noarr,ChooseHints,3mm,DOUBLE,3,SMALL,1.7089871611982883,0.0004673333333333333,0.0007986666666666667,c
noarr,ChooseHints,3mm,DOUBLE,4,SMALL,1.5488041370394312,0.0005156666666666667,0.0007986666666666667,c
noarr,ChooseHints,3mm,DOUBLE,5,SMALL,4.598848368522074,0.00017366666666666667,0.0007986666666666667,c
noarr,FromPlan,3mm,DOUBLE,1,SMALL,1.5899137358991373,0.0005023333333333334,0.0007986666666666667,c
noarr,FromPlan,3mm,DOUBLE,2,SMALL,1.5660130718954248,0.00051,0.0007986666666666667,c
noarr,FromPlan,3mm,DOUBLE,3,SMALL,4.555133079847909,0.00017533333333333333,0.0007986666666666667,c
noarr,FromPlan,3mm,DOUBLE,4,SMALL,1.5732107682206173,0.0005076666666666667,0.0007986666666666667,c
noarr,FromPlan,3mm,DOUBLE,5,SMALL,0.7162929745889388,0.0011149999999999999,0.0007986666666666667,c
noarr,Naive,3mm,DOUBLE,1,SMALL,4.598848368522074,0.00017366666666666667,0.0007986666666666667,c
noarr,Naive,3mm,DOUBLE,2,SMALL,4.909836065573771,0.00016266666666666667,0.0007986666666666667,c
noarr,Naive,3mm,DOUBLE,3,SMALL,4.820925553319919,0.0001656666666666667,0.0007986666666666667,c
noarr,Naive,3mm,DOUBLE,4,SMALL,4.735177865612648,0.00016866666666666666,0.0007986666666666667,c
noarr,Naive,3mm,DOUBLE,5,SMALL,4.607692307692307,0.00017333333333333336,0.0007986666666666667,c
noarr,standard,3mm,DOUBLE,1,SMALL,0.7247428917120389,0.001102,0.0007986666666666667,c
noarr,standard,3mm,DOUBLE,2,SMALL,0.7962778331671653,0.001003,0.0007986666666666667,c
noarr,standard,3mm,DOUBLE,3,SMALL,4.503759398496242,0.0001773333333333333,0.0007986666666666667,c
noarr,standard,3mm,DOUBLE,4,SMALL,4.470149253731343,0.00017866666666666668,0.0007986666666666667,c
noarr,standard,3mm,DOUBLE,5,SMALL,0.6787535410764872,0.0011766666666666668,0.0007986666666666667,c
c,AllHints,adi,DOUBLE,1,SMALL,0.6994883837960245,0.003974333333333333,0.00278,c
c,AllHints,adi,DOUBLE,2,SMALL,1.0973684210526315,0.002533333333333333,0.00278,c
c,AllHints,adi,DOUBLE,3,SMALL,1.1122966124299813,0.002499333333333333,0.00278,c
c,AllHints,adi,DOUBLE,4,SMALL,1.0924810060256744,0.002544666666666667,0.00278,c
c,AllHints,adi,DOUBLE,5,SMALL,0.7111793297518546,0.003909,0.00278,c
c,ChooseHints,adi,DOUBLE,2,SMALL,0.6807051909892262,0.004084,0.00278,c
c,ChooseHints,adi,DOUBLE,3,SMALL,1.002283379401514,0.002773666666666667,0.00278,c
c,ChooseHints,adi,DOUBLE,4,SMALL,0.6792084045932079,0.004093,0.00278,c
c,ChooseHints,adi,DOUBLE,5,SMALL,0.6865327625946659,0.004049333333333333,0.00278,c
c,FromPlan,adi,DOUBLE,1,SMALL,1.4302864002743954,0.0019436666666666667,0.00278,c
c,FromPlan,adi,DOUBLE,2,SMALL,2.2601626016260163,0.00123,0.00278,c
c,FromPlan,adi,DOUBLE,3,SMALL,1.40973630831643,0.001972,0.00278,c
c,FromPlan,adi,DOUBLE,4,SMALL,0.8362578963200642,0.0033243333333333332,0.00278,c
c,FromPlan,adi,DOUBLE,5,SMALL,1.3837730214036834,0.002009,0.00278,c
c,Naive,adi,DOUBLE,1,SMALL,1.0027654202236382,0.0027723333333333332,0.00278,c
c,Naive,adi,DOUBLE,2,SMALL,0.8867623604465709,0.003135,0.00278,c
c,Naive,adi,DOUBLE,3,SMALL,1.4104515474378487,0.001971,0.00278,c
c,Naive,adi,DOUBLE,4,SMALL,0.7198342827550491,0.0038620000000000004,0.00278,c
c,Naive,adi,DOUBLE,5,SMALL,1.1792986425339367,0.0023573333333333332,0.00278,c
c,standard,adi,DOUBLE,1,SMALL,1.0,0.00278,0.00278,c
exo,AllHints,adi,DOUBLE,1,SMALL,0.6742663109386369,0.004123,0.00278,c
exo,AllHints,adi,DOUBLE,2,SMALL,0.6862503085657862,0.004051,0.00278,c
exo,AllHints,adi,DOUBLE,3,SMALL,0.6982585398526456,0.003981333333333333,0.00278,c
exo,AllHints,adi,DOUBLE,5,SMALL,0.6832705226937572,0.004068666666666667,0.00278,c
exo,ChooseHints,adi,DOUBLE,1,SMALL,0.6903402036255276,0.004027,0.00278,c
exo,ChooseHints,adi,DOUBLE,2,SMALL,0.6798728295426755,0.004089,0.00278,c
exo,ChooseHints,adi,DOUBLE,4,SMALL,0.6928636703497548,0.004012333333333334,0.00278,c
exo,ChooseHints,adi,DOUBLE,5,SMALL,0.6635372742461612,0.004189666666666667,0.00278,c
exo,FromPlan,adi,DOUBLE,2,SMALL,1.144189875154342,0.0024296666666666668,0.00278,c
exo,FromPlan,adi,DOUBLE,4,SMALL,0.2826926988000813,0.009834,0.00278,c
exo,Naive,adi,DOUBLE,1,SMALL,0.6803720019579051,0.004085999999999999,0.00278,c
exo,Naive,adi,DOUBLE,2,SMALL,0.6906832298136646,0.004025,0.00278,c
exo,Naive,adi,DOUBLE,4,SMALL,0.6574176257291503,0.004228666666666666,0.00278,c
exo,standard,adi,DOUBLE,2,SMALL,0.7276217065084627,0.0038206666666666667,0.00278,c
exo,standard,adi,DOUBLE,3,SMALL,0.7216405641602492,0.003852333333333333,0.00278,c
exo,standard,adi,DOUBLE,4,SMALL,0.7252173913043478,0.003833333333333333,0.00278,c
halide,AllHints,adi,DOUBLE,1,SMALL,0.011524096277330002,0.24123366666666665,0.00278,c
halide,AllHints,adi,DOUBLE,3,SMALL,0.018995125950895093,0.14635333333333334,0.00278,c
halide,ChooseHints,adi,DOUBLE,1,SMALL,0.06908434253905667,0.04024066666666667,0.00278,c
halide,ChooseHints,adi,DOUBLE,2,SMALL,0.7559140759539563,0.0036776666666666663,0.00278,c
halide,ChooseHints,adi,DOUBLE,3,SMALL,0.0091538907328381,0.303696,0.00278,c
halide,ChooseHints,adi,DOUBLE,4,SMALL,1.123383620689655,0.0024746666666666667,0.00278,c
halide,FromPlan,adi,DOUBLE,3,SMALL,1.0866449511400653,0.002558333333333333,0.00278,c
halide,Naive,adi,DOUBLE,2,SMALL,0.8647863956864372,0.0032146666666666665,0.00278,c
halide,Naive,adi,DOUBLE,4,SMALL,0.2780834250275082,0.009997,0.00278,c
halide,standard,adi,DOUBLE,1,SMALL,0.8816999682841737,0.003153,0.00278,c
halide,standard,adi,DOUBLE,2,SMALL,0.8825396825396825,0.00315,0.00278,c
halide,standard,adi,DOUBLE,3,SMALL,0.8827265029635901,0.0031493333333333334,0.00278,c
halide,standard,adi,DOUBLE,5,SMALL,0.8779871565427939,0.0031663333333333335,0.00278,c
noarr,AllHints,adi,DOUBLE,1,SMALL,0.4240174894504042,0.006556333333333333,0.00278,c
noarr,AllHints,adi,DOUBLE,2,SMALL,0.7597012206230642,0.0036593333333333334,0.00278,c
noarr,AllHints,adi,DOUBLE,3,SMALL,0.4307628738185011,0.006453666666666667,0.00278,c
noarr,AllHints,adi,DOUBLE,4,SMALL,0.4385088595614911,0.006339666666666667,0.00278,c
noarr,AllHints,adi,DOUBLE,5,SMALL,1.0010803024846957,0.002777,0.00278,c
noarr,ChooseHints,adi,DOUBLE,1,SMALL,0.4378872204137352,0.0063486666666666665,0.00278,c
noarr,ChooseHints,adi,DOUBLE,2,SMALL,1.3484236054971706,0.0020616666666666665,0.00278,c
noarr,ChooseHints,adi,DOUBLE,3,SMALL,0.43966471611576785,0.006323,0.00278,c
noarr,ChooseHints,adi,DOUBLE,4,SMALL,0.43029615106800123,0.006460666666666667,0.00278,c
noarr,ChooseHints,adi,DOUBLE,5,SMALL,0.431297512540725,0.006445666666666666,0.00278,c
noarr,FromPlan,adi,DOUBLE,1,SMALL,0.8933161953727505,0.003112,0.00278,c
noarr,FromPlan,adi,DOUBLE,2,SMALL,0.4355318815603948,0.006383,0.00278,c
noarr,FromPlan,adi,DOUBLE,3,SMALL,0.44059379787627445,0.006309666666666667,0.00278,c
noarr,FromPlan,adi,DOUBLE,4,SMALL,1.2513128282070518,0.0022216666666666665,0.00278,c
noarr,FromPlan,adi,DOUBLE,5,SMALL,1.0714285714285714,0.0025946666666666666,0.00278,c
noarr,Naive,adi,DOUBLE,1,SMALL,1.0115221346270467,0.0027483333333333335,0.00278,c
noarr,Naive,adi,DOUBLE,2,SMALL,1.017321297877531,0.0027326666666666667,0.00278,c
noarr,Naive,adi,DOUBLE,5,SMALL,1.007003139338324,0.0027606666666666665,0.00278,c
noarr,standard,adi,DOUBLE,1,SMALL,1.0054249547920433,0.002765,0.00278,c
noarr,standard,adi,DOUBLE,3,SMALL,0.9273879684198822,0.0029976666666666663,0.00278,c
noarr,standard,adi,DOUBLE,4,SMALL,1.02306182531894,0.0027173333333333333,0.00278,c
noarr,standard,adi,DOUBLE,5,SMALL,1.0191861175607968,0.0027276666666666664,0.00278,c
c,AllHints,atax,DOUBLE,1,SMALL,0.2819277108433735,0.00013833333333333333,3.9e-05,c
c,AllHints,atax,DOUBLE,2,SMALL,0.36,0.00010833333333333333,3.9e-05,c
c,AllHints,atax,DOUBLE,3,SMALL,2.2941176470588234,1.7e-05,3.9e-05,c
c,AllHints,atax,DOUBLE,4,SMALL,0.3103448275862069,0.00012566666666666667,3.9e-05,c
c,AllHints,atax,DOUBLE,5,SMALL,0.30000000000000004,0.00013,3.9e-05,c
c,ChooseHints,atax,DOUBLE,1,SMALL,2.0172413793103448,1.9333333333333333e-05,3.9e-05,c
c,ChooseHints,atax,DOUBLE,2,SMALL,1.625,2.4e-05,3.9e-05,c
c,ChooseHints,atax,DOUBLE,3,SMALL,0.48749999999999993,8e-05,3.9e-05,c
c,ChooseHints,atax,DOUBLE,4,SMALL,0.22807017543859648,0.000171,3.9e-05,c
c,ChooseHints,atax,DOUBLE,5,SMALL,0.24074074074074073,0.000162,3.9e-05,c
c,FromPlan,atax,DOUBLE,1,SMALL,1.581081081081081,2.466666666666667e-05,3.9e-05,c
c,FromPlan,atax,DOUBLE,3,SMALL,2.3877551020408165,1.633333333333333e-05,3.9e-05,c
c,FromPlan,atax,DOUBLE,4,SMALL,1.0353982300884954,3.766666666666667e-05,3.9e-05,c
c,FromPlan,atax,DOUBLE,5,SMALL,0.9069767441860466,4.2999999999999995e-05,3.9e-05,c
c,Naive,atax,DOUBLE,1,SMALL,1.073394495412844,3.633333333333333e-05,3.9e-05,c
c,Naive,atax,DOUBLE,2,SMALL,1.0636363636363637,3.6666666666666666e-05,3.9e-05,c
c,Naive,atax,DOUBLE,3,SMALL,1.0636363636363637,3.6666666666666666e-05,3.9e-05,c
c,Naive,atax,DOUBLE,4,SMALL,0.9512195121951219,4.1e-05,3.9e-05,c
c,standard,atax,DOUBLE,1,SMALL,1.0,3.9e-05,3.9e-05,c
exo,AllHints,atax,DOUBLE,1,SMALL,0.6802325581395349,5.7333333333333336e-05,3.9e-05,c
exo,AllHints,atax,DOUBLE,2,SMALL,0.4301470588235294,9.066666666666667e-05,3.9e-05,c
exo,AllHints,atax,DOUBLE,4,SMALL,0.42857142857142855,9.1e-05,3.9e-05,c
exo,ChooseHints,atax,DOUBLE,1,SMALL,0.37864077669902907,0.00010300000000000001,3.9e-05,c
exo,ChooseHints,atax,DOUBLE,2,SMALL,0.6290322580645161,6.2e-05,3.9e-05,c
exo,ChooseHints,atax,DOUBLE,3,SMALL,0.5467289719626168,7.133333333333334e-05,3.9e-05,c
exo,ChooseHints,atax,DOUBLE,4,SMALL,0.44150943396226416,8.833333333333333e-05,3.9e-05,c
exo,ChooseHints,atax,DOUBLE,5,SMALL,1.0086206896551724,3.866666666666667e-05,3.9e-05,c
exo,FromPlan,atax,DOUBLE,1,SMALL,0.7312500000000001,5.3333333333333326e-05,3.9e-05,c
exo,FromPlan,atax,DOUBLE,2,SMALL,0.6802325581395349,5.7333333333333336e-05,3.9e-05,c
exo,FromPlan,atax,DOUBLE,4,SMALL,1.2580645161290323,3.1e-05,3.9e-05,c
exo,Naive,atax,DOUBLE,4,SMALL,0.5492957746478874,7.099999999999999e-05,3.9e-05,c
exo,standard,atax,DOUBLE,1,SMALL,0.9749999999999999,4e-05,3.9e-05,c
exo,standard,atax,DOUBLE,2,SMALL,1.0636363636363637,3.6666666666666666e-05,3.9e-05,c
exo,standard,atax,DOUBLE,3,SMALL,0.8731343283582088,4.466666666666667e-05,3.9e-05,c
exo,standard,atax,DOUBLE,4,SMALL,0.9749999999999999,4e-05,3.9e-05,c
exo,standard,atax,DOUBLE,5,SMALL,0.9669421487603305,4.0333333333333336e-05,3.9e-05,c
halide,Naive,atax,DOUBLE,2,SMALL,0.01459398777597605,0.0026723333333333334,3.9e-05,c
halide,standard,atax,DOUBLE,1,SMALL,0.6030927835051547,6.466666666666666e-05,3.9e-05,c
halide,standard,atax,DOUBLE,2,SMALL,0.7697368421052632,5.066666666666667e-05,3.9e-05,c
halide,standard,atax,DOUBLE,3,SMALL,0.7548387096774194,5.1666666666666664e-05,3.9e-05,c
halide,standard,atax,DOUBLE,4,SMALL,0.609375,6.4e-05,3.9e-05,c
halide,standard,atax,DOUBLE,5,SMALL,0.65,5.9999999999999995e-05,3.9e-05,c
noarr,AllHints,atax,DOUBLE,1,SMALL,1.3448275862068966,2.9e-05,3.9e-05,c
noarr,AllHints,atax,DOUBLE,2,SMALL,1.7727272727272725,2.2000000000000003e-05,3.9e-05,c
noarr,AllHints,atax,DOUBLE,3,SMALL,0.016245487364620937,0.002400666666666667,3.9e-05,c
noarr,AllHints,atax,DOUBLE,4,SMALL,1.3295454545454546,2.9333333333333333e-05,3.9e-05,c
noarr,AllHints,atax,DOUBLE,5,SMALL,0.017660377358490565,0.0022083333333333334,3.9e-05,c
noarr,ChooseHints,atax,DOUBLE,1,SMALL,1.3295454545454546,2.9333333333333333e-05,3.9e-05,c
noarr,ChooseHints,atax,DOUBLE,2,SMALL,1.5,2.6e-05,3.9e-05,c
noarr,ChooseHints,atax,DOUBLE,3,SMALL,1.3448275862068966,2.9e-05,3.9e-05,c
