data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,c,AllHints,1,26,5,130,111,0.8538461538461538,2.030528493957774,1.7041159897730163,1.0530300336959937,4.805266568866122,111,2.135872853570949,113.5872853570949,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,2,26,10,260,247,0.95,2.3179920466493957,2.0341206109991687,1.1497022588406662,5.577442735749177,247,2.560039326296382,156.0039326296382,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,3,26,10,260,250,0.9615384615384616,2.543307256906482,2.343210452757018,1.2755924745867395,6.498426010322236,250,2.7815505444460022,178.15505444460024,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,4,26,5,130,125,0.9615384615384616,2.721694245446152,2.4096281054798245,1.3571627347462492,7.109286592412141,125,2.9378043598467207,193.78043598467207,c,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,5,26,1,26,25,0.9615384615384616,2.8751202924338792,2.645694259957216,1.448815547445285,7.109286592412141,25,3.0667205929462407,206.67205929462406,c,130,111,19,9,0,8,2,0
DOUBLE,c,ChooseHints,1,26,5,130,113,0.8692307692307693,1.944936234935301,1.733108997212055,1.0228228327707634,4.067495318020673,113,2.076570404110011,107.6570404110011,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,2,26,10,260,252,0.9692307692307692,2.1858255763757515,2.0287100982658566,1.2257536746055475,4.86195133833319,252,2.5078528384308405,150.78528384308404,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,3,26,10,260,258,0.9923076923076923,2.312345471403368,2.3327079526570857,1.2526446524762616,5.195467184878337,258,2.68693286942237,168.69328694223702,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,4,26,5,130,130,1.0,2.405369012010228,2.4244474054089653,1.4494385838440087,5.5591064832935215,130,2.8038024243137825,180.38024243137824,c,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,5,26,1,26,26,1.0,2.4779864200189454,2.4668969718603897,1.4778647525380308,5.5591064832935215,26,2.8795977924948177,187.95977924948178,c,130,113,17,10,1,5,1,0
DOUBLE,c,FromPlan,1,26,5,130,118,0.9076923076923077,1.6323609897387916,1.8023269024111581,1.2822547496159509,2.8061773783511565,118,1.7944928052280074,79.44928052280073,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,2,26,10,260,250,0.9615384615384616,1.7697215818331198,1.903105026544906,1.390080769953764,2.961317839771125,250,2.022159063700862,102.21590637008622,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,3,26,10,260,250,0.9615384615384616,1.9135434201108308,2.035592085037798,1.4402697047048618,3.1998704644858167,250,2.1628467551484314,116.28467551484314,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,4,26,5,130,125,0.9615384615384616,2.0295856597358104,2.283329784664967,1.512190024737597,3.277759908926317,125,2.2771754723685182,127.71754723685183,c,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,5,26,1,26,25,0.9615384615384616,2.138130988668084,2.3762158205153923,1.6154738668588875,3.2790543483316097,25,2.38305400211353,138.30540021135297,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,1,26,5,130,118,0.9076923076923077,1.6324654499969284,1.3846737165108802,1.0501965058492486,2.5763316914808403,118,1.6034183087591274,60.34183087591274,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,2,26,10,260,253,0.9730769230769231,1.7686370691750861,1.4942667341154539,1.0793320183948814,3.0226161398331146,253,1.7624099792087606,76.24099792087607,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,3,26,10,260,256,0.9846153846153847,1.8818704971705273,1.7073644578841065,1.1489159508316165,3.083253913476129,256,1.868832948161352,86.88329481613519,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,4,26,5,130,129,0.9923076923076923,1.9582673042751886,1.8537126402812008,1.1884829292937427,3.212373231665779,129,1.9492468671518328,94.92468671518328,c,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,5,26,1,26,26,1.0,2.0135271527686616,1.9026932743855687,1.2827474758502408,3.188022213353827,26,2.0143739748453617,101.43739748453618,c,130,118,12,7,0,5,0,0
DOUBLE,exo,AllHints,1,26,5,130,89,0.6846153846153846,0.9853059925304972,1.1118567508284414,0.8171549946833513,2.4683800336496935,89,1.4481094993796744,44.810949937967436,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,2,26,10,260,222,0.8538461538461538,1.2111432480664266,1.1461577539438286,0.9007528519081003,2.653867521726557,222,1.6512323772046928,65.12323772046929,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,3,26,10,260,240,0.9230769230769231,1.3402231043620065,1.242856633680308,0.9327946462560283,2.81124074675631,240,1.767343100529174,76.7343100529174,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,4,26,5,130,124,0.9538461538461539,1.4544012272580034,1.2623321466875133,0.9419213323290763,2.81124074675631,124,1.8567196171832598,85.67196171832599,c,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,5,26,1,26,25,0.9615384615384616,1.5462756776389606,1.52347189185082,0.9897087235137152,2.81124074675631,25,1.9239110335957204,92.39110335957204,c,130,89,41,34,0,7,0,0
DOUBLE,exo,ChooseHints,1,26,5,130,87,0.6692307692307692,1.3095512124874151,1.366805432280045,0.9309856404546688,2.9487440756055103,87,1.553955983718494,55.395598371849395,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,2,26,10,260,222,0.8538461538461538,1.4240085450206075,1.486210805914004,0.9505059660975613,2.861830646366695,222,1.7852688328286161,78.52688328286162,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,3,26,10,260,236,0.9076923076923077,1.524861995770346,1.486210805914004,0.9751566067084896,2.861830646366695,236,1.8702837269295567,87.02837269295567,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,4,26,5,130,122,0.9384615384615385,1.580463393268341,1.6900554192029404,0.9998426000672787,2.861830646366695,122,1.9340662910480724,93.40662910480724,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,5,26,1,26,25,0.9615384615384616,1.6126136610205855,1.6957729818426632,1.0006410068333849,2.861830646366695,25,1.9880776568232603,98.80776568232604,c,130,87,43,38,0,5,0,0
DOUBLE,exo,FromPlan,1,26,5,130,56,0.4307692307692308,0.9052028942138558,1.0460198181094427,0.7110208705527896,2.52821277994349,56,1.1867509874697713,18.675098746977127,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,2,26,10,260,176,0.676923076923077,0.9087867399534608,1.0511357683986622,0.7958879918014524,2.52821277994349,176,1.3118727843292628,31.18727843292628,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,3,26,10,260,211,0.8115384615384615,0.925315014527691,1.0643935600999122,0.8231037912218528,2.0092376620494137,211,1.391319334172981,39.1319334172981,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,4,26,5,130,115,0.8846153846153846,0.9604279853433599,1.0727397211767378,0.8478887197117373,2.0092376620494137,115,1.4477888384580957,44.77888384580957,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,5,26,1,26,24,0.9230769230769231,1.0201445995629204,1.0813119239262952,0.8809043522973093,2.1493791925125114,24,1.5009877015480955,50.09877015480954,c,130,56,74,73,0,1,0,0
DOUBLE,exo,Naive,1,26,5,130,81,0.6230769230769231,1.1427075040789487,1.0699014749409694,0.8613997419583761,2.02025752449773,81,1.3391491886502733,33.91491886502733,c,130,81,49,44,0,5,0,0
